"","symbol","date","open","high","low","close","volume","adjusted"
"1","GRFS",2016-01-04,16,16.139999,15.51,15.98,1234800,14.184804
"2","GRFS",2016-01-05,15.99,16.02,15.51,15.85,1325300,14.069409
"3","GRFS",2016-01-06,15.57,16.190001,15.57,16.110001,1424400,14.300201
"4","GRFS",2016-01-07,15.87,15.96,15.6,15.6,1067700,13.847495
"5","GRFS",2016-01-08,15.71,15.82,15.36,15.41,682400,13.678839
"6","GRFS",2016-01-11,15.47,15.58,14.98,15.11,909200,13.412539
"7","GRFS",2016-01-12,15.26,15.35,15.06,15.28,508800,13.563442
"8","GRFS",2016-01-13,15.34,15.37,14.8,14.94,586200,13.261639
"9","GRFS",2016-01-14,15.09,15.39,14.88,15.19,836900,13.483553
"10","GRFS",2016-01-15,14.78,15.03,14.64,14.92,2391500,13.243883
"11","GRFS",2016-01-19,14.88,15.06,14.75,14.95,1124200,13.270514
"12","GRFS",2016-01-20,14.81,15.03,14.5,14.88,1077900,13.208379
"13","GRFS",2016-01-21,14.79,14.9,14.62,14.71,812900,13.057476
"14","GRFS",2016-01-22,14.88,15.03,14.83,14.95,814000,13.270514
"15","GRFS",2016-01-25,14.98,15.23,14.95,15.01,673400,13.323775
"16","GRFS",2016-01-26,14.94,15,14.76,14.96,311800,13.27939
"17","GRFS",2016-01-27,14.99,15.15,14.62,14.66,475900,13.013094
"18","GRFS",2016-01-28,14.87,14.92,14.15,14.2,805200,12.60477
"19","GRFS",2016-01-29,14.54,14.87,14.28,14.52,1790200,12.888823
"20","GRFS",2016-02-01,14.87,14.96,14.45,14.58,1072100,12.94208
"21","GRFS",2016-02-02,14.69,14.8,14.15,14.35,1886700,12.737919
"22","GRFS",2016-02-03,14.52,14.7,14.07,14.7,1399700,13.0486
"23","GRFS",2016-02-04,14.68,15,14.52,14.78,1604400,13.119613
"24","GRFS",2016-02-05,14.69,15.42,14.21,15.29,4087400,13.572319
"25","GRFS",2016-02-08,14.89,14.89,14.29,14.44,1843500,12.817809
"26","GRFS",2016-02-09,14.34,14.84,14.34,14.57,907400,12.933203
"27","GRFS",2016-02-10,14.69,14.92,14.51,14.56,679000,12.924329
"28","GRFS",2016-02-11,14.58,14.72,14.37,14.49,719400,12.862191
"29","GRFS",2016-02-12,14.48,14.7,14.3,14.67,629100,13.02197
"30","GRFS",2016-02-16,14.73,15.15,14.61,15.02,617200,13.332651
"31","GRFS",2016-02-17,15.21,15.39,15.07,15.35,661900,13.62558
"32","GRFS",2016-02-18,15.4,15.5,15.09,15.14,755100,13.43917
"33","GRFS",2016-02-19,15.02,15.29,14.95,15.16,458400,13.456923
"34","GRFS",2016-02-22,15.21,15.29,15.04,15.24,563500,13.527935
"35","GRFS",2016-02-23,15.21,15.48,15.17,15.31,476300,13.590075
"36","GRFS",2016-02-24,15,15.39,14.82,15.37,817300,13.643331
"37","GRFS",2016-02-25,15.43,15.68,15.33,15.64,1383000,13.883
"38","GRFS",2016-02-26,15.56,15.68,15.48,15.62,603000,13.865248
"39","GRFS",2016-02-29,15.59,15.94,15.53,15.6,2143200,13.847495
"40","GRFS",2016-03-01,15.5,15.56,15.29,15.45,656100,13.714345
"41","GRFS",2016-03-02,15.26,15.59,15.24,15.49,817300,13.749851
