"","symbol","date","open","high","low","close","volume","adjusted"
"1","GRPN",2016-01-04,60.599998,62.400002,58.400002,60,365910,60
"2","GRPN",2016-01-05,60.400002,63,60.200001,62.599998,392180,62.599998
"3","GRPN",2016-01-06,62.400002,62.799999,60,60.599998,401515,60.599998
"4","GRPN",2016-01-07,59,60.599998,57.200001,57.200001,368725,57.200001
"5","GRPN",2016-01-08,58.599998,59.400002,55.400002,55.599998,230855,55.599998
"6","GRPN",2016-01-11,56,56.400002,51.400002,53,473520,53
"7","GRPN",2016-01-12,54.599998,55.200001,51.599998,52.599998,311525,52.599998
"8","GRPN",2016-01-13,53,54.200001,50.400002,51,452820,51
"9","GRPN",2016-01-14,50.799999,55.599998,48,55,592375,55
"10","GRPN",2016-01-15,53.200001,53.599998,50,52,371930,52
"11","GRPN",2016-01-19,53.200001,53.599998,49,49.400002,444435,49.400002
"12","GRPN",2016-01-20,48,48.799999,44.599998,47.799999,755330,47.799999
"13","GRPN",2016-01-21,47.599998,52,47.400002,50.799999,365435,50.799999
"14","GRPN",2016-01-22,51.799999,53.400002,50.200001,53,368410,53
"15","GRPN",2016-01-25,53.200001,54,52,52.400002,240360,52.400002
"16","GRPN",2016-01-26,52.599998,56.400002,52.200001,55.599998,324695,55.599998
"17","GRPN",2016-01-27,54.400002,57.400002,53.799999,53.799999,338265,53.799999
"18","GRPN",2016-01-28,55,56.599998,53.400002,53.799999,356015,53.799999
"19","GRPN",2016-01-29,53.400002,56,53.200001,54.400002,434130,54.400002
"20","GRPN",2016-02-01,53.400002,55,52.400002,52.799999,477595,52.799999
"21","GRPN",2016-02-02,52.799999,53.400002,48.400002,49.400002,531790,49.400002
"22","GRPN",2016-02-03,49.400002,49.799999,47,49.400002,537030,49.400002
"23","GRPN",2016-02-04,48.799999,53.799999,48.599998,52.799999,474130,52.799999
"24","GRPN",2016-02-05,52.200001,52.400002,48.599998,49,681275,49
"25","GRPN",2016-02-08,48.200001,48.599998,46,46.200001,763940,46.200001
"26","GRPN",2016-02-09,45.400002,48,43,44.400002,868210,44.400002
"27","GRPN",2016-02-10,45.400002,46.200001,43.799999,45,507305,45
"28","GRPN",2016-02-11,43.200001,45,43,44.799999,698295,44.799999
"29","GRPN",2016-02-12,53.799999,59.200001,53.200001,57.799999,1601795,57.799999
"30","GRPN",2016-02-16,66,84.800003,65.400002,81.599998,4385580,81.599998
"31","GRPN",2016-02-17,78.800003,82.599998,72,75.800003,2644650,75.800003
"32","GRPN",2016-02-18,75.199997,78.199997,72.400002,76.800003,1113950,76.800003
"33","GRPN",2016-02-19,77.800003,89,77.400002,81.800003,2206470,81.800003
"34","GRPN",2016-02-22,85.400002,88,82,86.199997,1136050,86.199997
"35","GRPN",2016-02-23,84.599998,85.400002,82,84.400002,604520,84.400002
"36","GRPN",2016-02-24,81.400002,85.199997,79.199997,84,671670,84
"37","GRPN",2016-02-25,84.400002,86.599998,82,82.800003,657465,82.800003
"38","GRPN",2016-02-26,86.599998,93.599998,85.199997,89.800003,1567195,89.800003
"39","GRPN",2016-02-29,90.400002,96.599998,88.800003,95.599998,1219995,95.599998
"40","GRPN",2016-03-01,97,97,89.599998,92.599998,937040,92.599998
"41","GRPN",2016-03-02,92,93.400002,89.599998,93.199997,516685,93.199997
"42","GRPN",2016-03-03,90,100,89.800003,97.199997,848920,97.199997
"43","GRPN",2016-03-04,97.800003,105.599998,94.599998,95.800003,1155370,95.800003
"44","GRPN",2016-03-07,96.800003,100,94.400002,95.199997,661805,95.199997
"45","GRPN",2016-03-08,94.599998,95.199997,91,91.599998,607610,91.599998
"46","GRPN",2016-03-09,86.400002,86.800003,81,82.199997,768265,82.199997
"47","GRPN",2016-03-10,84.199997,84.800003,80.400002,80.800003,616340,80.800003
"48","GRPN",2016-03-11,82.199997,84.599998,80.599998,82.800003,588050,82.800003
"49","GRPN",2016-03-14,82.199997,85,82.199997,82.599998,425605,82.599998
"50","GRPN",2016-03-15,81.400002,82.400002,75.800003,79.400002,887725,79.400002
"51","GRPN",2016-03-16,79.199997,82.400002,79,80.400002,541400,80.400002
"52","GRPN",2016-03-17,81.199997,85.800003,80.599998,83,450215,83
"53","GRPN",2016-03-18,85,85.800003,80.800003,81,720115,81
"54","GRPN",2016-03-21,80.400002,83.199997,80.199997,83.199997,345595,83.199997
"55","GRPN",2016-03-22,82.199997,84,81.800003,82.199997,215835,82.199997
"56","GRPN",2016-03-23,82.199997,82.800003,77,77.400002,452950,77.400002
"57","GRPN",2016-03-24,77,79.800003,75.400002,78.599998,402530,78.599998
"58","GRPN",2016-03-28,79.400002,80,77.199997,78,323810,78
"59","GRPN",2016-03-29,77.599998,80.199997,76.199997,79.400002,404135,79.400002
"60","GRPN",2016-03-30,79.400002,80.199997,77.400002,78,400760,78
"61","GRPN",2016-03-31,78,81.400002,78,79.800003,343135,79.800003
"62","GRPN",2016-04-01,78,79.800003,77,78.400002,328660,78.400002
"63","GRPN",2016-04-04,82,90.599998,80.800003,85.800003,1433120,85.800003
"64","GRPN",2016-04-05,85.800003,88,84.199997,87.800003,706065,87.800003
"65","GRPN",2016-04-06,88.400002,90.599998,85.400002,89.199997,675655,89.199997
"66","GRPN",2016-04-07,88.199997,89.599998,85.199997,85.599998,519095,85.599998
"67","GRPN",2016-04-08,86.800003,87.400002,82.400002,84.199997,378150,84.199997
"68","GRPN",2016-04-11,85.400002,86,82.199997,82.599998,252965,82.599998
"69","GRPN",2016-04-12,82.199997,88,82.199997,87.199997,558195,87.199997
"70","GRPN",2016-04-13,88.199997,90.599998,87.199997,90.400002,508565,90.400002
"71","GRPN",2016-04-14,91.800003,94,87.800003,88.400002,431360,88.400002
"72","GRPN",2016-04-15,88.599998,93.400002,88.400002,91.800003,363190,91.800003
"73","GRPN",2016-04-18,91,93,89.199997,91,342730,91
"74","GRPN",2016-04-19,90.400002,92.400002,90,91.400002,237715,91.400002
"75","GRPN",2016-04-20,90,92.199997,89.199997,91,254975,91
"76","GRPN",2016-04-21,91,93,90.199997,90.800003,219610,90.800003
"77","GRPN",2016-04-22,91,91.800003,88.199997,89.400002,340485,89.400002
"78","GRPN",2016-04-25,89.199997,91.199997,89,91,363355,91
"79","GRPN",2016-04-26,90.400002,94.400002,90.400002,92.199997,397970,92.199997
"80","GRPN",2016-04-27,92.800003,94,88.599998,92.199997,680235,92.199997
"81","GRPN",2016-04-28,91.599998,92.800003,87.800003,88.599998,570540,88.599998
"82","GRPN",2016-04-29,81.199997,81.800003,71.400002,72.400002,2253130,72.400002
"83","GRPN",2016-05-02,72,72,65.800003,69.800003,1067350,69.800003
"84","GRPN",2016-05-03,68,70,67.400002,67.599998,641515,67.599998
"85","GRPN",2016-05-04,67.599998,69,66,67.599998,490330,67.599998
"86","GRPN",2016-05-05,68,70.199997,64.599998,65.199997,751230,65.199997
"87","GRPN",2016-05-06,64.599998,67.599998,63.599998,65.800003,465715,65.800003
"88","GRPN",2016-05-09,66,68.400002,64.599998,67.400002,666825,67.400002
"89","GRPN",2016-05-10,67.400002,73,67,70.800003,669700,70.800003
"90","GRPN",2016-05-11,70,71.199997,68.199997,69.199997,506675,69.199997
"91","GRPN",2016-05-12,69.400002,71.400002,67.199997,68.199997,505855,68.199997
"92","GRPN",2016-05-13,68,69.199997,66,68,358420,68
"93","GRPN",2016-05-16,67.800003,69.599998,67.400002,68,266665,68
"94","GRPN",2016-05-17,68,68.800003,67,67.599998,280045,67.599998
"95","GRPN",2016-05-18,66.800003,68,66.400002,67.400002,323245,67.400002
"96","GRPN",2016-05-19,66.199997,68.400002,66,68,510535,68
"97","GRPN",2016-05-20,67.800003,69.599998,67.400002,69,264545,69
"98","GRPN",2016-05-23,68.800003,70,67.800003,68.199997,235395,68.199997
"99","GRPN",2016-05-24,68.599998,70,68,68.800003,263145,68.800003
"100","GRPN",2016-05-25,69,70.199997,68.599998,68.599998,285255,68.599998
"101","GRPN",2016-05-26,68.599998,71.199997,68.400002,69.599998,334535,69.599998
"102","GRPN",2016-05-27,69.400002,72,69.400002,71,207845,71
"103","GRPN",2016-05-31,71,73,70.199997,70.800003,213510,70.800003
"104","GRPN",2016-06-01,70.800003,72,69.599998,70.800003,152035,70.800003
"105","GRPN",2016-06-02,70.599998,72.400002,70.400002,71.599998,171265,71.599998
"106","GRPN",2016-06-03,71.400002,73.800003,70.199997,70.400002,260465,70.400002
"107","GRPN",2016-06-06,70.800003,73.199997,70.199997,71.599998,253865,71.599998
"108","GRPN",2016-06-07,71.199997,72,70.400002,70.599998,207805,70.599998
"109","GRPN",2016-06-08,71,71,69.199997,69.599998,281495,69.599998
"110","GRPN",2016-06-09,66.400002,66.800003,62,65.199997,729870,65.199997
"111","GRPN",2016-06-10,64.400002,65,63.200001,63.799999,292470,63.799999
"112","GRPN",2016-06-13,63.599998,64.199997,62.200001,62.599998,266245,62.599998
"113","GRPN",2016-06-14,61.599998,63.400002,60.599998,63.200001,332845,63.200001
"114","GRPN",2016-06-15,63.599998,66.800003,63.400002,65,252990,65
"115","GRPN",2016-06-16,64.599998,66.400002,64.199997,65.800003,241520,65.800003
"116","GRPN",2016-06-17,66,67,65.400002,65.400002,317790,65.400002
"117","GRPN",2016-06-20,66.199997,67.199997,66,66.199997,192110,66.199997
"118","GRPN",2016-06-21,66.800003,67,65.800003,67,177350,67
"119","GRPN",2016-06-22,67.400002,67.400002,64.800003,65,165655,65
"120","GRPN",2016-06-23,66.800003,67.400002,66,67,256290,67
"121","GRPN",2016-06-24,63.599998,65.199997,62.200001,62.799999,546715,62.799999
"122","GRPN",2016-06-27,62,62.400002,58.400002,59.599998,433800,59.599998
"123","GRPN",2016-06-28,61.200001,62.400002,60.799999,62.200001,305640,62.200001
"124","GRPN",2016-06-29,62.599998,64.800003,62,64.800003,289190,64.800003
"125","GRPN",2016-06-30,64.400002,65.400002,63.400002,65,246675,65
"126","GRPN",2016-07-01,65.400002,66.599998,65.400002,66,266280,66
"127","GRPN",2016-07-05,65.599998,65.800003,63.599998,65,167805,65
"128","GRPN",2016-07-06,64.400002,67,64,66.400002,440065,66.400002
"129","GRPN",2016-07-07,66.199997,67.800003,65.599998,66.800003,210155,66.800003
"130","GRPN",2016-07-08,67.400002,68.599998,67,68,240925,68
"131","GRPN",2016-07-11,68.400002,69.199997,68.400002,69,189470,69
"132","GRPN",2016-07-12,70,71,69.400002,70,208875,70
"133","GRPN",2016-07-13,69.800003,70.199997,68.400002,68.800003,135105,68.800003
"134","GRPN",2016-07-14,69.199997,71.599998,69,71.400002,217095,71.400002
"135","GRPN",2016-07-15,70.800003,71.400002,69.400002,69.800003,185175,69.800003
"136","GRPN",2016-07-18,74.199997,78.599998,74.199997,77,800150,77
"137","GRPN",2016-07-19,77,77.599998,74.599998,75.800003,323305,75.800003
"138","GRPN",2016-07-20,76.599998,77,75.400002,76.400002,260945,76.400002
"139","GRPN",2016-07-21,76.199997,76.599998,75,75,225710,75
"140","GRPN",2016-07-22,74.800003,76.599998,74.199997,74.400002,211760,74.400002
"141","GRPN",2016-07-25,75.199997,77.199997,74.400002,76.800003,276860,76.800003
"142","GRPN",2016-07-26,76.599998,79.199997,76.199997,78.199997,358915,78.199997
"143","GRPN",2016-07-27,79.199997,79.400002,75.199997,75.599998,696535,75.599998
"144","GRPN",2016-07-28,96.199997,102.400002,89.400002,97.400002,3279720,97.400002
"145","GRPN",2016-07-29,96.199997,98.800003,91.599998,96.400002,991990,96.400002
"146","GRPN",2016-08-01,93.599998,101,92,99.800003,1186660,99.800003
"147","GRPN",2016-08-02,98,104,97.800003,102,1066635,102
"148","GRPN",2016-08-03,101.599998,109.800003,101,106.599998,1106965,106.599998
"149","GRPN",2016-08-04,107.199997,111.599998,107,108.599998,1078820,108.599998
"150","GRPN",2016-08-05,109.800003,115.599998,109.800003,113.800003,920610,113.800003
"151","GRPN",2016-08-08,114.599998,118.800003,112.800003,117.199997,951500,117.199997
"152","GRPN",2016-08-09,117.800003,118.800003,114.199997,117.199997,693615,117.199997
"153","GRPN",2016-08-10,116.199997,117.599998,114.599998,116.199997,559090,116.199997
"154","GRPN",2016-08-11,116.199997,118.599998,115.599998,117.800003,470045,117.800003
"155","GRPN",2016-08-12,114,115.199997,110.800003,114.599998,761655,114.599998
"156","GRPN",2016-08-15,114.800003,116,113.400002,115.599998,451015,115.599998
"157","GRPN",2016-08-16,114.199997,114.800003,112.199997,113.800003,260340,113.800003
"158","GRPN",2016-08-17,113.599998,114.400002,111,111.800003,332305,111.800003
"159","GRPN",2016-08-18,112.400002,113.400002,111,112,303875,112
"160","GRPN",2016-08-19,111.400002,111.599998,109.400002,110.800003,273135,110.800003
"161","GRPN",2016-08-22,110.800003,111.400002,109.400002,110.599998,196050,110.599998
"162","GRPN",2016-08-23,110.599998,113,110.599998,111.199997,272340,111.199997
"163","GRPN",2016-08-24,110.599998,112.599998,108.800003,108.800003,276380,108.800003
"164","GRPN",2016-08-25,108.199997,109.800003,107,107.599998,259935,107.599998
"165","GRPN",2016-08-26,106.800003,108.800003,105.400002,107.599998,282070,107.599998
"166","GRPN",2016-08-29,106.599998,108.800003,105.800003,108,278925,108
"167","GRPN",2016-08-30,108.400002,109,106.599998,107.199997,187070,107.199997
"168","GRPN",2016-08-31,106.199997,107.400002,105.400002,106.599998,301165,106.599998
"169","GRPN",2016-09-01,107.199997,109.800003,106.800003,107.800003,281085,107.800003
"170","GRPN",2016-09-02,108.800003,109.400002,106.599998,107.199997,209460,107.199997
"171","GRPN",2016-09-06,104.800003,110.800003,104.800003,110.400002,335940,110.400002
"172","GRPN",2016-09-07,111,111,107.400002,107.599998,245435,107.599998
"173","GRPN",2016-09-08,107.400002,109,106,106.199997,173040,106.199997
"174","GRPN",2016-09-09,105.400002,106.400002,105,105.599998,344495,105.599998
"175","GRPN",2016-09-12,103.599998,105.199997,101.199997,103.800003,312430,103.800003
"176","GRPN",2016-09-13,103.199997,103.800003,100.800003,102.199997,268780,102.199997
"177","GRPN",2016-09-14,102.199997,102.599998,100,100.800003,203345,100.800003
"178","GRPN",2016-09-15,100.599998,104.800003,100,103.800003,278720,103.800003
"179","GRPN",2016-09-16,103.400002,104.199997,102.199997,103.599998,555830,103.599998
"180","GRPN",2016-09-19,103.800003,104.400002,101.599998,102.199997,128665,102.199997
"181","GRPN",2016-09-20,103,106.800003,102.400002,103.599998,350410,103.599998
"182","GRPN",2016-09-21,104,107.400002,103.800003,107.400002,246190,107.400002
"183","GRPN",2016-09-22,108,110.599998,107.199997,108.599998,313940,108.599998
"184","GRPN",2016-09-23,108,108.599998,106.400002,106.400002,143680,106.400002
"185","GRPN",2016-09-26,104.599998,106.800003,103.599998,103.599998,178570,103.599998
"186","GRPN",2016-09-27,106,109,104,106.599998,270835,106.599998
"187","GRPN",2016-09-28,106.400002,107.800003,105,105.199997,170255,105.199997
"188","GRPN",2016-09-29,105,105.599998,101.199997,102,281435,102
"189","GRPN",2016-09-30,103.199997,104.599998,101.199997,103,310310,103
"190","GRPN",2016-10-03,103.800003,105.199997,102.199997,104.599998,233940,104.599998
"191","GRPN",2016-10-04,105,107,103.199997,105.800003,299225,105.800003
"192","GRPN",2016-10-05,106.199997,107.800003,105.400002,106.199997,358170,106.199997
"193","GRPN",2016-10-06,104.800003,105.800003,102.599998,102.800003,248680,102.800003
"194","GRPN",2016-10-07,103.599998,104,101.599998,103,215545,103
"195","GRPN",2016-10-10,103.199997,104.400002,103.199997,103.400002,105495,103.400002
"196","GRPN",2016-10-11,103.199997,103.400002,101,101.199997,173295,101.199997
"197","GRPN",2016-10-12,101.800003,103.599998,99.800003,100,155415,100
"198","GRPN",2016-10-13,99.199997,99.400002,96.199997,98,221250,98
"199","GRPN",2016-10-14,98.800003,100.400002,98.599998,100.199997,210490,100.199997
"200","GRPN",2016-10-17,105.199997,107.599998,101.199997,101.800003,666950,101.800003
"201","GRPN",2016-10-18,103.400002,105,101.400002,101.400002,340550,101.400002
"202","GRPN",2016-10-19,101.599998,102.199997,99.800003,100.199997,329545,100.199997
"203","GRPN",2016-10-20,100,101,99.800003,100.400002,159140,100.400002
"204","GRPN",2016-10-21,100,100.599998,98.800003,100.400002,242350,100.400002
"205","GRPN",2016-10-24,101.400002,104.400002,101.199997,103.400002,234930,103.400002
"206","GRPN",2016-10-25,104.199997,107.199997,104.199997,106.400002,427565,106.400002
"207","GRPN",2016-10-26,107.400002,107.400002,103.199997,105.199997,881875,105.199997
"208","GRPN",2016-10-27,96,96.800003,81,82,2182295,82
"209","GRPN",2016-10-28,84.599998,84.599998,80.400002,81.199997,790555,81.199997
