"","symbol","date","open","high","low","close","volume","adjusted"
"1","GSK",2016-01-04,40.25,40.470001,39.849998,40.450001,4051600,29.097551
"2","GSK",2016-01-05,40.259998,40.759998,40.240002,40.68,3138800,29.262995
"3","GSK",2016-01-06,40.200001,40.470001,40.029999,40.240002,2708200,28.946482
"4","GSK",2016-01-07,39.25,39.560001,38.93,39.009998,4635400,28.061684
"5","GSK",2016-01-08,40.110001,40.27,39.380001,39.419998,5258300,28.356617
"6","GSK",2016-01-11,39.73,39.830002,38.869999,39.290001,4618600,28.263105
"7","GSK",2016-01-12,39.450001,39.560001,38.939999,39.450001,3554700,28.378202
"8","GSK",2016-01-13,40.07,40.220001,39.119999,39.16,3522600,28.169588
"9","GSK",2016-01-14,39.599998,40.419998,39.400002,40.279999,3924200,28.97526
"10","GSK",2016-01-15,38.880001,39.330002,38.599998,38.900002,5671300,27.982559
"11","GSK",2016-01-19,39.860001,39.880001,38.919998,39.279999,4574300,28.255915
"12","GSK",2016-01-20,38.919998,39.209999,37.970001,38.950001,4855400,28.018522
"13","GSK",2016-01-21,38.790001,39.32,38.400002,39.040001,3971400,28.083269
"14","GSK",2016-01-22,39.779999,40.099998,39.73,40.029999,3099500,28.79542
"15","GSK",2016-01-25,40.139999,40.240002,39.639999,39.68,2878100,28.543652
"16","GSK",2016-01-26,40.48,40.860001,40.09,40.830002,4602500,29.370901
"17","GSK",2016-01-27,41.049999,41.139999,40.349998,40.599998,3607600,29.205444
"18","GSK",2016-01-28,40.529999,40.889999,39.939999,40.639999,5344800,29.234215
"19","GSK",2016-01-29,40.529999,41.310001,40.41,41.290001,4139300,29.70179
"20","GSK",2016-02-01,40.740002,41.549999,40.650002,41.380001,2985900,29.766537
"21","GSK",2016-02-02,41.130001,41.18,40.68,40.900002,3345200,29.421253
"22","GSK",2016-02-03,42.279999,42.299999,41.549999,42.049999,6393800,30.248491
"23","GSK",2016-02-04,41.349998,41.639999,40.610001,40.98,6326600,29.478798
"24","GSK",2016-02-05,40.93,40.950001,40.459999,40.759998,3431400,29.320541
"25","GSK",2016-02-08,39.93,39.990002,38.91,39.470001,7857500,28.392584
"26","GSK",2016-02-09,39.09,39.630001,39.049999,39.34,6811900,28.299074
"27","GSK",2016-02-10,39.310001,39.650002,39.049999,39.130001,5805400,28.148008
"28","GSK",2016-02-11,39.389999,39.529999,38.799999,39.150002,5879700,28.162397
"29","GSK",2016-02-12,38.950001,39.77,38.91,39.759998,3815600,28.601196
"30","GSK",2016-02-16,40.32,40.639999,40.049999,40.459999,4126300,29.104742
"31","GSK",2016-02-17,39.259998,39.52,39.209999,39.400002,5423600,29.247261
"32","GSK",2016-02-18,39.34,39.740002,39.240002,39.369999,5243700,29.225
"33","GSK",2016-02-19,39.349998,39.830002,39.150002,39.759998,4054700,29.5145
"34","GSK",2016-02-22,39.360001,39.610001,39.27,39.360001,2856000,29.217569
"35","GSK",2016-02-23,38.939999,39.119999,38.59,38.639999,3184900,28.6831
"36","GSK",2016-02-24,37.959999,38.610001,37.82,38.540001,3720900,28.60887
"37","GSK",2016-02-25,39.07,39.509998,38.950001,39.5,3598100,29.321495
"38","GSK",2016-02-26,39.32,39.419998,39.07,39.139999,2999300,29.054264
"39","GSK",2016-02-29,38.93,39.099998,38.59,38.669998,2901700,28.705368
"40","GSK",2016-03-01,39.349998,39.669998,39.16,39.66,3415200,29.440264
"41","GSK",2016-03-02,39.060001,39.43,38.959999,39.400002,2819600,29.247261
"42","GSK",2016-03-03,38.639999,39.240002,38.630001,39.18,4181600,29.083952
"43","GSK",2016-03-04,38.860001,39.349998,38.830002,39.139999,4579900,29.054264
"44","GSK",2016-03-07,38.720001,39.549999,38.650002,39.32,4482200,29.18788
"45","GSK",2016-03-08,39.41,39.880001,39.310001,39.709999,3980600,29.477373
"46","GSK",2016-03-09,39.900002,40.09,39.830002,39.98,2860500,29.677805
"47","GSK",2016-03-10,40.07,40.299999,39.5,39.700001,3383400,29.469957
"48","GSK",2016-03-11,40,40.419998,39.939999,40.349998,2648300,29.952467
"49","GSK",2016-03-14,40.400002,40.549999,40.23,40.419998,2378400,30.004423
"50","GSK",2016-03-15,40.25,40.259998,39.880001,40.009998,2895200,29.700069
"51","GSK",2016-03-16,39.630001,40.18,39.580002,40.049999,2566700,29.729763
"52","GSK",2016-03-17,40.209999,40.84,40,40.740002,3708400,30.241966
"53","GSK",2016-03-18,40.07,40.299999,39.959999,40.080002,4713200,29.752043
"54","GSK",2016-03-21,39.860001,40.150002,39.830002,39.970001,2949100,29.670393
"55","GSK",2016-03-22,39.299999,39.900002,39.279999,39.799999,3775500,29.544193
"56","GSK",2016-03-23,39.650002,39.709999,39.299999,39.369999,4748900,29.225
"57","GSK",2016-03-24,39.32,39.599998,39.25,39.560001,2662700,29.366032
"58","GSK",2016-03-28,39.639999,39.759998,39.48,39.549999,1321100,29.358608
"59","GSK",2016-03-29,39.630001,40.279999,39.419998,40.240002,2276200,29.87081
"60","GSK",2016-03-30,40.59,40.889999,40.580002,40.700001,2546100,30.212271
"61","GSK",2016-03-31,40.5,40.880001,40.459999,40.549999,2865100,30.100927
"62","GSK",2016-04-01,39.790001,40.41,39.759998,40.34,4958100,29.945042
"63","GSK",2016-04-04,40.790001,41.040001,40.68,40.970001,3826300,30.412701
