"","symbol","date","open","high","low","close","volume","adjusted"
"1","GTN",2016-01-04,15.97,16.26,15.13,15.26,959600,15.032804
"2","GTN",2016-01-05,15.33,15.38,14.79,14.81,1284300,14.589504
"3","GTN",2016-01-06,14.54,15.05,14.3,15.03,906700,14.806229
"4","GTN",2016-01-07,14.72,14.79,13.8,13.95,1343700,13.742307
"5","GTN",2016-01-08,14.09,14.26,13.52,13.57,892100,13.367965
"6","GTN",2016-01-11,13.63,14.12,13.43,14.07,879200,13.860521
"7","GTN",2016-01-12,14.33,14.5,13.78,13.93,664600,13.722606
"8","GTN",2016-01-13,13.93,14.18,13.33,13.41,977400,13.210348
"9","GTN",2016-01-14,13.48,14.32,13.3,14.24,1015800,14.02799
"10","GTN",2016-01-15,13.8,13.99,13.54,13.76,741800,13.555137
"11","GTN",2016-01-19,13.9,13.93,12.89,13.14,572700,12.944368
"12","GTN",2016-01-20,12.85,13.23,12.32,13.05,859700,12.855707
"13","GTN",2016-01-21,13.12,13.37,12.8,13,496400,12.806451
"14","GTN",2016-01-22,13.27,13.54,13.12,13.24,858100,13.042878
"15","GTN",2016-01-25,13.15,13.19,12.84,12.87,466300,12.678387
"16","GTN",2016-01-26,12.9,13.45,12.76,13.41,812900,13.210348
"17","GTN",2016-01-27,13.4,13.83,13.22,13.3,654800,13.101985
"18","GTN",2016-01-28,13.5,13.5,12.67,12.74,591600,12.550322
"19","GTN",2016-01-29,12.84,13.2,12.83,13.15,855000,12.954218
"20","GTN",2016-02-01,13.03,13.45,12.92,13.28,700800,13.082281
"21","GTN",2016-02-02,13.03,13.17,12.42,12.52,788500,12.333599
"22","GTN",2016-02-03,12.72,12.9,12.24,12.88,623100,12.688238
"23","GTN",2016-02-04,12.91,13.02,11.99,12.17,511400,11.988809
"24","GTN",2016-02-05,12.06,12.4,11.3,11.3,727200,11.131763
"25","GTN",2016-02-08,11.15,11.21,10.59,10.78,842900,10.619504
"26","GTN",2016-02-09,10.59,10.65,10,10.13,1062200,9.979182
"27","GTN",2016-02-10,10.08,10.6,10.06,10.55,890300,10.392928
"28","GTN",2016-02-11,10.3,10.57,9.95,10.09,878900,9.939777
"29","GTN",2016-02-12,10.34,10.62,10.23,10.4,542800,10.245161
"30","GTN",2016-02-16,10.63,11.07,10.59,11.02,705400,10.855931
"31","GTN",2016-02-17,11.18,11.52,11.05,11.17,585300,11.003697
"32","GTN",2016-02-18,11.21,11.21,10.63,10.64,1064600,10.481588
"33","GTN",2016-02-19,10.59,10.86,10.53,10.78,352200,10.619504
"34","GTN",2016-02-22,10.94,11.24,10.93,11.09,895000,10.924889
