"","symbol","date","open","high","low","close","volume","adjusted"
"1","G",2016-01-04,24.68,24.68,23.99,24.200001,875200,23.143723
"2","G",2016-01-05,24.219999,24.67,24.09,24.309999,939600,23.248919
"3","G",2016-01-06,23.98,24.33,23.82,24.07,614900,23.019396
"4","G",2016-01-07,23.549999,24.040001,23.52,23.639999,691000,22.60816
"5","G",2016-01-08,23.67,23.780001,23.4,23.43,866700,22.407328
"6","G",2016-01-11,23.59,23.85,23.42,23.719999,756400,22.684671
"7","G",2016-01-12,23.93,24.049999,23.82,24.02,706600,22.971575
"8","G",2016-01-13,24.09,24.09,23.18,23.299999,635000,22.283001
"9","G",2016-01-14,23.43,23.549999,22.99,23.41,960100,22.388199
"10","G",2016-01-15,22.85,23.549999,22.85,23.42,727000,22.39777
"11","G",2016-01-19,23.6,23.799999,23.42,23.690001,1051400,22.655981
"12","G",2016-01-20,23.379999,23.92,23.17,23.84,1265900,22.799433
"13","G",2016-01-21,23.870001,24.02,23.549999,23.77,1280500,22.732492
"14","G",2016-01-22,24.1,24.110001,23.790001,24.07,1087800,23.019396
"15","G",2016-01-25,24.049999,24.18,23.700001,23.74,834200,22.703798
"16","G",2016-01-26,23.809999,24.26,23.76,24.190001,723800,23.134157
"17","G",2016-01-27,24.15,24.23,23.629999,23.73,864400,22.694237
"18","G",2016-01-28,24,24.030001,23.49,23.559999,617400,22.531654
"19","G",2016-01-29,23.58,24.07,23.549999,23.92,1984800,22.875938
"20","G",2016-02-01,23.809999,24.620001,23.809999,24.5,870800,23.430626
"21","G",2016-02-02,24.309999,24.35,23.93,23.99,580700,22.942884
"22","G",2016-02-03,24.15,24.17,23.67,24,767200,22.952448
"23","G",2016-02-04,23.91,24.040001,23.719999,24.02,661400,22.971575
"24","G",2016-02-05,24.98,25.9,24.92,25.299999,2123700,24.195705
"25","G",2016-02-08,24.74,25.07,24.27,25.01,1036500,23.918367
"26","G",2016-02-09,24.73,25.219999,24.65,25.040001,1225100,23.947058
"27","G",2016-02-10,25.09,25.51,25.02,25.040001,984300,23.947058
"28","G",2016-02-11,24.700001,24.84,24.5,24.709999,857100,23.63146
"29","G",2016-02-12,24.969999,25.02,24.709999,24.809999,1307700,23.727093
"30","G",2016-02-16,24.98,25.440001,24.84,25.27,1679200,24.167015
"31","G",2016-02-17,25.4,25.82,25.15,25.74,1209300,24.616499
"32","G",2016-02-18,25.889999,26.42,25.889999,26.389999,1326700,25.238129
"33","G",2016-02-19,26.299999,26.450001,26.01,26.299999,954100,25.152058
"34","G",2016-02-22,26.5,26.860001,26.200001,26.32,1265000,25.171188
"35","G",2016-02-23,26.32,26.41,25.98,26.030001,1598800,24.893845
"36","G",2016-02-24,25.82,26.1,25.690001,26.07,1148900,24.9321
