"","symbol","date","open","high","low","close","volume","adjusted"
"1","HDB",2016-01-04,30.15,30.200001,29.674999,29.93,1069600,29.096638
"2","HDB",2016-01-05,30.02,30.415001,30.02,30.25,1346800,29.407728
"3","HDB",2016-01-06,30.045,30.43,29.93,30.295,1520600,29.451477
"4","HDB",2016-01-07,29.76,29.950001,29.41,29.43,1056400,28.610559
"5","HDB",2016-01-08,29.75,29.959999,29.200001,29.245001,841400,28.430712
"6","HDB",2016-01-11,29.610001,29.844999,29.34,29.73,723400,28.902208
"7","HDB",2016-01-12,29.725,29.99,29.379999,29.945,2171400,29.111223
"8","HDB",2016-01-13,29.940001,30.25,29.745001,29.795,1132600,28.965399
"9","HDB",2016-01-14,29.815001,29.85,29.115,29.360001,999200,28.542511
"10","HDB",2016-01-15,28.709999,28.995001,28.025,28.120001,1832800,27.337038
"11","HDB",2016-01-19,28.309999,28.459999,28.139999,28.299999,2153000,27.512024
"12","HDB",2016-01-20,27.66,27.735001,27.08,27.285,1765800,26.525286
"13","HDB",2016-01-21,27.385,27.385,26.565001,27.145,2603800,26.389187
"14","HDB",2016-01-22,27.799999,27.799999,27.215,27.424999,1867800,26.661386
"15","HDB",2016-01-25,27.375,28.059999,27.315001,27.754999,1234000,26.982203
"16","HDB",2016-01-26,27.795,28.32,27.674999,28.225,1098800,27.43911
"17","HDB",2016-01-27,28.205,28.975,28.18,28.795,2760200,27.99324
"18","HDB",2016-01-28,28.57,29.084999,28.440001,28.860001,1863000,28.056431
"19","HDB",2016-01-29,29.190001,30.215,29.139999,30.165001,2407400,29.325098
"20","HDB",2016-02-01,29.844999,30.24,29.705,29.965,1330400,29.130665
"21","HDB",2016-02-02,29.405001,29.77,29.280001,29.334999,1716200,28.518206
"22","HDB",2016-02-03,29.299999,29.370001,28.780001,29.1,1589800,28.289751
"23","HDB",2016-02-04,29.225,29.915001,29.01,29.445,865800,28.625143
"24","HDB",2016-02-05,29.469999,29.610001,28.969999,29.09,579600,28.280029
"25","HDB",2016-02-08,28.549999,28.565001,28.035,28.41,1506200,27.618963
"26","HDB",2016-02-09,28.129999,28.610001,28.084999,28.51,1187200,27.716177
"27","HDB",2016-02-10,28.440001,28.795,28.184999,28.530001,1152600,27.735622
"28","HDB",2016-02-11,27.475,27.610001,26.85,26.975,4194400,26.223917
"29","HDB",2016-02-12,27.360001,27.635,26.91,27.615,2454400,26.846096
"30","HDB",2016-02-16,27.940001,28.225,27.235001,27.315001,1743000,26.554453
"31","HDB",2016-02-17,27.469999,28.165001,27.285,27.9,2030600,27.123161
"32","HDB",2016-02-18,27.9,27.965,27.48,27.68,1309400,26.909288
"33","HDB",2016-02-19,27.459999,27.6,27.299999,27.35,1048000,26.588476
"34","HDB",2016-02-22,27.855,27.855,27.32,27.655001,1691600,26.884983
"35","HDB",2016-02-23,27.174999,27.325001,26.379999,26.389999,1894800,25.655205
"36","HDB",2016-02-24,25.865,26.200001,25.555,26.17,2522200,25.441332
"37","HDB",2016-02-25,26.035,26.200001,25.75,25.889999,911800,25.169128
"38","HDB",2016-02-26,26.49,26.785,26.27,26.290001,1177200,25.557993
"39","HDB",2016-02-29,26.875,26.92,26.370001,26.41,1848400,25.674646
"40","HDB",2016-03-01,26.674999,27.950001,26.57,27.85,2922800,27.074556
"41","HDB",2016-03-02,28.125,28.459999,28.035,28.4,1203200,27.609238
"42","HDB",2016-03-03,28.584999,28.605,27.745001,28.305,2264600,27.516886
"43","HDB",2016-03-04,28.389999,28.754999,28.225,28.575001,813800,27.779369
"44","HDB",2016-03-07,28.405001,28.625,28.055,28.389999,471400,27.59952
"45","HDB",2016-03-08,28.27,28.33,27.879999,27.995001,1025800,27.215521
"46","HDB",2016-03-09,28.139999,28.485001,27.955,28.17,1480600,27.385645
"47","HDB",2016-03-10,28.34,28.790001,27.99,28.125,2317000,27.341898
"48","HDB",2016-03-11,28.545,28.77,28.25,28.77,1469800,27.968939
"49","HDB",2016-03-14,28.75,28.75,28.465,28.594999,770600,27.798809
"50","HDB",2016-03-15,28.440001,28.465,28.055,28.209999,1439800,27.42453
"51","HDB",2016-03-16,28.209999,28.889999,28.08,28.860001,1291200,28.056431
"52","HDB",2016-03-17,28.469999,28.99,28.155001,28.915001,1062000,28.109903
"53","HDB",2016-03-18,29.1,29.375,28.775,29.334999,1975600,28.518206
"54","HDB",2016-03-21,29.360001,29.945,29.360001,29.815001,1530800,28.984842
"55","HDB",2016-03-22,29.610001,29.67,29.334999,29.530001,653800,28.707779
"56","HDB",2016-03-23,29.440001,29.455,29.055,29.405001,1089600,28.586256
"57","HDB",2016-03-24,29.25,29.370001,29,29.264999,930600,28.450157
"58","HDB",2016-03-28,29.385,29.415001,29.110001,29.205,552800,28.391827
"59","HDB",2016-03-29,29.18,29.655001,29.155001,29.58,1654000,28.756384
"60","HDB",2016-03-30,29.75,30.549999,29.684999,30.43,2385400,29.582716
"61","HDB",2016-03-31,30.424999,30.975,30.190001,30.815001,2894200,29.957001
"62","HDB",2016-04-01,30.469999,30.83,29.995001,30.764999,1111200,29.90839
"63","HDB",2016-04-04,30.745001,31.135,30.639999,30.75,995800,29.893808
"64","HDB",2016-04-05,30.195,30.67,30.115,30.35,3057000,29.504948
"65","HDB",2016-04-06,30.295,30.4,30.025,30.370001,1054600,29.524387
"66","HDB",2016-04-07,30.08,30.305,30.004999,30.08,1141200,29.242462
"67","HDB",2016-04-08,30.395,30.395,29.965,30.07,1183600,29.23274
"68","HDB",2016-04-11,30.315001,30.555,30.045,30.055,1377400,29.218159
"69","HDB",2016-04-12,30.139999,30.514999,29.9,30.5,1519000,29.650766
"70","HDB",2016-04-13,30.9,31.315001,30.735001,31.125,1246400,30.258368
"71","HDB",2016-04-14,31.129999,31.389999,31.1,31.355,822200,30.481962
"72","HDB",2016-04-15,31.27,31.575001,31.25,31.495001,1114800,30.618067
"73","HDB",2016-04-18,31.285,31.725,30.92,31.625,1049400,30.744446
"74","HDB",2016-04-19,31.684999,31.905001,31.485001,31.700001,949000,30.817358
"75","HDB",2016-04-20,31.67,31.75,31.545,31.684999,667000,30.802773
"76","HDB",2016-04-21,31.74,31.74,31.280001,31.315001,1254400,30.443075
"77","HDB",2016-04-22,31.215,31.67,31.09,31.469999,922400,30.59376
"78","HDB",2016-04-25,31.375,31.395,31.094999,31.334999,612200,30.462519
"79","HDB",2016-04-26,31.674999,31.879999,31.475,31.555,1403600,30.676395
"80","HDB",2016-04-27,31.735001,32,31.709999,31.74,1263400,30.856241
"81","HDB",2016-04-28,31.33,31.615,31.309999,31.415001,1343400,30.540295
"82","HDB",2016-04-29,31.719999,31.790001,31.264999,31.434999,2007200,30.559734
"83","HDB",2016-05-02,31.275,31.809999,31.275,31.535,1040600,30.65695
"84","HDB",2016-05-03,31.370001,31.545,30.969999,31.334999,1261800,30.462519
"85","HDB",2016-05-04,31.205,31.445,31.129999,31.365,1038800,30.491686
"86","HDB",2016-05-05,31.475,31.91,31.355,31.754999,1085800,30.870823
"87","HDB",2016-05-06,31.25,31.825001,31.25,31.75,1010200,30.865965
"88","HDB",2016-05-09,31.905001,32.275002,31.84,32.040001,753600,31.14789
"89","HDB",2016-05-10,32.014999,32.490002,31.950001,32.165001,1289800,31.269409
"90","HDB",2016-05-11,32.165001,32.205002,31.83,32.09,1218200,31.196499
"91","HDB",2016-05-12,32.279999,32.375,32.044998,32.189999,916600,31.293715
"92","HDB",2016-05-13,32.165001,32.215,31.549999,31.610001,705800,30.729864
"93","HDB",2016-05-16,32.200001,32.494999,32.18,32.244999,878400,31.347178
"94","HDB",2016-05-17,32.075001,32.345001,31.635,31.695,1401200,30.812496
"95","HDB",2016-05-18,31.610001,32.240002,31.610001,31.885,2248000,30.997204
"96","HDB",2016-05-19,31.549999,31.635,30.834999,31.09,2363600,30.22434
"97","HDB",2016-05-20,31.275,31.715,31.190001,31.58,779200,30.700699
"98","HDB",2016-05-23,31.49,31.645,31.1,31.605,988800,30.725
"99","HDB",2016-05-24,31.629999,31.945,31.605,31.745001,895200,30.861105
"100","HDB",2016-05-25,32.195,32.490002,32.105,32.264999,1089200,31.366627
"101","HDB",2016-05-26,32.5,32.5,32.115002,32.240002,1821800,31.342321
"102","HDB",2016-05-27,32.41,32.5,32.205002,32.419998,2461000,31.517309
"103","HDB",2016-05-31,32.5,32.5,32.025002,32.18,995600,31.283993
"104","HDB",2016-06-01,32.005001,32.455002,31.705,32.404999,1208200,31.502724
"105","HDB",2016-06-02,32.25,32.790001,32.25,32.790001,1384400,31.877012
"106","HDB",2016-06-03,32.540001,32.73,32.279999,32.665001,800400,31.755487
"107","HDB",2016-06-06,32.630001,32.970001,32.564999,32.779999,655600,31.867289
"108","HDB",2016-06-07,32.875,33.290001,32.75,33.150002,1235600,32.226978
"109","HDB",2016-06-08,32.91,33.264999,32.91,32.985001,1222000,32.066578
"110","HDB",2016-06-09,32.665001,32.830002,32.424999,32.740002,913200,31.8284
"111","HDB",2016-06-10,32.41,32.599998,32.310001,32.314999,1635000,31.41523
"112","HDB",2016-06-13,32.064999,32.16,31.815001,31.865,951200,30.977762
"113","HDB",2016-06-14,31.895,32.23,31.815001,31.870001,785000,30.982622
"114","HDB",2016-06-15,32.325001,32.904999,32.200001,32.77,1394200,31.857563
"115","HDB",2016-06-16,32.240002,32.869999,32.240002,32.75,1415800,31.83812
"116","HDB",2016-06-17,32.785,32.785,32.404999,32.415001,1602000,31.512445
"117","HDB",2016-06-20,32.915001,33.16,32.555,32.939999,2320800,32.022827
"118","HDB",2016-06-21,32.775002,33.174999,32.75,33.064999,1452800,32.144344
"119","HDB",2016-06-22,33.084999,33.279999,32.82,33.07,1286200,32.149212
"120","HDB",2016-06-23,33.494999,33.57,33.23,33.360001,674400,32.431137
"121","HDB",2016-06-24,32.360001,33.064999,32.055,32.880001,1589000,31.9645
"122","HDB",2016-06-27,32.119999,32.334999,31.665001,31.84,1778400,31.153854
"123","HDB",2016-06-28,32.560001,32.560001,32.154999,32.445,1294400,31.745815
"124","HDB",2016-06-29,32.875,33.084999,32.625,32.685001,1359400,31.980648
"125","HDB",2016-06-30,32.790001,33.174999,32.580002,33.174999,1471400,32.460087
"126","HDB",2016-07-01,33.110001,33.389999,32.785,33.290001,1448000,32.572609
"127","HDB",2016-07-05,32.994999,33.205002,32.689999,33.005001,840600,32.293751
"128","HDB",2016-07-06,32.84,32.84,32.560001,32.775002,866200,32.068707
"129","HDB",2016-07-07,32.875,33.349998,32.875,33.084999,1010800,32.372028
"130","HDB",2016-07-08,33.400002,33.790001,33.380001,33.669998,1144600,32.944416
"131","HDB",2016-07-11,33.855,34.110001,33.709999,34.014999,963200,33.281982
"132","HDB",2016-07-12,33.889999,34.174999,33.845001,33.900002,1828400,33.169464
"133","HDB",2016-07-13,33.98,34.02,33.555,33.709999,668400,32.983559
"134","HDB",2016-07-14,34.09,34.220001,34,34.07,527600,33.335796
"135","HDB",2016-07-15,34.57,34.630001,34.174999,34.259998,893600,33.521702
"136","HDB",2016-07-18,34.220001,34.455002,34.139999,34.355,682000,33.614658
"137","HDB",2016-07-19,34.355,34.380001,34.134998,34.310001,701200,33.570625
"138","HDB",2016-07-20,34.48,34.490002,34.330002,34.450001,789000,33.707611
"139","HDB",2016-07-21,34.360001,34.625,34.310001,34.525002,661200,33.780998
"140","HDB",2016-07-22,34.564999,34.73,34.509998,34.715,686400,33.9669
"141","HDB",2016-07-25,34.59,34.845001,34.41,34.490002,935800,33.74675
"142","HDB",2016-07-26,34.360001,34.52,34.279999,34.355,983000,33.614658
"143","HDB",2016-07-27,34.43,34.799999,34.360001,34.584999,1173800,33.839699
"144","HDB",2016-07-28,34.639999,34.830002,34.435001,34.52,1041800,33.7761
"145","HDB",2016-07-29,34.665001,34.994999,34.535,34.634998,959600,33.888622
"146","HDB",2016-08-01,34.650002,34.945,34.575001,34.654999,1159400,33.908192
"147","HDB",2016-08-02,34.915001,34.919998,34.334999,34.645,1516400,33.898407
"148","HDB",2016-08-03,34.59,34.59,34.305,34.540001,944200,33.79567
"149","HDB",2016-08-04,34.59,34.814999,34.509998,34.619999,787200,33.873943
"150","HDB",2016-08-05,34.855,34.985001,34.740002,34.825001,1952400,34.074528
"151","HDB",2016-08-08,34.889999,34.904999,34.740002,34.799999,2071800,34.050064
"152","HDB",2016-08-09,34.849998,34.924999,34.814999,34.860001,1269800,34.108772
"153","HDB",2016-08-10,34.5,34.564999,34.060001,34.285,1645000,33.546165
"154","HDB",2016-08-11,34.235001,34.794998,34.130001,34.724998,1262200,33.976681
"155","HDB",2016-08-12,34.529999,34.959999,34.474998,34.950001,929400,34.196835
"156","HDB",2016-08-15,35,35.369999,34.915001,35.325001,767800,34.563755
"157","HDB",2016-08-16,35.174999,35.509998,35.150002,35.485001,1643200,34.720306
"158","HDB",2016-08-17,35.490002,35.59,35.275002,35.450001,750200,34.686058
"159","HDB",2016-08-18,35.514999,35.869999,35.465,35.599998,1120600,34.832825
"160","HDB",2016-08-19,35.419998,35.485001,35.105,35.41,822600,34.646923
"161","HDB",2016-08-22,35.200001,35.445,35.134998,35.294998,470800,34.534397
"162","HDB",2016-08-23,35.349998,35.514999,35.349998,35.450001,816600,34.686058
"163","HDB",2016-08-24,35.674999,35.825001,35.494999,35.790001,822200,35.01873
"164","HDB",2016-08-25,35.724998,35.77,35.404999,35.77,691400,34.999165
"165","HDB",2016-08-26,35.689999,35.919998,35.455002,35.525002,963600,34.759445
"166","HDB",2016-08-29,35.355,35.599998,35.255001,35.470001,1315000,34.705631
"167","HDB",2016-08-30,35.755001,36.115002,35.755001,35.865002,2019600,35.092117
"168","HDB",2016-08-31,36.080002,36.25,35.825001,35.825001,2348600,35.052979
"169","HDB",2016-09-01,36.029999,36.375,35.924999,36.290001,1873600,35.507961
"170","HDB",2016-09-02,36.610001,36.974998,36.305,36.424999,1870600,35.640045
"171","HDB",2016-09-06,36.740002,37.02,36.505001,37.02,1891400,36.222225
"172","HDB",2016-09-07,36.75,37.009998,36.75,36.93,1379800,36.134163
"173","HDB",2016-09-08,36.779999,36.955002,36.735001,36.775002,1032000,35.982506
"174","HDB",2016-09-09,36.555,36.689999,36.205002,36.205002,1167000,35.424793
"175","HDB",2016-09-12,36.025002,36.34,35.84,36.169998,1347600,35.390541
"176","HDB",2016-09-13,35.865002,35.865002,35.264999,35.404999,1541000,34.642029
"177","HDB",2016-09-14,35.505001,35.93,35.244999,35.325001,1494600,34.563755
"178","HDB",2016-09-15,35.185001,35.689999,35.185001,35.584999,1033400,34.818153
"179","HDB",2016-09-16,36.009998,36.009998,35.505001,35.525002,1398600,34.759445
"180","HDB",2016-09-19,35.689999,35.799999,35.529999,35.790001,1050600,35.01873
"181","HDB",2016-09-20,35.974998,36.005001,35.610001,35.924999,1562400,35.150826
"182","HDB",2016-09-21,36.095001,36.630001,36.035,36.615002,1830800,35.825958
"183","HDB",2016-09-22,36.639999,36.970001,36.415001,36.43,860600,35.644939
"184","HDB",2016-09-23,36.419998,36.575001,36.264999,36.27,1168800,35.488392
"185","HDB",2016-09-26,36.105,36.605,36.049999,36.314999,1221400,35.532417
"186","HDB",2016-09-27,36.419998,36.564999,36.27,36.549999,479000,35.762356
"187","HDB",2016-09-28,36.619999,36.66,35.849998,36.130001,1285800,35.351406
"188","HDB",2016-09-29,35.924999,36.110001,35.52,35.615002,1019400,34.847507
"189","HDB",2016-09-30,35.805,36.09,35.619999,35.945,3255600,35.170395
"190","HDB",2016-10-03,35.990002,36.240002,35.950001,36.189999,866600,35.410114
"191","HDB",2016-10-04,36.365002,36.759998,36.314999,36.57,1357200,35.781925
"192","HDB",2016-10-05,36.560001,36.720001,36.255001,36.345001,462600,35.561771
"193","HDB",2016-10-06,36.16,36.415001,36.044998,36.060001,954400,35.282921
"194","HDB",2016-10-07,36.27,36.27,35.939999,36.185001,394600,35.405224
