"","symbol","date","open","high","low","close","volume","adjusted"
"1","HD",2016-01-04,130.110001,131.070007,129.449997,131.070007,8050900,114.283226
"2","HD",2016-01-05,131.149994,131.940002,130.050003,130.429993,5320900,113.725182
"3","HD",2016-01-06,129,129.899994,128.559998,129.080002,8199600,112.548096
"4","HD",2016-01-07,126.93,127.879997,124.699997,125.400002,12551000,109.339409
"5","HD",2016-01-08,126.440002,126.529999,123.5,123.900002,7104500,108.031525
"6","HD",2016-01-11,124.870003,126.080002,124.089996,125.779999,6811600,109.670731
"7","HD",2016-01-12,126.779999,128.800003,125.830002,127.489998,5695700,111.16172
"8","HD",2016-01-13,127.470001,127.470001,120.970001,121.400002,8932200,105.8517
"9","HD",2016-01-14,121.290001,121.519997,118.199997,119.620003,13389100,104.299675
"10","HD",2016-01-15,117.120003,121.150002,116.099998,119.230003,10515000,103.959633
"11","HD",2016-01-19,120.540001,121.889999,118.800003,119.760002,6350700,104.421768
"12","HD",2016-01-20,117.889999,118.660004,113.589996,116.459999,11331400,101.544388
"13","HD",2016-01-21,117.379997,121.940002,117.139999,120.220001,8993900,104.822823
"14","HD",2016-01-22,121.639999,124.669998,121.580002,122.760002,6554500,107.037521
"15","HD",2016-01-25,123.379997,123.849998,121.559998,121.709999,4854700,106.122017
"16","HD",2016-01-26,121.730003,122.449997,120.639999,122.199997,4475600,106.549263
"17","HD",2016-01-27,122.459999,124.32,120.860001,121.57,5431000,105.999931
"18","HD",2016-01-28,121.970001,122.690002,120.309998,122.279999,4871600,106.619011
"19","HD",2016-01-29,123.169998,125.760002,122.75,125.760002,7616200,109.653297
"20","HD",2016-02-01,124.919998,127.089996,123.989998,126.510002,4674100,110.307243
"21","HD",2016-02-02,125.410004,126.43,124.709999,125.269997,5832200,109.226051
"22","HD",2016-02-03,126.019997,126.160004,121.540001,123.790001,7485700,107.9356
"23","HD",2016-02-04,123.650002,123.900002,119.449997,121.110001,9171800,105.598854
"24","HD",2016-02-05,120.889999,121,115.690002,116.43,8117700,101.518242
"25","HD",2016-02-08,114.93,115.970001,109.620003,111.849998,11286600,97.524811
