"","symbol","date","open","high","low","close","volume","adjusted"
"1","HELE",2016-01-04,92.050003,92.459999,89.480003,89.949997,441900,89.949997
"2","HELE",2016-01-05,89.949997,90.559998,88.449997,88.550003,606900,88.550003
"3","HELE",2016-01-06,87.82,89.580002,86.940002,88.209999,511800,88.209999
"4","HELE",2016-01-07,86.169998,88.739998,86.050003,87.029999,587400,87.029999
"5","HELE",2016-01-08,92.199997,92.809998,84.75,87.379997,1020300,87.379997
"6","HELE",2016-01-11,86.400002,87.940002,82.330002,83.059998,469400,83.059998
"7","HELE",2016-01-12,83.529999,87.559998,82.279999,87.339996,488600,87.339996
"8","HELE",2016-01-13,87.110001,89.230003,86.849998,87.019997,656200,87.019997
"9","HELE",2016-01-14,87.25,89.610001,85.019997,88.279999,445100,88.279999
"10","HELE",2016-01-15,86.139999,88.580002,85.18,87.889999,461800,87.889999
"11","HELE",2016-01-19,87.75,89.269997,87.550003,88.32,444000,88.32
"12","HELE",2016-01-20,87.019997,88.830002,85.580002,87.209999,425300,87.209999
"13","HELE",2016-01-21,87.169998,88.269997,85.050003,85.57,334500,85.57
"14","HELE",2016-01-22,86.610001,88.730003,85.620003,87.209999,237400,87.209999
"15","HELE",2016-01-25,86.860001,87.269997,85.080002,86.010002,283700,86.010002
"16","HELE",2016-01-26,86.599998,88.209999,86.459999,87.589996,220000,87.589996
"17","HELE",2016-01-27,87.529999,87.529999,84.849998,85.440002,372500,85.440002
"18","HELE",2016-01-28,86.209999,86.910004,85.769997,86.309998,208200,86.309998
"19","HELE",2016-01-29,86.160004,89.459999,86.160004,89.370003,308900,89.370003
"20","HELE",2016-02-01,88.910004,90.709999,88.830002,89.93,242000,89.93
"21","HELE",2016-02-02,89.089996,89.269997,87.769997,88.400002,180700,88.400002
"22","HELE",2016-02-03,89.25,89.25,86.260002,87.730003,176600,87.730003
"23","HELE",2016-02-04,87.330002,90.089996,87.220001,89.849998,306700,89.849998
"24","HELE",2016-02-05,89.75,91.190002,88.279999,88.339996,407500,88.339996
"25","HELE",2016-02-08,87.18,87.18,84.269997,86.419998,275100,86.419998
"26","HELE",2016-02-09,85.589996,88.599998,85.589996,86.93,194200,86.93
"27","HELE",2016-02-10,87.559998,88.949997,87.18,87.309998,170800,87.309998
"28","HELE",2016-02-11,86,87.360001,84.900002,86.099998,167200,86.099998
"29","HELE",2016-02-12,87.110001,88.410004,85.57,88.029999,163300,88.029999
"30","HELE",2016-02-16,88.910004,89.940002,87.050003,89.870003,209600,89.870003
"31","HELE",2016-02-17,90.160004,91.540001,89.910004,90.57,172400,90.57
"32","HELE",2016-02-18,90.519997,91.709999,89.209999,91.650002,222500,91.650002
"33","HELE",2016-02-19,91.459999,91.959999,90.370003,91.529999,188400,91.529999
"34","HELE",2016-02-22,92.129997,92.910004,91.18,91.459999,220800,91.459999
"35","HELE",2016-02-23,91.419998,92.580002,89.629997,91.650002,252900,91.650002
"36","HELE",2016-02-24,90.75,94.059998,90.230003,94.019997,323500,94.019997
"37","HELE",2016-02-25,94.029999,95.470001,94.029999,95.400002,157200,95.400002
"38","HELE",2016-02-26,95.760002,96.139999,90.5,95.279999,129800,95.279999
"39","HELE",2016-02-29,95.839996,96.599998,94.43,95.360001,301000,95.360001
"40","HELE",2016-03-01,95.889999,96.379997,94.989998,95.919998,230800,95.919998
"41","HELE",2016-03-02,95.589996,96.150002,93.370003,96.129997,134300,96.129997
"42","HELE",2016-03-03,96.160004,96.779999,95.339996,96.400002,160500,96.400002
"43","HELE",2016-03-04,95.75,98.669998,94.910004,97.980003,248600,97.980003
"44","HELE",2016-03-07,98.160004,102.150002,96.989998,102.099998,291800,102.099998
"45","HELE",2016-03-08,101.650002,103.489998,100.93,101.809998,305800,101.809998
"46","HELE",2016-03-09,102.18,102.529999,100.830002,101.209999,150500,101.209999
"47","HELE",2016-03-10,101.419998,102.32,100.089996,101.400002,127400,101.400002
"48","HELE",2016-03-11,101.900002,103.660004,100.360001,103.470001,174300,103.470001
"49","HELE",2016-03-14,103.18,103.800003,100.110001,103.25,205500,103.25
"50","HELE",2016-03-15,102.559998,103.370003,100.730003,102.639999,143200,102.639999
"51","HELE",2016-03-16,102.029999,103.139999,101.510002,102.459999,203100,102.459999
"52","HELE",2016-03-17,102.269997,102.379997,101.160004,101.93,275900,101.93
"53","HELE",2016-03-18,102.470001,105.139999,100.360001,103.660004,375100,103.660004
"54","HELE",2016-03-21,103.449997,104.080002,101.790001,102.040001,235100,102.040001
"55","HELE",2016-03-22,101.419998,102.339996,100.589996,101.709999,170800,101.709999
"56","HELE",2016-03-23,101.400002,101.940002,100.559998,101.300003,163800,101.300003
"57","HELE",2016-03-24,100.900002,101.870003,100.720001,101.599998,118700,101.599998
"58","HELE",2016-03-28,101.330002,102.809998,101.040001,102.239998,146700,102.239998
"59","HELE",2016-03-29,102.32,105.099998,102.239998,104.82,172800,104.82
"60","HELE",2016-03-30,104.720001,104.849998,102.550003,103.07,149800,103.07
"61","HELE",2016-03-31,102.800003,104.459999,102.269997,103.690002,190900,103.690002
"62","HELE",2016-04-01,102.900002,104.25,102.32,103.93,159900,103.93
"63","HELE",2016-04-04,104.029999,104.470001,102.199997,102.709999,173500,102.709999
"64","HELE",2016-04-05,102.389999,103.82,101.800003,102.589996,191300,102.589996
"65","HELE",2016-04-06,102.529999,104.809998,102.110001,104.080002,206300,104.080002
"66","HELE",2016-04-07,103.790001,103.790001,100.050003,101.360001,264200,101.360001
"67","HELE",2016-04-08,101.82,103.519997,101.290001,102.800003,134400,102.800003
"68","HELE",2016-04-11,103.150002,104.080002,101.510002,101.580002,145600,101.580002
"69","HELE",2016-04-12,101.660004,102.629997,100.93,102.389999,142200,102.389999
"70","HELE",2016-04-13,102.699997,103.75,100.480003,103.75,192700,103.75
"71","HELE",2016-04-14,103.449997,104.510002,102.349998,102.480003,169700,102.480003
"72","HELE",2016-04-15,101.900002,102.849998,100.080002,102.480003,122800,102.480003
"73","HELE",2016-04-18,102.169998,103.699997,101.449997,103.309998,108600,103.309998
"74","HELE",2016-04-19,103.660004,104.610001,103.32,104.220001,139700,104.220001
"75","HELE",2016-04-20,103.870003,103.870003,101.360001,101.900002,202200,101.900002
"76","HELE",2016-04-21,101.599998,102.080002,100.059998,100.220001,134900,100.220001
"77","HELE",2016-04-22,100.099998,101.660004,99.349998,101.440002,152300,101.440002
