"","symbol","date","open","high","low","close","volume","adjusted"
"1","HESM",2017-04-05,25.5,25.98,25.309999,25.6,9768400,17.910101
"2","HESM",2017-04-06,25.620001,26.290001,25.6,26.07,859600,18.23892
"3","HESM",2017-04-07,26.120001,26.43,25.870001,25.889999,357900,18.112986
"4","HESM",2017-04-10,26.01,26.450001,25.65,25.99,786300,18.182951
"5","HESM",2017-04-11,26.07,26.302,25.709999,25.93,185600,18.140972
"6","HESM",2017-04-12,25.809999,26.16,25.809999,25.84,332600,18.078007
"7","HESM",2017-04-13,25.93,26.049999,25.08,25.450001,303700,17.805159
"8","HESM",2017-04-17,25.549999,25.780001,25.209999,25.290001,382600,17.693222
"9","HESM",2017-04-18,25.24,25.969999,25.209999,25.84,181700,18.078007
"10","HESM",2017-04-19,25.940001,26.120001,25.559999,25.75,174000,18.015043
"11","HESM",2017-04-20,25.809999,25.809999,25.23,25.48,30500,17.826149
"12","HESM",2017-04-21,25.51,25.719999,25.26,25.440001,207800,17.798164
"13","HESM",2017-04-24,25.809999,25.9,25.280001,25.43,160400,17.791164
"14","HESM",2017-04-25,25.610001,25.67,25.32,25.5,63300,17.840141
"15","HESM",2017-04-26,25.66,26.200001,25.559999,25.75,179900,18.015043
"16","HESM",2017-04-27,25.66,26.311001,25.370001,25.5,47100,17.840141
"17","HESM",2017-04-28,25.799999,25.799999,25.41,25.58,261600,17.896111
"18","HESM",2017-05-01,25.879999,26.290001,25.709999,26.129999,330500,18.280895
"19","HESM",2017-05-02,25.950001,26.34,25.896,26.27,88700,18.378843
"20","HESM",2017-05-03,26.6,26.780001,25.809999,26.059999,310700,18.231924
"21","HESM",2017-05-04,25.85,26,24.221001,25.139999,267500,17.588282
"22","HESM",2017-05-05,24.959999,25.48,24.545,25.35,477900,17.735199
"23","HESM",2017-05-08,25.200001,25.5,24.535999,25.370001,96200,17.749191
"24","HESM",2017-05-09,25.25,25.25,24.549999,24.870001,103500,17.399384
"25","HESM",2017-05-10,24.879999,25.9,24.76,25.139999,170400,17.588282
"26","HESM",2017-05-11,25.209999,25.5,24.5,25.450001,192300,17.805159
"27","HESM",2017-05-12,25.52,25.549999,24.955,25.549999,257600,17.875118
"28","HESM",2017-05-15,25.790001,25.98,25.52,25.940001,104200,18.147974
"29","HESM",2017-05-16,26.049999,26.049999,25.6,25.700001,60200,17.980064
"30","HESM",2017-05-17,25.540001,26,25.000999,25.440001,28800,17.798164
"31","HESM",2017-05-18,25.32,25.4,24.700001,24.99,728900,17.483337
"32","HESM",2017-05-19,25.209999,25.4,24.733,25.209999,41300,17.637255
"33","HESM",2017-05-22,25.23,25.23,24.76,25.030001,24400,17.511324
"34","HESM",2017-05-23,25.1,25.1,24.67,24.700001,22500,17.280451
"35","HESM",2017-05-24,24.6,25.1,24.257999,24.68,65500,17.266459
"36","HESM",2017-05-25,24.75,24.9,24.17,24.17,72800,16.909653
"37","HESM",2017-05-26,24.200001,24.4,23.5,24.139999,56000,16.888668
"38","HESM",2017-05-30,23.85,24.209999,23.799999,23.870001,83300,16.699768
"39","HESM",2017-05-31,23.85,24.040001,23.059999,23.24,152600,16.259014
"40","HESM",2017-06-01,23.290001,23.424999,23.08,23.18,29100,16.217039
"41","HESM",2017-06-02,23.320999,23.865999,23.139999,23.33,26600,16.321976
"42","HESM",2017-06-05,23.440001,23.455,23.021,23.219999,75900,16.245024
"43","HESM",2017-06-06,23.01,23.690001,23.01,23.09,88400,16.154068
"44","HESM",2017-06-07,23.09,23.190001,21.959999,22.25,145600,15.566399
"45","HESM",2017-06-08,22.360001,23.326,22.209999,22.73,131300,15.90221
"46","HESM",2017-06-09,22.877001,23.01,22.24,22.59,54800,15.804266
"47","HESM",2017-06-12,22.709999,23.030001,22.205,22.9,129500,16.021147
"48","HESM",2017-06-13,22.84,22.84,22,22.4,66900,15.671341
"49","HESM",2017-06-14,22.360001,22.658001,21.65,22.049999,55900,15.426476
"50","HESM",2017-06-15,21.91,21.959999,21.52,21.6,78700,15.111648
"51","HESM",2017-06-16,21.82,21.82,21.25,21.5,57200,15.041688
"52","HESM",2017-06-19,21.530001,21.728001,21.25,21.309999,25200,14.908758
"53","HESM",2017-06-20,21.139999,21.41,18.9,19.57,212000,13.691432
"54","HESM",2017-06-21,19.66,19.66,18.620001,19.09,209600,13.355618
"55","HESM",2017-06-22,19.02,19.68,18.83,19.389999,82100,13.565503
"56","HESM",2017-06-23,19.370001,19.52,18.65,19.42,129400,13.586493
"57","HESM",2017-06-26,19.5,20.129999,18.629999,18.950001,141200,13.257672
"58","HESM",2017-06-27,18.950001,19.389999,18.85,19.01,404700,13.29965
"59","HESM",2017-06-28,19,19.790001,18.914,19.34,96600,13.530522
"60","HESM",2017-06-29,19.27,20.34,18.83,20.16,125200,14.104206
"61","HESM",2017-06-30,20.440001,21.35,20.25,20.370001,107400,14.251124
"62","HESM",2017-07-03,20.52,21.190001,20.52,20.66,12300,14.454009
"63","HESM",2017-07-05,20.5,20.502001,19.943001,20.15,153900,14.097208
"64","HESM",2017-07-06,20.200001,20.65,20.049999,20.209999,45200,14.139187
"65","HESM",2017-07-07,20.700001,20.74,19.549999,20.02,27900,14.006262
"66","HESM",2017-07-10,19.799999,21,19.799999,20.209999,48600,14.139187
"67","HESM",2017-07-11,20.24,20.540001,20.025,20.219999,5700,14.146181
"68","HESM",2017-07-12,20.27,20.889999,19.799999,19.879999,72300,13.908312
"69","HESM",2017-07-13,19.799999,20.08,19.799999,19.99,23600,13.985272
"70","HESM",2017-07-14,19.860001,20.4,19.860001,20.299999,21000,14.20215
"71","HESM",2017-07-17,20.290001,20.59,20.142,20.5,32900,14.342072
"72","HESM",2017-07-18,20.459999,21.41,20.264999,21.4,44200,14.971725
"73","HESM",2017-07-19,21.25,21.879999,21.030001,21.73,77500,15.2026
"74","HESM",2017-07-20,21.700001,22.16,21.450001,21.969999,98100,15.370502
"75","HESM",2017-07-21,21.969999,22.15,21.42,21.73,50400,15.2026
"76","HESM",2017-07-24,21.73,21.959999,20.99,21.950001,6100,15.356516
"77","HESM",2017-07-25,21.950001,22.15,21.17,22,108600,15.391495
"78","HESM",2017-07-26,22.15,22.870001,21.51,21.530001,104400,15.062675
"79","HESM",2017-07-27,21.57,22.41,21.57,21.940001,39300,15.349516
"80","HESM",2017-07-28,21.75,22.200001,21.32,21.530001,62000,15.062675
"81","HESM",2017-07-31,21.709999,22.190001,20.26,21.139999,75100,14.789826
"82","HESM",2017-08-01,21.17,21.4,20.6,20.700001,27400,14.481999
"83","HESM",2017-08-02,20.440001,21.68,20.440001,21.440001,38900,15.197945
"84","HESM",2017-08-03,21.629999,21.780001,20.58,20.809999,47900,14.751361
"85","HESM",2017-08-04,21.030001,21.146,20.17,20.200001,198100,14.31896
"86","HESM",2017-08-07,20.15,20.547001,19.77,19.99,33800,14.170098
"87","HESM",2017-08-08,20.110001,20.851999,19.583,19.620001,35300,13.907819
"88","HESM",2017-08-09,19.48,20.309999,19.48,19.610001,35000,13.900731
"89","HESM",2017-08-10,20.219999,20.219999,18.334999,18.799999,73000,13.326557
"90","HESM",2017-08-11,19.809999,19.875,18.940001,19.209999,117200,13.617187
"91","HESM",2017-08-14,19.299999,19.92,19.200001,19.75,36500,13.999971
"92","HESM",2017-08-15,19.610001,20.42,19.4,19.950001,67300,14.141744
"93","HESM",2017-08-16,19.98,20.42,19.65,19.99,65000,14.170098
"94","HESM",2017-08-17,19.959999,20.389,19.290001,19.639999,42000,13.921997
"95","HESM",2017-08-18,19.700001,20.315001,19.299999,19.67,27100,13.943264
"96","HESM",2017-08-21,19.73,20.200001,19.625,19.9,71900,14.106301
"97","HESM",2017-08-22,19.969999,20.129999,19.4,19.59,50300,13.886554
"98","HESM",2017-08-23,19.52,19.799999,19.15,19.290001,89600,13.673898
"99","HESM",2017-08-24,19.35,20.268,19.26,19.530001,109900,13.84402
"100","HESM",2017-08-25,19.6,20.030001,19.431999,19.780001,48000,14.021239
"101","HESM",2017-08-28,19.780001,20.040001,19.360001,19.6,54800,13.893642
"102","HESM",2017-08-29,19.469999,19.865,19.15,19.690001,30600,13.957441
"103","HESM",2017-08-30,20,21,19.642,20.32,200700,14.404024
"104","HESM",2017-08-31,20.52,21.672001,20.5,21.059999,285700,14.928579
"105","HESM",2017-09-01,21.219999,21.549999,20.400999,21.309999,156800,15.10579
"106","HESM",2017-09-05,21.32,21.622999,20.6,21.1,36800,14.956932
"107","HESM",2017-09-06,21.288,22.360001,21.113001,21.9,301200,15.524018
"108","HESM",2017-09-07,21.940001,22.299999,21.5,22.26,73700,15.77921
"109","HESM",2017-09-08,22.24,22.4,21.370001,22.049999,95800,15.63035
"110","HESM",2017-09-11,22.101,22.346001,21.549999,22.17,134500,15.715412
"111","HESM",2017-09-12,22.040001,22.885,22.040001,22.450001,58500,15.913896
"112","HESM",2017-09-13,22.75,22.75,22.16,22.43,63900,15.899717
"113","HESM",2017-09-14,22.6,22.6,21.76,22.200001,86100,15.736677
"114","HESM",2017-09-15,22.200001,22.889999,21.870001,22.83,49100,16.183256
"115","HESM",2017-09-18,22.99,22.99,21.879999,21.98,27100,15.580729
"116","HESM",2017-09-19,22.190001,22.514999,21.82,22.389999,20500,15.871361
"117","HESM",2017-09-20,22.07,22.809999,22.049,22.26,12700,15.77921
"118","HESM",2017-09-21,22.41,22.52,22.110001,22.27,123800,15.786295
"119","HESM",2017-09-22,22.27,22.77,21.75,21.92,122100,15.538198
"120","HESM",2017-09-25,21.91,22.15,21.25,22,23600,15.594907
"121","HESM",2017-09-26,22.030001,22.34,21.58,22.040001,135000,15.623263
"122","HESM",2017-09-27,22.370001,22.370001,21.51,22.08,94500,15.651616
"123","HESM",2017-09-28,22.25,22.25,21.344999,21.700001,20200,15.382249
"124","HESM",2017-09-29,21.639999,22.575001,21.18,21.969999,39400,15.573638
"125","HESM",2017-10-02,21.93,22.6,21.93,22.34,30600,15.835917
"126","HESM",2017-10-03,22.34,22.76,22.209999,22.559999,235200,15.991864
"127","HESM",2017-10-04,22.5,23.336,22.18,22.4,220800,15.878448
"128","HESM",2017-10-05,22.440001,22.780001,22.02,22.049999,91600,15.63035
"129","HESM",2017-10-06,21.959999,22.450001,21.488001,21.969999,52500,15.573638
"130","HESM",2017-10-09,22.200001,22.25,21.51,21.889999,7400,15.516931
"131","HESM",2017-10-10,22.040001,22.700001,21.49,21.690001,23800,15.375159
"132","HESM",2017-10-11,21.67,22.545,21.35,21.48,77000,15.226301
"133","HESM",2017-10-12,21.33,21.799999,21.292999,21.57,73100,15.290097
"134","HESM",2017-10-13,21.59,21.955,21.059999,21.280001,64900,15.084526
"135","HESM",2017-10-16,21.34,21.57,21.25,21.459999,14300,15.212118
"136","HESM",2017-10-17,21.379,21.858999,20.549999,21.379999,120300,15.155415
"137","HESM",2017-10-18,21.41,21.799999,21,21.18,44000,15.013638
"138","HESM",2017-10-19,21.24,21.34,20.459999,20.92,310100,14.829336
"139","HESM",2017-10-20,20.92,21.504999,20.92,21.469999,66300,15.219209
"140","HESM",2017-10-23,21.51,21.700001,20.745001,21.139999,82600,14.985285
"141","HESM",2017-10-24,21.26,21.707001,20.799999,21.219999,137300,15.041993
"142","HESM",2017-10-25,21.35,21.639999,20.15,20.67,88000,14.652122
"143","HESM",2017-10-26,20.700001,21.139999,20.441,20.68,51100,14.659211
"144","HESM",2017-10-27,20.76,21.4,20.139999,20.379999,77900,14.446551
"145","HESM",2017-10-30,20.360001,21.18,20.049999,20.1,194600,14.248072
"146","HESM",2017-10-31,20.110001,20.33,19.450001,19.860001,201400,14.077944
"147","HESM",2017-11-01,20.08,20.49,19.860001,20.219999,91100,14.333135
"148","HESM",2017-11-02,20,20.309999,19.6,19.879999,23000,14.312254
"149","HESM",2017-11-03,20.059999,20.48,19.84,20.040001,116200,14.427447
"150","HESM",2017-11-06,20.139999,20.799999,19.735001,20.440001,82700,14.715418
"151","HESM",2017-11-07,20.540001,20.700001,20.209999,20.639999,24900,14.859407
"152","HESM",2017-11-08,20.76,20.799999,20,20.219999,48400,14.557035
"153","HESM",2017-11-09,20.32,20.469999,19.77,20.280001,125300,14.600227
"154","HESM",2017-11-10,20.43,20.870001,19.98,20.280001,29200,14.600227
"155","HESM",2017-11-13,20.24,20.525999,19.809999,20.16,73200,14.513839
"156","HESM",2017-11-14,20.200001,20.4,19.934999,20.24,78600,14.571433
"157","HESM",2017-11-15,20.18,20.190001,19.75,19.82,27700,14.269063
"158","HESM",2017-11-16,19.9,20.190001,19.52,19.65,32200,14.146671
"159","HESM",2017-11-17,19.639999,20.08,19.24,19.43,30100,13.988286
"160","HESM",2017-11-20,19.43,19.599001,19.01,19.15,37500,13.786705
"161","HESM",2017-11-21,19.33,19.52,18.84,18.92,29700,13.621122
"162","HESM",2017-11-22,19,19.08,18.799999,18.950001,43800,13.642719
"163","HESM",2017-11-24,18.969999,19.190001,18.629999,18.65,23300,13.426739
"164","HESM",2017-11-27,18.65,19.129999,18.32,18.879999,95900,13.592323
"165","HESM",2017-11-28,18.799999,19.51,18.74,19,107800,13.678714
"166","HESM",2017-11-29,18.98,20.17,18.799999,19.85,494800,14.290659
"167","HESM",2017-11-30,20.01,21.49,19.66,21.139999,194700,15.219372
"168","HESM",2017-12-01,21.24,22.753,20.511,21.5,252400,15.478551
"169","HESM",2017-12-04,21.629999,21.799999,20.65,21.299999,72200,15.334559
"170","HESM",2017-12-05,21.42,21.42,20.120001,20.51,77700,14.765815
"171","HESM",2017-12-06,20.75,20.85,20.139999,20.33,51100,14.636229
"172","HESM",2017-12-07,20.49,20.690001,20.110001,20.25,71800,14.578632
"173","HESM",2017-12-08,20.379999,20.66,19.6,20.16,106400,14.513839
"174","HESM",2017-12-11,20.129999,21.280001,20.129999,21,131500,15.11858
"175","HESM",2017-12-12,21.1,21.252001,20.309999,20.75,365100,14.9386
"176","HESM",2017-12-13,20.709999,21.450001,20.58,21.4,46200,15.406554
"177","HESM",2017-12-14,21.49,21.700001,21.07,21.08,53200,15.176177
"178","HESM",2017-12-15,21.209999,21.5,20.764999,21.290001,147900,15.327361
"179","HESM",2017-12-18,21.42,21.825001,20.735001,21.370001,70900,15.384955
"180","HESM",2017-12-19,21.42,21.620001,20.879999,21.110001,34800,15.197777
"181","HESM",2017-12-20,21.129999,21.129999,20.700001,21,32200,15.11858
"182","HESM",2017-12-21,21,21.530001,20.559999,20.6,124200,14.830611
"183","HESM",2017-12-22,20.77,21.247999,20.23,20.35,78500,14.650624
"184","HESM",2017-12-26,20.379999,20.9,20.299999,20.42,111900,14.701025
"185","HESM",2017-12-27,20.57,20.57,19.76,19.809999,63800,14.261861
"186","HESM",2017-12-28,19.83,20.190001,19.799999,19.85,172300,14.290659
"187","HESM",2017-12-29,19.969999,20.200001,19.809999,19.809999,54700,14.261861
"188","HESM",2018-01-02,20.01,21,19.950001,20.959999,111900,15.089782
"189","HESM",2018-01-03,20.83,21.59,20.826,21.41,123900,15.413754
"190","HESM",2018-01-04,21.459999,21.65,21.158001,21.299999,102500,15.334559
"191","HESM",2018-01-05,21.360001,21.66,20.809999,21.209999,122900,15.269766
"192","HESM",2018-01-08,21.280001,21.65,21.004999,21.43,82300,15.428153
"193","HESM",2018-01-09,21.43,21.607,21.110001,21.139999,149700,15.219372
"194","HESM",2018-01-10,21.17,21.521999,21.01,21.030001,197800,15.140179
"195","HESM",2018-01-11,21.5,21.549999,21.1,21.389999,375700,15.399355
"196","HESM",2018-01-12,21.559999,21.695,21.030001,21.35,374400,15.370561
"197","HESM",2018-01-16,21.549999,22.27,21.450001,21.639999,363700,15.579339
"198","HESM",2018-01-17,21.84,22.106001,21.65,21.700001,155300,15.622536
"199","HESM",2018-01-18,21.690001,21.690001,20.85,21,168000,15.11858
"200","HESM",2018-01-19,21.110001,21.370001,20.84,21.129999,265100,15.212174
"201","HESM",2018-01-22,21.049999,21.459999,21.049999,21.299999,231200,15.334559
"202","HESM",2018-01-23,21.209999,22.4,21.209999,21.75,191100,15.658532
"203","HESM",2018-01-24,21.940001,22,21.610001,21.74,71500,15.651333
"204","HESM",2018-01-25,21.860001,22.132999,21.610001,21.690001,105200,15.615334
"205","HESM",2018-01-26,21.75,22.18,21.75,21.98,159400,15.824116
"206","HESM",2018-01-29,21.91,22.17,21.799999,21.91,121900,15.773722
"207","HESM",2018-01-30,21.860001,22.049999,21.610001,21.76,149500,15.665732
"208","HESM",2018-01-31,21.82,22.17,21.775,21.799999,247800,15.694524
"209","HESM",2018-02-01,21.450001,22.139999,21.450001,21.969999,76000,16.054045
"210","HESM",2018-02-02,21.870001,22.1,21.530001,21.6,101900,15.783676
"211","HESM",2018-02-05,21.469999,21.860001,20.530001,20.709999,116700,15.133329
"212","HESM",2018-02-06,20.85,21.41,20.27,21.27,121800,15.542535
"213","HESM",2018-02-07,21.190001,21.99,20.809999,21.17,109500,15.469463
"214","HESM",2018-02-08,21.209999,21.806999,20.75,20.889999,134900,15.264861
"215","HESM",2018-02-09,21.08,21.08,19.51,19.860001,132200,14.512216
"216","HESM",2018-02-12,20.08,20.32,19.860001,20.15,192500,14.724122
"217","HESM",2018-02-13,20.110001,20.139999,19.68,19.77,205700,14.446447
"218","HESM",2018-02-14,19.73,20.459999,19.73,20.1,176700,14.687587
"219","HESM",2018-02-15,20.32,20.709999,19.889999,20.41,49000,14.914112
"220","HESM",2018-02-16,20.25,20.6,19.809999,19.879999,58800,14.526824
"221","HESM",2018-02-20,19.75,20.18,19.75,19.969999,60400,14.592592
"222","HESM",2018-02-21,19.940001,20.98,19.809999,20.690001,269700,15.118714
"223","HESM",2018-02-22,20.93,21.49,20.309999,20.6,54500,15.052953
"224","HESM",2018-02-23,20.84,21.09,20.4,20.799999,406800,15.199093
"225","HESM",2018-02-26,20.92,20.959999,20.440001,20.709999,26600,15.133329
