"","symbol","date","open","high","low","close","volume","adjusted"
"1","HES",2016-01-04,48.400002,49.849998,47.57,48.18,3273600,43.091805
"2","HES",2016-01-05,47.68,48.119999,46.630001,48.07,3143500,42.993431
"3","HES",2016-01-06,46.68,46.77,44.860001,45.07,7968400,40.310249
"4","HES",2016-01-07,44,45.509998,43.490002,43.619999,4562900,39.013378
"5","HES",2016-01-08,43.93,44.419998,42.860001,43.580002,3851900,38.977608
"6","HES",2016-01-11,43.549999,43.77,41.299999,41.689999,6021500,37.287205
"7","HES",2016-01-12,42.490002,42.82,38.799999,39.599998,6291100,35.417931
"8","HES",2016-01-13,40.189999,41.049999,38.220001,38.59,7043000,34.514591
"9","HES",2016-01-14,38.880001,40.540001,38.470001,39.959999,7968400,35.739899
"10","HES",2016-01-15,38,39.209999,37.709999,38.720001,6923600,34.630863
"11","HES",2016-01-19,38.970001,39.259998,35.720001,36.529999,6149500,32.672138
"12","HES",2016-01-20,35.77,35.77,32.41,35.209999,10518900,31.491537
"13","HES",2016-01-21,35.07,37.950001,35,37.619999,7468600,33.647022
"14","HES",2016-01-22,39.41,39.950001,36.799999,38.330002,7601000,34.282051
"15","HES",2016-01-25,37.16,37.84,34.279999,34.380001,10090500,30.749203
"16","HES",2016-01-26,35.119999,35.98,34.549999,34.810001,8791100,31.13378
"17","HES",2016-01-27,34.970001,39.66,34.02,36.849998,11428700,32.958347
"18","HES",2016-01-28,40.59,41.990002,39.049999,40.34,9889000,36.079769
"19","HES",2016-01-29,40.830002,42.66,40.52,42.5,8134500,38.011658
"20","HES",2016-02-01,41.380001,42.259998,40.799999,41.759998,6180900,37.349812
"21","HES",2016-02-02,40.57,40.57,38.77,39.360001,7280400,35.20327
"22","HES",2016-02-03,40.27,43.02,38.970001,42.990002,10059700,38.449917
"23","HES",2016-02-04,43.380001,45.16,42.529999,43.470001,10121600,38.879223
"24","HES",2016-02-05,38.700001,39.299999,38,38.02,40193500,34.004787
"25","HES",2016-02-08,37.23,39.119999,37,38.990002,14543500,34.87236
"26","HES",2016-02-09,38.279999,39.369999,37.349998,38.700001,8910000,34.612972
"27","HES",2016-02-10,39.220001,40.150002,38.75,39.290001,9993900,35.140656
"28","HES",2016-02-11,38.439999,39.41,36.950001,38.93,9707200,34.818684
"29","HES",2016-02-12,39.279999,40.150002,38.5,40.110001,12408000,35.874069
"30","HES",2016-02-16,41,41.25,39.959999,40.84,6583500,36.526974
"31","HES",2016-02-17,41.57,44.139999,41.43,43.470001,7811600,38.879223
"32","HES",2016-02-18,44,44.200001,41.490002,42.07,7996700,37.627075
"33","HES",2016-02-19,41.540001,42.34,40.25,42.310001,6160300,37.841721
"34","HES",2016-02-22,43.470001,44.59,43.040001,44.580002,5400700,39.871994
"35","HES",2016-02-23,43.66,44.709999,41.610001,41.919998,5151400,37.49292
"36","HES",2016-02-24,40.650002,42.040001,39.98,41.700001,4909000,37.296146
"37","HES",2016-02-25,41.66,42.369999,39.950001,41.580002,4257300,37.188816
"38","HES",2016-02-26,42.689999,43.619999,42.48,43.07,5549300,38.521465
"39","HES",2016-02-29,43.049999,44.009998,42.619999,43.599998,6697300,38.995502
"40","HES",2016-03-01,43.790001,44.709999,42.560001,44.310001,5232300,39.630516
"41","HES",2016-03-02,44.09,46.939999,43.860001,46.919998,5048300,41.96487
"42","HES",2016-03-03,46.599998,48.240002,46.25,48,5752600,42.930817
"43","HES",2016-03-04,49.169998,50.540001,47.610001,48.389999,7051900,43.279636
"44","HES",2016-03-07,48.509998,49.880001,47.959999,49.279999,8473500,44.075638
"45","HES",2016-03-08,48.84,48.959999,46.529999,46.759998,5907300,41.82177
"46","HES",2016-03-09,47.68,48.209999,46.23,47.080002,4652700,42.107971
"47","HES",2016-03-10,47.150002,48.360001,45.990002,48.27,5524200,43.17231
"48","HES",2016-03-11,49.32,51.950001,49.279999,51.259998,7686200,45.846539
"49","HES",2016-03-14,50,50.650002,49.080002,50.200001,4332600,44.898483
"50","HES",2016-03-15,48.82,50.279999,48.169998,50.169998,3496400,45.096233
"51","HES",2016-03-16,50.650002,51.98,49.919998,51.830002,4016900,46.58836
"52","HES",2016-03-17,52.290001,54.18,51.939999,53.189999,5931400,47.810814
"53","HES",2016-03-18,54.5,54.650002,53.02,53.900002,7381900,48.449009
"54","HES",2016-03-21,53.400002,54.509998,52.220001,53.84,4672000,48.395088
"55","HES",2016-03-22,53.66,54.830002,53.450001,53.700001,3329400,48.269238
"56","HES",2016-03-23,53.080002,53.299999,51.450001,51.599998,4246500,46.381618
"57","HES",2016-03-24,50.18,52.27,49.700001,52.099998,4212300,46.831047
"58","HES",2016-03-28,52.490002,52.59,50.23,50.84,3845300,45.698479
"59","HES",2016-03-29,49.650002,50.419998,48.900002,50.400002,4434900,45.302979
"60","HES",2016-03-30,51.599998,52.029999,50.259998,50.970001,3270200,45.815323
"61","HES",2016-03-31,50.73,52.959999,50.52,52.650002,4264400,47.325424
"62","HES",2016-04-01,51.41,52.18,51.119999,52.029999,3415400,46.768131
"63","HES",2016-04-04,52.540001,52.880001,50.470001,50.549999,3484200,45.437809
"64","HES",2016-04-05,49.939999,51.43,49.52,51.259998,3202500,46.076
"65","HES",2016-04-06,51.5,54.439999,51.330002,54,4509800,48.538906
"66","HES",2016-04-07,53.470001,54.27,52,52.900002,3591300,47.550148
"67","HES",2016-04-08,54.639999,55.049999,53.830002,54.48,3419700,48.970356
"68","HES",2016-04-11,55.060001,55.860001,54.650002,54.740002,3872700,49.204071
"69","HES",2016-04-12,55.330002,57.790001,54.790001,57.360001,5369000,51.55909
"70","HES",2016-04-13,57.279999,57.650002,56.130001,56.580002,4069600,50.857983
"71","HES",2016-04-14,56.73,57.880001,56.459999,57.720001,3856400,51.88269
"72","HES",2016-04-15,57.25,57.580002,56.59,57.169998,4578200,51.388313
"73","HES",2016-04-18,55.419998,60.110001,55.299999,59.84,9347800,53.788303
"74","HES",2016-04-19,60.41,61.349998,59.259998,61.169998,4789400,54.983791
"75","HES",2016-04-20,60.470001,62.080002,59.990002,61.18,5894400,54.992771
"76","HES",2016-04-21,61.369999,61.799999,59.959999,60.18,4905000,54.09391
"77","HES",2016-04-22,60.5,63.619999,60.419998,63.380001,5910000,56.970284
"78","HES",2016-04-25,62.740002,63.049999,60.98,61.869999,3854400,55.612995
"79","HES",2016-04-26,62.049999,63.509998,61.869999,63.25,4697600,56.853443
"80","HES",2016-04-27,62,63.759998,60.700001,61.27,8447400,55.073669
"81","HES",2016-04-28,60.439999,61.450001,59.099998,59.18,7033500,53.195038
"82","HES",2016-04-29,59.810001,60.720001,58.029999,59.619999,4629200,53.590538
"83","HES",2016-05-02,59.560001,59.759998,58.240002,58.98,3295100,53.015266
"84","HES",2016-05-03,58.279999,58.82,56.439999,56.75,4137900,51.01078
"85","HES",2016-05-04,57.400002,57.759998,54.75,55.32,3796400,49.725399
"86","HES",2016-05-05,57.209999,57.669998,55.349998,55.880001,3638200,50.22876
"87","HES",2016-05-06,55.060001,56.900002,55.02,56.150002,3585800,50.47147
"88","HES",2016-05-09,55.41,55.889999,53.93,54.470001,3164800,48.961369
"89","HES",2016-05-10,54.950001,57.759998,54.630001,57.709999,4443400,51.873699
