"","symbol","date","open","high","low","close","volume","adjusted"
"1","HE",2016-01-04,29.01,29.17,28.68,28.85,320100,23.367653
"2","HE",2016-01-05,28.85,28.940001,28.459999,28.780001,178800,23.310955
"3","HE",2016-01-06,28.49,28.98,28.469999,28.950001,405500,23.44865
"4","HE",2016-01-07,28.52,28.879999,28.52,28.610001,361700,23.173256
"5","HE",2016-01-08,28.76,28.93,28.620001,28.780001,238100,23.310955
"6","HE",2016-01-11,28.870001,29.040001,28.73,28.9,673900,23.40815
"7","HE",2016-01-12,29,29,28.18,28.450001,398800,23.043665
"8","HE",2016-01-13,28.5,28.58,27.49,27.74,410900,22.468582
"9","HE",2016-01-14,27.799999,28.48,27.6,28.41,441500,23.011267
"10","HE",2016-01-15,27.969999,28.26,27.299999,28,424100,22.67918
"11","HE",2016-01-19,28.08,28.790001,27.959999,28.51,620900,23.092258
"12","HE",2016-01-20,28.25,28.469999,27.530001,28.129999,856000,22.784472
"13","HE",2016-01-21,28.139999,28.299999,27.75,27.9,247600,22.598179
"14","HE",2016-01-22,27.98,28.5,27.85,28.49,206400,23.076059
"15","HE",2016-01-25,28.35,28.43,27.92,27.950001,191700,22.638678
"16","HE",2016-01-26,27.85,28.25,27.709999,27.940001,246100,22.630575
"17","HE",2016-01-27,27.9,28.219999,27.709999,28.02,150900,22.695375
"18","HE",2016-01-28,28.15,28.57,28.040001,28.549999,302400,23.124662
"19","HE",2016-01-29,28.709999,29.959999,28.709999,29.92,591900,24.234316
"20","HE",2016-02-01,29.700001,30.24,29.549999,30.09,313600,24.372015
"21","HE",2016-02-02,29.889999,30.25,29.76,30.15,269400,24.42061
"22","HE",2016-02-03,30.27,30.690001,30.190001,30.6,454300,24.785099
"23","HE",2016-02-04,30.59,30.690001,29.950001,30.1,373000,24.380112
"24","HE",2016-02-05,29.99,30.139999,29.76,29.9,154000,24.218121
"25","HE",2016-02-08,29.780001,30.040001,29.48,29.77,206000,24.112822
"26","HE",2016-02-09,29.58,29.98,29.52,29.68,399900,24.039927
"27","HE",2016-02-10,29.65,29.9,29.209999,29.52,146400,23.910334
"28","HE",2016-02-11,29.450001,29.559999,28.809999,28.85,222400,23.367653
"29","HE",2016-02-12,28.530001,29.68,28.530001,29.6,337200,23.975128
"30","HE",2016-02-16,29.85,29.950001,29.35,29.58,251900,23.958931
"31","HE",2016-02-17,29.700001,29.700001,29.16,29.299999,235200,23.73214
"32","HE",2016-02-18,29,29.68,29,29.559999,242800,24.198753
"33","HE",2016-02-19,29.34,29.92,29.34,29.91,193000,24.485279
"34","HE",2016-02-22,29.93,30.15,29.84,30.07,194900,24.616259
"35","HE",2016-02-23,29.879999,30.24,29.809999,30,127600,24.558956
"36","HE",2016-02-24,29.85,30.139999,29.85,30.1,230000,24.640818
"37","HE",2016-02-25,30.129999,30.33,29.83,29.92,181400,24.493464
"38","HE",2016-02-26,29.91,29.91,29.129999,29.15,209400,23.863117
"39","HE",2016-02-29,29.200001,29.65,29.1,29.360001,422100,24.035028
"40","HE",2016-03-01,29.549999,29.74,29.23,29.52,204400,24.166012
"41","HE",2016-03-02,29.530001,29.68,28.860001,29.67,262900,24.288809
"42","HE",2016-03-03,29.700001,30.25,29.360001,30.110001,247600,24.649004
"43","HE",2016-03-04,30.01,30.700001,29.799999,30.639999,289100,25.08288
"44","HE",2016-03-07,30.57,31,30.370001,30.690001,240700,25.12381
"45","HE",2016-03-08,30.67,30.870001,30.4,30.73,169100,25.156557
"46","HE",2016-03-09,30.85,31.32,30.85,31.18,253200,25.524939
"47","HE",2016-03-10,31.26,31.280001,30.860001,31.139999,156600,25.492199
"48","HE",2016-03-11,31.41,31.459999,31.139999,31.219999,196800,25.557686
"49","HE",2016-03-14,30.77,31.059999,30.700001,30.92,149700,25.312096
"50","HE",2016-03-15,30.75,31.219999,30.66,31.209999,256700,25.549498
"51","HE",2016-03-16,31.08,31.58,30.809999,31.559999,339200,25.836018
"52","HE",2016-03-17,31.48,31.9,31.389999,31.809999,271600,26.040678
"53","HE",2016-03-18,31.6,32.470001,31.26,32.419998,973100,26.540049
"54","HE",2016-03-21,32.279999,32.5,31.790001,32.380001,410900,26.507299
"55","HE",2016-03-22,32.380001,32.52,32.029999,32.299999,363700,26.441809
"56","HE",2016-03-23,32.23,32.34,31.870001,31.889999,290300,26.106169
"57","HE",2016-03-24,31.73,32.380001,31.629999,32.360001,284000,26.490925
"58","HE",2016-03-28,32.360001,32.549999,31.9,32.060001,231100,26.245344
"59","HE",2016-03-29,32.02,32.689999,32.02,32.639999,402400,26.720144
