"","symbol","date","open","high","low","close","volume","adjusted"
"1","HLIO",2016-01-04,31.139999,31.65,30.209999,30.57,88300,29.078957
"2","HLIO",2016-01-05,30.540001,30.540001,29.52,29.67,77000,28.222858
"3","HLIO",2016-01-06,29.35,29.530001,28.799999,28.83,109000,27.423828
"4","HLIO",2016-01-07,28.379999,28.719999,27.42,28,143700,26.634306
"5","HLIO",2016-01-08,27.959999,28.559999,26.889999,26.950001,122300,25.635523
"6","HLIO",2016-01-11,27.01,27.190001,26.76,26.99,151800,25.673573
"7","HLIO",2016-01-12,27.110001,27.280001,26.18,26.6,181300,25.302593
"8","HLIO",2016-01-13,26.709999,26.889999,25.700001,25.92,96800,24.655762
"9","HLIO",2016-01-14,26.15,26.780001,25.809999,26.43,68800,25.140884
"10","HLIO",2016-01-15,25.799999,26.379999,25.66,26.35,66300,25.064791
"11","HLIO",2016-01-19,26.700001,26.85,26.280001,26.559999,125100,25.26454
"12","HLIO",2016-01-20,26.35,27.129999,25.610001,26.809999,229100,25.502348
"13","HLIO",2016-01-21,26.93,26.99,26.23,26.42,81200,25.131376
"14","HLIO",2016-01-22,26.75,26.82,25.52,25.780001,123200,24.522587
"15","HLIO",2016-01-25,25.700001,26.1,24.66,24.700001,68300,23.495266
"16","HLIO",2016-01-26,24.73,25.74,24,25.59,64500,24.341858
"17","HLIO",2016-01-27,25.469999,25.870001,25.1,25.34,62500,24.10405
"18","HLIO",2016-01-28,25.59,27.83,25.17,25.26,148700,24.027954
"19","HLIO",2016-01-29,25.5,26.24,25.34,25.459999,235400,24.218197
"20","HLIO",2016-02-01,25.35,26.09,24.9,25.41,165900,24.170637
"21","HLIO",2016-02-02,25.23,25.639999,24.809999,25.530001,66000,24.284779
"22","HLIO",2016-02-03,25.860001,26.219999,25.24,26,67500,24.731863
"23","HLIO",2016-02-04,25.959999,26.780001,25.42,26.34,47700,25.055271
"24","HLIO",2016-02-05,26.34,26.879999,25.719999,25.799999,88400,24.541613
"25","HLIO",2016-02-08,25.48,27.02,25.4,26.85,75400,25.540396
"26","HLIO",2016-02-09,26.459999,27.27,26.34,26.91,89400,25.597473
