"","symbol","date","open","high","low","close","volume","adjusted"
"1","HLI",2016-01-04,25.950001,25.959999,25.24,25.32,136400,22.056286
"2","HLI",2016-01-05,25.51,25.75,24.290001,24.83,168500,21.629444
"3","HLI",2016-01-06,24.49,24.49,23.629999,23.68,178400,20.627674
"4","HLI",2016-01-07,23.52,24.455,23.01,23.82,320500,20.74963
"5","HLI",2016-01-08,24,24,23.17,23.559999,77800,20.52314
"6","HLI",2016-01-11,23.75,24.280001,23.65,24.200001,66400,21.080648
"7","HLI",2016-01-12,24.67,24.85,23.91,24.610001,262000,21.437801
"8","HLI",2016-01-13,24.610001,25.049999,23.870001,24.15,134700,21.037092
"9","HLI",2016-01-14,24.219999,24.950001,24.09,24.51,154300,21.350697
"10","HLI",2016-01-15,23.940001,24.49,23.530001,24.309999,177600,21.176468
"11","HLI",2016-01-19,24.540001,24.610001,23.32,23.59,229000,20.549278
"12","HLI",2016-01-20,23.25,23.98,22.41,23.68,107500,20.627674
"13","HLI",2016-01-21,23.719999,23.9,23.49,23.58,114700,20.540567
"14","HLI",2016-01-22,23.940001,23.940001,23.6,23.84,94200,20.767054
"15","HLI",2016-01-25,23.76,23.790001,23.51,23.610001,64400,20.5667
"16","HLI",2016-01-26,23.67,23.76,23.129999,23.299999,157000,20.296654
"17","HLI",2016-01-27,22.92,23.299999,22.809999,23.110001,93100,20.131149
"18","HLI",2016-01-28,23.24,23.33,22.59,23.18,88400,20.192129
"19","HLI",2016-01-29,23.27,24.190001,23.27,24.15,122800,21.037092
"20","HLI",2016-02-01,24.1,24.32,23.51,24.25,110000,21.124207
"21","HLI",2016-02-02,23.940001,24.18,23.139999,23.4,139100,20.383764
"22","HLI",2016-02-03,23.5,23.629999,22.406,22.91,125600,19.956928
"23","HLI",2016-02-04,22.969999,23.860001,22.530001,23.629999,110300,20.584127
"24","HLI",2016-02-05,23.6,23.799999,23.200001,23.34,87600,20.331501
"25","HLI",2016-02-08,23.209999,23.889999,22.690001,23.540001,187300,20.505724
"26","HLI",2016-02-09,22.24,25.58,22.24,23.43,374000,20.409899
"27","HLI",2016-02-10,23.48,24.65,23.48,24.35,107800,21.211313
"28","HLI",2016-02-11,23.870001,24.52,23.59,24.030001,88700,20.932562
"29","HLI",2016-02-12,24.24,24.33,23.719999,24.09,49300,20.984833
"30","HLI",2016-02-16,24.309999,24.6,24.1,24.49,67300,21.333273
"31","HLI",2016-02-17,24.620001,24.91,24.08,24.25,129400,21.124207
"32","HLI",2016-02-18,24.23,24.59,23.735001,23.98,78300,20.889004
"33","HLI",2016-02-19,24.040001,24.92,24.004999,24.620001,126300,21.44651
"34","HLI",2016-02-22,24.870001,24.870001,24.379999,24.549999,43400,21.385532
"35","HLI",2016-02-23,24.42,24.6,23.84,24.440001,111700,21.289719
"36","HLI",2016-02-24,24.16,24.59,23.76,24.389999,105300,21.246161
"37","HLI",2016-02-25,24.48,24.629999,23.98,24.5,117200,21.34198
"38","HLI",2016-02-26,24.6,24.99,24.27,24.540001,56100,21.376825
"39","HLI",2016-02-29,24.559999,26.09,24.559999,25.559999,129100,22.26535
"40","HLI",2016-03-01,25.6,25.75,25.27,25.48,295200,22.195658
"41","HLI",2016-03-02,25.309999,25.709999,25.190001,25.549999,57300,22.388435
"42","HLI",2016-03-03,25.450001,25.655001,25.07,25.5,259500,22.344622
"43","HLI",2016-03-04,25.59,25.59,24.790001,24.799999,97100,21.731245
"44","HLI",2016-03-07,24.68,24.889999,23.84,24.030001,138700,21.05652
"45","HLI",2016-03-08,24.219999,24.24,23.389999,23.4,196300,20.504477
"46","HLI",2016-03-09,23.530001,24.709999,23.530001,24.59,80300,21.54723
"47","HLI",2016-03-10,24.74,25.049999,24.42,24.93,92500,21.845154
"48","HLI",2016-03-11,24.98,25.91,24.98,25.690001,106600,22.511114
"49","HLI",2016-03-14,25.629999,25.629999,24.91,25.07,106200,21.967831
"50","HLI",2016-03-15,25.01,25.01,24.110001,24.17,45700,21.179201
"51","HLI",2016-03-16,24.24,24.24,23.549999,23.9,55100,20.942608
"52","HLI",2016-03-17,23.83,25.280001,23.514999,25,78700,21.906494
"53","HLI",2016-03-18,25.16,25.16,24.65,25,281400,21.906494
"54","HLI",2016-03-21,25.15,25.629999,24.93,24.99,89300,21.897734
"55","HLI",2016-03-22,24.809999,25.139999,24.57,25.01,45000,21.915257
"56","HLI",2016-03-23,24.969999,24.969999,24.219999,24.290001,99600,21.284349
"57","HLI",2016-03-24,24.1,24.49,23.559999,24.299999,233900,21.293112
"58","HLI",2016-03-28,24.32,24.459999,23.51,23.76,268200,20.819933
"59","HLI",2016-03-29,23.790001,24.940001,23.530001,24.76,196700,21.69619
"60","HLI",2016-03-30,24.780001,25.049999,24.579,24.9,89200,21.818867
"61","HLI",2016-03-31,24.93,25.09,24.84,24.9,43400,21.818867
"62","HLI",2016-04-01,24.67,24.92,24.469999,24.780001,38500,21.71372
"63","HLI",2016-04-04,24.700001,24.799999,24.42,24.629999,26000,21.582277
"64","HLI",2016-04-05,24.51,24.700001,23.469999,23.68,99100,20.749832
"65","HLI",2016-04-06,23.77,24.65,23.610001,24.459999,56100,21.433313
"66","HLI",2016-04-07,24.530001,24.709999,24.1,24.27,42300,21.266825
"67","HLI",2016-04-08,24.51,24.709999,24.1,24.49,63500,21.459604
"68","HLI",2016-04-11,24.58,24.58,24.040001,24.290001,42800,21.284349
"69","HLI",2016-04-12,24.23,24.92,23.940001,24.120001,38100,21.135386
"70","HLI",2016-04-13,24.17,24.92,24.17,24.799999,46500,21.731245
"71","HLI",2016-04-14,24.870001,25.209999,24.790001,24.889999,24300,21.810104
"72","HLI",2016-04-15,24.790001,25.120001,24.790001,24.879999,20900,21.80134
"73","HLI",2016-04-18,24.690001,25.370001,24.639999,25.209999,37800,22.090509
"74","HLI",2016-04-19,24.860001,25.030001,24.74,24.82,24900,21.748768
"75","HLI",2016-04-20,24.809999,25.25,24.57,25.17,26300,22.055452
"76","HLI",2016-04-21,24.940001,25.33,24.940001,25.23,24900,22.108034
"77","HLI",2016-04-22,25.25,25.42,25,25.25,110600,22.125563
"78","HLI",2016-04-25,25.33,25.540001,24.290001,24.540001,47000,21.503416
"79","HLI",2016-04-26,24.68,25.280001,24.68,25.25,28600,22.125563
"80","HLI",2016-04-27,25.23,25.25,24.860001,25.17,34700,22.055452
"81","HLI",2016-04-28,25.18,25.290001,24.93,24.98,24600,21.888968
