"","symbol","date","open","high","low","close","volume","adjusted"
"1","HLT",2016-01-04,43.502399,43.646042,42.373798,43.27668,3512135,41.674171
"2","HLT",2016-01-05,43.297199,43.8102,42.927841,43.297199,2215351,41.693932
"3","HLT",2016-01-06,42.53796,42.661079,40.711681,41.040001,6963304,39.520313
"4","HLT",2016-01-07,40.260239,40.691158,39.27528,39.500999,13039474,38.038307
"5","HLT",2016-01-08,39.972961,40.629601,39.254761,39.295799,3435916,37.840702
"6","HLT",2016-01-11,39.521519,40.301281,38.987999,39.48048,4270858,38.018543
"7","HLT",2016-01-12,39.870361,40.362839,39.439442,40.137119,3502242,38.650867
"8","HLT",2016-01-13,39.993481,40.198681,37.941479,38.044079,5022417,36.635334
"9","HLT",2016-01-14,37.120682,37.818359,36.135719,37.756802,5821296,36.358692
"10","HLT",2016-01-15,36.54612,36.730801,35.540642,36.423,5868129,35.074284
"11","HLT",2016-01-19,36.771839,36.915482,34.76088,35.520119,3537671,34.204838
"12","HLT",2016-01-20,34.925041,37.038601,33.16032,36.402481,8575390,35.054527
"13","HLT",2016-01-21,36.381962,38.249279,36.340919,37.674721,7649805,36.279655
"14","HLT",2016-01-22,38.290321,38.721241,36.936001,37.49004,4069152,36.101803
"15","HLT",2016-01-25,37.469521,37.715759,35.47908,35.745838,4192008,34.422199
"16","HLT",2016-01-26,36.094681,38.02356,35.868961,37.941479,4570614,36.536533
"17","HLT",2016-01-27,37.613159,37.962002,36.5256,36.771839,3543177,35.410198
"18","HLT",2016-01-28,37.26432,37.28484,35.130241,35.253361,4624415,33.947945
"19","HLT",2016-01-29,35.438042,36.54612,35.232841,36.54612,4175292,35.192844
"20","HLT",2016-02-01,36.464039,37.05912,35.951038,36.85392,2887232,35.48925
"21","HLT",2016-02-02,36.279362,36.279362,35.06868,35.458561,3482310,34.145554
"22","HLT",2016-02-03,35.68428,35.930519,34.042679,35.725319,3050975,34.402439
"23","HLT",2016-02-04,35.37648,37.243801,35.294399,37.120682,3505750,35.746128
"24","HLT",2016-02-05,36.997559,37.16172,35.8074,36.1152,3374805,34.777882
"25","HLT",2016-02-08,35.7048,36.176762,35.048161,35.868961,5068324,34.540764
"26","HLT",2016-02-09,35.7048,37.407959,35.335442,36.197281,3629191,34.856926
"27","HLT",2016-02-10,36.381962,37.654202,36.361439,37.100159,3420322,35.726364
"28","HLT",2016-02-11,36.279362,36.894958,35.971561,36.628201,5605799,35.271885
"29","HLT",2016-02-12,37.141201,38.249279,36.936001,38.044079,4209893,36.635334
"30","HLT",2016-02-16,38.659679,39.234241,37.879921,38.96748,3867398,37.524551
"31","HLT",2016-02-17,39.193199,40.609081,39.193199,40.4244,4682310,38.927509
"32","HLT",2016-02-18,40.280762,40.978439,39.07008,40.239719,4251657,38.749668
"33","HLT",2016-02-19,40.034519,40.937401,39.17268,40.793758,5255507,39.283192
"34","HLT",2016-02-22,41.36832,42.045479,40.1166,40.834801,3418470,39.32272
"35","HLT",2016-02-23,40.732201,41.676121,40.588558,40.793758,2867300,39.283192
"36","HLT",2016-02-24,40.4244,40.916882,39.459961,40.814281,3419055,39.302956
"37","HLT",2016-02-25,40.896358,41.614559,40.362839,41.450401,2662622,39.91552
"38","HLT",2016-02-26,43.605,43.994881,41.553001,42.476398,6245224,40.903515
"39","HLT",2016-02-29,42.476398,42.702122,41.347801,42.64056,5197222,41.061604
"40","HLT",2016-03-01,43.050961,43.399799,42.33276,42.989399,2996735,41.39753
"41","HLT",2016-03-02,43.009918,43.9128,42.989399,43.892281,3146637,42.266991
"42","HLT",2016-03-03,43.8102,44.44632,43.58448,44.302681,2253216,42.662186
"43","HLT",2016-03-04,44.487358,44.938801,44.056438,44.918282,2764181,43.255001
"44","HLT",2016-03-07,44.692558,45.020882,44.138519,44.241119,2571881,42.602901
"45","HLT",2016-03-08,43.871761,43.974361,42.927841,42.96888,2872076,41.377766
"46","HLT",2016-03-09,43.215118,43.317719,42.10704,42.620041,2338548,41.041851
"47","HLT",2016-03-10,42.907318,43.009918,41.26572,42.086521,2573977,40.528088
"48","HLT",2016-03-11,42.661079,43.625519,41.942879,43.625519,2795517,42.010094
"49","HLT",2016-03-14,44.405281,44.589958,43.666561,43.728119,4016472,42.108902
"50","HLT",2016-03-15,43.399799,43.563961,42.927841,43.338242,2036404,41.733456
"51","HLT",2016-03-16,43.050961,43.7076,42.804722,43.563961,3070029,42.090324
"52","HLT",2016-03-17,43.37928,43.646042,42.578999,43.58448,2348051,42.110153
"53","HLT",2016-03-18,43.871761,45.39024,43.871761,45.16452,4138548,43.636734
"54","HLT",2016-03-21,45.39024,46.375198,45.26712,45.985321,4822466,44.429775
"55","HLT",2016-03-22,45.39024,45.90324,45.082439,45.718559,4440984,44.172039
"56","HLT",2016-03-23,45.69804,45.821159,44.75412,45.020882,2723441,43.497955
"57","HLT",2016-03-24,44.815681,45.28764,44.4258,45.28764,3913109,43.755692
"58","HLT",2016-03-28,45.574921,46.087921,44.569439,45.718559,3011452,44.172039
"59","HLT",2016-03-29,45.739079,46.169998,45.36972,46.087921,3021004,44.528904
"60","HLT",2016-03-30,46.457279,46.74456,45.923759,46.64196,3100049,45.064201
"61","HLT",2016-03-31,46.662479,46.97028,46.12896,46.21104,1922125,44.647858
"62","HLT",2016-04-01,45.26712,45.451801,44.076962,45.16452,7315205,43.636734
