"","symbol","date","open","high","low","close","volume","adjusted"
"1","HOG",2016-01-04,44.689999,45.540001,44.200001,45.52,2706000,38.593502
"2","HOG",2016-01-05,45.740002,46.380001,44.970001,45.290001,2392300,38.398499
"3","HOG",2016-01-06,44.630001,44.900002,42.889999,43.400002,5167200,36.796093
"4","HOG",2016-01-07,42.740002,43.889999,42.509998,43.130001,3936000,36.567184
"5","HOG",2016-01-08,43.439999,44.080002,43.099998,43.75,4740200,37.092834
"6","HOG",2016-01-11,43.43,43.849998,41.889999,42.900002,3911300,36.372173
"7","HOG",2016-01-12,43.400002,43.639999,41.849998,42.349998,3639900,35.905869
"8","HOG",2016-01-13,42.5,43.049999,41.709999,41.799999,4958000,35.439548
"9","HOG",2016-01-14,41.75,42.209999,40.900002,41.970001,2480000,35.583691
"10","HOG",2016-01-15,40.75,40.900002,39.380001,40.439999,5218200,34.286491
"11","HOG",2016-01-19,40.939999,41.029999,40.02,40.66,2409900,34.473034
"12","HOG",2016-01-20,39.990002,40.439999,38.880001,39.91,3526100,33.837143
"13","HOG",2016-01-21,40.040001,41.369999,39.59,40.669998,3149100,34.481499
"14","HOG",2016-01-22,41.330002,41.5,40.119999,40.73,3114900,34.532368
"15","HOG",2016-01-25,40.880001,41.43,39.900002,40.09,3119700,33.989758
"16","HOG",2016-01-26,39.57,39.619999,38.139999,38.549999,7167300,32.684082
"17","HOG",2016-01-27,38.509998,39.119999,37.18,37.490002,8610400,31.785381
"18","HOG",2016-01-28,37.490002,41.169998,36.360001,38.919998,10967100,32.997791
"19","HOG",2016-01-29,39.290001,40.360001,38.130001,40,5470200,33.913452
"20","HOG",2016-02-01,39.860001,40.349998,39.119999,40.130001,3583700,34.02367
"21","HOG",2016-02-02,39.77,39.799999,38.669998,39.5,2809700,33.489532
"22","HOG",2016-02-03,39.869999,40.169998,38.740002,39.849998,3530800,33.78627
"23","HOG",2016-02-04,39.91,41.610001,39.880001,41.25,5008500,34.97324
"24","HOG",2016-02-05,41.200001,41.41,40.580002,40.970001,2824600,34.735847
"25","HOG",2016-02-08,40.25,40.720001,38.5,39.299999,3291800,33.319969
"26","HOG",2016-02-09,38.709999,39,37.849998,38.709999,3149700,32.819736
"27","HOG",2016-02-10,39.029999,39.619999,38.799999,38.990002,2235500,33.057137
"28","HOG",2016-02-11,38.360001,38.599998,37.91,38.119999,3768300,32.319511
"29","HOG",2016-02-12,38.110001,38.75,36.970001,38.720001,3337300,33.132431
"30","HOG",2016-02-16,39.32,39.740002,39.09,39.700001,2517000,33.971004
"31","HOG",2016-02-17,40.130001,41.639999,40.130001,41.369999,2622100,35.400013
"32","HOG",2016-02-18,41.599998,41.849998,41.189999,41.610001,2017400,35.605377
"33","HOG",2016-02-19,41.43,42.09,41.299999,42,2506300,35.939091
"34","HOG",2016-02-22,42.560001,43.290001,42.240002,42.959999,2485400,36.760567
"35","HOG",2016-02-23,42.639999,42.830002,41.939999,42.220001,1626700,36.12735
"36","HOG",2016-02-24,41.779999,42.25,40.91,42.139999,1713100,36.058891
"37","HOG",2016-02-25,42.16,43.32,41.77,43.32,1545500,37.068619
"38","HOG",2016-02-26,43.560001,43.91,43.290001,43.380001,1589200,37.119957
"39","HOG",2016-02-29,43.330002,43.650002,42.990002,43.169998,1982800,36.940262
"40","HOG",2016-03-01,43.759998,44.18,43.299999,44.07,1656400,37.710384
"41","HOG",2016-03-02,44.32,45.169998,44.02,44.919998,2359500,38.437714
"42","HOG",2016-03-03,44.970001,46.57,44.689999,46.509998,2105800,39.798271
"43","HOG",2016-03-04,46.310001,47.139999,45.869999,46.759998,2141200,40.012199
"44","HOG",2016-03-07,46.349998,47.619999,46.299999,46.93,2706100,40.157665
"45","HOG",2016-03-08,46.720001,47.23,46.470001,46.860001,3060800,40.097752
"46","HOG",2016-03-09,47.02,48,46.529999,47.540001,2106000,40.679634
"47","HOG",2016-03-10,47.75,47.939999,47.02,47.630001,1593700,40.756657
"48","HOG",2016-03-11,48.009998,49.419998,47.959999,48.93,2365800,41.869053
"49","HOG",2016-03-14,48.889999,48.959999,48.150002,48.389999,1978100,41.406975
"50","HOG",2016-03-15,48.16,48.209999,46.970001,47.349998,2632700,40.517052
"51","HOG",2016-03-16,47.32,48.950001,47.009998,48.560001,3163900,41.552441
"52","HOG",2016-03-17,48.709999,48.959999,47.959999,48.73,3260100,41.697906
"53","HOG",2016-03-18,48.860001,49.830002,48.799999,49.599998,4572000,42.44236
"54","HOG",2016-03-21,49.32,49.990002,49.299999,49.75,1689000,42.570717
"55","HOG",2016-03-22,49.32,49.75,48.75,49.66,1925000,42.493706
"56","HOG",2016-03-23,49.52,49.73,48.290001,48.369999,2042000,41.389858
"57","HOG",2016-03-24,48.040001,48.040001,47.18,47.860001,1938900,40.953449
"58","HOG",2016-03-28,48,48.68,47.860001,48.310001,1525800,41.33852
"59","HOG",2016-03-29,48.07,49.310001,48.060001,49.220001,2084100,42.117195
"60","HOG",2016-03-30,49.5,50.029999,49.080002,49.48,2729500,42.33968
"61","HOG",2016-03-31,49.540001,51.540001,49.400002,51.330002,5289600,43.922718
"62","HOG",2016-04-01,51.139999,51.959999,50.66,51.66,2443000,44.205097
"63","HOG",2016-04-04,51.650002,52,51.169998,51.220001,1702700,43.82859
"64","HOG",2016-04-05,50.650002,51.029999,49.77,49.84,3923600,42.647732
"65","HOG",2016-04-06,47.720001,47.75,45.130001,46.34,10544100,39.652802
"66","HOG",2016-04-07,45.25,46.279999,44.419998,44.5,5682000,38.078323
