"","symbol","date","open","high","low","close","volume","adjusted"
"1","HPP",2016-01-04,27.85,27.85,27,27.17,801900,22.335997
"2","HPP",2016-01-05,27.15,27.48,26.99,27.379999,1369600,22.508636
"3","HPP",2016-01-06,27.129999,27.379999,26.93,27.1,799700,22.27845
"4","HPP",2016-01-07,26.66,26.780001,26.440001,26.469999,784100,21.760534
"5","HPP",2016-01-08,26.51,26.65,25.68,25.719999,1011700,21.143978
"6","HPP",2016-01-11,25.450001,25.82,25.379999,25.5,767900,20.963123
"7","HPP",2016-01-12,25.65,25.65,24.639999,24.889999,1577600,20.461649
"8","HPP",2016-01-13,24.889999,25.280001,24.58,24.73,1010300,20.330112
"9","HPP",2016-01-14,24.799999,24.959999,24.34,24.68,920400,20.289011
"10","HPP",2016-01-15,24.200001,24.76,23.940001,24.139999,786800,19.845081
"11","HPP",2016-01-19,24.32,24.5,24.030001,24.43,1026100,20.083488
"12","HPP",2016-01-20,24.200001,24.309999,22.959999,23.74,1052400,19.516253
"13","HPP",2016-01-21,23.860001,24.290001,23.280001,23.809999,694800,19.573799
"14","HPP",2016-01-22,24.02,24.84,23.879999,24.83,686500,20.412323
"15","HPP",2016-01-25,24.809999,25.059999,24.58,24.700001,857300,20.30545
"16","HPP",2016-01-26,24.709999,25.389999,24.66,25.379999,519100,20.86447
"17","HPP",2016-01-27,25.23,25.469999,24.83,25.26,964300,20.76582
"18","HPP",2016-01-28,25.43,25.700001,24.889999,25.09,689100,20.626062
"19","HPP",2016-01-29,25.26,25.52,24.99,25.41,1068500,20.889126
"20","HPP",2016-02-01,25.15,25.49,24.75,25.110001,822600,20.642506
"21","HPP",2016-02-02,24.93,25.25,24.5,24.85,897300,20.428759
"22","HPP",2016-02-03,24.940001,25.120001,24.559999,24.889999,983600,20.461649
"23","HPP",2016-02-04,24.82,25.040001,24.6,24.93,1479900,20.49453
"24","HPP",2016-02-05,24.809999,24.950001,24.23,24.610001,917800,20.231464
"25","HPP",2016-02-08,24.389999,24.450001,23.459999,23.83,743500,19.59024
"26","HPP",2016-02-09,23.549999,23.74,23.030001,23.049999,763200,18.949013
"27","HPP",2016-02-10,23.129999,24.030001,23.110001,23.690001,692200,19.475149
"28","HPP",2016-02-11,23.34,23.389999,22.93,22.969999,893000,18.883247
"29","HPP",2016-02-12,23.030001,23.24,22.77,23.18,795900,19.055887
"30","HPP",2016-02-16,23.32,23.5,23.190001,23.5,1006200,19.318949
"31","HPP",2016-02-17,23.59,24.110001,23.540001,23.98,977300,19.713551
"32","HPP",2016-02-18,24.059999,24.200001,23.65,24.15,683400,19.853308
"33","HPP",2016-02-19,23.98,24.35,23.280001,24.200001,744900,19.894409
"34","HPP",2016-02-22,24.389999,24.809999,24.379999,24.629999,703700,20.247904
"35","HPP",2016-02-23,24.559999,24.889999,24.5,24.629999,497500,20.247904
"36","HPP",2016-02-24,24.49,24.75,24.26,24.690001,540800,20.297237
"37","HPP",2016-02-25,24.799999,25.190001,24.799999,25.190001,671500,20.708275
"38","HPP",2016-02-26,25.209999,26.15,25.209999,25.85,913900,21.250847
"39","HPP",2016-02-29,25.84,26.07,25.440001,25.5,651400,20.963123
"40","HPP",2016-03-01,25.610001,26.459999,25.49,26.459999,509200,21.752314
"41","HPP",2016-03-02,26.379999,26.780001,26.190001,26.77,534100,22.007166
"42","HPP",2016-03-03,26.83,27.139999,26.799999,27.129999,452100,22.303112
"43","HPP",2016-03-04,27.139999,27.200001,26.809999,26.98,554800,22.179802
"44","HPP",2016-03-07,26.84,27.59,26.83,27.200001,633400,22.360655
"45","HPP",2016-03-08,27.24,27.35,26.559999,26.639999,878200,21.900293
"46","HPP",2016-03-09,26.65,26.98,26.5,26.84,390200,22.064711
"47","HPP",2016-03-10,27.01,27.1,26.309999,26.51,495500,21.793423
"48","HPP",2016-03-11,26.82,27.59,26.67,27.58,1752100,22.673052
"49","HPP",2016-03-14,27.559999,27.639999,26.68,27.51,861200,22.615507
"50","HPP",2016-03-15,27.370001,27.66,27.23,27.66,562700,22.738815
"51","HPP",2016-03-16,27.379999,28.309999,26.950001,28.299999,521700,23.434393
"52","HPP",2016-03-17,28.299999,29.33,28.219999,29.129999,1077000,24.121693
"53","HPP",2016-03-18,29.299999,29.450001,29.030001,29.09,1176400,24.088575
"54","HPP",2016-03-21,28.93,29.33,28.93,29.24,1064300,24.212782
"55","HPP",2016-03-22,29.09,29.469999,28.98,29.280001,652000,24.245903
"56","HPP",2016-03-23,29.24,29.27,28.51,28.51,676600,23.608292
"57","HPP",2016-03-24,28.469999,28.690001,28.18,28.65,864200,23.724222
"58","HPP",2016-03-28,28.43,28.66,28.129999,28.57,1329600,23.657974
"59","HPP",2016-03-29,28.549999,29.459999,28.360001,29.35,1390600,24.303871
"60","HPP",2016-03-30,29.530001,29.6,29.049999,29.049999,438700,24.055449
"61","HPP",2016-03-31,28.99,29.139999,28.83,28.92,1358800,23.947798
"62","HPP",2016-04-01,28.74,29,28.66,28.879999,1155400,23.91468
"63","HPP",2016-04-04,28.85,29.049999,28.74,28.959999,634300,23.980919
