"","symbol","date","open","high","low","close","volume","adjusted"
"1","HQL",2016-01-04,23.08,23.209999,22.870001,23.02,66800,13.495245
"2","HQL",2016-01-05,23.27,23.5,23.120001,23.219999,79700,13.612491
"3","HQL",2016-01-06,22.93,22.98,22.59,22.59,55900,13.243159
"4","HQL",2016-01-07,22.040001,22.18,21.48,21.48,97500,12.592433
"5","HQL",2016-01-08,21.870001,22.01,21.370001,21.440001,127000,12.568985
"6","HQL",2016-01-11,21.690001,21.75,19.879999,20.16,188700,11.818597
"7","HQL",2016-01-12,20.360001,20.82,19.870001,20.32,145000,11.912395
"8","HQL",2016-01-13,20.51,20.6,18.940001,19.08,117000,11.185456
"9","HQL",2016-01-14,19.120001,19.99,18.450001,19.690001,180200,11.543066
"10","HQL",2016-01-15,19.059999,19.25,18.84,19.07,118100,11.179595
"11","HQL",2016-01-19,19.42,19.42,18.18,18.389999,129700,10.780951
"12","HQL",2016-01-20,18,18.85,17.07,18.66,282700,10.939239
"13","HQL",2016-01-21,18.75,19.049999,18.48,18.6,100400,10.904062
"14","HQL",2016-01-22,18.84,19.68,18.84,19.549999,76300,11.46099
"15","HQL",2016-01-25,19.549999,19.73,19.23,19.26,64300,11.290981
"16","HQL",2016-01-26,19.24,19.26,18.879999,19.1,49400,11.197185
"17","HQL",2016-01-27,19.200001,19.209999,18.48,18.690001,57400,10.956824
"18","HQL",2016-01-28,18.879999,18.879999,17.780001,18.030001,72900,10.569906
"19","HQL",2016-01-29,17.969999,18.24,17.809999,18.16,79500,10.646116
"20","HQL",2016-02-01,17.99,18.24,17.790001,18.139999,77000,10.634393
"21","HQL",2016-02-02,17.969999,18,17.52,17.58,107200,10.306097
"22","HQL",2016-02-03,17.59,17.68,17.059999,17.639999,94100,10.341273
"23","HQL",2016-02-04,17.690001,18.17,17.51,17.76,66700,10.411623
"24","HQL",2016-02-05,17.75,17.77,17.23,17.440001,86800,10.224026
"25","HQL",2016-02-08,17.190001,17.190001,16.309999,16.450001,190700,9.643647
"26","HQL",2016-02-09,16,16.65,15.83,16.219999,79700,9.508812
"27","HQL",2016-02-10,16.27,16.75,16.24,16.35,108700,9.585023
"28","HQL",2016-02-11,16.09,16.15,15.82,15.91,82100,9.327076
"29","HQL",2016-02-12,16.049999,16.4,15.91,16.360001,83500,9.590886
