"","symbol","date","open","high","low","close","volume","adjusted"
"1","HQY",2016-01-04,24.76,25.120001,24.059999,24.969999,385200,24.969999
"2","HQY",2016-01-05,24.98,24.98,23.959999,23.969999,244500,23.969999
"3","HQY",2016-01-06,23.65,23.841,22.93,23.32,350500,23.32
"4","HQY",2016-01-07,22.889999,22.955,22.379999,22.450001,477900,22.450001
"5","HQY",2016-01-08,22.5,22.799999,22.1,22.540001,758200,22.540001
"6","HQY",2016-01-11,22.6,22.886999,22.33,22.719999,525000,22.719999
"7","HQY",2016-01-12,22.889999,23.059999,22.469999,22.799999,563400,22.799999
"8","HQY",2016-01-13,22.889999,23.26,21.93,22.26,415000,22.26
"9","HQY",2016-01-14,22.280001,23.209999,22.1,22.76,680300,22.76
"10","HQY",2016-01-15,22.219999,22.76,21.950001,22.629999,389900,22.629999
"11","HQY",2016-01-19,22.809999,23.013,22.129999,22.309999,426500,22.309999
"12","HQY",2016-01-20,22.030001,22.48,19.77,21.950001,477600,21.950001
"13","HQY",2016-01-21,22.040001,22.41,21.67,22.07,305900,22.07
"14","HQY",2016-01-22,22.379999,22.83,22.09,22.67,216700,22.67
"15","HQY",2016-01-25,22.5,22.700001,22.392,22.49,308300,22.49
"16","HQY",2016-01-26,22.67,22.9,22.42,22.549999,297200,22.549999
"17","HQY",2016-01-27,22.52,22.860001,22.01,22.059999,372300,22.059999
"18","HQY",2016-01-28,22.24,22.33,20.790001,21,399400,21
"19","HQY",2016-01-29,21.030001,21.65,21.030001,21.549999,387700,21.549999
"20","HQY",2016-02-01,21.440001,21.719999,21.09,21.27,287000,21.27
"21","HQY",2016-02-02,21.059999,21.087,20.27,20.860001,538600,20.860001
"22","HQY",2016-02-03,20.969999,21.25,18.76,19.07,988800,19.07
"23","HQY",2016-02-04,18.99,19.049999,18.07,18.200001,353500,18.200001
"24","HQY",2016-02-05,18.17,18.190001,15.8,15.87,768000,15.87
"25","HQY",2016-02-08,16.01,18.120001,15.91,17.59,982200,17.59
"26","HQY",2016-02-09,17.639999,18.030001,16.74,16.799999,537500,16.799999
"27","HQY",2016-02-10,16.950001,17.940001,16.799999,17.67,478900,17.67
"28","HQY",2016-02-11,17.32,17.459999,16.150999,17.290001,296500,17.290001
"29","HQY",2016-02-12,17.540001,17.620001,16.9,17.610001,276700,17.610001
"30","HQY",2016-02-16,17.76,18.17,17.440001,18.049999,300300,18.049999
"31","HQY",2016-02-17,18.120001,19.309999,18.08,19.01,660000,19.01
"32","HQY",2016-02-18,19.02,19.57,19.02,19.27,491800,19.27
"33","HQY",2016-02-19,19.190001,19.51,19.040001,19.370001,334800,19.370001
