"","symbol","date","open","high","low","close","volume","adjusted"
"1","HRB",2016-01-04,32.73,32.98,32.34,32.950001,3115500,25.380377
"2","HRB",2016-01-05,33.029999,33.369999,32.709999,33.25,3545700,25.611454
"3","HRB",2016-01-06,32.82,33.200001,32.709999,33.009998,2956800,25.426592
"4","HRB",2016-01-07,32.490002,32.990002,32.360001,32.720001,3420600,25.203217
"5","HRB",2016-01-08,32.889999,33,32.150002,32.290001,2720900,24.871998
"6","HRB",2016-01-11,32.380001,32.529999,32.07,32.389999,1666500,24.949028
"7","HRB",2016-01-12,32.630001,32.630001,31.91,32.32,1849500,24.895103
"8","HRB",2016-01-13,32.509998,33.009998,31.5,31.549999,3119300,24.302
"9","HRB",2016-01-14,31.59,32.490002,31.49,32.330002,2385200,24.902811
"10","HRB",2016-01-15,31.65,31.98,31.51,31.870001,3027100,24.548489
"11","HRB",2016-01-19,32.119999,32.419998,31.65,31.92,2305100,24.587
"12","HRB",2016-01-20,31.49,32.32,31,32.130001,3174800,24.748758
"13","HRB",2016-01-21,32.240002,32.650002,31.969999,32.259998,2138800,24.848886
"14","HRB",2016-01-22,32.709999,32.779999,32.32,32.689999,1956900,25.180103
"15","HRB",2016-01-25,32.66,32.740002,32.34,32.470001,2315300,25.010653
"16","HRB",2016-01-26,32.700001,32.91,32.389999,32.830002,1802100,25.287943
"17","HRB",2016-01-27,32.849998,33.189999,32.5,32.73,2225500,25.210918
"18","HRB",2016-01-28,33.110001,33.110001,32.630001,32.990002,1703600,25.41119
"19","HRB",2016-01-29,33.029999,34.07,32.919998,34.049999,2738100,26.227673
"20","HRB",2016-02-01,33.799999,34.57,33.700001,34.470001,2292000,26.551189
"21","HRB",2016-02-02,34.119999,34.419998,33.889999,34.049999,1704600,26.227673
"22","HRB",2016-02-03,34.25,34.34,33.700001,34.07,2316600,26.243076
"23","HRB",2016-02-04,33.990002,34.650002,33.82,34.619999,2062800,26.666725
"24","HRB",2016-02-05,34.619999,35.080002,34.57,34.98,3906800,26.944025
"25","HRB",2016-02-08,34.630001,34.880001,34.080002,34.5,3604900,26.574299
"26","HRB",2016-02-09,34.200001,34.689999,33.91,34.18,2838900,26.327808
"27","HRB",2016-02-10,34.52,34.759998,33.970001,34.02,2423700,26.204569
"28","HRB",2016-02-11,33.52,33.66,32.77,33.16,3369000,25.542131
"29","HRB",2016-02-12,33.450001,33.849998,33.200001,33.720001,2510400,25.973484
"30","HRB",2016-02-16,34,34.68,33.610001,34.59,3546800,26.643623
"31","HRB",2016-02-17,34.919998,35.139999,34.630001,34.68,2534200,26.712936
"32","HRB",2016-02-18,34.619999,34.779999,34.18,34.200001,1881900,26.343216
"33","HRB",2016-02-19,34.25,34.25,33.700001,33.959999,1835100,26.158348
"34","HRB",2016-02-22,34.349998,34.669998,33.84,34.029999,2126600,26.212261
