"","symbol","date","open","high","low","close","volume","adjusted"
"1","HRI",2016-01-04,41.91,42.900002,41.43,42.029999,2468167,41.757206
"2","HRI",2016-01-05,42.209999,42.450001,41.459999,42.119999,1226067,41.846626
"3","HRI",2016-01-06,41.34,41.400002,38.880001,39.419998,2647100,39.164146
"4","HRI",2016-01-07,38.25,39.630001,37.23,37.59,2515600,37.346027
"5","HRI",2016-01-08,38.16,38.34,35.43,35.549999,3181100,35.319263
"6","HRI",2016-01-11,36.09,36.119999,34.110001,34.619999,2798300,34.395302
"7","HRI",2016-01-12,35.130001,35.790001,32.91,33.540001,3297000,33.322311
"8","HRI",2016-01-13,33.959999,34.380001,30.870001,31.32,4186700,31.11672
"9","HRI",2016-01-14,31.32,31.379999,28.530001,30.75,6351600,30.550421
"10","HRI",2016-01-15,29.459999,30.09,28.08,29.16,3766700,28.970739
"11","HRI",2016-01-19,29.549999,30.15,27.27,27.57,5128400,27.39106
"12","HRI",2016-01-20,26.73,27.959999,24.809999,27.42,4314000,27.242033
"13","HRI",2016-01-21,27.360001,28.950001,27,28.17,2228300,27.987165
"14","HRI",2016-01-22,28.950001,30.15,28.5,29.25,3326933,29.060156
"15","HRI",2016-01-25,28.98,29.219999,27.870001,27.99,2086667,27.808334
"16","HRI",2016-01-26,28.200001,30.690001,28.110001,30.66,3609233,30.461004
"17","HRI",2016-01-27,30.299999,31.110001,28.709999,29.07,2492367,28.881323
"18","HRI",2016-01-28,28.889999,29.639999,26.76,28.110001,2982900,27.927555
"19","HRI",2016-01-29,28.290001,28.59,26.459999,27.24,13388900,27.063202
"20","HRI",2016-02-01,27,28.139999,26.49,27.540001,4312100,27.361256
"21","HRI",2016-02-02,27,27.18,24.209999,24.51,3600500,24.35092
"22","HRI",2016-02-03,24.780001,25.559999,23.309999,25.35,3569067,25.185469
"23","HRI",2016-02-04,25.17,26.549999,25.17,25.889999,3651300,25.721962
"24","HRI",2016-02-05,25.65,25.950001,24.780001,24.99,3202233,24.827805
"25","HRI",2016-02-08,24.48,24.51,21.719999,22.559999,3286100,22.413576
"26","HRI",2016-02-09,22.290001,23.459999,21.51,22.23,2628700,22.085718
"27","HRI",2016-02-10,22.200001,23.700001,22.17,22.59,1982900,22.443382
"28","HRI",2016-02-11,21.9,22.440001,20.85,21.299999,2336200,21.161753
"29","HRI",2016-02-12,21.66,23.16,21.33,22.469999,2688100,22.32416
"30","HRI",2016-02-16,22.68,24.719999,21.9,24.389999,3868767,24.231697
"31","HRI",2016-02-17,24.66,26.639999,24.48,25.469999,4190133,25.304688
"32","HRI",2016-02-18,25.5,25.92,23.969999,25.68,2812700,25.513327
"33","HRI",2016-02-19,25.26,25.530001,24.299999,24.9,4236433,24.73839
"34","HRI",2016-02-22,25.200001,27,25.200001,26.49,2876967,26.318069
"35","HRI",2016-02-23,26.4,26.879999,25.32,25.92,1908367,25.751768
"36","HRI",2016-02-24,24.33,24.33,21.18,22.41,6340433,22.264549
"37","HRI",2016-02-25,22.889999,23.549999,22.379999,23.25,2396600,23.099098
"38","HRI",2016-02-26,23.52,25.26,23.4,24.809999,3196200,24.648972
"39","HRI",2016-02-29,24.719999,26.07,24.629999,25.5,3892033,25.334496
"40","HRI",2016-03-01,26.58,29.25,26.459999,28.620001,5809667,28.434246
"41","HRI",2016-03-02,28.469999,30.059999,27.6,29.790001,3910233,29.596653
"42","HRI",2016-03-03,29.58,30.75,29.25,30.030001,4738067,29.835093
"43","HRI",2016-03-04,30.42,32.009998,30.120001,31.41,3348800,31.206137
"44","HRI",2016-03-07,30.99,32.459999,30.75,32.099998,3594100,31.891659
