"","symbol","date","open","high","low","close","volume","adjusted"
"1","HRL",2016-01-04,39.125,39.165001,38.790001,39.110001,3086000,34.591991
"2","HRL",2016-01-05,39.275002,39.945,39.099998,39.904999,3858400,35.295143
"3","HRL",2016-01-06,39.505001,40.275002,39.224998,40.040001,5574800,35.414558
"4","HRL",2016-01-07,39.555,39.700001,38.895,39.314999,4977400,34.773312
"5","HRL",2016-01-08,39.474998,39.915001,39.009998,39.084999,2862200,34.56987
"6","HRL",2016-01-11,39.224998,39.279999,38.525002,39.02,3741400,34.512386
"7","HRL",2016-01-12,39.380001,39.869999,39.209999,39.755001,2729200,35.162468
"8","HRL",2016-01-13,39.814999,40.125,39.145,39.220001,2457200,34.689281
"9","HRL",2016-01-14,39.235001,39.665001,39.07,39.419998,2279400,34.99556
"10","HRL",2016-01-15,38.945,38.98,37.75,38.060001,5302000,33.7882
"11","HRL",2016-01-19,38.605,38.884998,38.130001,38.450001,4525600,34.134426
"12","HRL",2016-01-20,38.110001,38.305,36.869999,37.779999,4956600,33.539627
"13","HRL",2016-01-21,37.900002,38.18,36.974998,37.240002,3902000,33.060238
"14","HRL",2016-01-22,37.634998,38.060001,37.445,37.990002,2442200,33.726063
"15","HRL",2016-01-25,38,38.235001,37.68,37.759998,3080000,33.521862
"16","HRL",2016-01-26,37.830002,38.73,37.759998,38.415001,2476000,34.103355
"17","HRL",2016-01-27,38.415001,38.825001,38.139999,38.305,2320400,34.005699
"18","HRL",2016-01-28,38.455002,39.5,38.404999,39.165001,3832800,34.769188
"19","HRL",2016-01-29,39.419998,40.264999,39.349998,40.205002,5641200,35.692455
"20","HRL",2016-02-01,40.290001,41.18,40.09,41.009998,4003800,36.407089
"21","HRL",2016-02-02,40.935001,40.935001,40.5,40.665001,4651400,36.100819
"22","HRL",2016-02-03,41.27,41.310001,39.810001,39.959999,4296600,35.474953
"23","HRL",2016-02-04,39.900002,39.900002,39.115002,39.215,3218400,34.81356
"24","HRL",2016-02-05,39.349998,39.900002,39.064999,39.470001,3932600,35.039948
"25","HRL",2016-02-08,39.445,40.869999,39.255001,40.700001,4050000,36.131889
"26","HRL",2016-02-09,40.445,41.540001,40.345001,41.43,4434200,36.779957
"27","HRL",2016-02-10,41.41,42.099998,41.299999,41.669998,2580500,36.993019
"28","HRL",2016-02-11,41.43,41.93,40.669998,41.689999,3423600,37.010773
"29","HRL",2016-02-12,41.810001,42.200001,41.099998,41.5,3707000,36.842106
