"","symbol","date","open","high","low","close","volume","adjusted"
"1","HST",2016-01-04,15.08,15.27,14.9,15.16,7723800,12.323871
"2","HST",2016-01-05,15.21,15.41,15.03,15.39,8954100,12.510844
"3","HST",2016-01-06,15.16,15.22,14.92,15.07,8897400,12.250708
"4","HST",2016-01-07,14.9,15.1,14.53,14.55,7847800,11.82799
"5","HST",2016-01-08,14.56,14.78,14.49,14.51,6623100,11.795472
"6","HST",2016-01-11,14.47,14.84,14.45,14.75,10259600,11.990573
"7","HST",2016-01-12,14.92,15,14.23,14.33,13354100,11.649148
"8","HST",2016-01-13,14.34,14.36,13.38,13.46,13945600,10.941908
"9","HST",2016-01-14,13.53,13.88,13.17,13.78,12012000,11.202042
"10","HST",2016-01-15,13.36,13.45,12.86,13.16,10937000,10.69803
"11","HST",2016-01-19,13.28,13.5,12.8,12.82,10988900,10.421638
"12","HST",2016-01-20,12.63,13,12.17,12.83,12428500,10.429767
"13","HST",2016-01-21,12.92,13.89,12.79,13.5,14843300,10.974423
"14","HST",2016-01-22,13.75,14.31,13.58,13.8,19432100,11.218301
"15","HST",2016-01-25,13.81,13.93,13.49,13.57,9534200,11.031326
"16","HST",2016-01-26,13.63,14.12,13.59,13.87,13113600,11.275204
"17","HST",2016-01-27,13.81,14.09,13.4,13.55,7579700,11.01507
"18","HST",2016-01-28,13.73,13.82,13.11,13.19,11083800,10.722419
"19","HST",2016-01-29,13.39,14.08,13.27,13.85,15907600,11.258945
"20","HST",2016-02-01,13.72,13.88,13.55,13.71,6979300,11.145136
"21","HST",2016-02-02,13.53,13.53,13.02,13.23,9583400,10.754933
"22","HST",2016-02-03,13.33,13.68,12.98,13.64,10255600,11.088233
"23","HST",2016-02-04,13.59,14.29,13.54,14.2,13723700,11.543467
"24","HST",2016-02-05,14.12,14.54,13.91,14.15,11994700,11.502821
"25","HST",2016-02-08,14.04,14.05,13.41,13.76,12926600,11.185784
"26","HST",2016-02-09,13.56,14.34,13.56,13.85,11314200,11.258945
"27","HST",2016-02-10,13.9,14.54,13.87,14.08,8472800,11.445916
"28","HST",2016-02-11,13.83,14.04,13.66,13.88,9800400,11.283333
"29","HST",2016-02-12,14.07,14.48,13.98,14.42,9798500,11.72231
"30","HST",2016-02-16,14.64,14.89,14.53,14.84,13978600,12.063737
"31","HST",2016-02-17,15.57,16,14.6,14.97,20458200,12.169416
"32","HST",2016-02-18,15.04,15.52,14.89,15.32,9495700,12.453938
"33","HST",2016-02-19,15.17,15.27,14.89,15.06,8193100,12.242579
"34","HST",2016-02-22,15.21,15.59,15.14,15.32,8763800,12.453938
"35","HST",2016-02-23,15.23,15.46,14.93,14.96,7504700,12.161286
"36","HST",2016-02-24,14.86,15.12,14.64,15.05,7536800,12.23445
"37","HST",2016-02-25,15.14,15.51,14.99,15.51,7223100,12.608394
"38","HST",2016-02-26,15.54,15.74,15.34,15.39,9182900,12.510844
"39","HST",2016-02-29,15.42,15.54,15.24,15.31,8786800,12.44581
"40","HST",2016-03-01,15.48,15.88,15.46,15.85,9658500,12.884786
"41","HST",2016-03-02,15.82,16,15.78,15.95,8003400,12.966078
"42","HST",2016-03-03,15.99,16.23,15.95,16.110001,11328900,13.096146
"43","HST",2016-03-04,16.18,16.58,16.129999,16.49,7293200,13.405055
"44","HST",2016-03-07,16.389999,16.85,16.299999,16.84,9775700,13.689578
"45","HST",2016-03-08,16.73,16.84,16.219999,16.27,10673800,13.226213
"46","HST",2016-03-09,16.32,16.370001,15.99,16.17,9644100,13.144921
"47","HST",2016-03-10,16.32,16.5,15.73,16.049999,10007500,13.047368
"48","HST",2016-03-11,16.290001,16.67,16.17,16.629999,9953200,13.518862
"49","HST",2016-03-14,16.799999,17.17,16.65,16.870001,15992700,13.713964
"50","HST",2016-03-15,16.65,16.73,16.370001,16.559999,7031800,13.461959
"51","HST",2016-03-16,16.450001,16.969999,16.450001,16.91,9350400,13.74648
"52","HST",2016-03-17,16.98,16.98,16.120001,16.75,14295600,13.616415
"53","HST",2016-03-18,16.809999,17.08,16.76,16.969999,19795700,13.795258
"54","HST",2016-03-21,16.99,17.26,16.67,16.82,8196800,13.673319
"55","HST",2016-03-22,16.73,16.77,16.34,16.48,11057200,13.396925
"56","HST",2016-03-23,16.48,16.51,16.01,16.18,11951700,13.15305
"57","HST",2016-03-24,16.07,16.25,15.77,16.18,7300600,13.15305
"58","HST",2016-03-28,16.219999,16.440001,16.02,16.34,5753900,13.283116
"59","HST",2016-03-29,16.200001,16.540001,15.95,16.459999,7475400,13.546472
"60","HST",2016-03-30,16.549999,16.77,16.450001,16.459999,5843800,13.546472
"61","HST",2016-03-31,16.450001,16.73,16.360001,16.700001,8362200,13.743995
"62","HST",2016-04-01,16.469999,16.469999,16,16.059999,11392800,13.217277
"63","HST",2016-04-04,16,16.040001,15.59,15.68,11262300,12.90454
"64","HST",2016-04-05,15.55,15.58,15.2,15.44,14426400,12.707019
"65","HST",2016-04-06,15.38,15.58,15.19,15.48,10167500,12.739941
"66","HST",2016-04-07,15.38,15.47,15.15,15.29,9886800,12.583572
"67","HST",2016-04-08,15.38,15.67,15.25,15.26,7815900,12.558882
"68","HST",2016-04-11,15.39,15.73,15.34,15.53,7662000,12.781091
"69","HST",2016-04-12,15.63,15.89,15.55,15.86,7524700,13.052678
"70","HST",2016-04-13,15.98,16.120001,15.87,16.1,6260600,13.250199
"71","HST",2016-04-14,16.129999,16.290001,16.040001,16.09,9574100,13.241967
"72","HST",2016-04-15,16.1,16.379999,16.09,16.209999,7311300,13.340727
"73","HST",2016-04-18,16.08,16.139999,15.82,15.86,8361400,13.052678
"74","HST",2016-04-19,15.96,16.01,15.74,15.86,7523800,13.052678
"75","HST",2016-04-20,15.85,15.91,15.53,15.54,9957500,12.78932
"76","HST",2016-04-21,15.45,15.86,15.45,15.59,13442300,12.830472
"77","HST",2016-04-22,15.66,15.81,15,15.34,19606300,12.624722
"78","HST",2016-04-25,15.25,15.4,15.17,15.27,10830100,12.567114
"79","HST",2016-04-26,15.33,15.64,15.28,15.51,10353900,12.764629
"80","HST",2016-04-27,15.47,15.98,15.42,15.94,11896300,13.118518
"81","HST",2016-04-28,15.77,16.15,15.75,15.82,15191100,13.019757
"82","HST",2016-04-29,15.37,16.1,15.14,15.82,11999000,13.019757
"83","HST",2016-05-02,15.9,16.139999,15.82,16.01,8380400,13.176128
"84","HST",2016-05-03,15.83,16.129999,15.76,16.110001,9678300,13.258428
"85","HST",2016-05-04,15.94,16.27,15.93,16.16,8367500,13.299576
"86","HST",2016-05-05,16.16,16.379999,16.040001,16.18,6031800,13.316037
"87","HST",2016-05-06,16.139999,16.42,16.1,16.360001,7615500,13.464175
"88","HST",2016-05-09,16.389999,16.52,16.27,16.41,5451600,13.505324
"89","HST",2016-05-10,16.530001,16.719999,16.5,16.67,5775800,13.719304
"90","HST",2016-05-11,16.65,16.690001,15.98,16.07,10739300,13.225507
"91","HST",2016-05-12,16.139999,16.280001,15.69,15.89,9750500,13.077366
"92","HST",2016-05-13,15.87,15.94,15.56,15.61,7811400,12.84693
"93","HST",2016-05-16,15.63,15.79,15.6,15.63,6985300,12.863389
"94","HST",2016-05-17,15.58,15.79,15.44,15.49,10817700,12.748173
"95","HST",2016-05-18,15.57,15.57,14.81,15,18463600,12.344904
"96","HST",2016-05-19,14.84,14.88,14.3,14.66,17185500,12.065086
"97","HST",2016-05-20,14.72,14.81,14.43,14.58,7921100,11.999247
"98","HST",2016-05-23,14.61,14.82,14.51,14.78,8153300,12.163847
"99","HST",2016-05-24,14.91,15.13,14.82,15.07,11310900,12.402513
"100","HST",2016-05-25,15.1,15.51,14.99,15.35,12336400,12.632952
"101","HST",2016-05-26,15.34,15.38,15.12,15.2,6489000,12.509501
"102","HST",2016-05-27,15.21,15.43,15.15,15.3,4546600,12.591804
"103","HST",2016-05-31,15.29,15.49,15.16,15.4,7987000,12.674103
"104","HST",2016-06-01,15.28,15.48,15.26,15.44,6759000,12.707019
"105","HST",2016-06-02,15.37,16.01,15.3,15.77,13732000,12.978607
"106","HST",2016-06-03,15.72,15.93,15.37,15.65,9276300,12.879849
"107","HST",2016-06-06,15.69,16.48,15.5,15.68,7827100,12.90454
"108","HST",2016-06-07,15.68,15.95,15.66,15.74,7618100,12.953921
"109","HST",2016-06-08,15.75,15.83,15.55,15.69,9308300,12.912769
"110","HST",2016-06-09,15.64,15.74,15.51,15.59,5943400,12.830472
"111","HST",2016-06-10,15.43,15.51,15.31,15.4,6432400,12.674103
"112","HST",2016-06-13,15.4,15.68,15.36,15.38,5808700,12.657643
"113","HST",2016-06-14,15.35,15.6,15.32,15.54,8465300,12.78932
"114","HST",2016-06-15,15.53,16.27,15.49,15.98,10308600,13.151437
"115","HST",2016-06-16,15.88,16.059999,15.67,16.040001,9284100,13.200817
