"","symbol","date","open","high","low","close","volume","adjusted"
"1","HTA",2016-01-04,26.82,26.83,26.33,26.540001,950100,20.220531
"2","HTA",2016-01-05,26.82,27.440001,26.6,27.32,944000,20.814806
"3","HTA",2016-01-06,27.190001,27.370001,27.08,27.290001,761500,20.791948
"4","HTA",2016-01-07,26.940001,27.190001,26.82,26.98,785800,20.555765
"5","HTA",2016-01-08,27.02,27.290001,26.92,27.209999,1074300,20.731001
"6","HTA",2016-01-11,27.280001,27.67,27.190001,27.360001,1098500,20.845285
"7","HTA",2016-01-12,27.389999,27.42,26.879999,27.07,805500,20.624334
"8","HTA",2016-01-13,27.17,27.360001,26.540001,26.719999,565600,20.357674
"9","HTA",2016-01-14,26.76,26.92,26.49,26.690001,1121600,20.334816
"10","HTA",2016-01-15,26.33,26.43,26.01,26.299999,980400,20.03768
"11","HTA",2016-01-19,26.48,27.290001,26.41,27.15,1042700,20.685287
"12","HTA",2016-01-20,26.969999,27.290001,26.41,26.780001,1447200,20.403387
"13","HTA",2016-01-21,26.879999,27.440001,26.620001,27.02,639200,20.586243
"14","HTA",2016-01-22,27.299999,27.98,27.190001,27.85,690900,21.218615
"15","HTA",2016-01-25,27.85,28.040001,27.459999,27.51,535700,20.959568
"16","HTA",2016-01-26,27.620001,28.040001,27.51,27.9,1211500,21.256704
"17","HTA",2016-01-27,27.799999,27.9,27.33,27.559999,798100,20.99766
"18","HTA",2016-01-28,27.610001,28,27.1,27.110001,4276500,20.654814
"19","HTA",2016-01-29,27.299999,28.049999,27.139999,28.040001,1151100,21.363365
"20","HTA",2016-02-01,27.860001,28.48,27.76,28.129999,819400,21.431938
"21","HTA",2016-02-02,28.059999,28.26,27.91,28.09,1123400,21.401461
"22","HTA",2016-02-03,28.24,28.719999,28.09,28.280001,1649300,21.546219
"23","HTA",2016-02-04,28.25,28.66,28.18,28.610001,905500,21.797646
"24","HTA",2016-02-05,28.620001,28.67,28.34,28.389999,752200,21.630032
"25","HTA",2016-02-08,28.15,28.25,27.1,27.34,1468300,20.830044
"26","HTA",2016-02-09,27.08,27.469999,26.49,26.549999,2524500,20.228151
"27","HTA",2016-02-10,26.73,26.950001,26.379999,26.5,1831000,20.19006
"28","HTA",2016-02-11,26.120001,26.790001,25.9,26.629999,1046000,20.289097
"29","HTA",2016-02-12,26.709999,26.75,26.02,26.360001,1970500,20.083393
"30","HTA",2016-02-16,26.540001,26.76,26.33,26.73,1589900,20.36529
"31","HTA",2016-02-17,26.860001,26.959999,26.43,26.5,1255700,20.19006
"32","HTA",2016-02-18,26.58,27.129999,26.43,26.940001,993800,20.525293
"33","HTA",2016-02-19,26.799999,27.450001,26.799999,27.120001,1458200,20.66243
"34","HTA",2016-02-22,27.389999,27.49,27.030001,27.09,970100,20.63957
"35","HTA",2016-02-23,27.07,27.48,27.02,27.15,627400,20.685287
"36","HTA",2016-02-24,27.110001,27.4,27.030001,27.360001,898300,20.845285
"37","HTA",2016-02-25,27.49,27.9,27.49,27.76,1063900,21.150038
"38","HTA",2016-02-26,27.76,27.91,27.629999,27.67,1421100,21.081469
"39","HTA",2016-02-29,27.67,28.16,27.620001,27.809999,1221400,21.188133
