"","symbol","date","open","high","low","close","volume","adjusted"
"1","HTLD",2016-01-04,16.85,16.85,16.370001,16.65,852800,15.777449
"2","HTLD",2016-01-05,16.709999,17.110001,16.639999,17.07,660300,16.175438
"3","HTLD",2016-01-06,16.9,17.139999,16.610001,16.639999,879300,15.767972
"4","HTLD",2016-01-07,15.89,16.120001,15.54,15.99,1780700,15.152035
"5","HTLD",2016-01-08,15.93,16.309999,15.93,16.059999,1366400,15.218369
"6","HTLD",2016-01-11,16.08,16.26,15.98,16.16,662400,15.313127
"7","HTLD",2016-01-12,16.219999,16.75,15.95,16.190001,646100,15.341556
"8","HTLD",2016-01-13,16.190001,16.43,15.77,15.85,842000,15.019376
"9","HTLD",2016-01-14,15.94,16.370001,15.56,16.18,767300,15.332077
"10","HTLD",2016-01-15,15.77,16.27,15.61,16.25,834800,15.398412
"11","HTLD",2016-01-19,16.469999,16.66,15.93,16.049999,973100,15.208889
"12","HTLD",2016-01-20,15.8,16.18,15.36,15.97,1219200,15.133082
"13","HTLD",2016-01-21,15.94,16.51,15.51,16.16,1196100,15.313127
"14","HTLD",2016-01-22,16.33,16.99,16.190001,16.389999,844000,15.531075
"15","HTLD",2016-01-25,16.370001,16.57,15.9,15.95,844600,15.114133
"16","HTLD",2016-01-26,16.059999,17.57,15.98,17.540001,1387800,16.62081
"17","HTLD",2016-01-27,17.49,17.59,16.450001,16.68,1259400,15.805875
"18","HTLD",2016-01-28,16.74,16.969999,16.1,16.65,966300,15.777449
"19","HTLD",2016-01-29,16.629999,17.219999,16.629999,17.15,671900,16.251245
"20","HTLD",2016-02-01,17.120001,17.51,16.91,17.370001,729600,16.459717
"21","HTLD",2016-02-02,17.25,17.49,17.040001,17.059999,496000,16.165958
"22","HTLD",2016-02-03,17.209999,17.790001,17.059999,17.709999,1001900,16.781895
"23","HTLD",2016-02-04,17.74,18.83,17.74,18.58,1109600,17.606308
"24","HTLD",2016-02-05,18.57,18.790001,18.42,18.719999,982700,17.738968
"25","HTLD",2016-02-08,18.610001,18.860001,18.110001,18.799999,959900,17.814775
"26","HTLD",2016-02-09,18.559999,19.24,18.5,19.08,1009600,18.080101
"27","HTLD",2016-02-10,19.190001,19.379999,18.540001,18.77,911600,17.786345
"28","HTLD",2016-02-11,18.559999,18.74,18.030001,18.379999,681200,17.416786
"29","HTLD",2016-02-12,18.610001,19.1,18.43,19.049999,566800,18.051676
"30","HTLD",2016-02-16,19.25,19.530001,18.809999,19.17,802500,18.165384
"31","HTLD",2016-02-17,19.35,19.77,18.92,18.93,1302600,17.937963
"32","HTLD",2016-02-18,19.049999,19.32,18.879999,19.139999,659100,18.136953
"33","HTLD",2016-02-19,19.07,19.07,18.639999,18.84,471000,17.85268
"34","HTLD",2016-02-22,19.1,19.67,18.879999,18.950001,565800,17.956915
"35","HTLD",2016-02-23,18.98,19.24,18.75,18.940001,511200,17.947437
"36","HTLD",2016-02-24,18.82,19.870001,18.309999,18.950001,686800,17.956915
"37","HTLD",2016-02-25,18.950001,18.98,18.290001,18.6,689300,17.625257
"38","HTLD",2016-02-26,18.77,19.059999,18.700001,18.780001,412500,17.795824
"39","HTLD",2016-02-29,18.4,18.690001,18.120001,18.4,716500,17.435738
"40","HTLD",2016-03-01,18.459999,18.82,17.700001,18.469999,639900,17.502071
"41","HTLD",2016-03-02,18.51,18.870001,17.889999,18.16,633300,17.208313
"42","HTLD",2016-03-03,18.09,18.57,18.09,18.450001,399000,17.483118
"43","HTLD",2016-03-04,18.42,19.17,18.42,18.92,672400,17.928482
"44","HTLD",2016-03-07,18.889999,19.09,18.51,19,705800,18.004297
"45","HTLD",2016-03-08,19.129999,19.17,18.16,18.18,572600,17.227268
"46","HTLD",2016-03-09,18.26,18.690001,18.219999,18.459999,516600,17.492592
"47","HTLD",2016-03-10,18.559999,18.969999,18.379999,18.549999,514100,17.577875
"48","HTLD",2016-03-11,18.68,18.889999,18.58,18.74,396000,17.757919
"49","HTLD",2016-03-14,18.74,18.83,18.219999,18.73,497400,17.74844
"50","HTLD",2016-03-15,18.620001,18.959999,18.34,18.379999,359800,17.416786
"51","HTLD",2016-03-16,18.299999,18.67,18.26,18.51,371500,17.539972
"52","HTLD",2016-03-17,18.52,19.219999,18.52,19.120001,361100,18.137606
"53","HTLD",2016-03-18,19.209999,19.77,19.01,19.75,1667100,18.735229
"54","HTLD",2016-03-21,19.65,19.690001,19.35,19.49,365500,18.488594
"55","HTLD",2016-03-22,19.41,19.73,19.110001,19.129999,247500,18.147097
"56","HTLD",2016-03-23,19.08,19.18,18.870001,18.940001,344200,17.966856
"57","HTLD",2016-03-24,18.860001,18.860001,18.629999,18.780001,507100,17.815077
"58","HTLD",2016-03-28,18.82,18.82,18.27,18.549999,554300,17.596888
"59","HTLD",2016-03-29,18.48,18.889999,18.290001,18.870001,629600,17.900448
"60","HTLD",2016-03-30,18.860001,18.9,18.41,18.620001,808600,17.663294
"61","HTLD",2016-03-31,18.620001,18.73,18.450001,18.549999,784800,17.596888
"62","HTLD",2016-04-01,18.440001,18.620001,18.17,18.549999,620300,17.596888
"63","HTLD",2016-04-04,18.6,18.780001,18.290001,18.309999,584600,17.369225
"64","HTLD",2016-04-05,18.15,18.42,17.76,17.91,935200,16.989779
"65","HTLD",2016-04-06,17.84,17.889999,17.059999,17.530001,1364600,16.629301
"66","HTLD",2016-04-07,17.139999,17.43,16.780001,17.200001,836900,16.316257
"67","HTLD",2016-04-08,17.27,17.57,17.120001,17.25,492400,16.363684
"68","HTLD",2016-04-11,17.219999,17.41,17.049999,17.15,408500,16.268822
"69","HTLD",2016-04-12,17.18,17.389999,17.08,17.17,463200,16.287794
"70","HTLD",2016-04-13,17.219999,17.860001,17.219999,17.75,858400,16.837997
"71","HTLD",2016-04-14,17.74,17.9,17.610001,17.709999,454600,16.800051
"72","HTLD",2016-04-15,17.75,17.950001,17.450001,17.629999,455800,16.724163
"73","HTLD",2016-04-18,17.59,17.879999,17.559999,17.690001,363700,16.781078
"74","HTLD",2016-04-19,17.75,17.950001,17.74,17.91,617900,16.989779
"75","HTLD",2016-04-20,17.870001,18.02,17.67,17.82,346200,16.904398
"76","HTLD",2016-04-21,17.67,17.67,17,17.219999,1184300,16.33523
"77","HTLD",2016-04-22,17.26,17.59,17.26,17.4,457600,16.505981
"78","HTLD",2016-04-25,17.379999,17.48,16.860001,17.16,659700,16.278311
"79","HTLD",2016-04-26,17.15,18.110001,17.01,18.040001,2024700,17.113096
"80","HTLD",2016-04-27,18,19,18,18.75,1254400,17.786619
"81","HTLD",2016-04-28,18.57,18.860001,18.049999,18.49,677400,17.53997
"82","HTLD",2016-04-29,18.459999,18.67,18.01,18.110001,603600,17.179504
"83","HTLD",2016-05-02,18.08,18.34,17.93,18.26,573300,17.321791
"84","HTLD",2016-05-03,18.1,18.1,17.690001,17.93,515000,17.008749
"85","HTLD",2016-05-04,17.91,18.27,17.610001,17.610001,363500,16.705193
"86","HTLD",2016-05-05,17.65,17.83,17.469999,17.700001,337000,16.790567
"87","HTLD",2016-05-06,17.620001,18.040001,17.559999,17.91,553300,16.989779
"88","HTLD",2016-05-09,17.549999,17.9,17.42,17.76,487900,16.847481
"89","HTLD",2016-05-10,17.799999,18.200001,17.799999,18.1,315700,17.170017
"90","HTLD",2016-05-11,18,18.1,17.67,17.73,413500,16.819023
"91","HTLD",2016-05-12,17.82,17.959999,17.58,17.700001,448000,16.790567
"92","HTLD",2016-05-13,17.639999,17.91,17.309999,17.440001,723800,16.543922
"93","HTLD",2016-05-16,17.5,17.629999,17.200001,17.4,581200,16.505981
"94","HTLD",2016-05-17,17.370001,17.99,17.309999,17.459999,511700,16.562893
"95","HTLD",2016-05-18,16.790001,17.620001,16.790001,17.209999,450400,16.325743
"96","HTLD",2016-05-19,17.139999,17.620001,17.09,17.48,583800,16.581869
"97","HTLD",2016-05-20,17.57,17.93,17.57,17.91,453900,16.989779
"98","HTLD",2016-05-23,17.889999,18.040001,17.610001,17.65,329100,16.743134
"99","HTLD",2016-05-24,17.709999,18.110001,17.5,18.07,534800,17.141552
"100","HTLD",2016-05-25,18.049999,18.41,17.889999,18.25,535700,17.312305
"101","HTLD",2016-05-26,18.26,18.41,18.08,18.25,253300,17.312305
"102","HTLD",2016-05-27,18.280001,18.49,18.26,18.35,291300,17.407166
"103","HTLD",2016-05-31,18.4,18.5,18.34,18.48,406100,17.530487
"104","HTLD",2016-06-01,18.35,18.5,18.27,18.48,324700,17.530487
"105","HTLD",2016-06-02,18.379999,18.469999,18.17,18.309999,428100,17.369225
"106","HTLD",2016-06-03,18.299999,18.48,17.98,18.450001,277900,17.502029
"107","HTLD",2016-06-06,18.49,18.790001,18.379999,18.67,328800,17.710728
"108","HTLD",2016-06-07,18.629999,18.809999,18.52,18.709999,347100,17.748672
"109","HTLD",2016-06-08,18.76,18.9,18.65,18.780001,425500,17.815077
"110","HTLD",2016-06-09,18.639999,19.09,18.299999,18.32,603400,17.378714
"111","HTLD",2016-06-10,18.26,18.6,17.9,18.190001,448900,17.255386
"112","HTLD",2016-06-13,18.129999,18.290001,17.82,17.959999,490400,17.037209
"113","HTLD",2016-06-14,17.92,18.129999,17.540001,17.690001,457400,16.781078
"114","HTLD",2016-06-15,17.709999,17.99,17.52,17.73,462400,16.819023
"115","HTLD",2016-06-16,17.65,17.83,17.34,17.780001,290600,16.866453
"116","HTLD",2016-06-17,17.76,18.02,17.74,17.879999,509900,16.980413
"117","HTLD",2016-06-20,18.030001,18.5,18.02,18.200001,669700,17.284317
"118","HTLD",2016-06-21,17.23,17.75,17.23,17.49,809400,16.610041
"119","HTLD",2016-06-22,17.23,17.309999,16.75,17.09,1196500,16.230164
"120","HTLD",2016-06-23,17.290001,17.43,17.209999,17.360001,492600,16.486578
"121","HTLD",2016-06-24,16.66,17.129999,16.66,17.110001,854400,16.249159
"122","HTLD",2016-06-27,16.93,17.07,16.66,16.809999,1077100,15.96425
"123","HTLD",2016-06-28,17.059999,17.08,16.84,16.98,642000,16.125692
"124","HTLD",2016-06-29,17.24,17.559999,16.549999,17.190001,545300,16.325132
"125","HTLD",2016-06-30,17.27,17.530001,17.02,17.389999,605100,16.515066
"126","HTLD",2016-07-01,17.389999,17.66,17.389999,17.530001,371000,16.648027
"127","HTLD",2016-07-05,17.360001,17.41,17.110001,17.32,472000,16.448587
"128","HTLD",2016-07-06,17.32,17.690001,17.26,17.59,501900,16.705008
"129","HTLD",2016-07-07,17.620001,17.809999,17.389999,17.5,272900,16.619535
"130","HTLD",2016-07-08,17.68,18.049999,17.68,17.99,331900,17.084888
"131","HTLD",2016-07-11,17.98,18.07,17.860001,18,331400,17.094381
"132","HTLD",2016-07-12,18.01,18.219999,17.92,18.110001,545900,17.198851
"133","HTLD",2016-07-13,18.18,18.57,18.07,18.48,538900,17.550228
"134","HTLD",2016-07-14,18.559999,18.709999,18.07,18.280001,426300,17.360291
"135","HTLD",2016-07-15,18.309999,18.309999,17.98,18.27,603000,17.350794
"136","HTLD",2016-07-18,18.190001,18.27,17.959999,18.15,434300,17.236832
"137","HTLD",2016-07-19,18.200001,18.200001,17.9,17.950001,433700,17.0469
"138","HTLD",2016-07-20,18.040001,18.190001,17.809999,17.85,301700,16.951925
"139","HTLD",2016-07-21,17.77,17.950001,17.709999,17.84,350300,16.942423
"140","HTLD",2016-07-22,17.870001,18.629999,17.870001,18.25,667800,17.3318
"141","HTLD",2016-07-25,18.26,18.27,17.959999,18.049999,620000,17.141869
"142","HTLD",2016-07-26,18,18.309999,17.889999,18.18,261400,17.265324
"143","HTLD",2016-07-27,18.18,18.299999,17.969999,18.040001,495300,17.132368
"144","HTLD",2016-07-28,18.01,18.620001,17.73,18.469999,461100,17.540731
"145","HTLD",2016-07-29,18.309999,18.629999,18.26,18.52,339900,17.588215
"146","HTLD",2016-08-01,18.49,18.65,18.4,18.530001,551300,17.597713
"147","HTLD",2016-08-02,18.5,18.549999,18.309999,18.51,553000,17.57872
"148","HTLD",2016-08-03,18.52,18.73,18.42,18.700001,353000,17.759161
"149","HTLD",2016-08-04,18.74,18.969999,18.610001,18.959999,600700,18.006075
"150","HTLD",2016-08-05,18.99,19.41,18.99,19.35,456200,18.376459
"151","HTLD",2016-08-08,19.35,19.43,19.030001,19.07,312500,18.110546
"152","HTLD",2016-08-09,19.07,19.209999,18.73,18.889999,497000,17.939606
"153","HTLD",2016-08-10,18.92,18.92,18.76,18.85,327300,17.901611
"154","HTLD",2016-08-11,18.870001,19.73,18.780001,19.059999,436900,18.101044
"155","HTLD",2016-08-12,19.040001,19.040001,18.860001,18.98,418300,18.02507
"156","HTLD",2016-08-15,19.030001,19.360001,18.969999,19,310700,18.044062
"157","HTLD",2016-08-16,19.01,19.209999,18.959999,19.040001,402900,18.082054
"158","HTLD",2016-08-17,19.049999,19.290001,19,19,296000,18.044062
"159","HTLD",2016-08-18,19.01,19.219999,18.969999,19.07,245700,18.110546
"160","HTLD",2016-08-19,19,19.41,18.969999,19.389999,244600,18.414444
"161","HTLD",2016-08-22,19.33,19.43,19.17,19.43,302400,18.452431
"162","HTLD",2016-08-23,19.469999,19.889999,19.469999,19.799999,975000,18.803818
"163","HTLD",2016-08-24,19.77,20.049999,19.389999,19.75,607400,18.756329
"164","HTLD",2016-08-25,19.700001,19.700001,19.07,19.219999,477000,18.252998
"165","HTLD",2016-08-26,19.26,19.360001,19.01,19.200001,548100,18.234003
"166","HTLD",2016-08-29,19.209999,19.370001,19.09,19.139999,346000,18.177021
"167","HTLD",2016-08-30,19.15,19.27,19.049999,19.139999,384600,18.177021
"168","HTLD",2016-08-31,19.18,19.24,18.870001,19.030001,388300,18.072561
"169","HTLD",2016-09-01,19.040001,19.190001,18.860001,19.17,347100,18.205515
