"","symbol","date","open","high","low","close","volume","adjusted"
"1","HUM",2016-01-04,177.669998,179.880005,176.440002,179.75,969600,172.506378
"2","HUM",2016-01-05,180.220001,181.460007,178.5,179.630005,977000,172.39119
"3","HUM",2016-01-06,177.800003,179.240005,175.050003,176.610001,1449800,169.49292
"4","HUM",2016-01-07,175.080002,176.660004,173.809998,175.149994,1923100,168.091705
"5","HUM",2016-01-08,174.559998,176.330002,172.440002,172.910004,738100,165.942032
"6","HUM",2016-01-11,173.080002,173.419998,166.710007,169.009995,1522200,162.199173
"7","HUM",2016-01-12,169.550003,172,167.619995,168.830002,1397000,162.026443
"8","HUM",2016-01-13,168.929993,170.110001,163.520004,163.889999,1258500,157.285538
"9","HUM",2016-01-14,163.889999,167.75,162.770004,167.229996,1383900,160.490891
"10","HUM",2016-01-15,166.339996,166.5,160.470001,162.160004,1617700,155.625229
"11","HUM",2016-01-19,162.160004,167.360001,162.160004,164,1583300,157.391113
"12","HUM",2016-01-20,162.839996,166.199997,157.449997,164.740005,1665000,158.101227
"13","HUM",2016-01-21,165.639999,167.240005,163.300003,166.110001,620600,159.416046
"14","HUM",2016-01-22,167.440002,168.229996,165.639999,166.220001,1162700,159.521591
"15","HUM",2016-01-25,166.220001,166.809998,163.110001,163.289993,537200,156.709656
"16","HUM",2016-01-26,163.25,165.539993,163.009995,164.660004,408900,158.024475
"17","HUM",2016-01-27,165.350006,165.529999,159.740005,161.300003,1220400,154.79985
"18","HUM",2016-01-28,161.309998,162.699997,158.809998,159.789993,791900,153.350693
"19","HUM",2016-01-29,160.619995,163.449997,158.119995,162.789993,1205900,156.229843
"20","HUM",2016-02-01,162.710007,168.360001,162.690002,167.580002,1799200,160.826813
"21","HUM",2016-02-02,166.130005,167.589996,164.259995,166.869995,904300,160.145432
"22","HUM",2016-02-03,167.539993,167.979996,164.75,166.779999,812300,160.059021
"23","HUM",2016-02-04,166.559998,169.869995,164.869995,168.649994,1042800,161.853668
"24","HUM",2016-02-05,167.970001,169.320007,163.320007,164.779999,1095400,158.139664
"25","HUM",2016-02-08,164.130005,164.729996,156.039993,156.960007,1447200,150.63475
"26","HUM",2016-02-09,157.039993,161.300003,155.240005,159.529999,1241100,153.101212
"27","HUM",2016-02-10,161.169998,165.520004,160.75,161.070007,1703000,154.579163
"28","HUM",2016-02-11,158.910004,160.919998,157.009995,158.020004,1036800,151.652054
"29","HUM",2016-02-12,158.339996,160.470001,157.410004,160.369995,692300,153.907318
"30","HUM",2016-02-16,161,166.740005,160.550003,166.639999,1021500,159.924683
"31","HUM",2016-02-17,167.330002,169.589996,166,168.309998,1167900,161.527359
"32","HUM",2016-02-18,168,169,166.610001,167.75,1475600,160.98996
"33","HUM",2016-02-19,167.800003,168.220001,164.470001,165.339996,901300,158.677109
"34","HUM",2016-02-22,166.5,171.850006,165.339996,171.75,1122300,164.828751
"35","HUM",2016-02-23,171.679993,174.009995,170.059998,172.830002,684200,165.865219
"36","HUM",2016-02-24,172.820007,174,169.869995,172.289993,504900,165.346985
"37","HUM",2016-02-25,171.789993,176.740005,171.639999,176.600006,886500,169.483292
"38","HUM",2016-02-26,176.809998,181.649994,176.600006,178.710007,1276200,171.508286
"39","HUM",2016-02-29,179.039993,180.979996,176.710007,176.970001,853200,169.838394
"40","HUM",2016-03-01,178.350006,181.5,176.610001,181.229996,1048300,173.926712
"41","HUM",2016-03-02,180.300003,183.25,179.649994,182.699997,1200800,175.337479
"42","HUM",2016-03-03,182.050003,183.559998,180.410004,183.220001,637200,175.836563
"43","HUM",2016-03-04,182.710007,185.279999,181.259995,183.25,978500,175.865326
"44","HUM",2016-03-07,182,184.580002,181.929993,184.25,848300,176.825027
"45","HUM",2016-03-08,183.830002,184.160004,182.009995,182.520004,403300,175.16478
"46","HUM",2016-03-09,182.990005,185.619995,182.789993,184.429993,1364300,176.997772
"47","HUM",2016-03-10,185,186.080002,183.520004,184.759995,796200,177.314438
"48","HUM",2016-03-11,185.899994,186.979996,185.160004,186.910004,724400,179.377808
"49","HUM",2016-03-14,187,187.5,185.139999,186.330002,589800,178.821182
"50","HUM",2016-03-15,185.449997,187,183.020004,183.910004,455600,176.498718
"51","HUM",2016-03-16,183.630005,184.839996,181.860001,183.389999,579000,175.99968
"52","HUM",2016-03-17,182.929993,182.940002,179.300003,182.539993,743300,175.183945
"53","HUM",2016-03-18,182,185.949997,180.520004,184.600006,893300,177.160934
"54","HUM",2016-03-21,184.259995,184.990005,182.740005,183.729996,392900,176.325958
"55","HUM",2016-03-22,183.399994,185.460007,181.75,184.360001,424200,176.930603
"56","HUM",2016-03-23,184.759995,184.759995,182.509995,183.589996,466800,176.19162
"57","HUM",2016-03-24,182.320007,184.639999,181.440002,184.070007,484900,176.652267
"58","HUM",2016-03-28,184.070007,184.960007,182.820007,182.929993,507800,175.558212
"59","HUM",2016-03-29,182.940002,186.229996,182.649994,185.759995,478300,178.55722
"60","HUM",2016-03-30,186.110001,187.440002,184.350006,184.889999,753900,177.720978
"61","HUM",2016-03-31,184.520004,185.75,182.479996,182.949997,866700,175.856186
"62","HUM",2016-04-01,182.770004,185.009995,181.5,184.740005,685300,177.576813
"63","HUM",2016-04-04,185,187.800003,184.210007,185.470001,790600,178.278519
"64","HUM",2016-04-05,182.839996,183.259995,178.380005,181.029999,1681600,174.010666
"65","HUM",2016-04-06,180.600006,181.949997,179.809998,180.350006,849300,173.35704
"66","HUM",2016-04-07,179.360001,180.759995,171.929993,172.580002,2691700,165.888306
"67","HUM",2016-04-08,172.889999,173.5,169.75,171.029999,1404700,164.398392
"68","HUM",2016-04-11,171.050003,171.899994,167.320007,167.460007,1305300,160.966827
"69","HUM",2016-04-12,167.710007,170.649994,167.699997,170.410004,976800,163.80246
"70","HUM",2016-04-13,170.699997,172.110001,168.690002,169.960007,1197800,163.369919
"71","HUM",2016-04-14,169.740005,170.610001,168.029999,168.240005,666900,161.716583
"72","HUM",2016-04-15,168.050003,170.229996,166.699997,169.869995,868500,163.283356
"73","HUM",2016-04-18,169.889999,172.279999,168.869995,171.720001,778500,165.061615
"74","HUM",2016-04-19,172.419998,174.899994,172.089996,174.770004,974900,167.993408
"75","HUM",2016-04-20,175,176.270004,172.710007,174.5,519500,167.73381
"76","HUM",2016-04-21,174.199997,175.369995,172.289993,173.449997,503000,166.724548
"77","HUM",2016-04-22,173.979996,175.320007,173.529999,175.300003,561600,168.502838
"78","HUM",2016-04-25,174.800003,176.160004,173.699997,176.110001,546300,169.281433
"79","HUM",2016-04-26,176.300003,178.759995,175.009995,178.479996,749900,171.559555
"80","HUM",2016-04-27,178.899994,179.160004,176.600006,177.559998,711800,170.675201
"81","HUM",2016-04-28,177.690002,179.399994,176.880005,177.869995,431200,170.973145
"82","HUM",2016-04-29,177.339996,178.169998,175.050003,177.070007,605900,170.204193
"83","HUM",2016-05-02,178,178.789993,177.320007,177.610001,529000,170.723236
"84","HUM",2016-05-03,177.119995,178.309998,176,176.929993,507800,170.069626
"85","HUM",2016-05-04,175.160004,177.690002,174.649994,175.699997,577700,168.887314
"86","HUM",2016-05-05,175.289993,176.389999,173.990005,174.110001,1369900,167.358948
"87","HUM",2016-05-06,173,174.440002,169.619995,170.679993,1275200,164.061966
"88","HUM",2016-05-09,171.389999,173.910004,170.5,171.279999,727200,164.638702
"89","HUM",2016-05-10,171.589996,174.220001,171.309998,173.539993,584000,166.811066
"90","HUM",2016-05-11,173.970001,174.990005,169.710007,170.059998,532000,163.466019
"91","HUM",2016-05-12,170.100006,171.520004,165.550003,165.809998,858400,159.380814
"92","HUM",2016-05-13,165.880005,166.610001,160.649994,165.229996,2070100,158.823288
"93","HUM",2016-05-16,164.910004,171.960007,163.889999,171.520004,1847700,164.8694
"94","HUM",2016-05-17,171.429993,172.259995,168.669998,170.800003,1244000,164.177338
"95","HUM",2016-05-18,170.529999,173.419998,169.860001,170.220001,875200,163.619827
"96","HUM",2016-05-19,168.889999,169.979996,167.339996,168.330002,898000,161.803131
"97","HUM",2016-05-20,168.949997,169.990005,168.309998,169.600006,1410200,163.023834
"98","HUM",2016-05-23,170,172.970001,169.080002,169.589996,1160900,163.014221
"99","HUM",2016-05-24,170.210007,171.809998,169.550003,170.779999,1227100,164.158112
"100","HUM",2016-05-25,170.630005,175.139999,170.029999,174.699997,1773800,167.926056
"101","HUM",2016-05-26,174.669998,174.820007,172.979996,174.25,1020300,167.493515
"102","HUM",2016-05-27,174.080002,174.979996,172.5,173.740005,585400,167.003311
"103","HUM",2016-05-31,174.5,174.860001,171.380005,172.509995,1279400,165.820999
"104","HUM",2016-06-01,172.270004,177.820007,171.529999,177.399994,1015900,170.521408
"105","HUM",2016-06-02,177.809998,187.399994,175.270004,187.360001,3518100,180.095184
"106","HUM",2016-06-03,186.899994,186.990005,184.279999,186.199997,1094100,178.980179
"107","HUM",2016-06-06,186.75,189.820007,186.25,189.380005,968000,182.036911
"108","HUM",2016-06-07,189.5,189.899994,187.800003,188.399994,880700,181.094849
"109","HUM",2016-06-08,187.630005,189.369995,187.479996,188,1464200,180.710388
"110","HUM",2016-06-09,187.029999,188.580002,187,188.350006,621200,181.046799
"111","HUM",2016-06-10,188,188.5,185.979996,186.759995,323700,179.518463
"112","HUM",2016-06-13,186.240005,187.860001,184.630005,184.690002,544800,177.528717
"113","HUM",2016-06-14,184.880005,187.440002,184.5,185.690002,813000,178.490005
"114","HUM",2016-06-15,186.220001,187.520004,185.240005,185.550003,717700,178.355408
"115","HUM",2016-06-16,185.059998,187.529999,184.339996,187.039993,682400,179.787613
"116","HUM",2016-06-17,187.259995,187.929993,185.399994,187.149994,844300,179.893326
