"","symbol","date","open","high","low","close","volume","adjusted"
"1","HUYA",2018-05-11,15.5,17.07,15.25,16.059999,11585200,16.059999
"2","HUYA",2018-05-14,16.68,18.950001,16.6,18.379999,3893800,18.379999
"3","HUYA",2018-05-15,18.379999,20.75,17.799999,19,3063500,19
"4","HUYA",2018-05-16,19.790001,22.75,19.299999,22.5,3058900,22.5
"5","HUYA",2018-05-17,23.299999,24.35,19.25,20,8340000,20
"6","HUYA",2018-05-18,19.33,20.200001,19.01,19.040001,2458800,19.040001
"7","HUYA",2018-05-21,19.85,20.1,19.08,19.18,2533300,19.18
"8","HUYA",2018-05-22,19.450001,19.73,18.75,19.48,1641700,19.48
"9","HUYA",2018-05-23,19.49,20.43,19.219999,19.959999,2800300,19.959999
"10","HUYA",2018-05-24,20.690001,23.379999,20.5,23.09,4538100,23.09
"11","HUYA",2018-05-25,23.389999,24.35,22.5,23.93,3590100,23.93
"12","HUYA",2018-05-29,23.9,24.74,22.32,23.27,2581900,23.27
"13","HUYA",2018-05-30,23.530001,25.870001,23.506001,25.870001,3359200,25.870001
"14","HUYA",2018-05-31,26.5,27.200001,24.6,25.450001,3552300,25.450001
"15","HUYA",2018-06-01,26,29.59,26,29.07,4240700,29.07
"16","HUYA",2018-06-04,30.299999,31.6,27.67,29.700001,6127000,29.700001
"17","HUYA",2018-06-05,29.799999,29.99,27.049999,29.719999,4813200,29.719999
"18","HUYA",2018-06-06,30.389999,31.33,27.57,29.26,8474000,29.26
"19","HUYA",2018-06-07,28.540001,30.5,27.5,29.870001,5482700,29.870001
"20","HUYA",2018-06-08,29.299999,35.299999,28.860001,34.889999,9780800,34.889999
"21","HUYA",2018-06-11,35.75,37.450001,33.23,36.389999,8422800,36.389999
"22","HUYA",2018-06-12,37.400002,37.610001,35.5,36.220001,5311600,36.220001
"23","HUYA",2018-06-13,36.360001,39.599998,35.700001,38.939999,4936600,38.939999
"24","HUYA",2018-06-14,40.02,47.900002,38.529999,44.040001,14441300,44.040001
"25","HUYA",2018-06-15,44.400002,50.82,42.299999,46.200001,15495700,46.200001
"26","HUYA",2018-06-18,45.349998,49.849998,44.299999,48.57,9483100,48.57
"27","HUYA",2018-06-19,47.799999,50.490002,42.07,42.720001,11072000,42.720001
"28","HUYA",2018-06-20,46.310001,46.720001,41.349998,43.990002,7507000,43.990002
"29","HUYA",2018-06-21,42.759998,43.860001,37.509998,38.029999,8411300,38.029999
"30","HUYA",2018-06-22,38.470001,39.222,34.869999,35.849998,9796100,35.849998
"31","HUYA",2018-06-25,33.400002,34.740002,30.620001,31.49,9773100,31.49
"32","HUYA",2018-06-26,33.75,34.349998,32.080002,34.150002,7828400,34.150002
"33","HUYA",2018-06-27,35.349998,35.529999,30.620001,31.08,7884900,31.08
"34","HUYA",2018-06-28,30.09,33.5,29.75,32.68,6698800,32.68
"35","HUYA",2018-06-29,34.91,35,32.68,32.889999,5612100,32.889999
"36","HUYA",2018-07-02,31.450001,32.490002,30.51,32.099998,5684900,32.099998
"37","HUYA",2018-07-03,32.150002,33.244999,31.08,31.15,3733000,31.15
"38","HUYA",2018-07-05,31.77,32,28.58,29.92,6565000,29.92
"39","HUYA",2018-07-06,28.43,31.26,28.4,28.540001,6374000,28.540001
"40","HUYA",2018-07-09,29.52,34.5,28.83,33.689999,11342900,33.689999
"41","HUYA",2018-07-10,33.560001,35.470001,32,32.09,13797800,32.09
"42","HUYA",2018-07-11,31.07,36.779999,30.75,36.470001,15828500,36.470001
"43","HUYA",2018-07-12,37.77,39.849998,36.599998,37.369999,15065100,37.369999
"44","HUYA",2018-07-13,38.099998,38.630001,36.25,36.93,7376300,36.93
"45","HUYA",2018-07-16,37.959999,39.25,36.5,37.919998,8669300,37.919998
"46","HUYA",2018-07-17,37.540001,40.290001,37.049999,38.709999,7631500,38.709999
"47","HUYA",2018-07-18,39.630001,40.599998,38.049999,38.73,7733300,38.73
