"","symbol","date","open","high","low","close","volume","adjusted"
"1","IBP",2016-01-04,24.209999,24.49,23.32,23.629999,206700,23.398569
"2","IBP",2016-01-05,23.700001,23.84,23.280001,23.389999,92200,23.160921
"3","IBP",2016-01-06,22.91,23.35,22.84,23.09,203800,22.863857
"4","IBP",2016-01-07,22.67,22.76,21.690001,21.889999,275700,21.675611
"5","IBP",2016-01-08,22.280001,22.280001,20.940001,21.02,316100,20.814133
"6","IBP",2016-01-11,21.17,21.450001,20.9,21.059999,183700,20.853741
"7","IBP",2016-01-12,21.26,21.280001,20.370001,20.92,418900,20.715111
"8","IBP",2016-01-13,20.92,21.379999,19.9,19.99,336100,19.79422
"9","IBP",2016-01-14,20.030001,20.139999,19.07,19.6,180200,19.408039
"10","IBP",2016-01-15,19.07,19.34,18.51,19.110001,218300,18.922838
"11","IBP",2016-01-19,19.35,19.57,18.41,18.59,145700,18.40793
"12","IBP",2016-01-20,18.200001,18.93,17.6,18.629999,297900,18.447536
"13","IBP",2016-01-21,18.639999,19.309999,18.440001,19.030001,145600,18.84362
"14","IBP",2016-01-22,19.299999,20.25,19.299999,20.219999,300400,20.021967
"15","IBP",2016-01-25,20.129999,20.209999,19.780001,20.09,136800,19.893242
"16","IBP",2016-01-26,20.25,20.84,19.76,20.77,108400,20.566578
"17","IBP",2016-01-27,20.1,20.709999,19.200001,19.370001,339100,19.180292
"18","IBP",2016-01-28,19.549999,19.790001,19.32,19.450001,125900,19.259508
"19","IBP",2016-01-29,19.639999,20.940001,19.629999,20.83,205000,20.625992
"20","IBP",2016-02-01,20.629999,21.02,20.48,20.610001,141700,20.408146
"21","IBP",2016-02-02,20.360001,20.459999,19.99,20.18,96900,19.982359
"22","IBP",2016-02-03,20.290001,20.32,19.66,20.129999,117100,19.932848
"23","IBP",2016-02-04,20.059999,21.23,20.02,21.219999,230300,21.012173
"24","IBP",2016-02-05,21.08,21.139999,19.66,19.74,157100,19.546667
"25","IBP",2016-02-08,19.440001,19.48,18.41,19.139999,221200,18.952543
"26","IBP",2016-02-09,18.780001,19.540001,18.709999,19.25,118800,19.061464
"27","IBP",2016-02-10,19.530001,20.1,19.26,19.82,114200,19.625885
"28","IBP",2016-02-11,19.33,19.85,19.190001,19.48,128700,19.289213
"29","IBP",2016-02-12,19.690001,20.48,19.690001,20.469999,226400,20.269518
"30","IBP",2016-02-16,20.83,20.969999,20,20.92,165100,20.715111
"31","IBP",2016-02-17,21.139999,21.41,20.459999,21.299999,183200,21.091391
"32","IBP",2016-02-18,21.440001,21.440001,20.82,20.889999,86500,20.685404
"33","IBP",2016-02-19,20.83,21.65,20.83,21.07,135600,20.863642
"34","IBP",2016-02-22,21.42,21.469999,20.93,21.059999,236900,20.853741
"35","IBP",2016-02-23,21.01,21.49,20.879999,21.35,235000,21.1409
"36","IBP",2016-02-24,21.1,22.129999,20.93,21.91,97300,21.695414
"37","IBP",2016-02-25,21.85,22.440001,21.85,22.139999,156600,21.923162
"38","IBP",2016-02-26,22.290001,22.389999,21.879999,21.99,104800,21.774632
"39","IBP",2016-02-29,22,22.48,21.91,22.34,245200,22.121204
"40","IBP",2016-03-01,22.370001,23.23,22.23,23.16,288700,22.933172
"41","IBP",2016-03-02,23.07,23.34,21.620001,22.85,240000,22.626209
"42","IBP",2016-03-03,23.139999,24.309999,22.83,24.309999,246700,24.071909
