"","symbol","date","open","high","low","close","volume","adjusted"
"1","ICFI",2016-01-04,35,35.139999,34.240002,34.32,108300,33.326981
"2","ICFI",2016-01-05,34.48,35.73,34.25,35.439999,117900,34.414566
"3","ICFI",2016-01-06,34.950001,35.75,34.950001,35.68,78700,34.647621
"4","ICFI",2016-01-07,35,35.700001,34.98,35.119999,138700,34.103828
"5","ICFI",2016-01-08,35.25,35.330002,34.169998,34.279999,91200,33.288132
"6","ICFI",2016-01-11,34.259998,34.900002,34.060001,34.290001,69600,33.297844
"7","ICFI",2016-01-12,34.599998,34.91,34.09,34.790001,99600,33.783382
"8","ICFI",2016-01-13,34.860001,34.950001,33,33.16,53500,32.200546
"9","ICFI",2016-01-14,33.34,34.459999,33.099998,34.139999,59400,33.15218
"10","ICFI",2016-01-15,33.369999,33.959999,32.599998,33.57,108700,32.598679
"11","ICFI",2016-01-19,33.93,34.369999,32.799999,33.150002,66900,32.19083
"12","ICFI",2016-01-20,32.630001,33.07,32.259998,32.880001,176800,31.928638
"13","ICFI",2016-01-21,33.02,33.029999,32.380001,32.689999,108000,31.744143
"14","ICFI",2016-01-22,33.029999,33.369999,32.77,33.029999,103100,32.074303
"15","ICFI",2016-01-25,32.950001,33.200001,32.060001,32.16,55400,31.229475
"16","ICFI",2016-01-26,32.25,33.02,32.25,32.720001,101300,31.773266
"17","ICFI",2016-01-27,32.709999,32.709999,32.080002,32.23,76200,31.297443
"18","ICFI",2016-01-28,32.529999,32.98,32.450001,32.630001,68300,31.685873
"19","ICFI",2016-01-29,32.639999,34.32,32.529999,34.209999,129100,33.220154
"20","ICFI",2016-02-01,33.900002,34.259998,33.400002,33.880001,39400,32.899704
"21","ICFI",2016-02-02,33.459999,33.580002,32.779999,33.200001,37800,32.239388
"22","ICFI",2016-02-03,33.549999,33.580002,32.34,32.970001,37400,32.016037
"23","ICFI",2016-02-04,32.779999,33.490002,32.779999,33.029999,64600,32.074303
"24","ICFI",2016-02-05,32.98,33.52,32.099998,32.34,103700,31.404261
"25","ICFI",2016-02-08,31.98,32.490002,31.26,32.299999,47100,31.365423
"26","ICFI",2016-02-09,31.870001,32.889999,31.809999,32.060001,34700,31.132372
"27","ICFI",2016-02-10,32.189999,32.810001,32.189999,32.5,45600,31.559641
"28","ICFI",2016-02-11,31.860001,33,31.860001,32.490002,106200,31.549923
"29","ICFI",2016-02-12,32.59,33.369999,32.349998,33.02,42800,32.064594
"30","ICFI",2016-02-16,33.349998,33.470001,32.470001,33,43400,32.045166
"31","ICFI",2016-02-17,33.099998,33.209999,32.740002,32.939999,84700,31.986906
"32","ICFI",2016-02-18,32.970001,33.220001,32.73,33.049999,48100,32.093719
"33","ICFI",2016-02-19,32.990002,33.560001,32.73,32.939999,45600,31.986906
"34","ICFI",2016-02-22,33.16,33.580002,32.98,33.009998,59800,32.054886
"35","ICFI",2016-02-23,32.990002,33.48,32.919998,32.939999,91400,31.986906
"36","ICFI",2016-02-24,32.610001,33.200001,32.580002,32.669998,92400,31.724722
"37","ICFI",2016-02-25,32.880001,33.32,32.830002,32.93,115100,31.977198
"38","ICFI",2016-02-26,33.23,33.279999,32.869999,33,241700,32.045166
"39","ICFI",2016-02-29,33.16,34.619999,33.110001,33.779999,77400,32.802601
"40","ICFI",2016-03-01,34.080002,34.259998,33.740002,34.029999,64000,33.045372
"41","ICFI",2016-03-02,33.889999,34.060001,33.709999,34,245400,33.016232
"42","ICFI",2016-03-03,33.98,34.48,33.77,34.279999,83800,33.288132
"43","ICFI",2016-03-04,34.23,34.860001,34.23,34.5,53500,33.501766
"44","ICFI",2016-03-07,34.419998,34.93,34.110001,34.169998,101100,33.181316
"45","ICFI",2016-03-08,34,34,31.27,31.309999,457300,30.40407
"46","ICFI",2016-03-09,31.51,31.99,31.440001,31.809999,127400,30.889601
"47","ICFI",2016-03-10,31.690001,32.709999,31.690001,32.57,146900,31.627604
"48","ICFI",2016-03-11,32.779999,33.459999,32.57,33.400002,71600,32.433594
"49","ICFI",2016-03-14,33.25,33.450001,32.759998,33.259998,105500,32.297646
"50","ICFI",2016-03-15,33.080002,33.200001,32.57,32.77,111800,31.821831
"51","ICFI",2016-03-16,32.77,33.790001,32.77,33.459999,59600,32.491856
"52","ICFI",2016-03-17,33.5,34.080002,33.189999,33.919998,107800,32.938549
"53","ICFI",2016-03-18,34.119999,34.18,33.77,33.970001,108400,32.987103
"54","ICFI",2016-03-21,33.740002,34.380001,33.740002,34.240002,58200,33.24929
"55","ICFI",2016-03-22,33.98,34.43,33.349998,33.790001,92000,32.812309
"56","ICFI",2016-03-23,33.59,33.790001,33.169998,33.18,62400,32.219963
"57","ICFI",2016-03-24,32.950001,33.419998,32.82,33.209999,53100,32.249092
"58","ICFI",2016-03-28,33.389999,33.959999,33.389999,33.759998,93300,32.783188
"59","ICFI",2016-03-29,33.700001,34.810001,33.700001,34.779999,67900,33.773666
