"","symbol","date","open","high","low","close","volume","adjusted"
"1","ICLR",2016-01-04,77.550003,77.790001,73.260002,74.589996,588600,74.589996
"2","ICLR",2016-01-05,75.139999,75.199997,73.559998,73.910004,466900,73.910004
"3","ICLR",2016-01-06,72.830002,74.139999,71.589996,74.129997,334100,74.129997
"4","ICLR",2016-01-07,74,74.029999,71.849998,72.089996,372600,72.089996
"5","ICLR",2016-01-08,72.400002,73.610001,71.779999,72.400002,422700,72.400002
"6","ICLR",2016-01-11,72.699997,73.239998,68.43,69.389999,420400,69.389999
"7","ICLR",2016-01-12,71.080002,72.669998,70.389999,72.07,456400,72.07
"8","ICLR",2016-01-13,72.610001,73.32,67.739998,68.599998,396600,68.599998
"9","ICLR",2016-01-14,68.330002,70.059998,66.309998,69.510002,567200,69.510002
"10","ICLR",2016-01-15,67.900002,68.309998,65.720001,68.010002,388700,68.010002
"11","ICLR",2016-01-19,69.449997,69.940002,66.989998,67.559998,234600,67.559998
"12","ICLR",2016-01-20,65.949997,70.190002,64.620003,68.830002,504000,68.830002
"13","ICLR",2016-01-21,68.769997,70.480003,67.019997,67.709999,290100,67.709999
"14","ICLR",2016-01-22,68.809998,69.239998,67.239998,69.010002,211700,69.010002
"15","ICLR",2016-01-25,68.800003,69.720001,67.959999,68.699997,270500,68.699997
"16","ICLR",2016-01-26,68.900002,69.639999,68.010002,69.32,166900,69.32
"17","ICLR",2016-01-27,68.800003,69.550003,67.779999,68.25,251000,68.25
"18","ICLR",2016-01-28,69.470001,69.470001,65.519997,66.699997,587300,66.699997
"19","ICLR",2016-01-29,66.800003,67.199997,64.080002,66.07,646700,66.07
"20","ICLR",2016-02-01,65.93,68.32,65,67.949997,410500,67.949997
"21","ICLR",2016-02-02,67.970001,68.970001,65.690002,66.169998,387800,66.169998
"22","ICLR",2016-02-03,66.980003,68.68,65.889999,67.93,1066100,67.93
"23","ICLR",2016-02-04,67.93,70.580002,67.339996,68.239998,578500,68.239998
"24","ICLR",2016-02-05,67.879997,69.5,66.309998,67.529999,606900,67.529999
"25","ICLR",2016-02-08,66.440002,67.57,65.139999,66.059998,664600,66.059998
"26","ICLR",2016-02-09,64.830002,68.339996,64.43,66.809998,728700,66.809998
"27","ICLR",2016-02-10,67.040001,69.230003,65.050003,66.650002,503100,66.650002
"28","ICLR",2016-02-11,67.010002,67.360001,64.440002,66.040001,401700,66.040001
"29","ICLR",2016-02-12,67,67.260002,64.75,66.779999,296500,66.779999
"30","ICLR",2016-02-16,67.970001,68.790001,67.099998,68.379997,322400,68.379997
"31","ICLR",2016-02-17,68.449997,69.519997,67.809998,69.07,305300,69.07
"32","ICLR",2016-02-18,69.449997,70.190002,68.440002,68.690002,247800,68.690002
"33","ICLR",2016-02-19,68.279999,70.580002,68.010002,70.25,414300,70.25
"34","ICLR",2016-02-22,70.959999,71.93,68.879997,69.470001,629800,69.470001
"35","ICLR",2016-02-23,69.5,70.449997,66.099998,69.160004,671300,69.160004
"36","ICLR",2016-02-24,68.800003,70.050003,67.879997,70,464800,70
"37","ICLR",2016-02-25,70.669998,71.550003,68.559998,68.75,431400,68.75
"38","ICLR",2016-02-26,68.580002,71.239998,68.209999,70.849998,464100,70.849998
"39","ICLR",2016-02-29,70.339996,71.540001,69.620003,71.160004,413600,71.160004
"40","ICLR",2016-03-01,71.690002,72.839996,70.550003,72.660004,463600,72.660004
"41","ICLR",2016-03-02,72.489998,73.25,70.519997,72.260002,557600,72.260002
"42","ICLR",2016-03-03,71.940002,72.610001,71.150002,72.370003,327200,72.370003
"43","ICLR",2016-03-04,72.129997,72.599998,71.160004,71.949997,335600,71.949997
"44","ICLR",2016-03-07,71.400002,72.25,70.5,70.989998,271600,70.989998
