"","symbol","date","open","high","low","close","volume","adjusted"
"1","IDXX",2016-01-04,72.349998,72.660004,70.599998,71.120003,765700,71.120003
"2","IDXX",2016-01-05,71.230003,72.82,70.949997,71.830002,548800,71.830002
"3","IDXX",2016-01-06,71.5,72.739998,70.580002,71.32,1645700,71.32
"4","IDXX",2016-01-07,70.489998,70.739998,69.599998,69.809998,665300,69.809998
"5","IDXX",2016-01-08,70.349998,70.949997,69.050003,69.099998,640000,69.099998
"6","IDXX",2016-01-11,69.300003,69.779999,67.93,68.470001,504900,68.470001
"7","IDXX",2016-01-12,68.949997,69.779999,68.650002,69.260002,454400,69.260002
"8","IDXX",2016-01-13,69.5,69.720001,67.330002,67.400002,914100,67.400002
"9","IDXX",2016-01-14,67.480003,68.360001,66.699997,68.099998,876400,68.099998
"10","IDXX",2016-01-15,66.870003,68,66.18,67.120003,778000,67.120003
"11","IDXX",2016-01-19,67.669998,68.379997,66.419998,66.949997,886000,66.949997
"12","IDXX",2016-01-20,66.199997,67,63.84,66.43,1142900,66.43
"13","IDXX",2016-01-21,66.709999,67.239998,65.389999,65.580002,1005900,65.580002
"14","IDXX",2016-01-22,66.010002,66.470001,63.66,66.360001,1599900,66.360001
"15","IDXX",2016-01-25,66.18,66.730003,65.57,65.870003,761000,65.870003
"16","IDXX",2016-01-26,66.040001,66.489998,65.260002,65.790001,755500,65.790001
"17","IDXX",2016-01-27,65.620003,66.540001,64.839996,65.190002,883400,65.190002
"18","IDXX",2016-01-28,65.610001,65.68,63.48,64.669998,847000,64.669998
"19","IDXX",2016-01-29,67.699997,70.440002,67.5,70.139999,1915800,70.139999
"20","IDXX",2016-02-01,69.849998,71.889999,68.559998,71.400002,1373100,71.400002
"21","IDXX",2016-02-02,70.290001,72.010002,70.290001,71.440002,1143400,71.440002
"22","IDXX",2016-02-03,71.68,71.949997,70.419998,71.459999,1153000,71.459999
"23","IDXX",2016-02-04,71.589996,72.370003,70.720001,70.919998,722300,70.919998
"24","IDXX",2016-02-05,70.760002,71.830002,69.699997,71.040001,1404300,71.040001
"25","IDXX",2016-02-08,70.269997,70.459999,68.440002,69.580002,2260000,69.580002
"26","IDXX",2016-02-09,67.739998,70.07,67.220001,68.489998,938000,68.489998
"27","IDXX",2016-02-10,69.050003,71.050003,68.959999,69.660004,541600,69.660004
"28","IDXX",2016-02-11,68.660004,69.550003,67,67.269997,679800,67.269997
"29","IDXX",2016-02-12,68.089996,68.860001,66.82,67.849998,1039100,67.849998
"30","IDXX",2016-02-16,68.389999,69.93,68.160004,69.410004,489900,69.410004
"31","IDXX",2016-02-17,69.699997,71.599998,69.529999,71.519997,531600,71.519997
"32","IDXX",2016-02-18,71.519997,71.519997,70.029999,70.629997,436100,70.629997
"33","IDXX",2016-02-19,70.110001,71.610001,70.080002,71.339996,400500,71.339996
"34","IDXX",2016-02-22,71.839996,72.489998,71.050003,71.419998,301200,71.419998
"35","IDXX",2016-02-23,71.169998,71.970001,70.43,71.699997,436100,71.699997
"36","IDXX",2016-02-24,71.089996,72.260002,70.260002,72.059998,337600,72.059998
"37","IDXX",2016-02-25,71.730003,73.209999,71.580002,73.160004,470800,73.160004
"38","IDXX",2016-02-26,73.510002,74.120003,73.040001,73.480003,432800,73.480003
"39","IDXX",2016-02-29,73.309998,74.400002,72.82,73.160004,477700,73.160004
"40","IDXX",2016-03-01,73.419998,75.760002,72.599998,75.480003,731100,75.480003
"41","IDXX",2016-03-02,75.230003,75.940002,74.720001,75.589996,546000,75.589996
"42","IDXX",2016-03-03,75.209999,75.879997,74.370003,75.5,570200,75.5
"43","IDXX",2016-03-04,75.699997,76.599998,75.239998,76.43,769500,76.43
"44","IDXX",2016-03-07,76.220001,77.940002,76.220001,77.769997,617700,77.769997
"45","IDXX",2016-03-08,77.800003,77.82,76.190002,77.18,554700,77.18
"46","IDXX",2016-03-09,77.18,78.040001,75.080002,77.910004,598000,77.910004
"47","IDXX",2016-03-10,78.379997,78.379997,76.660004,77.410004,535200,77.410004
"48","IDXX",2016-03-11,78,78.489998,77.610001,78.150002,352700,78.150002
"49","IDXX",2016-03-14,78.129997,78.379997,76.839996,78.18,328400,78.18
"50","IDXX",2016-03-15,77.489998,78.169998,76.790001,77.040001,845700,77.040001
"51","IDXX",2016-03-16,76.260002,76.410004,72.879997,74.360001,1192100,74.360001
"52","IDXX",2016-03-17,74.099998,74.870003,72.290001,74.620003,649100,74.620003
"53","IDXX",2016-03-18,74.230003,75.57,74.160004,75.449997,924600,75.449997
"54","IDXX",2016-03-21,75.900002,76.68,75.449997,76.160004,497300,76.160004
"55","IDXX",2016-03-22,75.669998,76.910004,75.669998,76.599998,547600,76.599998
"56","IDXX",2016-03-23,76.370003,76.529999,75.300003,75.459999,434500,75.459999
"57","IDXX",2016-03-24,75.400002,75.739998,74.480003,75.589996,416400,75.589996
"58","IDXX",2016-03-28,76,76.349998,75.389999,75.860001,345800,75.860001
"59","IDXX",2016-03-29,75.709999,78.339996,75.550003,78.129997,488700,78.129997
"60","IDXX",2016-03-30,78.43,78.949997,77.559998,77.75,403000,77.75
"61","IDXX",2016-03-31,77.5,79.029999,75.029999,78.32,625800,78.32
"62","IDXX",2016-04-01,77.529999,79.43,76.550003,79.370003,683100,79.370003
"63","IDXX",2016-04-04,79.269997,80.190002,78.580002,79.75,654400,79.75
"64","IDXX",2016-04-05,79.230003,79.839996,78.82,79.190002,847300,79.190002
"65","IDXX",2016-04-06,79.080002,80.230003,76.980003,80.160004,433700,80.160004
"66","IDXX",2016-04-07,80,80.559998,78.900002,80.480003,923900,80.480003
"67","IDXX",2016-04-08,80.919998,81.190002,79.029999,80.540001,400300,80.540001
"68","IDXX",2016-04-11,81.019997,81.199997,80.07,80.330002,392200,80.330002
"69","IDXX",2016-04-12,80.290001,80.879997,79.75,80.339996,682000,80.339996
"70","IDXX",2016-04-13,80.989998,80.989998,79.970001,80.449997,729500,80.449997
"71","IDXX",2016-04-14,80.360001,80.769997,79.290001,79.82,1025300,79.82
"72","IDXX",2016-04-15,79.620003,79.959999,78.870003,79.730003,930600,79.730003
"73","IDXX",2016-04-18,79.730003,80.349998,79.300003,79.93,925700,79.93
"74","IDXX",2016-04-19,80.419998,80.419998,79.860001,80.32,816100,80.32
"75","IDXX",2016-04-20,80.440002,81.43,80.110001,80.989998,883600,80.989998
"76","IDXX",2016-04-21,80.82,81.230003,80.169998,80.730003,812200,80.730003
"77","IDXX",2016-04-22,80.480003,81.639999,80.330002,81.110001,599700,81.110001
"78","IDXX",2016-04-25,80.910004,81.489998,80.529999,81.220001,770000,81.220001
"79","IDXX",2016-04-26,81.290001,81.989998,81.050003,81.839996,747700,81.839996
"80","IDXX",2016-04-27,81.610001,82.410004,80.610001,81.93,776200,81.93
"81","IDXX",2016-04-28,81.519997,82.059998,80.57,80.790001,803400,80.790001
"82","IDXX",2016-04-29,84,84.5,81.389999,84.349998,2620600,84.349998
"83","IDXX",2016-05-02,85,85.43,84.349998,85.279999,1034900,85.279999
"84","IDXX",2016-05-03,84.480003,85.290001,84.400002,85.150002,614500,85.150002
"85","IDXX",2016-05-04,84.720001,85.459999,83.650002,85,601900,85
"86","IDXX",2016-05-05,84.480003,86.610001,84.480003,86.129997,750400,86.129997
"87","IDXX",2016-05-06,85.629997,87.190002,85.629997,86.589996,702200,86.589996
"88","IDXX",2016-05-09,86.230003,87.370003,86.230003,87.199997,628700,87.199997
"89","IDXX",2016-05-10,87.669998,87.849998,87.089996,87.809998,939600,87.809998
"90","IDXX",2016-05-11,87.82,87.870003,87.080002,87.120003,502700,87.120003
"91","IDXX",2016-05-12,87.519997,87.760002,86.519997,87.150002,703300,87.150002
"92","IDXX",2016-05-13,87.029999,87.529999,86.519997,86.669998,1043400,86.669998
"93","IDXX",2016-05-16,87.059998,88.540001,86.970001,88.459999,1075100,88.459999
"94","IDXX",2016-05-17,88.019997,88.620003,86.739998,87.230003,1051500,87.230003
"95","IDXX",2016-05-18,87.230003,88.879997,87.209999,88.330002,940400,88.330002
"96","IDXX",2016-05-19,87.75,88.389999,87.220001,88.18,542600,88.18
"97","IDXX",2016-05-20,88.290001,89.239998,88.290001,88.970001,1099100,88.970001
"98","IDXX",2016-05-23,89.269997,89.379997,87.900002,88.120003,729300,88.120003
"99","IDXX",2016-05-24,88.709999,90.330002,88.389999,90.220001,893200,90.220001
"100","IDXX",2016-05-25,90.800003,91.379997,89.699997,90.080002,593400,90.080002
"101","IDXX",2016-05-26,89.989998,91.940002,89.5,89.739998,740000,89.739998
"102","IDXX",2016-05-27,89.629997,90.449997,89.419998,90.07,907000,90.07
"103","IDXX",2016-05-31,89.959999,90.480003,87.300003,87.57,5798900,87.57
"104","IDXX",2016-06-01,87.559998,88.230003,87.139999,88.18,1124900,88.18
"105","IDXX",2016-06-02,87.419998,88.889999,87.419998,88.889999,632300,88.889999
"106","IDXX",2016-06-03,89.040001,89.040001,88.029999,88.099998,500100,88.099998
"107","IDXX",2016-06-06,88.059998,88.470001,87,88.040001,508400,88.040001
"108","IDXX",2016-06-07,88.379997,89.32,88.040001,88.809998,735700,88.809998
