"","symbol","date","open","high","low","close","volume","adjusted"
"1","IEX",2016-01-04,76.610001,76.610001,74.75,75.739998,447800,69.990433
"2","IEX",2016-01-05,75.739998,76.050003,74.190002,75,501600,69.306602
"3","IEX",2016-01-06,74.099998,74.720001,73.690002,74.169998,503800,68.539627
"4","IEX",2016-01-07,73,73.419998,72.190002,72.610001,537600,67.098053
"5","IEX",2016-01-08,72.919998,72.919998,71.589996,71.639999,381100,66.201683
"6","IEX",2016-01-11,71.800003,72.029999,70.970001,71.389999,293300,65.97065
"7","IEX",2016-01-12,71.910004,72.339996,70.550003,71.75,408100,66.303322
"8","IEX",2016-01-13,71.639999,72.419998,69.900002,69.989998,346700,64.966682
"9","IEX",2016-01-14,70.379997,71.669998,69.389999,71.309998,422700,66.19194
"10","IEX",2016-01-15,69.599998,70.290001,69.220001,69.959999,466300,64.93882
"11","IEX",2016-01-19,70.620003,70.879997,69.040001,69.610001,423200,64.613953
"12","IEX",2016-01-20,68.550003,69.730003,67.199997,69.25,437300,64.279793
"13","IEX",2016-01-21,69.230003,69.57,68.220001,68.370003,628900,63.462955
"14","IEX",2016-01-22,69.360001,70.389999,68.889999,70.019997,502300,64.994507
"15","IEX",2016-01-25,69.620003,69.669998,68.150002,68.330002,553600,63.425808
"16","IEX",2016-01-26,68.910004,70.330002,68.519997,70.25,655900,65.208008
"17","IEX",2016-01-27,69.900002,73.589996,69.699997,70.949997,1061900,65.857788
"18","IEX",2016-01-28,70.959999,72.519997,68.400002,69.5,1436600,64.511841
"19","IEX",2016-01-29,69.449997,72.510002,69.040001,72.510002,844600,67.305801
"20","IEX",2016-02-01,72.190002,72.239998,71.230003,71.449997,459500,66.321892
"21","IEX",2016-02-02,70.330002,71.389999,70.010002,70.489998,486900,65.430801
"22","IEX",2016-02-03,71.209999,71.889999,69.690002,71.839996,340100,66.683922
"23","IEX",2016-02-04,71.470001,73.940002,71.43,73.089996,380000,67.844185
"24","IEX",2016-02-05,72.910004,73.660004,72.389999,72.760002,640200,67.537849
"25","IEX",2016-02-08,72.040001,72.25,71.050003,72.040001,411400,66.869545
"26","IEX",2016-02-09,71.290001,72.129997,70.260002,71.470001,800500,66.340469
"27","IEX",2016-02-10,71.709999,72.32,70.779999,71.25,567300,66.136238
"28","IEX",2016-02-11,70.089996,71.449997,69.910004,70.870003,503000,65.783524
"29","IEX",2016-02-12,71.230003,72.57,71.139999,71.760002,894900,66.609634
"30","IEX",2016-02-16,72.480003,73.599998,71.860001,73.199997,801900,67.946297
"31","IEX",2016-02-17,73.870003,74.25,73.410004,73.889999,741100,68.586769
"32","IEX",2016-02-18,74,74.839996,73.599998,74.650002,299200,69.292221
"33","IEX",2016-02-19,74.089996,74.800003,73.5,74.739998,276000,69.375771
"34","IEX",2016-02-22,75.5,76.830002,75.32,75.790001,387900,70.350388
"35","IEX",2016-02-23,75.550003,76.110001,74.699997,74.82,315600,69.450005
"36","IEX",2016-02-24,74.110001,75.339996,73.470001,74.959999,449600,69.579971
"37","IEX",2016-02-25,75.019997,75.580002,74.129997,74.989998,308200,69.607796
"38","IEX",2016-02-26,75.559998,76.040001,75.059998,75.720001,251700,70.285423
"39","IEX",2016-02-29,75.730003,76.18,75.129997,75.160004,240100,69.765625
"40","IEX",2016-03-01,75.860001,77.050003,75.139999,76.800003,309300,71.287933
"41","IEX",2016-03-02,76.550003,77.050003,76.209999,77.010002,175100,71.482834
"42","IEX",2016-03-03,77.040001,77.839996,76.989998,77.779999,245500,72.197563
"43","IEX",2016-03-04,77.690002,78.470001,77.559998,78.160004,561400,72.550323
"44","IEX",2016-03-07,77.879997,78.639999,77.519997,78.419998,680200,72.791641
"45","IEX",2016-03-08,78.099998,78.099998,77.080002,77.269997,314500,71.724174
"46","IEX",2016-03-09,77.559998,77.699997,77.040001,77.379997,268000,71.826271
"47","IEX",2016-03-10,77.589996,77.589996,76.459999,77.199997,198300,71.659203
"48","IEX",2016-03-11,77.639999,78.269997,77.589996,78.129997,201700,72.522476
"49","IEX",2016-03-14,77.629997,78.339996,77.580002,77.959999,332800,72.364639
"50","IEX",2016-03-15,77.300003,78.339996,77.139999,78.129997,303800,72.522476
"51","IEX",2016-03-16,78.089996,79.599998,78.080002,79.32,335700,73.627029
"52","IEX",2016-03-17,79.660004,81.059998,79.419998,80.870003,381600,75.065796
"53","IEX",2016-03-18,80.620003,81.830002,80.620003,81.510002,732200,75.659851
"54","IEX",2016-03-21,81.5,82.550003,80.970001,82.459999,574100,76.541672
"55","IEX",2016-03-22,82.370003,83.099998,81.860001,82.919998,458400,76.968643
"56","IEX",2016-03-23,82.699997,82.739998,81.790001,81.870003,420800,75.994026
"57","IEX",2016-03-24,81.540001,82.199997,81.260002,82.169998,262000,76.272491
"58","IEX",2016-03-28,82.190002,82.610001,81.650002,82.360001,236700,76.44886
"59","IEX",2016-03-29,82.110001,83.669998,81.379997,83.629997,338100,77.627724
"60","IEX",2016-03-30,84,84.050003,83.25,83.410004,242800,77.4235
"61","IEX",2016-03-31,83.349998,83.660004,82.620003,82.879997,545600,76.931534
"62","IEX",2016-04-01,82.57,84.089996,81.720001,84.010002,464700,77.980438
"63","IEX",2016-04-04,83.610001,83.760002,81.779999,82,619300,76.114708
"64","IEX",2016-04-05,81.120003,81.540001,80.809998,81.040001,448500,75.22361
"65","IEX",2016-04-06,80.980003,81.279999,80.279999,81.18,218900,75.353539
"66","IEX",2016-04-07,80.970001,81.169998,80.330002,80.809998,261300,75.010094
"67","IEX",2016-04-08,81.489998,82.18,81.059998,81.400002,176600,75.557762
"68","IEX",2016-04-11,81.580002,82.419998,81.290001,81.57,189700,75.715569
"69","IEX",2016-04-12,81.779999,82.650002,81.779999,82.260002,300200,76.356041
"70","IEX",2016-04-13,82.959999,84.220001,82.690002,83.889999,527600,77.869049
"71","IEX",2016-04-14,83.57,83.779999,82.400002,83.410004,351600,77.738571
"72","IEX",2016-04-15,83.449997,83.709999,83.18,83.470001,449700,77.794479
"73","IEX",2016-04-18,83.290001,84.5,83.290001,84.25,383700,78.521439
"74","IEX",2016-04-19,85.269997,86.540001,83.889999,84.120003,802500,78.400307
"75","IEX",2016-04-20,84.389999,84.580002,83.580002,83.620003,444900,77.93428
"76","IEX",2016-04-21,83.660004,83.959999,83.150002,83.290001,399200,77.62674
"77","IEX",2016-04-22,83,83.849998,82.910004,83.480003,349600,77.803818
"78","IEX",2016-04-25,83.129997,83.739998,82.629997,82.669998,215200,77.048882
"79","IEX",2016-04-26,83.360001,84.169998,82.739998,84.129997,315100,78.409615
"80","IEX",2016-04-27,84.279999,84.629997,83.360001,83.800003,295900,78.102058
"81","IEX",2016-04-28,83.529999,83.589996,82.18,82.379997,253600,76.778595
"82","IEX",2016-04-29,82.360001,82.589996,81.440002,81.900002,268600,76.331238
"83","IEX",2016-05-02,81.959999,82.639999,81.330002,82.470001,320700,76.86248
"84","IEX",2016-05-03,82.029999,82.120003,81.099998,81.510002,225100,75.967751
