"","symbol","date","open","high","low","close","volume","adjusted"
"1","IHRT",2019-07-01,15.4,15.4,15.275,15.4,12300,15.4
"2","IHRT",2019-07-02,15.4,15.4,15.4,15.4,400,15.4
"3","IHRT",2019-07-03,15.5,15.5,15.5,15.5,200,15.5
"4","IHRT",2019-07-05,15.45,15.45,15.45,15.45,200,15.45
"5","IHRT",2019-07-08,15.5,15.5,15.5,15.5,1000,15.5
"6","IHRT",2019-07-09,15.45,15.6,15.45,15.6,31100,15.6
"7","IHRT",2019-07-10,16,17,16,16.83,1800,16.83
"8","IHRT",2019-07-11,16.469999,16.5,16.01,16.5,14400,16.5
"9","IHRT",2019-07-12,16.5,19,16.5,17.23,46800,17.23
"10","IHRT",2019-07-15,17.35,17.4,17.049999,17.35,5600,17.35
"11","IHRT",2019-07-16,17.32,17.35,17.299999,17.299999,3500,17.299999
"12","IHRT",2019-07-17,17.049999,17.200001,17,17,4500,17
"13","IHRT",2019-07-18,16.450001,16.51,15.75,16.5,1819900,16.5
"14","IHRT",2019-07-19,16.74,16.844999,16.24,16.299999,970200,16.299999
"15","IHRT",2019-07-22,16.440001,16.6,16.118999,16.25,81100,16.25
"16","IHRT",2019-07-23,16.329,16.5,16.25,16.35,104700,16.35
"17","IHRT",2019-07-24,16.26,16.440001,15.5,15.72,36100,15.72
"18","IHRT",2019-07-25,15.81,15.81,15.14,15.62,44300,15.62
"19","IHRT",2019-07-26,15.43,15.43,14.65,14.74,77000,14.74
"20","IHRT",2019-07-29,14.84,14.85,13.8,14.25,61200,14.25
"21","IHRT",2019-07-30,14.36,14.9,14.07,14.5,109200,14.5
"22","IHRT",2019-07-31,14.7,15.04,14.48,14.96,10600,14.96
"23","IHRT",2019-08-01,15.33,15.59,14,14.99,34700,14.99
"24","IHRT",2019-08-02,15.57,15.58,14.48,14.75,34800,14.75
"25","IHRT",2019-08-05,14.58,14.585,13.93,14,113800,14
"26","IHRT",2019-08-06,14.11,14.4,13.401,13.85,122200,13.85
"27","IHRT",2019-08-07,13.86,14,13.52,13.8,217600,13.8
"28","IHRT",2019-08-08,13.87,15.38,12.87,13,203800,13
"29","IHRT",2019-08-09,12.98,13.378,12.725,12.87,99500,12.87
"30","IHRT",2019-08-12,14.12,15.39,13.2,13.25,742200,13.25
"31","IHRT",2019-08-13,13.38,13.9,13.07,13.1,532800,13.1
"32","IHRT",2019-08-14,13.263,13.585,13.03,13.46,586600,13.46
"33","IHRT",2019-08-15,13.95,14.68,13.28,13.39,374700,13.39
"34","IHRT",2019-08-16,13.32,13.49,13.12,13.25,604100,13.25
"35","IHRT",2019-08-19,13.4,13.719,13.11,13.15,463500,13.15
"36","IHRT",2019-08-20,13.29,13.43,13.15,13.25,410400,13.25
"37","IHRT",2019-08-21,13.25,13.25,12.9,12.97,176800,12.97
"38","IHRT",2019-08-22,13.27,13.27,12.93,12.97,675600,12.97
"39","IHRT",2019-08-23,12.98,13.38,12.93,13.07,354200,13.07
"40","IHRT",2019-08-26,13.07,13.45,12.93,13.21,178000,13.21
"41","IHRT",2019-08-27,13.16,13.47,13,13.1,264300,13.1
"42","IHRT",2019-08-28,13.07,13.68,13.07,13.24,338200,13.24
"43","IHRT",2019-08-29,13.2,13.82,13.1,13.72,332500,13.72
"44","IHRT",2019-08-30,13.64,13.93,13.46,13.8,140400,13.8
"45","IHRT",2019-09-03,13.78,13.94,13.61,13.91,298100,13.91
"46","IHRT",2019-09-04,13.95,14.195,13.61,13.98,348600,13.98
"47","IHRT",2019-09-05,14.07,14.28,13.51,13.86,316300,13.86
"48","IHRT",2019-09-06,13.9,14,13.56,13.93,311100,13.93
"49","IHRT",2019-09-09,14.02,14.67,13.71,13.93,470700,13.93
"50","IHRT",2019-09-10,13.89,14.251,13.81,14.04,241500,14.04
"51","IHRT",2019-09-11,14.01,14.58,14,14.51,504500,14.51
