"","symbol","date","open","high","low","close","volume","adjusted"
"1","ILPT",2018-01-12,23.700001,24,23.23,23.35,7513400,18.429813
"2","ILPT",2018-01-16,23.4,23.75,23.049999,23.35,870200,18.429813
"3","ILPT",2018-01-17,23.389999,23.549999,22.65,23.41,479500,18.477169
"4","ILPT",2018-01-18,23.5,23.58,23,23.23,642600,18.3351
"5","ILPT",2018-01-19,23.299999,23.690001,22.25,23.049999,1617400,18.193022
"6","ILPT",2018-01-22,23.23,23.59,22.51,22.59,245200,17.829956
"7","ILPT",2018-01-23,22.629999,23.23,22.452,22.799999,255500,17.995705
"8","ILPT",2018-01-24,22.84,23.16,21.83,22.200001,811800,17.522133
"9","ILPT",2018-01-25,22.17,22.219999,21.469999,21.950001,466900,17.324816
"10","ILPT",2018-01-26,21.870001,22.43,21.799999,22.049999,563600,17.40374
"11","ILPT",2018-01-29,22.1,22.98,21.700001,21.940001,270500,17.316919
"12","ILPT",2018-01-30,21.75,22.549999,21.540001,22.469999,289300,17.735237
"13","ILPT",2018-01-31,22.549999,22.73,21.74,22.6,320500,17.837847
"14","ILPT",2018-02-01,22.530001,22.530001,21.9,22.219999,179300,17.53792
"15","ILPT",2018-02-02,22.209999,22.4,21.530001,21.91,362800,17.29324
"16","ILPT",2018-02-05,21.9,22.290001,21.67,21.690001,430800,17.119595
"17","ILPT",2018-02-06,20.299999,22.5,17.209999,21.860001,841900,17.253778
"18","ILPT",2018-02-07,21.809999,22.5,21.809999,21.950001,938200,17.324816
"19","ILPT",2018-02-08,21.950001,22.4,21.629999,21.65,355300,17.088026
"20","ILPT",2018-02-09,21.709999,22.09,21.26,21.299999,287900,16.811779
"21","ILPT",2018-02-12,21.4,22.26,21.059999,21.139999,199300,16.68549
"22","ILPT",2018-02-13,21.219999,21.25,20.67,20.99,182400,16.567097
"23","ILPT",2018-02-14,20.91,21.125,20.280001,20.99,92100,16.567097
"24","ILPT",2018-02-15,21.030001,21.422001,20.98,21.07,128700,16.630239
"25","ILPT",2018-02-16,21.040001,21.780001,21.040001,21.59,225300,17.04067
"26","ILPT",2018-02-20,21.5,21.75,21.190001,21.219999,142300,16.748636
"27","ILPT",2018-02-21,21.23,21.58,20.395,20.799999,300400,16.417131
"28","ILPT",2018-02-22,20.68,21.5,20.309999,20.629999,270000,16.282953
"29","ILPT",2018-02-23,20.6,21.809999,20.450001,21.040001,285300,16.606562
"30","ILPT",2018-02-26,21.209999,21.209999,20.139999,20.51,273500,16.188244
"31","ILPT",2018-02-27,20.59,20.940001,20.389,20.440001,208400,16.132996
"32","ILPT",2018-02-28,20.459999,20.75,20.049999,20.08,182900,15.848851
"33","ILPT",2018-03-01,20.01,20.639999,19.870001,20.17,278700,15.919885
"34","ILPT",2018-03-02,20.15,20.870001,20.094999,20.700001,176500,16.338205
"35","ILPT",2018-03-05,20.629999,20.860001,20.17,20.66,122600,16.306631
"36","ILPT",2018-03-06,20.66,21.110001,20.66,20.959999,129300,16.543419
"37","ILPT",2018-03-07,20.870001,21.17,20.59,21.01,252000,16.58288
"38","ILPT",2018-03-08,21.120001,21.450001,21.030001,21.290001,233300,16.803888
"39","ILPT",2018-03-09,21.35,21.4,20.686001,21.209999,187600,16.740742
"40","ILPT",2018-03-12,21.139999,21.790001,20.57,20.67,227000,16.314529
"41","ILPT",2018-03-13,20.719999,21.465,20.719999,21.059999,182400,16.622349
"42","ILPT",2018-03-14,21.16,21.51,20.01,20.49,244800,16.172457
"43","ILPT",2018-03-15,20.639999,21.530001,20.32,20.67,183100,16.314529
"44","ILPT",2018-03-16,20.549999,21.190001,20.334999,20.790001,2921100,16.409241
"45","ILPT",2018-03-19,20.690001,21.16,20.26,20.85,288400,16.4566
"46","ILPT",2018-03-20,20.860001,21.09,19.99,20.549999,160800,16.21981
"47","ILPT",2018-03-21,20.559999,21.105,20.129999,20.860001,133500,16.464493
"48","ILPT",2018-03-22,20.67,21.459999,20.43,20.709999,107500,16.3461
"49","ILPT",2018-03-23,20.639999,20.99,20.450001,20.5,91200,16.180349
"50","ILPT",2018-03-26,20.790001,20.82,20.43,20.77,121900,16.393459
"51","ILPT",2018-03-27,20.809999,21.299999,20.370001,20.870001,94500,16.472383
"52","ILPT",2018-03-28,20.870001,21.290001,20.399,20.75,132100,16.37767
"53","ILPT",2018-03-29,20.76,21.299999,19.690001,20.34,255100,16.054064
"54","ILPT",2018-04-02,20.32,20.5,19.889999,20.049999,132900,15.825168
"55","ILPT",2018-04-03,20.129999,20.41,19.950001,20.32,160700,16.038279
"56","ILPT",2018-04-04,20.25,20.4,19.785,20.299999,444200,16.02249
"57","ILPT",2018-04-05,20.4,20.4,19.860001,20.23,235400,15.967244
"58","ILPT",2018-04-06,20.049999,20.309999,19.98,20.030001,166100,15.809381
"59","ILPT",2018-04-09,20.040001,20.99,20,20.02,61200,15.80149
"60","ILPT",2018-04-10,20.18,20.280001,19.99,20.09,234300,15.856741
"61","ILPT",2018-04-11,19.969999,20.1,19.950001,20.030001,101000,15.809381
"62","ILPT",2018-04-12,20.049999,20.209999,19.76,20.1,145200,15.864635
"63","ILPT",2018-04-13,20.07,20.370001,19.959999,20.299999,154400,16.02249
"64","ILPT",2018-04-16,20.469999,20.65,20.32,20.549999,141400,16.21981
"65","ILPT",2018-04-17,20.559999,21.01,20.455,20.85,176000,16.4566
"66","ILPT",2018-04-18,20.889999,21.290001,20.799999,21.16,173100,16.701277
"67","ILPT",2018-04-19,21.030001,21.280001,20.93,21,187500,16.574991
"68","ILPT",2018-04-20,20.98,21.049999,20.66,20.780001,136600,16.401348
"69","ILPT",2018-04-23,20.84,20.84,20.450001,20.6,47100,16.259281
"70","ILPT",2018-04-24,20.75,21.120001,20.629999,20.84,316700,16.448709
"71","ILPT",2018-04-25,20.76,20.799999,20.5,20.6,151200,16.259281
"72","ILPT",2018-04-26,20.76,20.83,20.25,20.440001,400500,16.132996
"73","ILPT",2018-04-27,20.24,20.795,20.24,20.530001,83700,16.42094
"74","ILPT",2018-04-30,20.52,20.84,20.389999,20.52,223800,16.412937
"75","ILPT",2018-05-01,20.57,20.639999,20.27,20.5,141800,16.396942
"76","ILPT",2018-05-02,20.5,20.5,20.084999,20.450001,259800,16.356951
"77","ILPT",2018-05-03,20.360001,20.49,20.23,20.450001,170000,16.356951
"78","ILPT",2018-05-04,20.43,20.65,20.43,20.639999,162700,16.508919
"79","ILPT",2018-05-07,20.6,21.4,20.549999,21.35,244100,17.076817
"80","ILPT",2018-05-08,21.32,21.690001,21.32,21.57,373800,17.252787
"81","ILPT",2018-05-09,21.57,21.584999,21.299999,21.549999,199800,17.236782
"82","ILPT",2018-05-10,21.549999,21.860001,21.51,21.549999,116200,17.236782
"83","ILPT",2018-05-11,21.59,21.76,21.24,21.35,87000,17.076817
"84","ILPT",2018-05-14,21.290001,21.52,21.049999,21.1,68900,16.876854
"85","ILPT",2018-05-15,21.110001,21.120001,20.42,20.530001,223800,16.42094
"86","ILPT",2018-05-16,20.6,21.02,20.440001,20.969999,614700,16.772869
"87","ILPT",2018-05-17,20.969999,21.089001,20.75,20.889999,286500,16.708887
"88","ILPT",2018-05-18,20.85,21.02,20.719999,20.959999,94600,16.764875
"89","ILPT",2018-05-21,20.940001,21.049999,20.872,20.98,119100,16.780867
"90","ILPT",2018-05-22,20.969999,21.065001,20.799999,20.92,87000,16.732878
"91","ILPT",2018-05-23,20.889999,21.004999,20.73,20.93,65600,16.740877
"92","ILPT",2018-05-24,20.940001,21.15,20.870001,21,54100,16.796869
"93","ILPT",2018-05-25,21,21.58,20.92,21.25,494400,16.996828
"94","ILPT",2018-05-29,21.16,21.65,21.01,21.51,393500,17.20479
"95","ILPT",2018-05-30,21.59,22.280001,21.59,22.139999,366400,17.708702
"96","ILPT",2018-05-31,22.129999,22.200001,20.32,21.280001,1559500,17.020826
"97","ILPT",2018-06-01,21.299999,21.700001,21.25,21.41,221300,17.124805
"98","ILPT",2018-06-04,21.540001,21.66,21.25,21.299999,106500,17.036821
"99","ILPT",2018-06-05,21.33,21.469999,20.915001,21.16,113900,16.924847
"100","ILPT",2018-06-06,21.18,21.559999,21.08,21.450001,212300,17.156801
"101","ILPT",2018-06-07,21.450001,21.58,21.120001,21.4,92100,17.116808
"102","ILPT",2018-06-08,21.35,21.6,21.280001,21.4,129200,17.116808
"103","ILPT",2018-06-11,21.32,21.76,21.32,21.719999,128500,17.372759
"104","ILPT",2018-06-12,21.73,22.16,21.629999,21.870001,559800,17.492737
"105","ILPT",2018-06-13,21.809999,22.5,21.809999,21.950001,204700,17.556726
"106","ILPT",2018-06-14,21.99,22.24,21.75,21.99,126200,17.588718
"107","ILPT",2018-06-15,22,22.42,21.889999,22.16,445100,17.724691
"108","ILPT",2018-06-18,22.049999,22.52,21.67,22.469999,108500,17.972647
"109","ILPT",2018-06-19,22.33,22.67,22.32,22.4,71700,17.916656
"110","ILPT",2018-06-20,22.450001,22.73,22.084999,22.620001,139100,18.092625
"111","ILPT",2018-06-21,22.620001,22.790001,22.360001,22.68,92800,18.140617
"112","ILPT",2018-06-22,21.690001,22.59,21.690001,22.57,513200,18.052631
"113","ILPT",2018-06-25,22.379999,22.809999,22.299999,22.34,67200,17.868668
"114","ILPT",2018-06-26,22.290001,22.620001,22.190001,22.389999,65200,17.908659
"115","ILPT",2018-06-27,22.360001,22.485001,22.200001,22.35,93000,17.876667
"116","ILPT",2018-06-28,22.42,22.440001,22.030001,22.280001,206100,17.820677
"117","ILPT",2018-06-29,22.209999,22.440001,21.76,22.35,126600,17.876667
"118","ILPT",2018-07-02,22.290001,22.549999,22.18,22.540001,55700,18.028641
"119","ILPT",2018-07-03,22.540001,22.65,22.395,22.51,89700,18.004641
"120","ILPT",2018-07-05,22.559999,22.655001,22.35,22.52,73400,18.012642
"121","ILPT",2018-07-06,22.59,22.780001,22.459999,22.620001,52500,18.092625
"122","ILPT",2018-07-09,22.65,22.719999,22.26,22.360001,79600,17.884668
"123","ILPT",2018-07-10,22.360001,22.74,22.360001,22.709999,89900,18.164614
"124","ILPT",2018-07-11,22.790001,22.99,22.48,22.83,208600,18.260593
"125","ILPT",2018-07-12,22.92,23.530001,22.805,23.43,109200,18.740507
"126","ILPT",2018-07-13,23.450001,23.620001,23.299999,23.309999,68800,18.64452
"127","ILPT",2018-07-16,23.309999,23.32,22.965,23.120001,61800,18.49255
"128","ILPT",2018-07-17,23.08,23.49,22.879999,23.15,93300,18.516546
"129","ILPT",2018-07-18,23.129999,23.235001,22.809999,22.83,43300,18.260593
"130","ILPT",2018-07-19,22.83,23.17,22.83,23.02,56000,18.412567
"131","ILPT",2018-07-20,22.98,23.040001,22.815001,23,140200,18.396568
"132","ILPT",2018-07-23,23.040001,23.09,22.92,23.02,67900,18.412567
"133","ILPT",2018-07-24,23.040001,23.15,22.91,23.110001,71600,18.48455
"134","ILPT",2018-07-25,23.129999,23.209999,22.905001,22.959999,84600,18.364578
"135","ILPT",2018-07-26,23.049999,23.799999,22.93,23.4,109400,18.716509
"136","ILPT",2018-07-27,22.66,23.43,22.66,23.190001,84600,18.813864
"137","ILPT",2018-07-30,23.08,23.58,22.629999,22.9,239500,18.578587
"138","ILPT",2018-07-31,22.99,23.23,22.93,23.1,251600,18.740847
"139","ILPT",2018-08-01,22.98,23.15,22.93,23.110001,131900,18.748962
"140","ILPT",2018-08-02,23.23,23.440001,23.200001,23.42,78800,19.000462
"141","ILPT",2018-08-03,23.23,23.74,23.23,23.65,91200,19.187057
"142","ILPT",2018-08-06,23.610001,23.73,23.469999,23.719999,35400,19.243849
"143","ILPT",2018-08-07,23.75,23.799999,23.540001,23.639999,109800,19.178947
"144","ILPT",2018-08-08,23.57,23.65,23.43,23.57,65400,19.122154
"145","ILPT",2018-08-09,23.51,23.9,23.5,23.709999,90300,19.235739
"146","ILPT",2018-08-10,23.66,23.82,21.809999,23.709999,55700,19.235739
"147","ILPT",2018-08-13,23.75,23.889999,23.385,23.610001,114300,19.15461
"148","ILPT",2018-08-14,23.639999,23.84,23.559999,23.799999,71000,19.30875
"149","ILPT",2018-08-15,23.75,23.9,23.530001,23.59,32300,19.138384
"150","ILPT",2018-08-16,23.629999,23.85,23.620001,23.84,64400,19.341204
"151","ILPT",2018-08-17,23.959999,24.15,23.75,24.040001,82300,19.503464
"152","ILPT",2018-08-20,24,24.700001,23.91,24.209999,268300,19.64138
"153","ILPT",2018-08-21,24.200001,24.33,23.879999,24,324200,19.471012
"154","ILPT",2018-08-22,23.940001,24.35,23.865,24,118300,19.471012
"155","ILPT",2018-08-23,23.98,24.08,23.85,23.99,79600,19.462896
"156","ILPT",2018-08-24,23.98,24.041,23.915001,23.99,29000,19.462896
"157","ILPT",2018-08-27,24.110001,24.15,23.74,23.879999,43800,19.373657
"158","ILPT",2018-08-28,23.889999,24.120001,23.82,24,50500,19.471012
"159","ILPT",2018-08-29,24,24.1,21.848,23.98,67700,19.454782
"160","ILPT",2018-08-30,23.969999,24.200001,23.9,24.059999,57300,19.519688
"161","ILPT",2018-08-31,24.059999,24.355,23.85,24.07,102400,19.527805
"162","ILPT",2018-09-04,24.030001,24.030001,23.52,23.700001,78600,19.227621
"163","ILPT",2018-09-05,23.610001,24,23.5,23.85,34700,19.349321
"164","ILPT",2018-09-06,23.84,23.969999,23.549999,23.780001,16500,19.292528
"165","ILPT",2018-09-07,23.700001,23.76,23.5,23.57,41100,19.122154
"166","ILPT",2018-09-10,23.58,23.73,23.370001,23.43,49300,19.008575
"167","ILPT",2018-09-11,23.360001,23.59,23.33,23.4,36200,18.984236
"168","ILPT",2018-09-12,23.309999,23.58,23.08,23.15,41100,18.781412
"169","ILPT",2018-09-13,23.18,23.51,23.059999,23.33,26000,18.927448
