"","symbol","date","open","high","low","close","volume","adjusted"
"1","INFI",2016-01-04,7.7,8.16,6.55,6.91,1999900,6.91
"2","INFI",2016-01-05,6.91,7.52,6.87,7.44,1218000,7.44
"3","INFI",2016-01-06,7.28,7.28,6.28,6.71,1455100,6.71
"4","INFI",2016-01-07,6.51,6.9,6.33,6.68,1667100,6.68
"5","INFI",2016-01-08,6.74,6.88,6.61,6.68,1017200,6.68
"6","INFI",2016-01-11,6.78,6.89,5.81,6.05,1024300,6.05
"7","INFI",2016-01-12,6.18,6.57,5.77,6.25,1060100,6.25
"8","INFI",2016-01-13,6.31,6.45,5.88,5.94,843600,5.94
"9","INFI",2016-01-14,5.97,6.47,5.82,6.3,987500,6.3
"10","INFI",2016-01-15,6.12,6.32,5.87,6.26,1271300,6.26
"11","INFI",2016-01-19,6.37,6.5,5.91,6.15,848100,6.15
"12","INFI",2016-01-20,5.98,6.55,5.8,6.48,1114800,6.48
"13","INFI",2016-01-21,6.48,6.85,6.44,6.48,609700,6.48
"14","INFI",2016-01-22,6.62,6.89,6.26,6.57,644200,6.57
"15","INFI",2016-01-25,6.56,7.07,6.54,6.61,803600,6.61
"16","INFI",2016-01-26,6.66,6.92,6.43,6.8,588400,6.8
"17","INFI",2016-01-27,6.78,6.93,6.31,6.35,867800,6.35
"18","INFI",2016-01-28,6.44,6.58,5.97,6.14,632400,6.14
"19","INFI",2016-01-29,6.18,6.28,5.98,6.21,800700,6.21
"20","INFI",2016-02-01,6.17,6.44,5.83,6.22,637500,6.22
"21","INFI",2016-02-02,6.08,6.17,5.83,5.87,551700,5.87
"22","INFI",2016-02-03,5.9,6,5.55,5.87,608300,5.87
"23","INFI",2016-02-04,5.83,6.15,5.82,5.98,585700,5.98
"24","INFI",2016-02-05,5.93,6.02,5.65,5.72,534100,5.72
"25","INFI",2016-02-08,5.64,5.8,5.24,5.49,710300,5.49
"26","INFI",2016-02-09,5.39,5.78,5.24,5.6,355200,5.6
"27","INFI",2016-02-10,5.67,6.07,5.51,5.67,387200,5.67
"28","INFI",2016-02-11,5.56,5.66,5.34,5.56,573400,5.56
"29","INFI",2016-02-12,5.65,5.93,5.32,5.92,433200,5.92
"30","INFI",2016-02-16,6.02,6.07,5.85,5.99,409000,5.99
"31","INFI",2016-02-17,6.06,6.83,6.06,6.36,938100,6.36
"32","INFI",2016-02-18,6.37,6.42,5.88,5.9,469000,5.9
"33","INFI",2016-02-19,5.89,6.21,5.72,6.2,318600,6.2
"34","INFI",2016-02-22,6.25,6.42,5.94,6.08,428100,6.08
"35","INFI",2016-02-23,6.05,6.2,5.62,5.63,635900,5.63
"36","INFI",2016-02-24,5.7,6.23,5.17,6.1,889600,6.1
"37","INFI",2016-02-25,6.12,6.24,5.88,5.93,612900,5.93
"38","INFI",2016-02-26,6.01,6.26,5.97,6.21,496500,6.21
"39","INFI",2016-02-29,6.19,6.25,5.77,5.78,561600,5.78
"40","INFI",2016-03-01,5.87,6,5.73,5.96,533000,5.96
"41","INFI",2016-03-02,6.33,6.71,6.11,6.68,1278200,6.68
"42","INFI",2016-03-03,6.66,6.84,6.3,6.61,632000,6.61
"43","INFI",2016-03-04,6.65,6.94,6.45,6.59,579200,6.59
"44","INFI",2016-03-07,6.52,6.97,6.5,6.94,769000,6.94
"45","INFI",2016-03-08,6.88,6.94,6.31,6.34,759300,6.34
"46","INFI",2016-03-09,6.39,6.43,5.93,6.18,759300,6.18
"47","INFI",2016-03-10,6.21,6.5,6.05,6.26,465300,6.26
"48","INFI",2016-03-11,6.35,6.39,6.09,6.25,595500,6.25
"49","INFI",2016-03-14,6.25,6.84,6.09,6.62,477100,6.62
"50","INFI",2016-03-15,6.55,6.56,6.13,6.19,589600,6.19
"51","INFI",2016-03-16,6.19,6.31,5.85,5.98,573000,5.98
"52","INFI",2016-03-17,6,6.28,5.71,6.18,688500,6.18
"53","INFI",2016-03-18,6.28,6.5,6.05,6.34,2490700,6.34
"54","INFI",2016-03-21,6.36,6.61,6.21,6.52,478100,6.52
"55","INFI",2016-03-22,5.7,5.8,5.3,5.62,1731900,5.62
"56","INFI",2016-03-23,5.66,5.79,5.25,5.28,937300,5.28
"57","INFI",2016-03-24,5.24,5.44,5.04,5.06,837000,5.06
"58","INFI",2016-03-28,5.06,5.17,4.89,4.95,630900,4.95
"59","INFI",2016-03-29,4.9,5.36,4.75,5.26,718700,5.26
