"","symbol","date","open","high","low","close","volume","adjusted"
"1","INTC",2016-01-04,33.880001,34.009998,33.459999,33.990002,27882200,28.744648
"2","INTC",2016-01-05,33.959999,34,33.529999,33.830002,16709500,28.609343
"3","INTC",2016-01-06,33.25,33.52,32.799999,33.080002,25491300,27.97508
"4","INTC",2016-01-07,32.279999,33.009998,31.84,31.84,37680500,26.926439
"5","INTC",2016-01-08,32.09,32.220001,31.43,31.51,29953800,26.647366
"6","INTC",2016-01-11,31.809999,32.220001,31.68,32.060001,27732400,27.112486
"7","INTC",2016-01-12,32.759998,32.889999,32.27,32.68,28587700,27.63681
"8","INTC",2016-01-13,32.759998,32.93,31.83,31.91,34445700,26.985634
"9","INTC",2016-01-14,31.969999,32.869999,31.799999,32.740002,48728200,27.687553
"10","INTC",2016-01-15,29.73,30.5,29.450001,29.76,76373900,25.167423
"11","INTC",2016-01-19,29.98,30.059999,29.48,29.799999,28878100,25.201252
"12","INTC",2016-01-20,29.35,29.870001,29.209999,29.59,39598200,25.023661
"13","INTC",2016-01-21,29.65,30.030001,29.24,29.66,30157400,25.082855
"14","INTC",2016-01-22,30.120001,30.24,29.51,29.93,25326500,25.31119
"15","INTC",2016-01-25,29.99,30.219999,29.57,29.6,26441000,25.032112
"16","INTC",2016-01-26,29.610001,30.049999,29.610001,29.940001,24754900,25.319651
"17","INTC",2016-01-27,29.879999,30.219999,29.639999,29.809999,26384100,25.209709
"18","INTC",2016-01-28,30.02,30.18,29.75,29.969999,22028100,25.345018
"19","INTC",2016-01-29,30.209999,31.030001,30.1,31.02,38311400,26.232983
"20","INTC",2016-02-01,30.719999,31.120001,30.639999,30.82,19015100,26.063843
"21","INTC",2016-02-02,30.450001,30.49,29.629999,29.799999,24994300,25.201252
"22","INTC",2016-02-03,29.719999,29.719999,28.52,29.34,44660100,25.030628
"23","INTC",2016-02-04,29.139999,29.879999,29.110001,29.77,29257800,25.397469
"24","INTC",2016-02-05,29.58,29.76,28.91,29.040001,27957500,24.774689
"25","INTC",2016-02-08,28.74,28.98,28.299999,28.82,28725900,24.587004
"26","INTC",2016-02-09,28.49,29.15,28.41,28.809999,22902600,24.57847
"27","INTC",2016-02-10,28.879999,29,28.190001,28.23,27267800,24.083658
"28","INTC",2016-02-11,27.83,28.41,27.68,28.219999,28450200,24.075127
"29","INTC",2016-02-12,28.57,28.700001,28.139999,28.639999,19699000,24.433443
"30","INTC",2016-02-16,28.75,28.950001,28.360001,28.780001,30705200,24.552877
"31","INTC",2016-02-17,28.860001,29.620001,28.73,29.469999,27691700,25.141533
"32","INTC",2016-02-18,29.530001,29.76,29.379999,29.42,20623300,25.098875
"33","INTC",2016-02-19,29.200001,29.33,28.709999,28.709999,42056700,24.493156
"34","INTC",2016-02-22,29.110001,29.540001,29,29.35,23893100,25.039158
"35","INTC",2016-02-23,29.299999,29.35,28.6,28.799999,26638200,24.569941
"36","INTC",2016-02-24,28.52,29.299999,28.379999,29.190001,21593600,24.90266
"37","INTC",2016-02-25,29.32,29.620001,28.950001,29.620001,17571400,25.269505
