"","symbol","date","open","high","low","close","volume","adjusted"
"1","IPG",2016-01-04,22.889999,22.889999,22.35,22.82,5941400,18.248936
"2","IPG",2016-01-05,22.889999,23.389999,22.870001,23.26,6266200,18.600803
"3","IPG",2016-01-06,22.959999,23.16,22.68,22.870001,5143600,18.288919
"4","IPG",2016-01-07,22.379999,22.700001,22.1,22.16,3355700,17.721134
"5","IPG",2016-01-08,22.309999,22.43,21.99,22.049999,4176800,17.633175
"6","IPG",2016-01-11,22.17,22.209999,21.73,21.93,3686400,17.53721
"7","IPG",2016-01-12,22.08,22.24,21.799999,22.049999,4077300,17.633175
"8","IPG",2016-01-13,22.049999,22.190001,21.559999,21.68,7092200,17.337292
"9","IPG",2016-01-14,21.76,22.360001,21.65,22.309999,7386600,17.841091
"10","IPG",2016-01-15,21.77,22,21.51,21.719999,5507000,17.369278
"11","IPG",2016-01-19,21.99,22.02,21.57,21.690001,4442800,17.345285
"12","IPG",2016-01-20,21.35,21.57,20.639999,21.1,6815000,16.873466
"13","IPG",2016-01-21,21.1,21.9,20.959999,21.65,7485300,17.313297
"14","IPG",2016-01-22,22,22.280001,21.860001,22.139999,5325800,17.705145
"15","IPG",2016-01-25,21.98,22.1,21.68,21.73,3460800,17.377272
"16","IPG",2016-01-26,21.860001,22.370001,21.790001,22.35,5344500,17.873075
"17","IPG",2016-01-27,22.25,22.65,21.959999,22.059999,3778100,17.641172
"18","IPG",2016-01-28,22.309999,22.309999,21.91,22,3446400,17.593189
"19","IPG",2016-01-29,22.120001,22.51,22.120001,22.440001,4522800,17.945047
"20","IPG",2016-02-01,22.309999,22.639999,22.139999,22.469999,6467000,17.969038
"21","IPG",2016-02-02,22.200001,22.26,21.719999,21.809999,5776400,17.441244
"22","IPG",2016-02-03,21.98,22.1,21.690001,22.040001,5843000,17.625175
"23","IPG",2016-02-04,22.030001,22.24,21.799999,21.91,4555300,17.521219
"24","IPG",2016-02-05,21.799999,21.9,21,21.08,5951700,16.857473
"25","IPG",2016-02-08,20.780001,20.780001,19.83,20.299999,7741300,16.233719
"26","IPG",2016-02-09,20.040001,20.66,19.790001,20.5,7335400,16.393646
"27","IPG",2016-02-10,20.51,20.83,20.360001,20.42,5289900,16.329679
"28","IPG",2016-02-11,20.08,20.549999,19.969999,20.360001,6584100,16.281696
"29","IPG",2016-02-12,20.549999,20.639999,19.93,20.4,6865700,16.313683
"30","IPG",2016-02-16,20.559999,20.85,20.32,20.700001,9078600,16.553595
"31","IPG",2016-02-17,20.9,21.139999,20.790001,20.879999,4156000,16.697533
"32","IPG",2016-02-18,20.889999,21.049999,20.700001,20.870001,4499000,16.689535
"33","IPG",2016-02-19,20.82,21.190001,20.67,21.139999,3679400,16.905455
"34","IPG",2016-02-22,21.139999,21.389999,21.040001,21.23,4798600,16.977425
"35","IPG",2016-02-23,21.200001,21.58,21.120001,21.379999,5369300,17.09738
"36","IPG",2016-02-24,21.129999,21.41,20.93,21.370001,2979400,17.089384
"37","IPG",2016-02-25,21.49,21.68,21.299999,21.58,4945300,17.25732
"38","IPG",2016-02-26,21.59,21.709999,21.309999,21.360001,5007800,17.200945
"39","IPG",2016-02-29,21.379999,21.75,21.33,21.389999,4497100,17.225103
"40","IPG",2016-03-01,21.52,21.74,21.370001,21.65,6881100,17.434479
"41","IPG",2016-03-02,21.6,21.66,21.129999,21.34,4071400,17.184841
"42","IPG",2016-03-03,21.389999,21.469999,21.15,21.440001,3862900,17.265371
"43","IPG",2016-03-04,21.49,21.639999,21.32,21.48,3831300,17.297583
"44","IPG",2016-03-07,21.32,21.540001,21.09,21.379999,5145200,17.217051
"45","IPG",2016-03-08,21.32,21.389999,21.1,21.110001,2332600,16.999624
"46","IPG",2016-03-09,21.24,21.379999,21.059999,21.17,2378500,17.047939
"47","IPG",2016-03-10,21.290001,21.370001,20.82,21.02,4228000,16.927151
