"","symbol","date","open","high","low","close","volume","adjusted"
"1","IPWR",2016-01-04,77.300003,81.300003,77.300003,79.400002,730,79.400002
"2","IPWR",2016-01-05,79,80,77.769997,79.199997,670,79.199997
"3","IPWR",2016-01-06,78.889999,80.199997,78,80,1720,80
"4","IPWR",2016-01-07,79.199997,79.599998,75.599998,76.699997,710,76.699997
"5","IPWR",2016-01-08,79.699997,79.699997,75.300003,75.800003,480,75.800003
"6","IPWR",2016-01-11,75,76,69.599998,71,2870,71
"7","IPWR",2016-01-12,74,74,66.400002,70.800003,3220,70.800003
"8","IPWR",2016-01-13,68.5,74.400002,63.400002,64.099998,4680,64.099998
"9","IPWR",2016-01-14,64.150002,64.599998,58.200001,64,2230,64
"10","IPWR",2016-01-15,59.200001,60.099998,56,59.400002,4770,59.400002
"11","IPWR",2016-01-19,59.599998,59.900002,50.900002,53.900002,4050,53.900002
"12","IPWR",2016-01-20,52.299999,53.900002,50,52.200001,3060,52.200001
"13","IPWR",2016-01-21,52.599998,57.299999,52.299999,56.099998,1220,56.099998
"14","IPWR",2016-01-22,58.200001,62.700001,58.099998,60,2060,60
"15","IPWR",2016-01-25,60,60,51.700001,54.400002,1740,54.400002
"16","IPWR",2016-01-26,57.700001,57.700001,53.5,55.099998,1830,55.099998
"17","IPWR",2016-01-27,57.099998,57.099998,53,53.599998,800,53.599998
"18","IPWR",2016-01-28,55.900002,55.900002,52.5,52.799999,1070,52.799999
"19","IPWR",2016-01-29,53.5,56.900002,53.5,55.799999,490,55.799999
"20","IPWR",2016-02-01,57.5,60.099998,55.799999,57,3000,57
"21","IPWR",2016-02-02,56,56.299999,54.200001,54.700001,550,54.700001
"22","IPWR",2016-02-03,59.200001,61,53.900002,56.200001,1330,56.200001
"23","IPWR",2016-02-04,56.200001,56.599998,55,56.099998,450,56.099998
"24","IPWR",2016-02-05,56.099998,56.099998,52.720001,54.299999,730,54.299999
"25","IPWR",2016-02-08,54.299999,54.299999,49.299999,51,2160,51
"26","IPWR",2016-02-09,49.400002,59.299999,49.400002,51.5,1110,51.5
"27","IPWR",2016-02-10,52.099998,52.130001,50,51.849998,430,51.849998
"28","IPWR",2016-02-11,51.5,52.200001,49.400002,50.990002,2910,50.990002
"29","IPWR",2016-02-12,51.990002,51.990002,46,50.5,1790,50.5
"30","IPWR",2016-02-16,51.400002,51.400002,46.599998,49.400002,1900,49.400002
"31","IPWR",2016-02-17,47.200001,50.799999,46.799999,49.799999,2470,49.799999
"32","IPWR",2016-02-18,47.5,48.220001,44.299999,46.599998,4600,46.599998
"33","IPWR",2016-02-19,45.099998,48.599998,41.200001,44.799999,2670,44.799999
"34","IPWR",2016-02-22,46,48.900002,43.400002,46.599998,3110,46.599998
"35","IPWR",2016-02-23,47,47.099998,42.5,45,2110,45
"36","IPWR",2016-02-24,45.200001,46.099998,44.200001,45.799999,800,45.799999
"37","IPWR",2016-02-25,47.299999,47.299999,43.200001,46.900002,1090,46.900002
"38","IPWR",2016-02-26,45,49.599998,44.5,49.599998,1670,49.599998
"39","IPWR",2016-02-29,49.599998,50,45.5,49.5,1080,49.5
"40","IPWR",2016-03-01,49.5,49.799999,47,49.799999,1320,49.799999
"41","IPWR",2016-03-02,48.700001,49,47.400002,47.5,520,47.5
"42","IPWR",2016-03-03,48,49.299999,47.299999,47.299999,760,47.299999
"43","IPWR",2016-03-04,47.299999,47.299999,45,46,4030,46
"44","IPWR",2016-03-07,45.599998,46.299999,44,44,4400,44
"45","IPWR",2016-03-08,44,45,43.099998,43.700001,1800,43.700001
"46","IPWR",2016-03-09,44.599998,44.599998,43.099998,43.599998,1150,43.599998
"47","IPWR",2016-03-10,43.599998,44.490002,40.200001,40.700001,2020,40.700001
"48","IPWR",2016-03-11,40.700001,43.25,40.299999,42.900002,5960,42.900002
"49","IPWR",2016-03-14,42.400002,43,41,41.599998,3400,41.599998
"50","IPWR",2016-03-15,41.5,42.200001,41,41,620,41
"51","IPWR",2016-03-16,41.5,42.099998,39,41,3050,41
"52","IPWR",2016-03-17,41,43.900002,40.099998,40.099998,1440,40.099998
"53","IPWR",2016-03-18,40.099998,41.900002,39.900002,40,1790,40
"54","IPWR",2016-03-21,40.5,40.5,39.5,39.900002,7980,39.900002
"55","IPWR",2016-03-22,39.900002,41.900002,39.599998,39.799999,5680,39.799999
"56","IPWR",2016-03-23,41.099998,42.970001,40,42.700001,14800,42.700001
"57","IPWR",2016-03-24,41.400002,42.400002,39.400002,41.200001,1740,41.200001
"58","IPWR",2016-03-28,42.5,45.200001,41,45.200001,2360,45.200001
"59","IPWR",2016-03-29,45.200001,45.810001,41.599998,43.700001,4920,43.700001
"60","IPWR",2016-03-30,43.599998,45.599998,43.599998,45.099998,2590,45.099998
"61","IPWR",2016-03-31,45.799999,46.68,44.200001,45.200001,3290,45.200001
"62","IPWR",2016-04-01,45.110001,45.5,44,44.099998,840,44.099998
"63","IPWR",2016-04-04,44.5,45.400002,42.200001,43.5,2030,43.5
"64","IPWR",2016-04-05,43.799999,44.09,41.200001,42.900002,1570,42.900002
"65","IPWR",2016-04-06,42.5,44,41.599998,42,960,42
"66","IPWR",2016-04-07,44.869999,44.869999,41.099998,42,2830,42
"67","IPWR",2016-04-08,42.400002,42.700001,40.799999,42.400002,830,42.400002
"68","IPWR",2016-04-11,42.5,42.900002,41.900002,42.599998,530,42.599998
"69","IPWR",2016-04-12,43,44,42.099998,42.900002,480,42.900002
"70","IPWR",2016-04-13,44,46.5,42.599998,44.400002,1220,44.400002
"71","IPWR",2016-04-14,44.900002,46.650002,42.400002,44.799999,1460,44.799999
"72","IPWR",2016-04-15,45,48.200001,43,46.200001,2290,46.200001
"73","IPWR",2016-04-18,47,62.5,43.799999,61.099998,31400,61.099998
"74","IPWR",2016-04-19,63.700001,66.300003,47.5,49.099998,24310,49.099998
"75","IPWR",2016-04-20,52.799999,57.490002,52.799999,56.5,4480,56.5
"76","IPWR",2016-04-21,57.099998,59.299999,52.5,52.900002,5160,52.900002
"77","IPWR",2016-04-22,54.700001,55.099998,50.700001,52.900002,3030,52.900002
"78","IPWR",2016-04-25,54.799999,54.799999,51.400002,51.799999,1470,51.799999
"79","IPWR",2016-04-26,53,57.5,50.91,53.5,16110,53.5
"80","IPWR",2016-04-27,53.799999,55.599998,53,54.099998,2260,54.099998
"81","IPWR",2016-04-28,54.599998,55.400002,52.5,52.599998,1320,52.599998
"82","IPWR",2016-04-29,53.810001,54.200001,52,54.099998,990,54.099998
"83","IPWR",2016-05-02,56.5,58.400002,53.5,53.799999,3560,53.799999
"84","IPWR",2016-05-03,53.200001,56,51.200001,55.900002,3500,55.900002
"85","IPWR",2016-05-04,54.200001,56,51.5,53.099998,3210,53.099998
"86","IPWR",2016-05-05,52.099998,53.5,51.599998,52.200001,2600,52.200001
