"","symbol","date","open","high","low","close","volume","adjusted"
"1","ISRG",2016-01-04,60.795555,61.09222,59.866669,60.82111,4778100,60.82111
"2","ISRG",2016-01-05,61.005554,61.560001,60.444443,61.328888,3276000,61.328888
"3","ISRG",2016-01-06,60.811111,61.860001,60.33889,61.471111,4533300,61.471111
"4","ISRG",2016-01-07,60.606667,61.83889,59.595554,59.655556,5301000,59.655556
"5","ISRG",2016-01-08,59.962223,60.351112,59.223331,59.615555,3030300,59.615555
"6","ISRG",2016-01-11,60.062222,60.807777,58.976665,59.953335,4142700,59.953335
"7","ISRG",2016-01-12,60.517776,60.792221,59.444443,60.235558,2748600,60.235558
"8","ISRG",2016-01-13,62.493332,63.556667,60.485558,60.57111,8533800,60.57111
"9","ISRG",2016-01-14,61.032223,61.941113,59.792221,61.75222,5256900,61.75222
"10","ISRG",2016-01-15,60.026669,62,59.993332,61.916668,5308200,61.916668
"11","ISRG",2016-01-19,62.060001,62.927776,61.392223,61.832222,4792500,61.832222
"12","ISRG",2016-01-20,61.371113,62.421112,59.779999,61.617779,4656600,61.617779
"13","ISRG",2016-01-21,61.834442,62.211109,60.18111,61.733334,6225300,61.733334
"14","ISRG",2016-01-22,63.208889,64.444443,61.772221,62.901112,6727500,62.901112
"15","ISRG",2016-01-25,62.653332,63.401112,61.861111,62.024445,4140000,62.024445
"16","ISRG",2016-01-26,61.111111,61.665558,60.214443,60.582222,3951900,60.582222
"17","ISRG",2016-01-27,60.693333,60.83889,59.107777,59.335556,3302100,59.335556
"18","ISRG",2016-01-28,59.516666,59.874443,57.833332,58.509998,3975300,58.509998
"19","ISRG",2016-01-29,58.621113,60.137779,58.621113,60.094444,4204800,60.094444
"20","ISRG",2016-02-01,59.888889,60.705555,59.740002,60.351112,2963700,60.351112
"21","ISRG",2016-02-02,59.935555,60.542221,59.343334,59.927776,2112300,59.927776
"22","ISRG",2016-02-03,60.386665,60.59,59.118889,60.566666,2854800,60.566666
"23","ISRG",2016-02-04,60.405556,61.549999,59.68,61.325558,3828600,61.325558
"24","ISRG",2016-02-05,61.222221,61.603333,59.327778,59.582222,5813100,59.582222
"25","ISRG",2016-02-08,58.951111,58.951111,55.782223,56.364445,5797800,56.364445
"26","ISRG",2016-02-09,56.348888,57.833332,55.778889,56.535557,4132800,56.535557
"27","ISRG",2016-02-10,56.671112,58.76889,56.671112,58.267776,3074400,58.267776
"28","ISRG",2016-02-11,57.147778,58.333332,57.147778,57.950001,3057300,57.950001
"29","ISRG",2016-02-12,58.127777,59.391109,57.467777,59.031113,2008800,59.031113
"30","ISRG",2016-02-16,59.555557,59.555557,58.404446,59.462223,3019500,59.462223
"31","ISRG",2016-02-17,59.504444,60.277779,59.111111,60.206669,2840400,60.206669
"32","ISRG",2016-02-18,60.095554,60.547779,59.788891,60.291111,2255400,60.291111
"33","ISRG",2016-02-19,59.849998,60.783333,58.939999,60.704445,2350800,60.704445
"34","ISRG",2016-02-22,61,61.333332,60.377777,61.278889,2244600,61.278889
"35","ISRG",2016-02-23,60.794445,61.444443,60.455555,60.988888,2102400,60.988888
"36","ISRG",2016-02-24,60.445557,61.665558,60.445557,61.516666,3328200,61.516666
"37","ISRG",2016-02-25,61.666668,62.197777,60.716667,62.142223,3926700,62.142223
"38","ISRG",2016-02-26,62.222221,63.345554,61.888889,63.052223,6063300,63.052223
"39","ISRG",2016-02-29,62.941113,63.31889,62.495556,62.562222,4228200,62.562222
"40","ISRG",2016-03-01,62.692223,63.833332,62.376667,63.49889,4662000,63.49889
"41","ISRG",2016-03-02,63.041111,63.833332,63.036667,63.756668,4970700,63.756668
"42","ISRG",2016-03-03,63.334442,64,63.147778,63.782223,2947500,63.782223
"43","ISRG",2016-03-04,63.828888,63.995556,63.134445,63.405556,3285900,63.405556
"44","ISRG",2016-03-07,63.383331,64.041115,62.779999,63.632221,2816100,63.632221
"45","ISRG",2016-03-08,63.145557,63.644444,62.845554,62.984444,2451600,62.984444
"46","ISRG",2016-03-09,63.336666,63.73,62.783333,63.655556,2761200,63.655556
"47","ISRG",2016-03-10,63.544445,63.857777,62.988888,63.744446,2446200,63.744446
"48","ISRG",2016-03-11,63.888889,64.922218,63.691113,64.494446,3000600,64.494446
"49","ISRG",2016-03-14,64.451111,66.221107,63.90778,65.896667,4633200,65.896667
"50","ISRG",2016-03-15,65.236664,66.078888,64.81778,65.26667,4544100,65.26667
"51","ISRG",2016-03-16,64.756668,66.025558,64.741112,65.264442,3103200,65.264442
"52","ISRG",2016-03-17,65.393333,65.555557,62.335556,62.483334,5244300,62.483334
"53","ISRG",2016-03-18,62.887779,64.835556,62.511112,64.783333,5721300,64.783333
"54","ISRG",2016-03-21,64.666664,65.467781,64.166664,64.776665,3429000,64.776665
"55","ISRG",2016-03-22,64.402222,65.761108,64.155556,65.669998,3301200,65.669998
"56","ISRG",2016-03-23,65.692223,66.220001,65.127777,65.147781,2513700,65.147781
"57","ISRG",2016-03-24,64.813332,64.896667,63.98,64.812225,2879100,64.812225
"58","ISRG",2016-03-28,65.077782,65.197777,64.49556,64.907776,1847700,64.907776
"59","ISRG",2016-03-29,64.794441,67.111115,64.666664,67.007774,3061800,67.007774
"60","ISRG",2016-03-30,67.527779,67.527779,66.003334,66.475555,2646900,66.475555
"61","ISRG",2016-03-31,66.58667,67.276665,66.132225,66.783333,2028600,66.783333
"62","ISRG",2016-04-01,66.132225,67.393333,65.671112,67.388885,4113900,67.388885
"63","ISRG",2016-04-04,67.5,69.771111,67.031113,69.117775,4581900,69.117775
"64","ISRG",2016-04-05,68.613335,68.805557,67.706665,68.102219,2866500,68.102219
"65","ISRG",2016-04-06,67.991112,69.837776,67.991112,69.568886,3396600,69.568886
"66","ISRG",2016-04-07,69.542221,69.542221,67.668892,68.308891,2435400,68.308891
"67","ISRG",2016-04-08,68.992226,69.644447,68.352219,68.863335,2341800,68.863335
"68","ISRG",2016-04-11,69.226669,69.657776,68.755554,68.91111,2065500,68.91111
"69","ISRG",2016-04-12,69.599998,69.93,68.827782,69.501114,2622600,69.501114
"70","ISRG",2016-04-13,69.650002,70.074448,69.138885,69.667778,2965500,69.667778
"71","ISRG",2016-04-14,69.667778,69.844444,69.111115,69.232224,1447200,69.232224
"72","ISRG",2016-04-15,69.386665,69.776665,68.89222,69.35778,2566800,69.35778
"73","ISRG",2016-04-18,69.396667,69.91111,69.041115,69.664444,3349800,69.664444
"74","ISRG",2016-04-19,69.666664,69.743332,68.581108,69.301109,5940000,69.301109
"75","ISRG",2016-04-20,71.66333,72.764442,71.326668,71.617775,6276600,71.617775
"76","ISRG",2016-04-21,71.506668,72.096664,71.008888,71.323334,2223000,71.323334
"77","ISRG",2016-04-22,70.166664,71.111115,69.76667,70.905556,3770100,70.905556
"78","ISRG",2016-04-25,70.324448,71.370003,70.282219,70.971107,2799900,70.971107
