"","symbol","date","open","high","low","close","volume","adjusted"
"1","ITCI",2016-01-04,52.900002,53.990002,51.23,53.630001,563800,53.630001
"2","ITCI",2016-01-05,53.91,55.349998,53.450001,54.32,327400,54.32
"3","ITCI",2016-01-06,53.32,54.32,48.304001,49.209999,549900,49.209999
"4","ITCI",2016-01-07,48.049999,48.279999,46.513,47.419998,437700,47.419998
"5","ITCI",2016-01-08,47.73,53.040001,43.880001,45.349998,496500,45.349998
"6","ITCI",2016-01-11,46.029999,46.145,42.16,42.84,487300,42.84
"7","ITCI",2016-01-12,43.400002,45.48,40.799999,42.959999,401200,42.959999
"8","ITCI",2016-01-13,42.91,46.360001,39.369999,40.23,458400,40.23
"9","ITCI",2016-01-14,40.360001,44.400002,39.310001,43.48,509800,43.48
"10","ITCI",2016-01-15,41.41,47.18,41.040001,45.41,629900,45.41
"11","ITCI",2016-01-19,46.029999,46.259998,43.525002,44.599998,596700,44.599998
"12","ITCI",2016-01-20,43.689999,46.330002,42.240002,44.43,426100,44.43
"13","ITCI",2016-01-21,44.209999,44.705002,41.25,41.580002,524800,41.580002
"14","ITCI",2016-01-22,42.91,44.220001,40.189999,42.560001,376900,42.560001
"15","ITCI",2016-01-25,42.07,43.799999,41,41.740002,364000,41.740002
"16","ITCI",2016-01-26,42.139999,42.709999,40.169998,41.59,257800,41.59
"17","ITCI",2016-01-27,41.529999,42.099998,38.009998,39.040001,420600,39.040001
"18","ITCI",2016-01-28,39.599998,40.060001,36.34,37.540001,355100,37.540001
"19","ITCI",2016-01-29,37.59,39.09,35.278,37.080002,615500,37.080002
"20","ITCI",2016-02-01,36.619999,37.299999,35.139999,36.25,503000,36.25
"21","ITCI",2016-02-02,35.540001,36.16,32.400002,32.57,618900,32.57
"22","ITCI",2016-02-03,33.32,33.797001,30.370001,32.400002,725600,32.400002
"23","ITCI",2016-02-04,32.139999,35.470001,31.120001,32.610001,582300,32.610001
"24","ITCI",2016-02-05,32.110001,32.595001,28.52,28.6,619200,28.6
"25","ITCI",2016-02-08,27.219999,28,24.837999,25.84,1040300,25.84
"26","ITCI",2016-02-09,25.16,28.629,25.16,26.52,675200,26.52
"27","ITCI",2016-02-10,26.59,28.559999,25.959999,26.1,517700,26.1
"28","ITCI",2016-02-11,25.49,27.25,24.58,26.610001,480700,26.610001
"29","ITCI",2016-02-12,27.4,27.65,25.58,26.190001,530300,26.190001
"30","ITCI",2016-02-16,26.83,28.48,26.264999,27.9,617900,27.9
"31","ITCI",2016-02-17,28.99,31.780001,27.799999,30.51,912200,30.51
"32","ITCI",2016-02-18,30.77,31.040001,29.6,29.85,547300,29.85
"33","ITCI",2016-02-19,29.530001,31.040001,26.76,30.469999,489300,30.469999
"34","ITCI",2016-02-22,31.08,33.27,30.469999,32.560001,474100,32.560001
"35","ITCI",2016-02-23,33.119999,34.029999,29.42,30.059999,730800,30.059999
"36","ITCI",2016-02-24,29.5,30.73,28.040001,30.18,834500,30.18
"37","ITCI",2016-02-25,30.4,32.639999,27.440001,27.709999,1059800,27.709999
"38","ITCI",2016-02-26,27.99,31.209999,27.52,30.4,1036800,30.4
"39","ITCI",2016-02-29,30.110001,30.395,27.85,28.120001,888600,28.120001
"40","ITCI",2016-03-01,28.870001,29.83,27.309999,29.82,1169500,29.82
"41","ITCI",2016-03-02,29.82,31.521,29.27,31.219999,1149500,31.219999
"42","ITCI",2016-03-03,31.110001,31.49,30.08,30.73,453600,30.73
"43","ITCI",2016-03-04,30.85,31.193001,28.98,29.27,583800,29.27
"44","ITCI",2016-03-07,29.120001,31.98,28.629999,31.57,588100,31.57
"45","ITCI",2016-03-08,31.43,31.565001,29.379999,29.469999,476600,29.469999
"46","ITCI",2016-03-09,29.65,29.879999,27.26,27.82,636000,27.82
"47","ITCI",2016-03-10,28.209999,29.57,26.02,26.84,608100,26.84
"48","ITCI",2016-03-11,27.190001,27.77,26.299999,27.639999,607800,27.639999
"49","ITCI",2016-03-14,27.610001,28.33,26.879999,27.709999,427000,27.709999
"50","ITCI",2016-03-15,27.209999,27.579,25.07,26.059999,515300,26.059999
"51","ITCI",2016-03-16,25.9,26.690001,24.68,25.25,346200,25.25
"52","ITCI",2016-03-17,25.09,25.889999,23.08,23.6,834100,23.6
"53","ITCI",2016-03-18,23.790001,24.4,22.41,24.16,1292500,24.16
"54","ITCI",2016-03-21,24.389999,27.01,24.389999,26.15,792700,26.15
"55","ITCI",2016-03-22,25.799999,28.23,25.610001,27.26,754900,27.26
"56","ITCI",2016-03-23,27.309999,27.59,25.733999,26.219999,506300,26.219999
"57","ITCI",2016-03-24,25.959999,25.959999,24.35,25.58,607400,25.58
"58","ITCI",2016-03-28,25.889999,27.790001,25.889999,26.059999,520100,26.059999
"59","ITCI",2016-03-29,25.950001,28.639999,25.611,28.52,586400,28.52
"60","ITCI",2016-03-30,28.84,29.18,27.4,27.700001,527200,27.700001
"61","ITCI",2016-03-31,27.700001,28.77,26.91,27.799999,511900,27.799999
"62","ITCI",2016-04-01,27.440001,28.542,27.129999,28.25,398900,28.25
"63","ITCI",2016-04-04,28.26,30.950001,28.26,30.52,649900,30.52
"64","ITCI",2016-04-05,30.01,31.219999,29.26,30.25,557800,30.25
"65","ITCI",2016-04-06,30.450001,34.869999,30.450001,34.450001,1036500,34.450001
"66","ITCI",2016-04-07,34.419998,35.73,33.970001,34.799999,779800,34.799999
"67","ITCI",2016-04-08,35.5,35.879002,33.380001,34.279999,489900,34.279999
"68","ITCI",2016-04-11,34.810001,34.810001,32.860001,33.060001,389200,33.060001
"69","ITCI",2016-04-12,32.93,33.669998,32.119999,33.380001,294500,33.380001
"70","ITCI",2016-04-13,33.5,34.599998,32.880001,34.360001,3e+05,34.360001
"71","ITCI",2016-04-14,34.419998,36.150002,33.919998,35.509998,415600,35.509998
"72","ITCI",2016-04-15,35.290001,36.110001,34.990002,35.34,389300,35.34
"73","ITCI",2016-04-18,35,37.380001,35,36.849998,442500,36.849998
"74","ITCI",2016-04-19,36.950001,37.610001,35.52,36.139999,350400,36.139999
"75","ITCI",2016-04-20,36.150002,36.595001,34.771999,35.630001,251900,35.630001
"76","ITCI",2016-04-21,35.639999,37.915001,35.139999,37.130001,461000,37.130001
"77","ITCI",2016-04-22,37.279999,38.18,36.759998,37.98,471200,37.98
"78","ITCI",2016-04-25,37.830002,38.416,36.84,37.41,372700,37.41
"79","ITCI",2016-04-26,37.310001,37.34,35.59,36.720001,307200,36.720001
"80","ITCI",2016-04-27,36.52,36.880001,34.52,35.630001,497100,35.630001
"81","ITCI",2016-04-28,36.240002,36.540001,33.650002,34.290001,480700,34.290001
"82","ITCI",2016-04-29,34.490002,35.080002,33.77,34.32,308700,34.32
"83","ITCI",2016-05-02,34.619999,35.240002,34.130001,35.080002,305500,35.080002
"84","ITCI",2016-05-03,34.68,36.25,34.34,35.07,374000,35.07
"85","ITCI",2016-05-04,34.639999,34.990002,32.07,32.18,358300,32.18
"86","ITCI",2016-05-05,32.330002,32.599998,30.450001,31.25,473700,31.25
"87","ITCI",2016-05-06,30.719999,31.77,30.16,30.99,276500,30.99
"88","ITCI",2016-05-09,31.17,33.790001,30.98,33.139999,350300,33.139999
"89","ITCI",2016-05-10,33.360001,33.950001,32.200001,33.439999,276400,33.439999
"90","ITCI",2016-05-11,33.34,34,32.130001,32.330002,262400,32.330002
"91","ITCI",2016-05-12,32.27,32.513,30.67,31.629999,285000,31.629999
"92","ITCI",2016-05-13,31.629999,33.490002,31.629999,32.43,276000,32.43
"93","ITCI",2016-05-16,32.759998,34.849998,32.5,34.709999,286000,34.709999
"94","ITCI",2016-05-17,34.52,35.299999,33.509998,33.709999,388800,33.709999
"95","ITCI",2016-05-18,33.599998,35.450001,33.48,34.59,354800,34.59
"96","ITCI",2016-05-19,34.43,35.419998,33.43,34.220001,338800,34.220001
"97","ITCI",2016-05-20,34.509998,35.650002,33.919998,35.23,355600,35.23
"98","ITCI",2016-05-23,35.240002,36.77,34.52,36.740002,573100,36.740002
"99","ITCI",2016-05-24,37.330002,37.330002,35.880001,36.91,359300,36.91
"100","ITCI",2016-05-25,37.259998,37.799999,36.41,36.939999,307200,36.939999
"101","ITCI",2016-05-26,36.880001,37.279999,35.43,36.93,322000,36.93
"102","ITCI",2016-05-27,37.150002,37.669998,36.080002,37.330002,4e+05,37.330002
"103","ITCI",2016-05-31,37.709999,39.110001,37.369999,38.700001,361100,38.700001
"104","ITCI",2016-06-01,38.599998,40.049999,38.220001,39.450001,330800,39.450001
"105","ITCI",2016-06-02,39.630001,41.290001,39.450001,40.490002,357300,40.490002
"106","ITCI",2016-06-03,40.169998,40.529999,38.32,39.939999,392900,39.939999
"107","ITCI",2016-06-06,40.299999,41.720001,39.84,40.91,330300,40.91
"108","ITCI",2016-06-07,40.580002,41.542999,39.549999,40.900002,285600,40.900002
"109","ITCI",2016-06-08,40.959999,42.025002,40.16,41.150002,212800,41.150002
"110","ITCI",2016-06-09,40.700001,41.900002,40.439999,41.310001,398200,41.310001
"111","ITCI",2016-06-10,40.639999,41.91,39.610001,40.290001,476600,40.290001
"112","ITCI",2016-06-13,39.990002,41.580002,38.75,39.209999,750800,39.209999
"113","ITCI",2016-06-14,39.040001,39.98,37.73,38.349998,571000,38.349998
"114","ITCI",2016-06-15,38.720001,40,38.32,39.169998,455600,39.169998
"115","ITCI",2016-06-16,38.82,39.615002,37.939999,39.209999,300600,39.209999
"116","ITCI",2016-06-17,39.220001,39.610001,36.860001,37.43,1433700,37.43
"117","ITCI",2016-06-20,37.810001,39.849998,37.34,38.669998,616100,38.669998
"118","ITCI",2016-06-21,38.599998,38.599998,35.900002,36.610001,570700,36.610001
"119","ITCI",2016-06-22,36.740002,36.98,35.049999,35.91,575200,35.91
"120","ITCI",2016-06-23,36.549999,37.75,35.849998,37.740002,342500,37.740002
"121","ITCI",2016-06-24,35.650002,37.400002,35.23,36.380001,1581800,36.380001
"122","ITCI",2016-06-27,35.939999,37.200001,33.959999,34.66,672500,34.66
"123","ITCI",2016-06-28,35,37.577,34.209999,35.799999,512100,35.799999
"124","ITCI",2016-06-29,36.360001,37.830002,36.360001,37.43,644400,37.43
"125","ITCI",2016-06-30,37.48,38.900002,37.02,38.82,626400,38.82
"126","ITCI",2016-07-01,38.830002,40.279999,38.07,39.68,479100,39.68
"127","ITCI",2016-07-05,39.369999,39.459999,38.060001,38.93,300300,38.93
"128","ITCI",2016-07-06,38.66,39.98,38.509998,39.490002,276200,39.490002
"129","ITCI",2016-07-07,39.740002,39.848,38.599998,39.669998,396100,39.669998
"130","ITCI",2016-07-08,39.990002,40.759998,39.137001,40.639999,305000,40.639999
"131","ITCI",2016-07-11,40.91,41.27,40.259998,41,208300,41
"132","ITCI",2016-07-12,41.41,42.18,41,41.450001,285300,41.450001
"133","ITCI",2016-07-13,41.650002,41.970001,39.389999,39.77,324700,39.77
"134","ITCI",2016-07-14,40.32,40.32,37.700001,38.900002,340700,38.900002
"135","ITCI",2016-07-15,38.98,39.740002,38.470001,39.66,246000,39.66
"136","ITCI",2016-07-18,39.580002,40,38.98,39.41,229100,39.41
"137","ITCI",2016-07-19,39.439999,39.740002,38.57,38.759998,240600,38.759998
"138","ITCI",2016-07-20,39.189999,40.59,38.889999,40.48,384000,40.48
"139","ITCI",2016-07-21,40.75,41.799999,39.990002,41.029999,441500,41.029999
"140","ITCI",2016-07-22,41.049999,41.380001,40.52,41.299999,264700,41.299999
"141","ITCI",2016-07-25,41.380001,41.740002,40.220001,40.919998,206500,40.919998
"142","ITCI",2016-07-26,40.66,41.299999,40.099998,40.330002,245500,40.330002
"143","ITCI",2016-07-27,40.5,41.650002,40.43,41.59,235400,41.59
"144","ITCI",2016-07-28,41.720001,42.169998,40.59,40.970001,278200,40.970001
"145","ITCI",2016-07-29,40.810001,42.029999,39.959999,40.799999,392300,40.799999
"146","ITCI",2016-08-01,41.009998,41.290001,40.470001,41.240002,602300,41.240002
"147","ITCI",2016-08-02,41.150002,41.529999,40.409,40.98,352400,40.98
"148","ITCI",2016-08-03,40.84,41.462002,40.43,40.939999,333000,40.939999
"149","ITCI",2016-08-04,41.299999,41.860001,40.599998,40.779999,337200,40.779999
"150","ITCI",2016-08-05,41.439999,43.849998,40.720001,42.720001,1060300,42.720001
"151","ITCI",2016-08-08,42.889999,43.689999,42.189999,42.98,1354600,42.98
"152","ITCI",2016-08-09,42.939999,44.02,42.639999,43,617200,43
"153","ITCI",2016-08-10,43.009998,43.259998,41.07,41.25,599500,41.25
"154","ITCI",2016-08-11,41.490002,41.848,40.630001,40.720001,288400,40.720001
"155","ITCI",2016-08-12,40.669998,40.700001,40.07,40.290001,210000,40.290001
"156","ITCI",2016-08-15,40.299999,41.299999,40.18,41.009998,319500,41.009998
"157","ITCI",2016-08-16,40.970001,41.599998,40.450001,41.044998,376000,41.044998
"158","ITCI",2016-08-17,40.990002,41.044998,39.563,40.18,323100,40.18
"159","ITCI",2016-08-18,40.07,41.049999,40,40.959999,228900,40.959999
"160","ITCI",2016-08-19,40.709999,41.049999,40.490002,40.73,304900,40.73
"161","ITCI",2016-08-22,40.849998,41.509998,40.540001,40.990002,333100,40.990002
"162","ITCI",2016-08-23,41.189999,42.360001,40.799999,41.959999,458100,41.959999
"163","ITCI",2016-08-24,41.810001,42.830002,40.139999,40.650002,611100,40.650002
"164","ITCI",2016-08-25,40.73,42.959999,39.02,39.68,399500,39.68
"165","ITCI",2016-08-26,39.790001,40.939999,39.619999,40.380001,324400,40.380001
"166","ITCI",2016-08-29,40.470001,41.169998,39.869999,40.700001,271000,40.700001
"167","ITCI",2016-08-30,40.630001,41.240002,40.34,40.990002,447200,40.990002
"168","ITCI",2016-08-31,41.07,41.43,40.099998,40.34,305000,40.34
"169","ITCI",2016-09-01,40.349998,40.959999,40.02,40.630001,327000,40.630001
"170","ITCI",2016-09-02,40.810001,41.02,39.959999,40.43,179400,40.43
"171","ITCI",2016-09-06,40.43,42.691002,40.43,41.549999,526300,41.549999
"172","ITCI",2016-09-07,41.669998,43.990002,41.669998,43.860001,558500,43.860001
"173","ITCI",2016-09-08,43.939999,44.258999,42.880001,43.849998,434800,43.849998
"174","ITCI",2016-09-09,43.220001,43.740002,42.32,42.349998,322200,42.349998
"175","ITCI",2016-09-12,42.099998,43.950001,42.040001,43.779999,202500,43.779999
"176","ITCI",2016-09-13,43.419998,43.939999,41.740002,42.700001,255600,42.700001
"177","ITCI",2016-09-14,42.810001,43.970001,42.810001,43.459999,235100,43.459999
"178","ITCI",2016-09-15,43.650002,45,43.540001,44.299999,519300,44.299999
"179","ITCI",2016-09-16,44.290001,45.130001,43.639999,44.48,782600,44.48
"180","ITCI",2016-09-19,44.900002,45.200001,43.91,44.139999,599300,44.139999
"181","ITCI",2016-09-20,44.450001,44.919998,43.459999,43.59,337600,43.59
"182","ITCI",2016-09-21,43.639999,44.189999,40.52,40.889999,872200,40.889999
"183","ITCI",2016-09-22,41.110001,41.189999,39.764999,40.869999,516900,40.869999
"184","ITCI",2016-09-23,40.869999,42.830002,40.869999,42.400002,589600,42.400002
"185","ITCI",2016-09-26,42.25,42.400002,40.709999,40.759998,330400,40.759998
"186","ITCI",2016-09-27,40.549999,41.73,40.200001,41.52,421400,41.52
"187","ITCI",2016-09-28,41.630001,42.400002,40.700001,42.349998,2938900,42.349998
"188","ITCI",2016-09-29,15.41,16.23,14.88,15.42,15898600,15.42
"189","ITCI",2016-09-30,15.41,15.87,14.44,15.24,5567900,15.24
"190","ITCI",2016-10-03,15.24,15.75,15.2,15.46,1981600,15.46
"191","ITCI",2016-10-04,15.4,15.423,14.56,14.65,1546300,14.65
"192","ITCI",2016-10-05,14.61,15.255,14.345,14.94,1353900,14.94
"193","ITCI",2016-10-06,14.81,14.89,14.48,14.83,809300,14.83
"194","ITCI",2016-10-07,14.91,15.2,14.64,15.145,854700,15.145
"195","ITCI",2016-10-10,15.21,15.46,15.01,15.09,1101000,15.09
"196","ITCI",2016-10-11,14.89,15.09,14.25,14.46,823300,14.46
"197","ITCI",2016-10-12,14.48,14.62,13.55,13.59,785500,13.59
"198","ITCI",2016-10-13,13.48,13.99,13.29,13.43,714500,13.43
"199","ITCI",2016-10-14,13.5,13.62,12.98,13.03,591700,13.03
"200","ITCI",2016-10-17,13.08,13.28,12.85,13.25,882000,13.25
"201","ITCI",2016-10-18,13.36,13.62,13.027,13.12,615500,13.12
"202","ITCI",2016-10-19,13.12,13.18,12.95,13.11,579800,13.11
"203","ITCI",2016-10-20,13.05,13.35,13.011,13.21,427900,13.21
"204","ITCI",2016-10-21,13.07,13.93,13.07,13.65,879100,13.65
"205","ITCI",2016-10-24,13.69,13.92,13.19,13.3,534500,13.3
"206","ITCI",2016-10-25,13.34,13.53,13.01,13.06,647200,13.06
