"","symbol","date","open","high","low","close","volume","adjusted"
"1","IX",2016-01-04,69.190002,69.599998,68.720001,69.519997,91100,69.519997
"2","IX",2016-01-05,70.889999,71.019997,70.260002,70.970001,18800,70.970001
"3","IX",2016-01-06,70.550003,70.989998,70.339996,70.589996,21300,70.589996
"4","IX",2016-01-07,68.610001,68.900002,68.050003,68.199997,19900,68.199997
"5","IX",2016-01-08,68.309998,68.309998,66.110001,66.379997,25900,66.379997
"6","IX",2016-01-11,67.32,67.419998,66.120003,67.07,39400,67.07
"7","IX",2016-01-12,67.849998,67.919998,66.82,67.889999,39500,67.889999
"8","IX",2016-01-13,68.580002,68.669998,66.75,67.18,196600,67.18
"9","IX",2016-01-14,68.099998,69.43,67.489998,69,39000,69
"10","IX",2016-01-15,66.239998,66.809998,65.269997,66.099998,45300,66.099998
"11","IX",2016-01-19,68.019997,68.019997,66.690002,67.32,39700,67.32
"12","IX",2016-01-20,65.559998,65.599998,63.57,65.230003,33000,65.230003
"13","IX",2016-01-21,61.400002,63.040001,61.400002,62.75,37500,62.75
"14","IX",2016-01-22,64.690002,66.019997,64.330002,65.870003,30700,65.870003
"15","IX",2016-01-25,65.68,66.360001,65.419998,65.459999,32300,65.459999
"16","IX",2016-01-26,65.339996,66.120003,65.110001,65.989998,24900,65.989998
"17","IX",2016-01-27,67.43,70.43,67.309998,69.699997,69100,69.699997
"18","IX",2016-01-28,67.620003,67.779999,66.370003,67.050003,70400,67.050003
"19","IX",2016-01-29,69.639999,71.339996,68.839996,71.339996,68300,71.339996
"20","IX",2016-02-01,74.550003,75.32,74.550003,75.139999,64300,75.139999
"21","IX",2016-02-02,72.830002,72.919998,71.690002,72.019997,42500,72.019997
"22","IX",2016-02-03,71.459999,71.459999,69.139999,70.650002,43500,70.650002
"23","IX",2016-02-04,70.230003,71.019997,70.010002,70.870003,45900,70.870003
"24","IX",2016-02-05,69.040001,69.07,67.730003,68.150002,60600,68.150002
"25","IX",2016-02-08,67.650002,67.779999,66.239998,67.269997,77300,67.269997
"26","IX",2016-02-09,64.75,66.419998,64.75,65.989998,31400,65.989998
"27","IX",2016-02-10,63.880001,64.43,62.610001,62.919998,32400,62.919998
"28","IX",2016-02-11,61.299999,62.169998,60.720001,61.720001,61900,61.720001
"29","IX",2016-02-12,57.439999,58.970001,57,58.950001,86300,58.950001
"30","IX",2016-02-16,60.57,61.240002,60.360001,61.139999,36100,61.139999
"31","IX",2016-02-17,61.93,62.73,61.93,62.400002,37500,62.400002
"32","IX",2016-02-18,62.77,62.849998,61.98,62.110001,29900,62.110001
"33","IX",2016-02-19,61.610001,61.610001,60.790001,61.099998,114500,61.099998
"34","IX",2016-02-22,63.529999,63.93,63.41,63.880001,42500,63.880001
"35","IX",2016-02-23,63.610001,63.610001,62.689999,62.799999,46400,62.799999
"36","IX",2016-02-24,62.869999,64.120003,62.560001,64,25300,64
"37","IX",2016-02-25,65.959999,66.690002,65.580002,66.510002,34800,66.510002
"38","IX",2016-02-26,66.959999,66.959999,66.07,66.25,32800,66.25
"39","IX",2016-02-29,66.040001,66.040001,65.040001,65.199997,92000,65.199997
"40","IX",2016-03-01,66.919998,68.940002,66.870003,68.440002,139100,68.440002
"41","IX",2016-03-02,68.720001,69.190002,68.5,69.050003,91400,69.050003
"42","IX",2016-03-03,69.870003,69.989998,69.580002,69.959999,19100,69.959999
"43","IX",2016-03-04,70.290001,70.57,69.690002,70.330002,37000,70.330002
"44","IX",2016-03-07,69.199997,69.620003,69,69.330002,20600,69.330002
"45","IX",2016-03-08,69.379997,69.720001,68.910004,69.050003,43800,69.050003
"46","IX",2016-03-09,68.769997,68.769997,68.120003,68.370003,22300,68.370003
"47","IX",2016-03-10,70.25,70.989998,68.459999,69.370003,190200,69.370003
"48","IX",2016-03-11,71.010002,71.910004,70.93,71.860001,35800,71.860001
"49","IX",2016-03-14,71.739998,71.879997,71.330002,71.699997,47100,71.699997
"50","IX",2016-03-15,70.019997,70.169998,69.669998,70.080002,39100,70.080002
"51","IX",2016-03-16,70.07,71.330002,70.07,71.129997,56300,71.129997
"52","IX",2016-03-17,71.419998,72.760002,71.279999,72.5,51300,72.5
"53","IX",2016-03-18,72.669998,73.029999,72.519997,72.760002,78700,72.760002
"54","IX",2016-03-21,72.709999,73.669998,72.510002,73.510002,60800,73.510002
"55","IX",2016-03-22,72.480003,72.809998,71.879997,72.290001,45200,72.290001
"56","IX",2016-03-23,71.57,71.57,70.730003,70.739998,23600,70.739998
"57","IX",2016-03-24,70.410004,70.910004,70.349998,70.889999,42500,70.889999
"58","IX",2016-03-28,71.379997,71.82,71.209999,71.489998,24000,71.489998
"59","IX",2016-03-29,71.489998,72.699997,71.470001,72.699997,28200,72.699997
"60","IX",2016-03-30,72.650002,72.790001,72.050003,72.260002,120100,72.260002
"61","IX",2016-03-31,71.379997,71.620003,71.279999,71.389999,20500,71.389999
"62","IX",2016-04-01,69.639999,70.599998,69.639999,70.330002,22200,70.330002
"63","IX",2016-04-04,69.540001,69.620003,69.099998,69.620003,69900,69.620003
"64","IX",2016-04-05,67.949997,68.239998,67.690002,67.879997,115600,67.879997
"65","IX",2016-04-06,67.540001,68.459999,67.379997,68.410004,21400,68.410004
"66","IX",2016-04-07,69.57,69.669998,68.379997,68.75,51300,68.75
"67","IX",2016-04-08,71.089996,71.5,70.720001,70.830002,31800,70.830002
"68","IX",2016-04-11,71.300003,71.400002,70.239998,70.279999,28000,70.279999
"69","IX",2016-04-12,72.940002,73.919998,72.870003,73.440002,20600,73.440002
"70","IX",2016-04-13,75.75,76.489998,75.580002,76.309998,27100,76.309998
"71","IX",2016-04-14,74.620003,74.779999,74.309998,74.559998,24000,74.559998
"72","IX",2016-04-15,73.919998,73.919998,73.309998,73.410004,29400,73.410004
"73","IX",2016-04-18,72.75,74.120003,72.75,73.940002,21400,73.940002
"74","IX",2016-04-19,74.389999,74.760002,74.190002,74.489998,17800,74.489998
"75","IX",2016-04-20,75.260002,76.830002,75.260002,76.190002,20500,76.190002
"76","IX",2016-04-21,75.760002,75.900002,75.220001,75.279999,18000,75.279999
"77","IX",2016-04-22,76.190002,76.739998,76.120003,76.650002,16200,76.650002
"78","IX",2016-04-25,75.669998,75.709999,74.959999,75.580002,35300,75.580002
"79","IX",2016-04-26,74.690002,75.18,74.470001,75.18,13700,75.18
"80","IX",2016-04-27,74.879997,75.349998,74.650002,75.139999,14400,75.139999
"81","IX",2016-04-28,72.010002,72.709999,70.309998,70.650002,44600,70.650002
"82","IX",2016-04-29,70.510002,70.610001,69.190002,69.559998,96400,69.559998
"83","IX",2016-05-02,71.18,71.400002,70.82,71.370003,16100,71.370003
"84","IX",2016-05-03,70.650002,70.830002,69.860001,70.220001,25800,70.220001
"85","IX",2016-05-04,69.760002,69.900002,69.239998,69.610001,34400,69.610001
"86","IX",2016-05-05,69.919998,70.190002,69.709999,70.190002,18200,70.190002
"87","IX",2016-05-06,70.010002,70.870003,70.010002,70.75,10400,70.75
"88","IX",2016-05-09,71.93,72.5,71.790001,72.209999,138100,72.209999
"89","IX",2016-05-10,73.239998,73.239998,71.580002,72.040001,33600,72.040001
"90","IX",2016-05-11,71.309998,71.400002,70.400002,70.519997,21700,70.519997
