"","symbol","date","open","high","low","close","volume","adjusted"
"1","KIM",2016-01-04,26.17,26.190001,25.51,25.75,4018400,19.024776
"2","KIM",2016-01-05,25.860001,26.68,25.77,26.559999,2699100,19.623228
"3","KIM",2016-01-06,26.33,26.65,26.280001,26.32,4626900,19.445908
"4","KIM",2016-01-07,25.85,26.1,25.65,25.66,4445100,18.958284
"5","KIM",2016-01-08,25.799999,25.9,25.17,25.219999,3185400,18.6332
"6","KIM",2016-01-11,25.280001,25.719999,25.27,25.620001,3328100,18.928734
"7","KIM",2016-01-12,25.889999,26.01,25.23,25.51,4332600,18.847462
"8","KIM",2016-01-13,25.559999,25.98,25.18,25.209999,3460900,18.625816
"9","KIM",2016-01-14,25.389999,25.549999,25.15,25.280001,3035700,18.67753
"10","KIM",2016-01-15,24.84,25.469999,24.75,25.4,4828400,18.76619
"11","KIM",2016-01-19,25.74,25.870001,25.59,25.709999,3028000,18.995224
"12","KIM",2016-01-20,25.32,25.719999,24.85,25.35,5588000,18.729248
"13","KIM",2016-01-21,25.57,26.32,25.35,26,6569700,19.209484
"14","KIM",2016-01-22,26.379999,26.84,26.27,26.58,4438700,19.638006
"15","KIM",2016-01-25,26.6,26.870001,26.18,26.190001,3475700,19.349869
"16","KIM",2016-01-26,26.219999,26.75,26.219999,26.74,3155000,19.75622
"17","KIM",2016-01-27,26.58,26.719999,26.27,26.440001,2277400,19.534569
"18","KIM",2016-01-28,26.67,26.780001,26.360001,26.440001,2731400,19.534569
"19","KIM",2016-01-29,26.690001,27.209999,26.5,27.190001,5147500,20.088688
"20","KIM",2016-02-01,26.99,27.58,26.75,27.290001,4356900,20.162571
"21","KIM",2016-02-02,27.16,27.35,27.049999,27.18,4081300,20.081305
"22","KIM",2016-02-03,27.969999,28.08,27.43,27.74,5099700,20.495041
"23","KIM",2016-02-04,27.639999,27.93,27.540001,27.809999,3173500,20.546762
"24","KIM",2016-02-05,27.809999,27.809999,27.450001,27.57,3557300,20.369446
"25","KIM",2016-02-08,27.57,27.68,26.35,26.860001,3656700,19.844877
"26","KIM",2016-02-09,26.67,27.290001,26.58,27.02,3504300,19.963091
"27","KIM",2016-02-10,27.15,27.360001,26.709999,26.74,4017500,19.75622
"28","KIM",2016-02-11,26.360001,26.540001,26.059999,26.280001,3548800,19.416357
"29","KIM",2016-02-12,26.58,26.67,26.120001,26.290001,4054500,19.42375
"30","KIM",2016-02-16,26.66,26.799999,26.24,26.52,4017400,19.593676
"31","KIM",2016-02-17,26.83,27.02,26.610001,26.77,2869000,19.778379
"32","KIM",2016-02-18,26.73,26.85,26.52,26.780001,2544800,19.78577
"33","KIM",2016-02-19,26.790001,27.120001,26.540001,26.9,2149700,19.87443
"34","KIM",2016-02-22,27.15,27.290001,26.879999,27.07,2065100,20.000032
"35","KIM",2016-02-23,26.959999,27.190001,26.860001,26.889999,2164300,19.867041
"36","KIM",2016-02-24,26.780001,26.860001,26.35,26.559999,2462100,19.623228
"37","KIM",2016-02-25,26.790001,27.129999,26.780001,27.120001,2663800,20.036974
"38","KIM",2016-02-26,27.15,27.15,26.65,26.690001,3746100,19.719276
"39","KIM",2016-02-29,26.690001,26.870001,26.58,26.75,4741000,19.763603
"40","KIM",2016-03-01,27.02,27.389999,26.889999,27.389999,2395000,20.236454
"41","KIM",2016-03-02,27.26,27.5,27.23,27.5,1841600,20.317724
"42","KIM",2016-03-03,27.43,27.629999,27.309999,27.629999,1436600,20.413774
"43","KIM",2016-03-04,27.6,27.629999,27.35,27.610001,1970400,20.398998
"44","KIM",2016-03-07,27.35,27.49,27.110001,27.450001,1869200,20.280783
"45","KIM",2016-03-08,27.33,27.469999,27.190001,27.33,2552900,20.192129
"46","KIM",2016-03-09,27.379999,27.610001,27.25,27.370001,2037700,20.22168
"47","KIM",2016-03-10,27.41,27.559999,26.969999,27.33,2497400,20.192129
"48","KIM",2016-03-11,27.6,27.799999,27.389999,27.780001,2929400,20.524595
"49","KIM",2016-03-14,27.68,27.85,27.629999,27.799999,1830900,20.539371
"50","KIM",2016-03-15,27.66,28.129999,27.65,28.09,2216500,20.753633
"51","KIM",2016-03-16,27.92,28.4,27.82,28.360001,2906700,20.953115
"52","KIM",2016-03-17,28.33,29.110001,28.209999,29.049999,5472300,21.462906
"53","KIM",2016-03-18,28.99,28.99,28.469999,28.49,4923600,21.049168
"54","KIM",2016-03-21,28.32,28.48,27.85,27.879999,2186100,20.598478
"55","KIM",2016-03-22,27.889999,28.23,27.82,28,2389700,20.68714
"56","KIM",2016-03-23,27.99,28.030001,27.76,27.790001,1841300,20.531986
"57","KIM",2016-03-24,27.67,27.889999,27.52,27.799999,2073300,20.539371
"58","KIM",2016-03-28,27.83,28.030001,27.790001,28.01,2050300,20.694525
"59","KIM",2016-03-29,27.940001,28.82,27.940001,28.809999,2265700,21.285585
"60","KIM",2016-03-30,28.860001,28.9,28.639999,28.66,1929600,21.174767
"61","KIM",2016-03-31,28.74,28.799999,28.48,28.780001,2858700,21.263426
"62","KIM",2016-04-01,28.49,28.809999,28.35,28.629999,2285200,21.341692
"63","KIM",2016-04-04,28.639999,28.68,28.23,28.4,1923700,21.170242
"64","KIM",2016-04-05,28.27,28.360001,28.09,28.15,1750600,20.983885
"65","KIM",2016-04-06,28.139999,28.42,28.049999,28.4,2274900,21.170242
"66","KIM",2016-04-07,28.309999,28.35,28.040001,28.09,1779700,20.939157
"67","KIM",2016-04-08,28.23,28.35,28.16,28.18,1626800,21.006247
"68","KIM",2016-04-11,28.209999,28.48,28.110001,28.35,1922400,21.132969
"69","KIM",2016-04-12,28.49,28.65,28.309999,28.629999,1724500,21.341692
"70","KIM",2016-04-13,28.73,28.73,28.32,28.690001,2819200,21.386415
"71","KIM",2016-04-14,28.610001,28.76,28.43,28.52,1522400,21.259695
"72","KIM",2016-04-15,28.57,28.709999,28.51,28.65,1771200,21.356604
