"","symbol","date","open","high","low","close","volume","adjusted"
"1","KKR",2016-01-04,15.3,15.88,15.21,15.78,2812400,13.476479
"2","KKR",2016-01-05,15.8,15.97,15.34,15.45,3559500,13.194649
"3","KKR",2016-01-06,15.12,15.4,14.9,15.14,4825200,12.929902
"4","KKR",2016-01-07,14.79,15.08,14.38,14.49,3450600,12.374786
"5","KKR",2016-01-08,14.68,14.72,14.13,14.16,4460900,12.092961
"6","KKR",2016-01-11,14.2,14.34,13.47,13.68,6110300,11.68303
"7","KKR",2016-01-12,13.8,13.98,13.15,13.54,5400800,11.563466
"8","KKR",2016-01-13,13.64,14,13.32,13.32,5186800,11.375581
"9","KKR",2016-01-14,13.38,14.2,12.71,13.95,7000800,11.913617
"10","KKR",2016-01-15,13.25,13.62,13.2,13.44,6909200,11.478064
"11","KKR",2016-01-19,13.5,13.82,13.17,13.17,6332000,11.247478
"12","KKR",2016-01-20,12.92,13.74,12.69,13.62,7605400,11.631787
"13","KKR",2016-01-21,13.62,14.75,13.59,14.37,6306400,12.272306
"14","KKR",2016-01-22,14.79,14.89,14.17,14.41,2614100,12.306466
"15","KKR",2016-01-25,14.37,14.43,13.34,13.4,3974100,11.443903
"16","KKR",2016-01-26,13.46,13.94,13.34,13.74,3271800,11.734267
"17","KKR",2016-01-27,13.64,13.75,13.02,13.39,5091700,11.435366
"18","KKR",2016-01-28,13.51,13.64,13.22,13.53,2428400,11.554929
"19","KKR",2016-01-29,13.57,13.85,13.43,13.63,2751300,11.640327
"20","KKR",2016-02-01,13.49,14.1,13.4,13.91,2758500,11.879456
"21","KKR",2016-02-02,13.69,13.69,13.32,13.38,3069600,11.426824
"22","KKR",2016-02-03,13.51,13.51,12.78,13.25,5025400,11.3158
"23","KKR",2016-02-04,13.2,13.7,13.16,13.64,3703800,11.64887
"24","KKR",2016-02-05,13.67,14.32,13.67,13.83,3251200,11.811132
"25","KKR",2016-02-08,13.61,13.63,12.72,12.93,4376100,11.042512
"26","KKR",2016-02-09,12.6,12.93,12.3,12.62,4672800,10.777766
"27","KKR",2016-02-10,12.78,12.8,11.67,11.71,7702300,10.000605
"28","KKR",2016-02-11,11.3,11.7,10.89,11.13,13051800,9.505274
"29","KKR",2016-02-12,11.23,11.96,11.17,11.94,5623000,10.197029
"30","KKR",2016-02-16,12.12,12.51,12,12.48,4687300,10.658203
"31","KKR",2016-02-17,12.2,12.62,12.15,12.6,6600100,10.760689
