"","symbol","date","open","high","low","close","volume","adjusted"
"1","KLAC",2016-01-04,68.029999,69.18,68,68.690002,2185300,59.838333
"2","KLAC",2016-01-05,68.379997,69.050003,68.370003,68.739998,2099800,59.881905
"3","KLAC",2016-01-06,67.709999,68.239998,66.089996,66.580002,1525300,58.000256
"4","KLAC",2016-01-07,65.419998,66.660004,65.410004,65.940002,1789600,57.442715
"5","KLAC",2016-01-08,66.139999,66.309998,64.699997,65.239998,1676700,56.832924
"6","KLAC",2016-01-11,65.760002,65.760002,64.830002,65.510002,1244400,57.06813
"7","KLAC",2016-01-12,65.919998,66.459999,65.150002,65.75,744800,57.277206
"8","KLAC",2016-01-13,65.809998,66.300003,64.669998,64.779999,1245000,56.432198
"9","KLAC",2016-01-14,65.029999,67.139999,64.809998,66.660004,2485200,58.069942
"10","KLAC",2016-01-15,64.110001,65.18,63.639999,64.550003,1750700,56.231838
"11","KLAC",2016-01-19,65.5,65.5,64.07,64.32,921000,56.031475
"12","KLAC",2016-01-20,64.209999,65.57,63.98,65.059998,2970900,56.676117
"13","KLAC",2016-01-21,65.300003,65.32,64.349998,64.629997,981100,56.301521
"14","KLAC",2016-01-22,65.639999,65.870003,64.669998,65.089996,995300,56.702244
"15","KLAC",2016-01-25,65.019997,65.260002,64.559998,64.650002,1251600,56.318951
"16","KLAC",2016-01-26,64.639999,65.309998,64.459999,65.139999,1074500,56.745811
"17","KLAC",2016-01-27,65.220001,65.400002,64.309998,64.43,1578000,56.1273
"18","KLAC",2016-01-28,64.379997,66.339996,64.379997,65.449997,1255100,57.015858
"19","KLAC",2016-01-29,66.279999,66.989998,66.010002,66.989998,2401300,58.357403
"20","KLAC",2016-02-01,66.400002,67.610001,66.349998,67.120003,2142300,58.470673
"21","KLAC",2016-02-02,66.309998,66.779999,65.870003,66.160004,3585600,57.634365
"22","KLAC",2016-02-03,66.589996,66.989998,65.599998,66.800003,1596900,58.191898
"23","KLAC",2016-02-04,66.809998,67.110001,66.330002,66.879997,1663800,58.261597
"24","KLAC",2016-02-05,66.489998,66.949997,65.110001,65.510002,1642900,57.06813
"25","KLAC",2016-02-08,64.599998,65.059998,63.580002,64.139999,1386700,55.874668
"26","KLAC",2016-02-09,63.630001,64.419998,63.380001,63.959999,2138900,55.717869
"27","KLAC",2016-02-10,64.190002,64.589996,63.790001,64.129997,2675000,55.865967
"28","KLAC",2016-02-11,62.540001,63.360001,62.330002,62.880001,2006900,55.224838
"29","KLAC",2016-02-12,63.290001,64.07,62.889999,63.790001,1046700,56.024059
"30","KLAC",2016-02-16,64.239998,65.32,64.160004,64.739998,2073200,56.858395
"31","KLAC",2016-02-17,64.900002,65.639999,64.779999,65.57,2394900,57.587349
"32","KLAC",2016-02-18,65.559998,65.690002,64.82,64.849998,3407300,56.95499
"33","KLAC",2016-02-19,65.589996,66.669998,65.589996,65.690002,7484900,57.692741
"34","KLAC",2016-02-22,65.989998,66.760002,65.690002,66.139999,4919800,58.087944
"35","KLAC",2016-02-23,65.760002,66.199997,65.32,65.68,1319300,57.68396
"36","KLAC",2016-02-24,65.120003,66.370003,65.120003,66.339996,913600,58.263607
"37","KLAC",2016-02-25,66.300003,67.459999,66.190002,67.449997,978500,59.238461
"38","KLAC",2016-02-26,67.620003,68.199997,67.459999,67.970001,1843600,59.695152
"39","KLAC",2016-02-29,67.879997,68.419998,67.669998,67.739998,1703200,59.493149
"40","KLAC",2016-03-01,68.220001,69.080002,67.75,68.980003,2218000,60.582207
"41","KLAC",2016-03-02,68.900002,68.900002,68.07,68.419998,1356900,60.090378
"42","KLAC",2016-03-03,68.360001,68.709999,68.080002,68.699997,1433000,60.336292
"43","KLAC",2016-03-04,69.040001,69.040001,68.029999,68.309998,2459900,59.993778
"44","KLAC",2016-03-07,68.089996,68.919998,68.040001,68.839996,610700,60.459244
"45","KLAC",2016-03-08,68.419998,68.830002,67.709999,67.730003,1703300,59.484379
"46","KLAC",2016-03-09,67.940002,68.360001,67.790001,68.059998,1296600,59.774204
"47","KLAC",2016-03-10,68.129997,69.169998,68.129997,68.699997,1868600,60.336292
"48","KLAC",2016-03-11,69,69.410004,68.769997,69.220001,1443900,60.792988
"49","KLAC",2016-03-14,68.970001,69.620003,68.970001,69.559998,1248700,61.091591
"50","KLAC",2016-03-15,69.230003,69.940002,69.230003,69.68,1218300,61.196976
"51","KLAC",2016-03-16,69.419998,70.260002,69.120003,70.150002,895800,61.609768
"52","KLAC",2016-03-17,70.470001,70.959999,70.150002,70.860001,760400,62.233326
"53","KLAC",2016-03-18,71.080002,71.330002,70.669998,71.18,1490500,62.514378
"54","KLAC",2016-03-21,71,71.32,70.769997,71.260002,360700,62.584629
"55","KLAC",2016-03-22,71.290001,71.57,70.989998,71.440002,497100,62.742722
"56","KLAC",2016-03-23,71.57,71.57,70.959999,71,514900,62.356293
"57","KLAC",2016-03-24,70.910004,70.910004,70.110001,70.800003,886200,62.180645
"58","KLAC",2016-03-28,70.959999,71.269997,70.849998,70.860001,632100,62.233326
"59","KLAC",2016-03-29,70.959999,72.400002,70.760002,72.360001,966300,63.550724
"60","KLAC",2016-03-30,72.519997,73.190002,72.400002,72.559998,1220500,63.72636
