"","symbol","date","open","high","low","close","volume","adjusted"
"1","KMPR",2016-01-04,36.66,36.73,35.639999,35.82,201000,31.807669
"2","KMPR",2016-01-05,35.82,36.189999,35.580002,36.080002,119500,32.038551
"3","KMPR",2016-01-06,35.599998,36.110001,35.450001,36.080002,150000,32.038551
"4","KMPR",2016-01-07,35.5,35.880001,34.98,35.110001,190100,31.1772
"5","KMPR",2016-01-08,35.43,35.529999,34.439999,34.490002,184600,30.62665
"6","KMPR",2016-01-11,34.630001,34.950001,33.889999,34.139999,118000,30.315861
"7","KMPR",2016-01-12,34.330002,34.330002,33.610001,33.98,147600,30.173771
"8","KMPR",2016-01-13,33.98,34.240002,32.860001,32.950001,141800,29.259151
"9","KMPR",2016-01-14,33.16,34.130001,33.09,33.91,154500,30.111616
"10","KMPR",2016-01-15,33.299999,33.540001,32.209999,32.759998,152800,29.090431
"11","KMPR",2016-01-19,33.029999,33.130001,32.09,32.419998,146700,28.788523
"12","KMPR",2016-01-20,31.83,32.759998,31.309999,32.400002,147500,28.770758
"13","KMPR",2016-01-21,32.419998,32.66,31.75,31.77,160500,28.21133
"14","KMPR",2016-01-22,32.189999,32.66,31.93,32.66,141900,29.001633
"15","KMPR",2016-01-25,32.540001,32.740002,31.870001,32.099998,127900,28.504358
"16","KMPR",2016-01-26,32.310001,33.279999,32.25,33.049999,157600,29.347952
"17","KMPR",2016-01-27,33.049999,33.470001,32.599998,32.869999,139800,29.18811
"18","KMPR",2016-01-28,33.25,33.490002,32.990002,33.450001,113900,29.70314
"19","KMPR",2016-01-29,33.610001,34.560001,33.580002,34.560001,318300,30.688808
"20","KMPR",2016-02-01,34.299999,34.779999,33.41,33.66,132600,29.889618
"21","KMPR",2016-02-02,33.240002,33.529999,32.73,32.880001,117700,29.196987
"22","KMPR",2016-02-03,33.169998,33.169998,32.279999,32.709999,79900,29.046032
"23","KMPR",2016-02-04,32.630001,32.860001,31.9,32.330002,95700,28.708597
"24","KMPR",2016-02-05,30.42,30.99,25.33,26.120001,433500,23.194202
"25","KMPR",2016-02-08,25.889999,25.98,24.870001,25.52,297700,22.661413
"26","KMPR",2016-02-09,25.139999,25.940001,25.129999,25.549999,233000,22.688053
"27","KMPR",2016-02-10,25.57,25.610001,24.700001,24.700001,233900,21.933264
"28","KMPR",2016-02-11,23.99,24.41,23.51,23.799999,333900,21.341444
"29","KMPR",2016-02-12,23.68,24.799999,23.68,24.73,204800,22.175369
"30","KMPR",2016-02-16,25.02,25.530001,24.75,25.309999,183000,22.695454
"31","KMPR",2016-02-17,25.610001,26.200001,25.33,26.110001,236700,23.412821
"32","KMPR",2016-02-18,26.93,28.139999,26.629999,26.799999,394500,24.031538
"33","KMPR",2016-02-19,26.73,27.33,26.629999,26.870001,219100,24.094307
"34","KMPR",2016-02-22,27.049999,27.4,26.940001,26.969999,143800,24.183977
"35","KMPR",2016-02-23,26.879999,27.17,26.639999,26.719999,188500,23.959801
"36","KMPR",2016-02-24,26.51,27.299999,26.370001,27.25,142500,24.435053
"37","KMPR",2016-02-25,27.360001,27.629999,27.18,27.610001,114300,24.757864
"38","KMPR",2016-02-26,27.77,27.860001,27.219999,27.610001,134300,24.757864
"39","KMPR",2016-02-29,27.559999,27.559999,26.860001,26.879999,163600,24.103271
"40","KMPR",2016-03-01,27.17,27.77,27,27.709999,128300,24.84753
"41","KMPR",2016-03-02,27.74,27.860001,27.459999,27.77,90700,24.901337
"42","KMPR",2016-03-03,27.809999,28.120001,27.68,28.09,114100,25.188282
"43","KMPR",2016-03-04,28.23,28.23,27.639999,27.940001,133200,25.053778
"44","KMPR",2016-03-07,27.73,28.559999,27.73,28.549999,142100,25.600767
"45","KMPR",2016-03-08,28.32,28.450001,27.889999,27.959999,122800,25.071707
"46","KMPR",2016-03-09,28.129999,28.299999,27.709999,28.01,144200,25.116549
"47","KMPR",2016-03-10,28.07,28.57,27.790001,28.370001,122500,25.439358
"48","KMPR",2016-03-11,28.709999,29.25,28.620001,29.18,87100,26.165684
"49","KMPR",2016-03-14,29.030001,29.209999,28.18,28.92,77900,25.932541
"50","KMPR",2016-03-15,28.690001,28.98,28.209999,28.690001,185000,25.726301
"51","KMPR",2016-03-16,28.6,29.82,28.6,29.799999,161200,26.721636
"52","KMPR",2016-03-17,29.76,30.860001,29.76,30.719999,198300,27.546597
"53","KMPR",2016-03-18,30.870001,31.450001,30.74,31.42,527800,28.174294
"54","KMPR",2016-03-21,31.299999,31.299999,30.030001,30.34,179700,27.205858
"55","KMPR",2016-03-22,30.110001,30.15,29.65,29.82,96700,26.739565
"56","KMPR",2016-03-23,29.66,29.66,28.799999,28.809999,114300,25.833904
"57","KMPR",2016-03-24,28.59,28.59,28.030001,28.34,127600,25.412453
"58","KMPR",2016-03-28,28.530001,29.35,28.530001,29.27,89100,26.246387
"59","KMPR",2016-03-29,29.15,29.92,28.9,29.889999,156900,26.802343
"60","KMPR",2016-03-30,30.049999,30.23,29.790001,29.93,171600,26.838205
"61","KMPR",2016-03-31,29.77,30.17,29.450001,29.57,142500,26.515398
"62","KMPR",2016-04-01,29.23,29.75,28.85,29.719999,127000,26.6499
"63","KMPR",2016-04-04,29.75,29.75,29.200001,29.219999,107600,26.201548
"64","KMPR",2016-04-05,29.34,29.940001,29.049999,29.08,175700,26.076017
"65","KMPR",2016-04-06,29.07,29.280001,28.67,29.18,152300,26.165684
"66","KMPR",2016-04-07,29,29,28.42,28.76,268400,25.789068
"67","KMPR",2016-04-08,29.040001,29.32,28.790001,28.879999,76500,25.896671
"68","KMPR",2016-04-11,29.09,29.559999,28.719999,28.76,72200,25.789068
"69","KMPR",2016-04-12,28.889999,29.35,28.73,29.35,65100,26.318119
"70","KMPR",2016-04-13,29.6,30.33,29.370001,30.32,161500,27.187925
"71","KMPR",2016-04-14,30.309999,30.879999,30.280001,30.809999,119100,27.627296
"72","KMPR",2016-04-15,30.66,30.93,30.280001,30.35,160900,27.214821
"73","KMPR",2016-04-18,30.02,30.33,29.76,29.870001,112400,26.784401
"74","KMPR",2016-04-19,29.84,29.84,29.41,29.58,124200,26.524361
"75","KMPR",2016-04-20,29.5,30.27,29.5,30.190001,104300,27.07135
"76","KMPR",2016-04-21,30.030001,30.219999,29.879999,30.08,159600,26.972713
"77","KMPR",2016-04-22,30.049999,31.1,30.049999,31.049999,299600,27.842512
"78","KMPR",2016-04-25,30.83,31.139999,30.6,31,254500,27.797674
"79","KMPR",2016-04-26,31.17,31.43,30.860001,31.360001,151200,28.120489
"80","KMPR",2016-04-27,31.26,31.4,30.889999,31.09,143500,27.878378
"81","KMPR",2016-04-28,31,31.190001,30.83,31,219500,27.797674
