"","symbol","date","open","high","low","close","volume","adjusted"
"1","KMT",2016-01-04,18.77,19.379999,18.219999,19.209999,2307800,16.463451
"2","KMT",2016-01-05,19.209999,19.26,17.969999,18.59,2793500,15.932101
"3","KMT",2016-01-06,18.190001,18.35,17.799999,17.959999,1632700,15.392175
"4","KMT",2016-01-07,17.620001,17.799999,17.24,17.26,1840000,14.792256
"5","KMT",2016-01-08,17.389999,17.559999,17.07,17.18,1675300,14.723695
"6","KMT",2016-01-11,17.290001,17.290001,16.700001,17.08,2020700,14.637991
"7","KMT",2016-01-12,17.41,17.610001,16.549999,16.9,2087000,14.483724
"8","KMT",2016-01-13,17.280001,17.35,16.559999,16.610001,1161700,14.23519
"9","KMT",2016-01-14,16.809999,17.040001,16.26,16.889999,1786400,14.475155
"10","KMT",2016-01-15,16.299999,16.709999,16,16.68,1498500,14.295182
"11","KMT",2016-01-19,16.889999,16.889999,15.55,15.91,1780100,13.63527
"12","KMT",2016-01-20,15.44,16.16,15.11,16,2394300,13.712403
"13","KMT",2016-01-21,15.9,16.530001,15.68,16.27,1702100,13.9438
"14","KMT",2016-01-22,16.77,17.219999,16.18,16.690001,2251000,14.303751
"15","KMT",2016-01-25,16.48,16.809999,16.120001,16.139999,1909800,13.832386
"16","KMT",2016-01-26,16.370001,16.91,16.1,16.780001,1716700,14.380886
"17","KMT",2016-01-27,16.67,17.51,16.33,16.99,2248900,14.560862
"18","KMT",2016-01-28,17.5,17.559999,16.709999,16.870001,1499700,14.458015
"19","KMT",2016-01-29,16.99,17.73,16.91,17.700001,1740900,15.169347
"20","KMT",2016-02-01,17.75,18.17,17.280001,17.969999,1719600,15.400743
"21","KMT",2016-02-02,17.5,17.74,17.049999,17.120001,2232500,14.672278
"22","KMT",2016-02-03,17.799999,18.040001,16.389999,17.530001,3568700,15.023652
"23","KMT",2016-02-04,17.9,19.610001,17.9,19.030001,5711500,16.309193
"24","KMT",2016-02-05,18.98,19.969999,18.879999,19.01,4201100,16.292055
"25","KMT",2016-02-08,18.76,18.92,17.610001,18.120001,2274400,15.529299
"26","KMT",2016-02-09,17.780001,17.860001,17.190001,17.559999,2088700,15.049362
"27","KMT",2016-02-10,17.27,17.48,16.950001,17.01,1888700,14.745948
