"","symbol","date","open","high","low","close","volume","adjusted"
"1","KN",2016-01-04,13.78,14.74,13.53,14.04,2092300,14.04
"2","KN",2016-01-05,14.04,14.13,13.35,13.43,1412900,13.43
"3","KN",2016-01-06,13.17,13.36,12.91,13.25,1839800,13.25
"4","KN",2016-01-07,12.95,13.39,12.63,12.75,1668500,12.75
"5","KN",2016-01-08,12.88,13.22,12.62,12.67,1991400,12.67
"6","KN",2016-01-11,12.69,12.78,11.94,12.1,1234900,12.1
"7","KN",2016-01-12,12.21,12.28,11.21,11.55,1804900,11.55
"8","KN",2016-01-13,11.55,13.05,11.44,11.78,3596800,11.78
"9","KN",2016-01-14,11.88,12.6,11.8,12.33,1924700,12.33
"10","KN",2016-01-15,11.94,12.07,11.43,11.54,1559700,11.54
"11","KN",2016-01-19,11.79,12.02,11.28,11.41,1820800,11.41
"12","KN",2016-01-20,11.19,11.79,10.52,11.47,2253100,11.47
"13","KN",2016-01-21,11.49,12.95,11.49,12.22,1897000,12.22
"14","KN",2016-01-22,12.48,12.81,12.4,12.52,1807300,12.52
"15","KN",2016-01-25,12.37,12.55,12.13,12.27,1534100,12.27
"16","KN",2016-01-26,12.38,12.67,12.3,12.61,1262100,12.61
"17","KN",2016-01-27,12.46,12.61,11.96,12.13,1653100,12.13
"18","KN",2016-01-28,11.98,12.53,11.91,12.16,1557800,12.16
"19","KN",2016-01-29,12.22,13.6,12.22,13.6,1947900,13.6
"20","KN",2016-02-01,13.45,13.53,12.71,13.13,1379800,13.13
"21","KN",2016-02-02,12.96,13,12.47,12.6,907100,12.6
"22","KN",2016-02-03,12.74,13.03,12.33,12.8,1070100,12.8
"23","KN",2016-02-04,12.8,13.24,12.6,13.18,1144600,13.18
"24","KN",2016-02-05,13.1,13.15,12.84,12.88,880300,12.88
"25","KN",2016-02-08,12.64,12.75,11.66,11.97,1228800,11.97
"26","KN",2016-02-09,11.8,12.1,11.51,11.88,1072400,11.88
"27","KN",2016-02-10,11.95,12.39,11.89,12.15,902600,12.15
"28","KN",2016-02-11,11.91,12.02,11.33,11.61,1794000,11.61
"29","KN",2016-02-12,11.95,12.12,9.69,9.98,4644400,9.98
"30","KN",2016-02-16,9.68,10.87,9.68,10.81,2550100,10.81
