"","symbol","date","open","high","low","close","volume","adjusted"
"1","KR",2016-01-04,41.16,41.27,40.669998,41.16,9929600,36.516918
"2","KR",2016-01-05,41.290001,42.110001,41.259998,42.09,7329300,37.342018
"3","KR",2016-01-06,41.759998,42.419998,41.75,42.049999,9802700,37.306526
"4","KR",2016-01-07,41.330002,41.52,40.880001,41.07,9434000,36.437084
"5","KR",2016-01-08,41.259998,41.349998,40.650002,40.799999,8231100,36.197533
"6","KR",2016-01-11,41.080002,41.439999,40.860001,41.279999,6406500,36.623383
"7","KR",2016-01-12,41.529999,41.689999,40.669998,41.240002,7319600,36.587906
"8","KR",2016-01-13,41.209999,41.34,39.139999,39.200001,13204000,34.778019
"9","KR",2016-01-14,39.580002,39.619999,38.240002,39.029999,10458400,34.627205
"10","KR",2016-01-15,38.169998,38.810001,38.060001,38.490002,9029200,34.148125
"11","KR",2016-01-19,38.650002,38.830002,37.790001,38.189999,6815600,33.881958
"12","KR",2016-01-20,37.68,38.080002,36.439999,37.849998,11294500,33.580315
"13","KR",2016-01-21,37.869999,37.869999,36.919998,37.150002,9592700,32.959282
"14","KR",2016-01-22,37.549999,37.889999,36.830002,37.119999,13226200,32.932655
"15","KR",2016-01-25,37.259998,37.349998,36.580002,36.669998,10866600,32.533421
"16","KR",2016-01-26,36.66,36.970001,36.5,36.779999,7348400,32.631016
"17","KR",2016-01-27,36.889999,37.889999,36.810001,37.459999,10231400,33.234306
"18","KR",2016-01-28,37.540001,37.98,37.27,37.82,8502500,33.553696
"19","KR",2016-01-29,38,38.84,37.889999,38.810001,8222900,34.432018
"20","KR",2016-02-01,38.740002,40.259998,38.610001,40.110001,10922300,35.585369
"21","KR",2016-02-02,39.75,40.23,39.52,40.150002,8112000,35.620869
"22","KR",2016-02-03,40.290001,40.470001,39.560001,40.18,8518800,35.647476
"23","KR",2016-02-04,39.720001,39.889999,38.849998,38.959999,7303300,34.565094
"24","KR",2016-02-05,39,39.139999,37.470001,37.630001,9774100,33.385124
"25","KR",2016-02-08,37.080002,37.150002,35.419998,36.82,15707000,32.666504
"26","KR",2016-02-09,36.259998,37.099998,36.259998,36.73,11550700,32.586658
"27","KR",2016-02-10,36.740002,37.759998,36.66,36.849998,9110700,32.78685
"28","KR",2016-02-11,36.419998,36.990002,35.779999,36.43,9589800,32.413151
"29","KR",2016-02-12,37.139999,38.34,36.91,38.330002,7527300,34.103664
"30","KR",2016-02-16,38.639999,39.02,38.130001,38.490002,6807100,34.246017
"31","KR",2016-02-17,38.5,39.549999,38.400002,39.419998,7748100,35.073467
"32","KR",2016-02-18,39,39.25,37.700001,38.060001,11531200,33.863438
"33","KR",2016-02-19,37.790001,38.119999,37.419998,37.82,6938000,33.649883
"34","KR",2016-02-22,38.099998,38.43,37.849998,38.27,5549600,34.050282
"35","KR",2016-02-23,38.119999,38.970001,37.93,38.779999,6021100,34.50404
"36","KR",2016-02-24,38.439999,38.77,38.099998,38.700001,6925900,34.432865
"37","KR",2016-02-25,38.880001,39.509998,38.75,39.459999,7634400,35.109062
"38","KR",2016-02-26,39.549999,39.950001,39.200001,39.450001,6372700,35.100163
"39","KR",2016-02-29,39.700001,40.459999,39.599998,39.91,10805600,35.509449
"40","KR",2016-03-01,40.360001,40.740002,39.91,40.619999,9003000,36.141159
"41","KR",2016-03-02,40.68,40.91,40.450001,40.650002,9606300,36.167854
"42","KR",2016-03-03,37.810001,38.439999,36.889999,37.799999,40664800,33.632103
"43","KR",2016-03-04,37.619999,37.700001,36.459999,36.84,21043200,32.777946
"44","KR",2016-03-07,36.59,37.650002,36.540001,37.049999,12433100,32.96479
"45","KR",2016-03-08,36.93,37.68,36.849998,37.02,8964500,32.938107
"46","KR",2016-03-09,37.099998,38.060001,37.09,37.810001,9266200,33.641006
"47","KR",2016-03-10,37.810001,37.959999,37.25,37.73,9143100,33.569817
"48","KR",2016-03-11,37.900002,38.68,37.880001,38.639999,8846700,34.379475
"49","KR",2016-03-14,38.43,38.849998,37.98,38.389999,6315200,34.15704
"50","KR",2016-03-15,38.009998,38.459999,37.66,38.139999,5596000,33.934605
"51","KR",2016-03-16,37.869999,38.689999,37.82,38.610001,6227200,34.352776
"52","KR",2016-03-17,38.450001,38.560001,37.98,38.09,9693800,33.890121
"53","KR",2016-03-18,38.139999,38.880001,38,38.560001,10017800,34.308296
"54","KR",2016-03-21,38.380001,38.599998,38.09,38.130001,5980300,33.92572
"55","KR",2016-03-22,38.18,38.32,37.689999,37.950001,8055500,33.76556
"56","KR",2016-03-23,37.919998,38.02,37.349998,37.59,9195000,33.445255
"57","KR",2016-03-24,37.200001,37.689999,37.099998,37.650002,9526100,33.498642
"58","KR",2016-03-28,37.639999,38.09,37.529999,38.060001,6759000,33.863438
"59","KR",2016-03-29,37.810001,38.150002,37.740002,38.029999,5780900,33.836731
"60","KR",2016-03-30,38.049999,38.279999,37.810001,38.09,6974800,33.890121
"61","KR",2016-03-31,38.080002,38.389999,37.970001,38.25,6888300,34.032475
"62","KR",2016-04-01,37.939999,38.419998,37.91,38.32,6622300,34.094765
"63","KR",2016-04-04,38.32,38.459999,37.91,38.029999,7242500,33.836731
"64","KR",2016-04-05,37.700001,38.369999,37.59,38.220001,9840200,34.005787
"65","KR",2016-04-06,38.220001,39.220001,38.220001,39.080002,9143500,34.770962
"66","KR",2016-04-07,38.860001,39.150002,38.029999,38.169998,6941300,33.9613
"67","KR",2016-04-08,38.200001,38.349998,37.93,37.990002,7832900,33.80114
"68","KR",2016-04-11,38,38.09,37.130001,37.169998,7051400,33.071556
"69","KR",2016-04-12,37.200001,37.32,36.900002,37.16,6000700,33.062672
"70","KR",2016-04-13,37.389999,37.880001,37.299999,37.860001,5486800,33.685478
"71","KR",2016-04-14,37.490002,37.59,37.009998,37.07,5995000,32.982601
"72","KR",2016-04-15,37.169998,37.32,36.709999,36.91,7510800,32.840225
"73","KR",2016-04-18,36.610001,36.740002,36.25,36.68,8881500,32.635593
"74","KR",2016-04-19,36.779999,36.779999,36.099998,36.23,11313200,32.235203
"75","KR",2016-04-20,36.369999,37.34,36.27,36.950001,8870600,32.875813
"76","KR",2016-04-21,36.950001,37.009998,36.330002,36.470001,7719100,32.448738
"77","KR",2016-04-22,36.360001,36.540001,35.130001,35.580002,12971600,31.656879
"78","KR",2016-04-25,35.450001,36.849998,35.389999,36.77,9599800,32.715668
"79","KR",2016-04-26,36.740002,37.110001,36.290001,36.400002,6247300,32.386463
"80","KR",2016-04-27,36.48,36.709999,36.18,36.310001,4874000,32.306393
"81","KR",2016-04-28,36.130001,36.639999,35.799999,35.919998,5912200,31.959387
"82","KR",2016-04-29,35.669998,35.709999,34.779999,35.389999,8253900,31.487827
"83","KR",2016-05-02,35.52,35.560001,35.16,35.43,9010600,31.523418
"84","KR",2016-05-03,35.18,35.389999,35.09,35.200001,6469200,31.318783
"85","KR",2016-05-04,35.029999,35.080002,34.189999,35,8048200,31.140835
"86","KR",2016-05-05,34.48,34.990002,34.220001,34.919998,11364400,31.069653
"87","KR",2016-05-06,34.889999,34.990002,34.23,34.549999,5042700,30.740448
"88","KR",2016-05-09,34.799999,35.889999,34.560001,35.84,8410100,31.888216
"89","KR",2016-05-10,35.439999,35.57,34.970001,35.240002,7819500,31.354366
"90","KR",2016-05-11,34.98,35.189999,34.700001,34.709999,5619600,30.975094
"91","KR",2016-05-12,34.77,35.099998,34.509998,34.889999,4972800,31.135733
"92","KR",2016-05-13,34.720001,35.200001,34.689999,34.860001,6262900,31.108965
"93","KR",2016-05-16,34.790001,35.040001,34.419998,34.759998,5932900,31.019714
"94","KR",2016-05-17,34.639999,34.82,34.310001,34.459999,5443900,30.752001
"95","KR",2016-05-18,34.299999,34.490002,33.619999,34.369999,9776300,30.671684
"96","KR",2016-05-19,34.490002,34.91,34.299999,34.830002,8330400,31.08219
"97","KR",2016-05-20,34.950001,34.950001,34.470001,34.619999,6173400,30.894779
"98","KR",2016-05-23,34.650002,34.950001,34.619999,34.799999,5940300,31.055418
"99","KR",2016-05-24,34.82,35.549999,34.790001,35.52,7771600,31.697945
