"","symbol","date","open","high","low","close","volume","adjusted"
"1","KSS",2016-01-04,46.91,49.560001,46.349998,49.549999,5207100,39.116188
"2","KSS",2016-01-05,49.740002,50.23,49.349998,49.779999,5212000,39.297768
"3","KSS",2016-01-06,49.02,50.18,48.91,50.049999,4830100,39.510899
"4","KSS",2016-01-07,49.400002,52.060001,49.25,50.860001,7691600,40.150349
"5","KSS",2016-01-08,50.82,51.299999,47.549999,47.880001,6493700,37.797852
"6","KSS",2016-01-11,49.290001,50.75,48.41,50.080002,9715200,39.534592
"7","KSS",2016-01-12,50.389999,51.630001,49.439999,50.23,4542700,39.653008
"8","KSS",2016-01-13,49.48,50.709999,48.900002,49.98,3879200,39.455654
"9","KSS",2016-01-14,50.080002,50.549999,48.709999,49.200001,4464000,38.839893
"10","KSS",2016-01-15,48.169998,48.560001,47.259998,48.150002,3712400,38.010998
"11","KSS",2016-01-19,48.66,48.66,45.959999,46.380001,4562800,36.613701
"12","KSS",2016-01-20,45.439999,45.950001,44.189999,45.650002,3993100,36.037415
"13","KSS",2016-01-21,45.740002,47.48,45.459999,46.990002,2807400,37.095261
"14","KSS",2016-01-22,47.16,48.220001,47.16,48.16,2278200,38.01889
"15","KSS",2016-01-25,48.189999,48.369999,47.23,47.360001,1943800,37.387348
"16","KSS",2016-01-26,47.560001,48.98,47.34,48.59,2125000,38.358345
"17","KSS",2016-01-27,48.619999,49.709999,48.459999,48.709999,2937600,38.453068
"18","KSS",2016-01-28,48.98,49.09,47.189999,47.990002,2985400,37.884689
"19","KSS",2016-01-29,48.400002,49.880001,48.09,49.75,2644200,39.274078
"20","KSS",2016-02-01,49.07,49.400002,47.41,49.080002,4462800,38.745155
"21","KSS",2016-02-02,49.68,50.560001,48.849998,50.380001,5546600,39.771427
"22","KSS",2016-02-03,50.470001,51.389999,49.259998,51.130001,3346300,40.363495
"23","KSS",2016-02-04,51.130001,51.130001,40.950001,41.52,22573600,32.777081
"24","KSS",2016-02-05,41.029999,42.880001,40.939999,42.060001,6693200,33.203377
"25","KSS",2016-02-08,41.509998,43.799999,41.48,42.610001,5216300,33.637566
"26","KSS",2016-02-09,42.34,42.990002,41.110001,41.400002,3555800,32.682358
"27","KSS",2016-02-10,41.490002,41.529999,39.439999,40.09,4275900,31.648195
"28","KSS",2016-02-11,39.720001,40.5,39.23,39.689999,2284100,31.332426
"29","KSS",2016-02-12,39.91,40.880001,39.450001,40.810001,1967800,32.216587
"30","KSS",2016-02-16,41.52,42.82,41.189999,42.619999,2526600,33.645454
"31","KSS",2016-02-17,42.82,44.130001,42.599998,43.900002,3344100,34.655922
"32","KSS",2016-02-18,43.84,45.029999,43.209999,44.82,3053300,35.382195
"33","KSS",2016-02-19,44.290001,44.860001,43.34,44.380001,2591900,35.034847
"34","KSS",2016-02-22,44.470001,45.5,44.470001,44.950001,2416500,35.484818
"35","KSS",2016-02-23,45.349998,45.490002,44.73,44.939999,2514200,35.476929
"36","KSS",2016-02-24,44.790001,45.650002,43.939999,45.459999,3543800,35.887428
"37","KSS",2016-02-25,47.009998,47.209999,44.200001,46.669998,5732600,36.84264
"38","KSS",2016-02-26,47.07,47.400002,46.150002,46.82,3838700,36.961056
"39","KSS",2016-02-29,46.41,46.900002,45.82,46.669998,3976200,36.84264
"40","KSS",2016-03-01,46.900002,47.25,45.73,46.509998,2335600,36.716335
"41","KSS",2016-03-02,46.400002,47.23,46.279999,46.639999,3187000,36.818958
"42","KSS",2016-03-03,46.400002,46.98,46.040001,46.740002,3029400,36.897903
"43","KSS",2016-03-04,46.75,47.639999,46.119999,47.48,3607300,37.482079
"44","KSS",2016-03-07,47.32,49.18,47,48.59,3589100,38.76659
"45","KSS",2016-03-08,48.650002,49.110001,48.169998,48.700001,3122700,38.85434
"46","KSS",2016-03-09,49.02,49.82,48.740002,49.07,3411400,39.14954
"47","KSS",2016-03-10,49.529999,49.75,48.73,49.459999,2431900,39.460701
"48","KSS",2016-03-11,49.959999,49.959999,48.77,49.080002,2252100,39.157516
"49","KSS",2016-03-14,48.869999,49.75,48.799999,49.459999,1518100,39.460701
"50","KSS",2016-03-15,49.150002,49.68,47.349998,47.700001,3420200,38.056515
"51","KSS",2016-03-16,47.73,48.02,47.419998,47.73,2217100,38.080452
"52","KSS",2016-03-17,47.860001,48.459999,47.59,48.25,2577600,38.495327
"53","KSS",2016-03-18,48.41,48.950001,47.799999,48.169998,3686700,38.431496
"54","KSS",2016-03-21,48.310001,48.490002,47.91,47.91,1888500,38.22406
"55","KSS",2016-03-22,47.880001,48.080002,46.380001,47.07,2689100,37.55389
"56","KSS",2016-03-23,46.84,47.119999,46.490002,46.709999,1928800,37.266666
"57","KSS",2016-03-24,46.259998,46.310001,45.57,45.93,2909400,36.644352
"58","KSS",2016-03-28,46.049999,47.310001,46,46.790001,1946400,37.33049
"59","KSS",2016-03-29,46.990002,47.02,46.110001,46.549999,2266900,37.139004
"60","KSS",2016-03-30,46.490002,46.759998,45.759998,46.049999,2309900,36.740089
"61","KSS",2016-03-31,45.849998,46.700001,45.299999,46.610001,2353600,37.186878
