"","symbol","date","open","high","low","close","volume","adjusted"
"1","KTOS",2016-01-04,4.05,4.15,3.95,4.07,693600,4.07
"2","KTOS",2016-01-05,4.06,4.1,3.8,3.97,539000,3.97
"3","KTOS",2016-01-06,3.94,4.03,3.82,3.88,421800,3.88
"4","KTOS",2016-01-07,3.78,3.82,3.2,3.62,1110900,3.62
"5","KTOS",2016-01-08,3.62,3.65,3.5,3.51,426400,3.51
"6","KTOS",2016-01-11,3.5,3.51,3.31,3.37,595300,3.37
"7","KTOS",2016-01-12,3.37,3.43,3.21,3.25,606000,3.25
"8","KTOS",2016-01-13,3.31,3.37,3.01,3.15,491700,3.15
"9","KTOS",2016-01-14,3.15,3.24,3.06,3.12,506500,3.12
"10","KTOS",2016-01-15,3.05,3.17,3,3.16,479600,3.16
"11","KTOS",2016-01-19,3.18,3.2,3.01,3.05,570800,3.05
"12","KTOS",2016-01-20,3,3.15,2.8,3.1,956300,3.1
"13","KTOS",2016-01-21,3.12,3.23,3.07,3.09,398300,3.09
"14","KTOS",2016-01-22,3.2,3.26,3.12,3.26,399500,3.26
"15","KTOS",2016-01-25,3.22,3.28,3.02,3.1,817500,3.1
"16","KTOS",2016-01-26,3.12,3.18,2.97,2.99,834100,2.99
"17","KTOS",2016-01-27,3,3.11,2.92,3.07,470200,3.07
"18","KTOS",2016-01-28,3.08,3.15,2.99,3.02,299900,3.02
"19","KTOS",2016-01-29,3.03,3.25,3.02,3.19,352800,3.19
"20","KTOS",2016-02-01,3.15,3.24,3.12,3.21,200800,3.21
"21","KTOS",2016-02-02,3.17,3.18,2.99,3.03,358200,3.03
"22","KTOS",2016-02-03,3.07,3.1,2.98,3.04,305800,3.04
"23","KTOS",2016-02-04,3.06,3.32,3.06,3.31,399300,3.31
"24","KTOS",2016-02-05,3.3,3.3,3.11,3.19,370500,3.19
"25","KTOS",2016-02-08,3.13,3.18,3.04,3.16,255800,3.16
"26","KTOS",2016-02-09,3.13,3.2,3.03,3.12,315200,3.12
"27","KTOS",2016-02-10,3.12,3.28,3.12,3.19,267500,3.19
"28","KTOS",2016-02-11,3.15,3.18,3,3.12,309300,3.12
"29","KTOS",2016-02-12,3.13,3.2,3.05,3.06,284900,3.06
"30","KTOS",2016-02-16,3.11,3.17,3.06,3.11,487400,3.11
"31","KTOS",2016-02-17,3.15,3.45,3.14,3.28,449800,3.28
"32","KTOS",2016-02-18,3.31,3.39,3.11,3.17,295000,3.17
"33","KTOS",2016-02-19,3.17,3.19,3.06,3.17,220800,3.17
"34","KTOS",2016-02-22,3.21,3.36,3.21,3.25,295100,3.25
"35","KTOS",2016-02-23,3.25,3.33,3.11,3.15,304700,3.15
"36","KTOS",2016-02-24,3.1,3.31,3.06,3.28,364900,3.28
"37","KTOS",2016-02-25,3.28,3.36,3.14,3.19,227600,3.19
"38","KTOS",2016-02-26,3.21,3.36,3.2,3.26,312200,3.26
"39","KTOS",2016-02-29,3.26,3.44,3.26,3.34,391000,3.34
"40","KTOS",2016-03-01,3.4,3.58,3.4,3.54,480700,3.54
"41","KTOS",2016-03-02,3.56,3.68,3.55,3.66,297500,3.66
"42","KTOS",2016-03-03,3.66,3.8,3.59,3.69,360700,3.69
"43","KTOS",2016-03-04,3.7,3.95,3.61,3.87,394800,3.87
"44","KTOS",2016-03-07,3.91,4.1,3.87,3.99,536100,3.99
"45","KTOS",2016-03-08,4.1,4.1,3.69,3.72,471300,3.72
"46","KTOS",2016-03-09,3.75,3.84,3.69,3.79,238000,3.79
"47","KTOS",2016-03-10,3.8,3.85,3.61,3.68,445300,3.68
"48","KTOS",2016-03-11,3.99,4.47,3.95,4.19,1933900,4.19
"49","KTOS",2016-03-14,4.2,4.49,4.14,4.42,711500,4.42
"50","KTOS",2016-03-15,4.46,4.46,4.25,4.3,468900,4.3
"51","KTOS",2016-03-16,4.26,4.46,4.26,4.39,537900,4.39
"52","KTOS",2016-03-17,4.39,4.52,4.28,4.47,775600,4.47
"53","KTOS",2016-03-18,4.5,4.65,4.5,4.55,814700,4.55
"54","KTOS",2016-03-21,4.55,4.7,4.47,4.53,623600,4.53
"55","KTOS",2016-03-22,4.54,4.67,4.51,4.6,624600,4.6
"56","KTOS",2016-03-23,4.56,4.64,4.33,4.34,493000,4.34
"57","KTOS",2016-03-24,4.26,4.58,4.03,4.55,799700,4.55
"58","KTOS",2016-03-28,4.58,4.78,4.54,4.67,811700,4.67
"59","KTOS",2016-03-29,4.67,4.97,4.5,4.88,1010700,4.88
"60","KTOS",2016-03-30,4.94,5,4.83,4.98,554400,4.98
"61","KTOS",2016-03-31,4.97,4.97,4.77,4.95,588700,4.95
"62","KTOS",2016-04-01,4.9,5.12,4.81,5.04,724200,5.04
"63","KTOS",2016-04-04,5.1,5.1,4.86,4.88,437700,4.88
"64","KTOS",2016-04-05,4.81,5.01,4.8,4.9,412000,4.9
"65","KTOS",2016-04-06,4.89,5,4.81,5,413400,5
"66","KTOS",2016-04-07,4.94,4.99,4.81,4.85,514600,4.85
"67","KTOS",2016-04-08,4.85,4.98,4.82,4.93,276900,4.93
"68","KTOS",2016-04-11,4.91,4.99,4.84,4.91,437600,4.91
"69","KTOS",2016-04-12,4.93,4.95,4.82,4.89,608000,4.89
"70","KTOS",2016-04-13,4.9,5.05,4.84,5.05,481000,5.05
"71","KTOS",2016-04-14,5.09,5.21,5.05,5.06,388400,5.06
"72","KTOS",2016-04-15,5.01,5.4,4.95,5.3,642500,5.3
"73","KTOS",2016-04-18,5.31,5.47,5.24,5.41,595500,5.41
"74","KTOS",2016-04-19,5.48,5.58,5.32,5.39,392600,5.39
"75","KTOS",2016-04-20,5.41,5.43,5.29,5.32,307400,5.32
"76","KTOS",2016-04-21,5.3,5.34,5.17,5.24,377000,5.24
"77","KTOS",2016-04-22,5.26,5.42,5.23,5.3,317400,5.3
"78","KTOS",2016-04-25,5.32,5.4,5.1,5.12,471300,5.12
"79","KTOS",2016-04-26,5.17,5.45,5.17,5.43,537100,5.43
"80","KTOS",2016-04-27,5.5,5.52,5.35,5.46,337900,5.46
"81","KTOS",2016-04-28,5.44,5.58,5.42,5.43,301100,5.43
"82","KTOS",2016-04-29,5.44,5.56,5.31,5.31,365800,5.31
"83","KTOS",2016-05-02,5.28,5.34,5.13,5.34,345300,5.34
"84","KTOS",2016-05-03,5.29,5.33,5.1,5.26,421400,5.26
"85","KTOS",2016-05-04,5.18,5.46,5.18,5.33,778400,5.33
"86","KTOS",2016-05-05,4.81,5.06,4.39,4.5,1900900,4.5
"87","KTOS",2016-05-06,4.41,4.54,4.22,4.28,816900,4.28
"88","KTOS",2016-05-09,4.21,4.41,4.2,4.28,485400,4.28
"89","KTOS",2016-05-10,4.28,4.57,4.27,4.51,483700,4.51
"90","KTOS",2016-05-11,4.5,4.5,4.23,4.23,449100,4.23
"91","KTOS",2016-05-12,4.26,4.34,4.14,4.27,741000,4.27
"92","KTOS",2016-05-13,4.27,4.4,4.2,4.22,398500,4.22
"93","KTOS",2016-05-16,4.24,4.35,4.21,4.26,341700,4.26
"94","KTOS",2016-05-17,4.28,4.3,4.12,4.14,407100,4.14
"95","KTOS",2016-05-18,4.11,4.3,4.09,4.13,470300,4.13
"96","KTOS",2016-05-19,4.08,4.12,3.97,4.09,372300,4.09
"97","KTOS",2016-05-20,4.1,4.19,4.1,4.15,257900,4.15
"98","KTOS",2016-05-23,4.14,4.18,4.07,4.12,163300,4.12
"99","KTOS",2016-05-24,4.16,4.24,4.12,4.19,287000,4.19
"100","KTOS",2016-05-25,4.19,4.32,4.17,4.26,249100,4.26
"101","KTOS",2016-05-26,4.26,4.26,4.14,4.21,384500,4.21
"102","KTOS",2016-05-27,4.21,4.22,4.15,4.2,224300,4.2
"103","KTOS",2016-05-31,4.2,4.23,4.14,4.18,240200,4.18
"104","KTOS",2016-06-01,4.21,4.21,4.08,4.19,371800,4.19
"105","KTOS",2016-06-02,4.2,4.2,4.11,4.16,238200,4.16
"106","KTOS",2016-06-03,4.15,4.17,4.06,4.14,343000,4.14
"107","KTOS",2016-06-06,4.14,4.2,4.11,4.17,386900,4.17
"108","KTOS",2016-06-07,4.17,4.2,4.16,4.18,228700,4.18
"109","KTOS",2016-06-08,4.2,4.22,4.12,4.14,227500,4.14
"110","KTOS",2016-06-09,4.14,4.14,3.89,3.97,799000,3.97
"111","KTOS",2016-06-10,4.04,4.1,3.91,3.96,680300,3.96
"112","KTOS",2016-06-13,3.98,4.16,3.88,3.97,501300,3.97
"113","KTOS",2016-06-14,3.96,4.08,3.89,3.93,294800,3.93
"114","KTOS",2016-06-15,3.93,4.12,3.87,3.99,238500,3.99
"115","KTOS",2016-06-16,3.96,4.05,3.9,4.04,302800,4.04
"116","KTOS",2016-06-17,4.06,4.17,4.03,4.05,342100,4.05
"117","KTOS",2016-06-20,4.12,4.17,4.02,4.05,188700,4.05
"118","KTOS",2016-06-21,4.05,4.11,3.92,4.05,339400,4.05
"119","KTOS",2016-06-22,4.05,4.11,4,4,278100,4
"120","KTOS",2016-06-23,4.04,4.17,4.01,4.13,313300,4.13
"121","KTOS",2016-06-24,3.88,4.01,3.87,3.98,646000,3.98
"122","KTOS",2016-06-27,3.92,3.92,3.75,3.8,689000,3.8
"123","KTOS",2016-06-28,3.87,3.97,3.85,3.89,301400,3.89
"124","KTOS",2016-06-29,3.95,3.99,3.87,3.94,239600,3.94
"125","KTOS",2016-06-30,3.95,4.12,3.9,4.1,285700,4.1
"126","KTOS",2016-07-01,4.01,4.2,4.01,4.09,418500,4.09
"127","KTOS",2016-07-05,4.06,4.24,4.04,4.16,481500,4.16
"128","KTOS",2016-07-06,4.16,4.18,4.05,4.1,271300,4.1
"129","KTOS",2016-07-07,4.09,4.24,4.09,4.15,289700,4.15
"130","KTOS",2016-07-08,4.19,4.33,4.16,4.24,344800,4.24
"131","KTOS",2016-07-11,4.62,4.94,4.53,4.7,1787400,4.7
"132","KTOS",2016-07-12,4.71,4.74,4.55,4.64,549000,4.64
"133","KTOS",2016-07-13,4.64,4.68,4.5,4.54,365000,4.54
"134","KTOS",2016-07-14,4.56,4.56,4.42,4.52,292200,4.52
"135","KTOS",2016-07-15,4.55,4.66,4.42,4.65,440800,4.65
"136","KTOS",2016-07-18,4.66,4.66,4.52,4.61,240500,4.61
"137","KTOS",2016-07-19,4.6,4.67,4.5,4.54,255800,4.54
"138","KTOS",2016-07-20,4.54,4.59,4.44,4.54,199400,4.54
"139","KTOS",2016-07-21,4.54,4.63,4.5,4.52,113900,4.52
"140","KTOS",2016-07-22,4.51,4.58,4.39,4.54,143900,4.54
"141","KTOS",2016-07-25,4.51,4.57,4.47,4.55,238900,4.55
"142","KTOS",2016-07-26,4.53,4.61,4.46,4.51,293000,4.51
"143","KTOS",2016-07-27,4.51,4.59,4.47,4.52,248700,4.52
"144","KTOS",2016-07-28,4.53,4.57,4.4,4.44,348500,4.44
"145","KTOS",2016-07-29,4.45,4.49,4.37,4.41,273800,4.41
"146","KTOS",2016-08-01,4.42,4.47,4.32,4.42,218400,4.42
"147","KTOS",2016-08-02,4.41,4.49,4.38,4.39,256800,4.39
"148","KTOS",2016-08-03,4.39,4.52,4.38,4.5,314000,4.5
"149","KTOS",2016-08-04,4.54,4.67,4.48,4.55,486300,4.55
"150","KTOS",2016-08-05,4.95,5.54,4.95,5.38,2662300,5.38
"151","KTOS",2016-08-08,5.35,5.79,5.35,5.65,1607600,5.65
"152","KTOS",2016-08-09,5.6,5.65,5.36,5.59,782700,5.59
"153","KTOS",2016-08-10,5.62,5.68,5.52,5.67,724500,5.67
"154","KTOS",2016-08-11,5.68,5.95,5.61,5.89,829200,5.89
