"","symbol","date","open","high","low","close","volume","adjusted"
"1","KYN",2016-01-04,17.25,17.6,16.610001,17.4,1311600,9.09963
"2","KYN",2016-01-05,17.52,17.559999,16.889999,17.389999,972200,9.094399
"3","KYN",2016-01-06,16.459999,16.629999,15.28,15.95,918800,8.613757
"4","KYN",2016-01-07,15.5,15.85,14.79,14.93,1343700,8.062906
"5","KYN",2016-01-08,14.97,15.45,14.67,15,867600,8.100713
"6","KYN",2016-01-11,15,15.1,13.89,13.94,1124100,7.52826
"7","KYN",2016-01-12,14.28,14.47,12.79,13.44,1651400,7.258237
"8","KYN",2016-01-13,13.66,14.13,12.46,12.52,1565100,6.761395
"9","KYN",2016-01-14,12.65,13.21,12.35,13.17,1621800,7.112425
"10","KYN",2016-01-15,12.75,13.01,12.31,12.71,1499000,6.864003
"11","KYN",2016-01-19,12.91,12.94,11.77,11.99,982600,6.475169
"12","KYN",2016-01-20,11.5,11.5,10.1,11.05,1989100,5.967524
"13","KYN",2016-01-21,10.82,11.93,10.71,11.23,1346300,6.064734
"14","KYN",2016-01-22,11.7,12.76,11.7,12.72,1355200,6.869402
"15","KYN",2016-01-25,12.18,13.45,12.18,12.54,1274200,6.772195
"16","KYN",2016-01-26,12.73,13.68,12.45,13.42,915100,7.247436
"17","KYN",2016-01-27,13.28,13.8,12.97,13.58,936300,7.333845
"18","KYN",2016-01-28,14.34,14.72,13.94,14.67,993100,7.922496
"19","KYN",2016-01-29,14.95,15.44,14.58,15.35,857100,8.289728
"20","KYN",2016-02-01,14.95,14.95,14.25,14.36,785300,7.755082
"21","KYN",2016-02-02,14.13,14.13,13.46,13.83,791900,7.468857
"22","KYN",2016-02-03,14.18,14.54,13.52,14.11,552300,7.62007
"23","KYN",2016-02-04,14.25,14.95,14.01,14.66,568500,7.917094
"24","KYN",2016-02-05,14.6,14.68,13.85,14,458000,7.560664
"25","KYN",2016-02-08,13.62,13.67,11.73,11.97,901900,6.464368
"26","KYN",2016-02-09,11.54,11.76,11.11,11.18,951100,6.037729
