"","symbol","date","open","high","low","close","volume","adjusted"
"1","K",2016-01-04,71.589996,71.68,70.860001,71.610001,2039800,58.558289
"2","K",2016-01-05,72.07,72.68,71.540001,71.870003,2210500,58.77092
"3","K",2016-01-06,71.290001,72.300003,71.150002,72.010002,2504000,58.88541
"4","K",2016-01-07,71.089996,71.279999,70.260002,70.370003,1933200,57.544304
"5","K",2016-01-08,71.339996,72.389999,70.379997,71.480003,3157400,58.452007
"6","K",2016-01-11,71.669998,71.919998,71.029999,71.550003,1184200,58.509235
"7","K",2016-01-12,71.959999,72.139999,70.68,71.470001,1645500,58.44381
"8","K",2016-01-13,71.540001,72.239998,70.870003,70.900002,1365600,57.977707
"9","K",2016-01-14,70.949997,72.300003,70.779999,71.669998,1681000,58.607349
"10","K",2016-01-15,70.309998,71.18,70.290001,70.669998,2252300,57.789623
"11","K",2016-01-19,71.019997,71.559998,70.809998,71.239998,1529900,58.255722
"12","K",2016-01-20,70.769997,70.989998,68.730003,70.099998,2496600,57.323521
"13","K",2016-01-21,70.120003,70.529999,69.07,69.959999,2301500,57.209034
"14","K",2016-01-22,70.660004,71.82,70.279999,71.610001,1366200,58.558289
"15","K",2016-01-25,71.199997,71.650002,70.440002,70.510002,1289300,57.658772
"16","K",2016-01-26,70.339996,71.5,70.099998,71.199997,2239600,58.223034
"17","K",2016-01-27,71.419998,72.330002,71.139999,71.57,1244800,58.525593
"18","K",2016-01-28,72.139999,73.239998,71.720001,72.790001,1580100,59.523224
"19","K",2016-01-29,73.099998,73.889999,72.75,73.440002,2324900,60.054768
"20","K",2016-02-01,73.32,74.139999,73.040001,73.589996,2443800,60.17741
"21","K",2016-02-02,73.040001,73.260002,72.269997,72.379997,2211000,59.187954
"22","K",2016-02-03,72.470001,73.050003,71.519997,72.339996,1896700,59.155251
"23","K",2016-02-04,72.019997,72.25,71.400002,71.830002,1616200,58.738209
"24","K",2016-02-05,72.160004,72.599998,71.57,71.839996,2253000,58.746376
"25","K",2016-02-08,71.279999,71.949997,70.739998,71.309998,2469600,58.312969
"26","K",2016-02-09,70.629997,71.690002,70.330002,71.400002,2660300,58.38657
"27","K",2016-02-10,71.790001,72.5,70.559998,70.860001,3244700,57.944992
"28","K",2016-02-11,72.5,74.519997,72.230003,73.690002,5267100,60.259193
"29","K",2016-02-12,74.330002,75.010002,73.699997,74.970001,2599400,61.305908
"30","K",2016-02-16,74.339996,75.330002,73.830002,75.190002,3284700,61.485817
"31","K",2016-02-17,75.099998,76.239998,75.010002,75.75,2535500,61.943722
"32","K",2016-02-18,75.839996,76,74.809998,75.790001,2039400,61.976433
"33","K",2016-02-19,75.610001,75.760002,74.989998,75.519997,2124700,61.755642
"34","K",2016-02-22,75.519997,75.519997,73.400002,73.82,3852900,60.36549
"35","K",2016-02-23,73.550003,74.580002,73.540001,74.120003,2809500,60.610821
"36","K",2016-02-24,73.919998,74.25,73.529999,73.910004,2257000,60.439091
"37","K",2016-02-25,74.139999,74.970001,74.040001,74.910004,2083400,61.256847
"38","K",2016-02-26,74.580002,74.910004,72.900002,73.449997,2872200,60.466549
