"","symbol","date","open","high","low","close","volume","adjusted"
"1","LAMR",2016-01-04,59.560001,59.790001,59.07,59.790001,1030500,45.717655
"2","LAMR",2016-01-05,59.779999,60.560001,59.290001,60.470001,868900,46.237625
"3","LAMR",2016-01-06,60,60.709999,59.77,60.68,1259900,46.398193
"4","LAMR",2016-01-07,59.790001,61.419998,59.240002,60.130001,917800,45.977654
"5","LAMR",2016-01-08,60.740002,61.369999,60.27,60.41,1000300,46.191753
"6","LAMR",2016-01-11,60.509998,60.889999,57.779999,58.07,1010000,44.402489
"7","LAMR",2016-01-12,58.610001,58.93,57.950001,58.880001,675000,45.021851
"8","LAMR",2016-01-13,59.209999,59.490002,57.470001,57.57,576800,44.02018
"9","LAMR",2016-01-14,57.709999,58.689999,56.119999,58.380001,650700,44.63953
"10","LAMR",2016-01-15,57.27,57.639999,55.200001,55.669998,988200,42.567364
"11","LAMR",2016-01-19,55.720001,56.299999,55.02,55.75,1274800,42.628544
"12","LAMR",2016-01-20,55.16,55.369999,53.110001,54.470001,1065200,41.649803
"13","LAMR",2016-01-21,54.509998,55.25,53.740002,54.110001,889400,41.374538
"14","LAMR",2016-01-22,54.700001,56.369999,54.529999,56.220001,966600,42.987911
"15","LAMR",2016-01-25,55.84,56.23,54.799999,54.869999,839600,41.955654
"16","LAMR",2016-01-26,54.869999,56.099998,54.689999,55.709999,742200,42.597958
"17","LAMR",2016-01-27,55.689999,55.970001,54.73,55.110001,858100,42.139172
"18","LAMR",2016-01-28,55.330002,55.630001,54.720001,55.040001,476700,42.085655
"19","LAMR",2016-01-29,55.23,56.209999,54.91,56.110001,716100,42.903809
"20","LAMR",2016-02-01,55.779999,56.689999,55.540001,56.209999,650200,42.98027
"21","LAMR",2016-02-02,56.040001,56.400002,55.080002,55.490002,472800,42.429726
"22","LAMR",2016-02-03,55.779999,56.439999,54.970001,55.75,863300,42.628544
"23","LAMR",2016-02-04,55.419998,55.98,55.060001,55.549999,746900,42.475613
"24","LAMR",2016-02-05,55.509998,56.560001,53.48,53.93,1290400,41.2369
"25","LAMR",2016-02-08,53.630001,53.82,49.73,51.34,1187000,39.256489
"26","LAMR",2016-02-09,50.830002,51.080002,49.799999,50.130001,1114700,38.33128
"27","LAMR",2016-02-10,50.189999,51.57,50.049999,50.82,512300,38.858871
"28","LAMR",2016-02-11,49.799999,51.049999,49.799999,50.630001,522600,38.713593
"29","LAMR",2016-02-12,51.259998,51.869999,50.889999,51.75,633600,39.569973
"30","LAMR",2016-02-16,52.220001,53.18,52.139999,53.169998,557400,40.655769
"31","LAMR",2016-02-17,53.389999,55.119999,53.369999,54.32,1457300,41.53511
"32","LAMR",2016-02-18,54.540001,55.490002,54.419998,55.009998,1291400,42.062702
"33","LAMR",2016-02-19,54.610001,55.450001,54.560001,55.23,528200,42.230915
"34","LAMR",2016-02-22,55.439999,57.099998,55.130001,57.029999,1104500,43.607273
"35","LAMR",2016-02-23,56.5,56.5,53.900002,54.18,1371800,41.428059
"36","LAMR",2016-02-24,53.77,54.419998,52.509998,54.259998,1453500,41.48922
"37","LAMR",2016-02-25,54.299999,55.84,54.130001,55.779999,665200,42.651478
"38","LAMR",2016-02-26,56.049999,56.529999,55.970001,56.029999,518800,42.842632
"39","LAMR",2016-02-29,55.91,57.709999,55.91,57.130001,956100,43.683735
"40","LAMR",2016-03-01,57.330002,58.09,56.900002,57.369999,678100,43.867245
"41","LAMR",2016-03-02,57.459999,58.700001,57.459999,58.400002,595900,44.654819
"42","LAMR",2016-03-03,58.189999,59.43,58.150002,59.349998,894000,45.381229
"43","LAMR",2016-03-04,59.509998,59.959999,59.110001,59.509998,585200,45.503578
"44","LAMR",2016-03-07,59.200001,60.060001,59.060001,59.900002,565700,45.801773
"45","LAMR",2016-03-08,59.580002,59.619999,58.209999,58.32,599000,44.593655
"46","LAMR",2016-03-09,58.66,59.110001,57.619999,58.68,709800,44.868916
"47","LAMR",2016-03-10,58.98,59.630001,58.27,59.23,1034500,45.289482
"48","LAMR",2016-03-11,59.619999,60.43,59.529999,60.18,867800,46.015881
"49","LAMR",2016-03-14,58.720001,60.049999,58.720001,59.029999,561300,45.706169
"50","LAMR",2016-03-15,58.389999,59.220001,57.34,59.009998,459900,45.690681
"51","LAMR",2016-03-16,58.84,60.060001,58.43,59.900002,298100,46.379799
"52","LAMR",2016-03-17,59.889999,60.23,59.080002,60.009998,457800,46.46497
"53","LAMR",2016-03-18,59.84,60.98,58.779999,59.700001,593400,46.224937
"54","LAMR",2016-03-21,59.490002,59.869999,59.32,59.419998,337700,46.008137
"55","LAMR",2016-03-22,59.290001,59.790001,59.07,59.639999,344300,46.178471
"56","LAMR",2016-03-23,59.5,59.98,59.029999,59.529999,782100,46.093307
"57","LAMR",2016-03-24,59.080002,59.860001,58.880001,59.84,499600,46.333336
"58","LAMR",2016-03-28,60.049999,60.439999,59.73,59.91,670600,46.387535
"59","LAMR",2016-03-29,59.75,60.860001,59.130001,60.830002,579200,47.099892
"60","LAMR",2016-03-30,60.84,60.959999,60.240002,60.43,522900,46.790157
"61","LAMR",2016-03-31,60.57,61.619999,60.48,61.5,619400,47.618649
"62","LAMR",2016-04-01,60.93,61.52,60.810001,61.52,612900,47.63414
"63","LAMR",2016-04-04,61.52,61.849998,61.330002,61.709999,375400,47.78125
"64","LAMR",2016-04-05,61.360001,61.599998,60.900002,61.32,641400,47.479286
"65","LAMR",2016-04-06,61.419998,62.23,61.150002,61.91,613000,47.936108
"66","LAMR",2016-04-07,61.720001,61.799999,60.439999,60.98,401100,47.216019
"67","LAMR",2016-04-08,61.310001,61.720001,61.040001,61.200001,286300,47.386372
"68","LAMR",2016-04-11,60.93,61.59,60.639999,61.209999,501500,47.394112
"69","LAMR",2016-04-12,61.400002,61.869999,61.299999,61.830002,850900,47.874172
"70","LAMR",2016-04-13,61.880001,62.25,61.580002,61.860001,615100,47.897404
"71","LAMR",2016-04-14,61.779999,62.290001,61.41,61.98,504700,47.990311
"72","LAMR",2016-04-15,62.07,62.209999,61.5,61.959999,388200,47.974823
"73","LAMR",2016-04-18,61.700001,62.009998,61.400002,62.009998,322400,48.013542
"74","LAMR",2016-04-19,62.16,62.540001,61.77,62.16,235300,48.129681
"75","LAMR",2016-04-20,62.200001,62.299999,61.360001,62.240002,340400,48.191624
"76","LAMR",2016-04-21,62.349998,62.349998,61.09,61.529999,370600,47.641884
"77","LAMR",2016-04-22,61.439999,61.91,61.099998,61.900002,392800,47.928368
"78","LAMR",2016-04-25,61.740002,62.09,61.220001,62.07,367300,48.05999
"79","LAMR",2016-04-26,62.349998,62.709999,62.080002,62.619999,373600,48.485855
"80","LAMR",2016-04-27,62.400002,62.860001,60.02,62.07,489900,48.05999
"81","LAMR",2016-04-28,62,62.759998,61.799999,62.139999,339300,48.114197
"82","LAMR",2016-04-29,62.119999,62.43,61.060001,62.040001,587400,48.03677
"83","LAMR",2016-05-02,61.91,62.860001,61.91,62.720001,401500,48.563286
"84","LAMR",2016-05-03,62.509998,62.720001,61.91,62.099998,358200,48.083221
"85","LAMR",2016-05-04,62.080002,63.93,61.57,63.330002,810200,49.035603
"86","LAMR",2016-05-05,64.599998,65.5,64,64.07,1502800,49.608566
"87","LAMR",2016-05-06,64.309998,64.650002,63.759998,64.309998,887100,49.794399
"88","LAMR",2016-05-09,63.959999,64.410004,63.169998,63.5,690400,49.167233
"89","LAMR",2016-05-10,63.68,63.990002,63.110001,63.849998,598100,49.438225
"90","LAMR",2016-05-11,63.830002,64.059998,63.279999,63.849998,639800,49.438225
"91","LAMR",2016-05-12,64.010002,64.400002,63.540001,63.950001,420000,49.515659
"92","LAMR",2016-05-13,63.919998,64.040001,62.860001,63.27,447300,48.989132
"93","LAMR",2016-05-16,63.360001,63.779999,62.810001,63.610001,427000,49.252403
"94","LAMR",2016-05-17,63.360001,63.5,62.27,62.880001,664900,48.687176
"95","LAMR",2016-05-18,62.93,63.77,61.849998,62.400002,483700,48.315514
"96","LAMR",2016-05-19,61.98,62.959999,61.66,62.259998,320300,48.207111
"97","LAMR",2016-05-20,62.740002,63.43,62.07,63.279999,714000,48.99688
"98","LAMR",2016-05-23,63.400002,63.75,62.799999,63.509998,362200,49.174969
"99","LAMR",2016-05-24,63.75,64.709999,63.580002,64.129997,673200,49.655025
"100","LAMR",2016-05-25,64.199997,64.379997,63.59,63.740002,446300,49.353058
"101","LAMR",2016-05-26,63.669998,64.050003,63.389999,63.73,445600,49.345314
"102","LAMR",2016-05-27,63.66,64.720001,63.18,64.620003,340700,50.034443
"103","LAMR",2016-05-31,64.940002,65.25,64.489998,65.050003,402200,50.367367
"104","LAMR",2016-06-01,64.720001,64.980003,63.900002,64.290001,424300,49.778927
"105","LAMR",2016-06-02,64.330002,65.029999,64.040001,65.029999,447300,50.351894
"106","LAMR",2016-06-03,65.080002,65.389999,64.410004,64.669998,269000,50.073147
"107","LAMR",2016-06-06,64.800003,65.019997,64.339996,64.660004,309100,50.065407
"108","LAMR",2016-06-07,64.639999,65.290001,64.629997,64.699997,274900,50.096375
"109","LAMR",2016-06-08,64.639999,64.970001,64.190002,64.519997,385600,49.956989
"110","LAMR",2016-06-09,64.370003,64.809998,64.260002,64.610001,315700,50.026695
"111","LAMR",2016-06-10,64.370003,64.900002,64.110001,64.470001,229200,49.918293
"112","LAMR",2016-06-13,64.489998,64.919998,64.339996,64.379997,340800,49.848598
"113","LAMR",2016-06-14,63.48,63.689999,62.639999,62.939999,343600,49.308037
"114","LAMR",2016-06-15,63.029999,63.82,63.029999,63.419998,407600,49.684082
"115","LAMR",2016-06-16,63.290001,63.98,62.93,63.950001,303700,50.099297
"116","LAMR",2016-06-17,63.720001,64.059998,63.25,63.360001,764400,49.637077
"117","LAMR",2016-06-20,63.75,64.300003,63.529999,63.650002,447600,49.864265
"118","LAMR",2016-06-21,63.599998,63.959999,63.099998,63.16,1038300,49.480404
"119","LAMR",2016-06-22,63.290001,63.84,63.02,63.18,587400,49.496067
"120","LAMR",2016-06-23,63.68,63.84,63.27,63.52,573900,49.762421
"121","LAMR",2016-06-24,62,63.349998,61.610001,62.200001,719700,48.728321
"122","LAMR",2016-06-27,61.990002,62.299999,60.939999,62.07,901000,48.626476
"123","LAMR",2016-06-28,62.330002,63.07,61.540001,63.049999,449900,49.394215
"124","LAMR",2016-06-29,63.610001,64.739998,63.599998,64.709999,471500,50.694687
"125","LAMR",2016-06-30,64.610001,66.370003,64.300003,66.300003,724700,51.940319
"126","LAMR",2016-07-01,66.18,67.580002,66.18,67.129997,884100,52.590546
"127","LAMR",2016-07-05,67,67.099998,65.980003,66.43,582800,52.042164
"128","LAMR",2016-07-06,66.239998,66.410004,65.629997,66.32,349300,51.955978
"129","LAMR",2016-07-07,66.220001,66.889999,65.940002,66.730003,582500,52.277184
"130","LAMR",2016-07-08,67.07,67.919998,66.870003,67.650002,424100,52.997917
"131","LAMR",2016-07-11,67.959999,68.050003,67.660004,67.739998,355700,53.06842
"132","LAMR",2016-07-12,67.919998,68.290001,67.309998,67.370003,358400,52.778564
"133","LAMR",2016-07-13,67.379997,67.650002,66.57,67.040001,557600,52.520039
"134","LAMR",2016-07-14,67.220001,67.900002,66.879997,67.269997,591400,52.700222
"135","LAMR",2016-07-15,67.269997,67.360001,66.779999,67.129997,570000,52.590546
"136","LAMR",2016-07-18,67.199997,67.669998,67.199997,67.660004,230200,53.005753
"137","LAMR",2016-07-19,67.699997,68.449997,67.690002,68.440002,675100,53.616814
"138","LAMR",2016-07-20,68.620003,68.75,68.099998,68.389999,423800,53.577641
"139","LAMR",2016-07-21,68.489998,69.080002,68.080002,68.410004,546700,53.59333
"140","LAMR",2016-07-22,68.190002,69.349998,67.860001,69.110001,417300,54.141712
"141","LAMR",2016-07-25,69.120003,69.300003,68.580002,68.68,308000,53.804836
"142","LAMR",2016-07-26,68.529999,68.769997,68.080002,68.519997,392500,53.679493
"143","LAMR",2016-07-27,68.370003,68.779999,68.010002,68.379997,481100,53.569801
"144","LAMR",2016-07-28,68.449997,68.449997,67.620003,67.849998,742900,53.154606
"145","LAMR",2016-07-29,67.790001,68.190002,67.790001,67.860001,349000,53.162449
"146","LAMR",2016-08-01,68.059998,68.650002,68.010002,68.080002,349900,53.334782
"147","LAMR",2016-08-02,68.120003,68.120003,66.739998,66.989998,437700,52.480862
"148","LAMR",2016-08-03,66.82,67.120003,65.68,65.779999,403400,51.53294
"149","LAMR",2016-08-04,65.980003,66.239998,65.540001,65.580002,337900,51.376263
