"","symbol","date","open","high","low","close","volume","adjusted"
"1","LAND",2016-01-04,8.58,8.74,8.57,8.58,27100,6.718959
"2","LAND",2016-01-05,8.64,8.71,8.57,8.66,16500,6.781606
"3","LAND",2016-01-06,8.57,8.69,8.559,8.59,25400,6.726789
"4","LAND",2016-01-07,8.5,8.58,8.37,8.37,61200,6.554507
"5","LAND",2016-01-08,8.36,8.45,8.32,8.32,27500,6.515356
"6","LAND",2016-01-11,8.33,8.38,8.081,8.2,43100,6.421383
"7","LAND",2016-01-12,8.22,8.35,8.1,8.1,39000,6.343074
"8","LAND",2016-01-13,8.1,8.16,7.85,7.89,58100,6.178621
"9","LAND",2016-01-14,7.95,7.95,7.61,7.86,51500,6.155129
"10","LAND",2016-01-15,7.77,7.86,7.53,7.6,42500,5.951527
"11","LAND",2016-01-19,7.7,7.72,7.412,7.47,70300,5.849721
"12","LAND",2016-01-20,7.39,7.39,6.72,7.15,71300,5.629275
"13","LAND",2016-01-21,7.3,7.42,7.01,7.015,47300,5.522988
"14","LAND",2016-01-22,7.11,7.48,7.05,7.44,33000,5.857596
"15","LAND",2016-01-25,7.45,7.5,7.27,7.46,45600,5.873343
"16","LAND",2016-01-26,7.45,7.67,7.43,7.57,10900,5.959949
"17","LAND",2016-01-27,7.58,7.76,7.497,7.65,21100,6.022932
"18","LAND",2016-01-28,7.72,7.72,7.46,7.57,36000,5.959949
"19","LAND",2016-01-29,7.6,7.71,7.39,7.42,27600,5.841848
"20","LAND",2016-02-01,7.43,7.75,7.278,7.75,39300,6.101662
"21","LAND",2016-02-02,7.76,7.88,7.6,7.74,27200,6.09379
"22","LAND",2016-02-03,7.75,8.03,7.72,7.98,37300,6.282745
"23","LAND",2016-02-04,8,8.26,8,8.16,15900,6.42446
"24","LAND",2016-02-05,8.18,8.29,8.02,8.19,28700,6.448078
"25","LAND",2016-02-08,8.18,8.21,7.835,7.96,28800,6.266998
"26","LAND",2016-02-09,8.18,8.19,7.78,7.83,20800,6.164648
"27","LAND",2016-02-10,7.72,7.85,7.65,7.67,25100,6.038676
"28","LAND",2016-02-11,7.61,7.72,7.5,7.72,17100,6.078043
"29","LAND",2016-02-12,7.7,7.88,7.7,7.79,10900,6.133156
"30","LAND",2016-02-16,7.85,7.89,7.778,7.855,8500,6.216249
