"","symbol","date","open","high","low","close","volume","adjusted"
"1","LCID",2020-09-18,10.25,10.25,9.82,9.89,564300,9.89
"2","LCID",2020-09-21,9.9,9.96,9.86,9.86,762800,9.86
"3","LCID",2020-09-22,9.96,9.96,9.85,9.88,1280800,9.88
"4","LCID",2020-09-23,9.9,9.905,9.79,9.85,192600,9.85
"5","LCID",2020-09-24,9.85,9.85,9.75,9.77,605500,9.77
"6","LCID",2020-09-25,9.77,9.85,9.77,9.81,692500,9.81
"7","LCID",2020-09-28,9.9,9.94,9.83,9.83,72300,9.83
"8","LCID",2020-09-29,9.88,9.88,9.76,9.78,189600,9.78
"9","LCID",2020-09-30,9.85,9.85,9.77,9.78,546200,9.78
"10","LCID",2020-10-01,9.85,9.85,9.74,9.76,1068500,9.76
"11","LCID",2020-10-02,9.73,9.8,9.73,9.74,3925700,9.74
"12","LCID",2020-10-05,9.8,9.8,9.69,9.71,3148000,9.71
"13","LCID",2020-10-06,9.74,9.75,9.67,9.68,1902400,9.68
"14","LCID",2020-10-07,9.72,9.75,9.67,9.71,1325400,9.71
"15","LCID",2020-10-08,9.7,9.75,9.7,9.717,550300,9.717
"16","LCID",2020-10-09,9.76,9.77,9.722,9.75,2401500,9.75
"17","LCID",2020-10-12,9.82,9.82,9.73,9.73,172300,9.73
"18","LCID",2020-10-13,9.85,9.85,9.67,9.7,1623900,9.7
"19","LCID",2020-10-14,9.75,9.77,9.68,9.68,2177900,9.68
"20","LCID",2020-10-15,9.67,9.72,9.65,9.68,348000,9.68
"21","LCID",2020-10-16,9.69,9.705,9.67,9.68,305000,9.68
"22","LCID",2020-10-19,9.71,9.73,9.677,9.68,348700,9.68
"23","LCID",2020-10-20,9.71,9.74,9.67,9.67,78200,9.67
"24","LCID",2020-10-21,9.73,9.73,9.65,9.66,292300,9.66
"25","LCID",2020-10-22,9.66,9.67,9.63,9.65,1441900,9.65
"26","LCID",2020-10-23,9.65,9.7,9.63,9.63,2067800,9.63
"27","LCID",2020-10-26,9.65,9.66,9.64,9.65,2394800,9.65
"28","LCID",2020-10-27,9.65,9.7,9.64,9.65,304100,9.65
"29","LCID",2020-10-28,9.74,9.74,9.63,9.65,1571500,9.65
"30","LCID",2020-10-29,9.66,9.7,9.62,9.65,1652900,9.65
"31","LCID",2020-10-30,9.65,9.69,9.6,9.63,1154300,9.63
"32","LCID",2020-11-02,9.63,9.64,9.6,9.63,716700,9.63
"33","LCID",2020-11-03,9.63,9.7,9.62,9.69,189800,9.69
"34","LCID",2020-11-04,9.7,9.73,9.68,9.69,509800,9.69
"35","LCID",2020-11-05,9.76,9.78,9.73,9.77,1534500,9.77
"36","LCID",2020-11-06,9.79,9.79,9.72,9.72,1444000,9.72
"37","LCID",2020-11-09,9.7,9.725,9.66,9.67,163500,9.67
