"","symbol","date","open","high","low","close","volume","adjusted"
"1","LECO",2016-01-04,51.029999,52.16,50.98,51.939999,566300,46.211102
"2","LECO",2016-01-05,51.52,52.02,51.150002,51.77,524800,46.059868
"3","LECO",2016-01-06,51.029999,51.490002,50.84,51.23,459000,45.579418
"4","LECO",2016-01-07,50.470001,50.759998,49.900002,50.029999,393700,44.51178
"5","LECO",2016-01-08,50.200001,51.459999,49.299999,49.380001,488000,43.933464
"6","LECO",2016-01-11,49.529999,49.779999,48.889999,49.540001,460100,44.075829
"7","LECO",2016-01-12,49.84,50.41,48.919998,49.98,609500,44.4673
"8","LECO",2016-01-13,50.18,50.849998,48.419998,48.490002,468300,43.141647
"9","LECO",2016-01-14,48.529999,49.48,47.419998,49.310001,614900,43.871201
"10","LECO",2016-01-15,47.970001,52.34,47.740002,48.169998,574200,42.856926
"11","LECO",2016-01-19,48.459999,48.779999,46.919998,47.369999,574600,42.145168
"12","LECO",2016-01-20,46.52,47.630001,45.540001,46.98,465300,41.798183
"13","LECO",2016-01-21,46.389999,46.389999,46.389999,46.389999,745400,41.273262
"14","LECO",2016-01-22,47.099998,47.439999,45.759998,46.970001,660300,41.789288
"15","LECO",2016-01-25,46.869999,49.200001,46.869999,47.630001,1509900,42.376484
"16","LECO",2016-01-26,48.09,51.189999,47.5,50.759998,1104500,45.161259
"17","LECO",2016-01-27,50.529999,52.200001,49.880001,50.59,834100,45.010017
"18","LECO",2016-01-28,51.110001,52.16,50.790001,51.73,1107300,46.024273
"19","LECO",2016-01-29,51.759998,53.360001,51.759998,53.240002,3687600,47.367718
"20","LECO",2016-02-01,52.849998,53.029999,51.369999,52.360001,580300,46.58477
"21","LECO",2016-02-02,51.709999,52.619999,51.23,51.529999,476900,45.846325
"22","LECO",2016-02-03,52.119999,53.099998,51.060001,52.630001,1067200,46.824993
"23","LECO",2016-02-04,52.369999,54.619999,52.369999,54.029999,1540300,48.07058
"24","LECO",2016-02-05,53.740002,54.59,53.43,54.060001,477800,48.097275
"25","LECO",2016-02-08,53.720001,55.639999,53.220001,55.400002,1004100,49.289471
"26","LECO",2016-02-09,54.650002,56.799999,54.650002,56.189999,899000,49.99234
"27","LECO",2016-02-10,56.57,56.970001,55.709999,55.73,839500,49.583073
"28","LECO",2016-02-11,54.919998,56.299999,53.990002,54.52,844700,48.506542
"29","LECO",2016-02-12,55,56.400002,54.560001,55.779999,545100,49.62756
"30","LECO",2016-02-16,56.810001,57.310001,55.849998,57.02,457100,50.730793
"31","LECO",2016-02-17,57.599998,58.73,57.490002,58.139999,609300,51.727261
"32","LECO",2016-02-18,58.330002,58.619999,55.790001,58.580002,537900,52.118725
"33","LECO",2016-02-19,57.959999,58.549999,57.75,58.279999,619600,51.851814
"34","LECO",2016-02-22,59.110001,59.240002,57.720001,58.189999,666800,51.771748
"35","LECO",2016-02-23,57.43,58.080002,54.57,54.759998,1277900,48.720074
"36","LECO",2016-02-24,53.919998,54.91,53.200001,54.860001,580900,48.809032
