"","symbol","date","open","high","low","close","volume","adjusted"
"1","LKQ",2016-01-04,29.27,29.49,28.610001,28.84,2449200,28.714674
"2","LKQ",2016-01-05,28.82,29.24,28.389999,28.620001,1171100,28.495632
"3","LKQ",2016-01-06,28.049999,28.549999,28.030001,28.41,1691500,28.286543
"4","LKQ",2016-01-07,27.790001,28.280001,27.549999,28.190001,2904000,28.067499
"5","LKQ",2016-01-08,28.459999,28.700001,27.059999,27.110001,1951000,26.992193
"6","LKQ",2016-01-11,27.209999,27.360001,26.459999,26.73,1889400,26.613844
"7","LKQ",2016-01-12,27.02,27.379999,26.540001,27.02,1825400,26.902584
"8","LKQ",2016-01-13,27.07,27.09,25.309999,25.379999,2225600,25.269709
"9","LKQ",2016-01-14,25.379999,26.07,25.280001,25.82,2534800,25.707798
"10","LKQ",2016-01-15,25.389999,25.98,25.01,25.959999,2706200,25.847189
"11","LKQ",2016-01-19,26.200001,26.360001,25.41,25.74,1997900,25.628145
"12","LKQ",2016-01-20,25.48,26.309999,25.01,26.059999,1951800,25.946754
"13","LKQ",2016-01-21,26.1,26.66,25.9,26.34,2611700,26.225538
"14","LKQ",2016-01-22,26.690001,26.969999,26.190001,26.77,1649800,26.653671
"15","LKQ",2016-01-25,26.719999,26.9,25.52,26.059999,1543500,25.946754
"16","LKQ",2016-01-26,26.25,26.809999,26.120001,26.790001,1358600,26.673584
"17","LKQ",2016-01-27,26.66,26.719999,25.959999,26.15,1242900,26.036364
"18","LKQ",2016-01-28,26.440001,26.5,25.969999,26.459999,1301400,26.345016
"19","LKQ",2016-01-29,26.5,27.41,26.5,27.4,1870400,27.280931
"20","LKQ",2016-02-01,27.23,27.48,26.870001,27.34,1520500,27.221193
"21","LKQ",2016-02-02,27.110001,27.51,26.75,26.780001,1149700,26.663628
"22","LKQ",2016-02-03,26.940001,27.42,25.99,26.559999,1500000,26.444582
"23","LKQ",2016-02-04,26.41,26.549999,25.84,26.4,1695000,26.285278
"24","LKQ",2016-02-05,26.35,26.35,25.16,25.219999,1511400,25.110405
"25","LKQ",2016-02-08,24.82,25,24.440001,24.92,1490200,24.811708
"26","LKQ",2016-02-09,24.629999,24.889999,24.18,24.190001,1981700,24.084883
"27","LKQ",2016-02-10,24.41,25.01,24.110001,24.540001,1566800,24.433361
"28","LKQ",2016-02-11,24.190001,24.969999,23.950001,24.41,2057000,24.303925
"29","LKQ",2016-02-12,24.719999,26.299999,24.43,25.030001,1182200,24.921232
"30","LKQ",2016-02-16,25.51,25.82,25.139999,25.67,981600,25.558451
"31","LKQ",2016-02-17,25.91,26.129999,25.6,26.02,1146600,25.906929
"32","LKQ",2016-02-18,25.98,26.459999,25.77,25.940001,991600,25.827278
"33","LKQ",2016-02-19,25.85,26.33,25.68,26.309999,845800,26.195669
"34","LKQ",2016-02-22,26.52,26.780001,25.77,26,2348200,25.887016
"35","LKQ",2016-02-23,25.940001,26.540001,25.76,26.17,2170900,26.056278
"36","LKQ",2016-02-24,25.780001,26.040001,24.83,25.940001,3256400,25.827278
"37","LKQ",2016-02-25,27.450001,27.860001,26.540001,27.75,3684000,27.629412
"38","LKQ",2016-02-26,28.02,28.200001,27.360001,28.16,1680100,28.03763
"39","LKQ",2016-02-29,28.879999,29,27.469999,27.6,2891900,27.480064
"40","LKQ",2016-03-01,27.790001,28.549999,27.66,28.540001,2108700,28.415979
"41","LKQ",2016-03-02,28.76,28.969999,28.32,28.959999,3231600,28.834152
"42","LKQ",2016-03-03,28.85,29.42,28.58,29.41,1627900,29.282198
"43","LKQ",2016-03-04,29.58,30.15,29.41,30.030001,2550500,29.899504
"44","LKQ",2016-03-07,29.959999,30.469999,29.6,30.440001,1615100,30.307722
"45","LKQ",2016-03-08,30.370001,30.620001,30.15,30.41,2496400,30.277853
"46","LKQ",2016-03-09,30.700001,30.76,30.27,30.42,1403200,30.287809
"47","LKQ",2016-03-10,30.48,30.68,29.959999,30.5,1247700,30.36746
"48","LKQ",2016-03-11,30.75,31.18,30.559999,31.15,1724400,31.014637
"49","LKQ",2016-03-14,31.200001,31.299999,30.799999,30.83,2221500,30.696028
"50","LKQ",2016-03-15,29.780001,30.85,29.780001,30.49,1936200,30.357504
"51","LKQ",2016-03-16,30.530001,30.84,30.27,30.809999,1509400,30.676113
"52","LKQ",2016-03-17,30.73,31,30.540001,30.950001,1365800,30.815506
"53","LKQ",2016-03-18,30.799999,31.24,30.280001,30.83,2537500,30.696028
"54","LKQ",2016-03-21,30.74,30.959999,30.27,30.870001,1722200,30.735853
"55","LKQ",2016-03-22,30.639999,31.110001,30.5,30.809999,1653200,30.676113
"56","LKQ",2016-03-23,30.73,30.809999,30.18,30.209999,3080300,30.07872
"57","LKQ",2016-03-24,29.99,30.17,29.82,30.120001,2074900,29.989113
"58","LKQ",2016-03-28,30.370001,30.84,30.209999,30.610001,1659800,30.476984
"59","LKQ",2016-03-29,30.620001,30.93,30.4,30.9,2404100,30.765722
"60","LKQ",2016-03-30,31,31.209999,30.790001,31.120001,2040600,30.984768
"61","LKQ",2016-03-31,31.120001,32.119999,31.08,31.93,2791200,31.791246
"62","LKQ",2016-04-01,31.75,32.169998,31.65,32.16,3572800,32.020248
"63","LKQ",2016-04-04,32.139999,32.349998,31.74,32.290001,2347300,32.149685
"64","LKQ",2016-04-05,32.549999,32.549999,31.49,31.5,2410600,31.363115
