"","symbol","date","open","high","low","close","volume","adjusted"
"1","LMACU",2021-01-22,13.2,13.38,12.84,13.015,13137400,13.015
"2","LMACU",2021-01-25,14.01,14.13,12.92,13,1651200,13
"3","LMACU",2021-01-26,13.1,13.25,12.25,12.25,1184100,12.25
"4","LMACU",2021-01-27,12.18,12.69,11.98,12.02,1098900,12.02
"5","LMACU",2021-01-28,12.25,12.59,12.01,12.21,667200,12.21
"6","LMACU",2021-01-29,12.2,12.705,12.05,12.5,306800,12.5
"7","LMACU",2021-02-01,12.6,12.94,12.5,12.5,375800,12.5
"8","LMACU",2021-02-02,12.6,13.1,12.55,12.62,251400,12.62
"9","LMACU",2021-02-03,12.6,12.945,12.6,12.72,266900,12.72
"10","LMACU",2021-02-04,12.71,12.94,12.54,12.55,259300,12.55
"11","LMACU",2021-02-05,13,13,12.35,12.4,338500,12.4
"12","LMACU",2021-02-08,12.5,12.75,12.28,12.28,230200,12.28
"13","LMACU",2021-02-09,12.61,12.65,12.3,12.38,1426400,12.38
"14","LMACU",2021-02-10,12.5,12.66,12.42,12.475,427600,12.475
"15","LMACU",2021-02-11,12.55,14.253,12.39,13.5,1375800,13.5
"16","LMACU",2021-02-12,13.99,14.12,13.15,13.3,1245700,13.3
"17","LMACU",2021-02-16,14,14.1,13.37,13.48,354800,13.48
"18","LMACU",2021-02-17,13.75,13.75,13.51,13.63,258800,13.63
"19","LMACU",2021-02-18,13.77,13.89,13.37,13.58,168800,13.58
"20","LMACU",2021-02-19,13.51,13.58,13.15,13.15,407000,13.15
"21","LMACU",2021-02-22,13.4,13.694,13.2,13.39,239700,13.39
"22","LMACU",2021-02-23,13.2,13.39,13.01,13.21,389600,13.21
"23","LMACU",2021-02-24,13.25,13.35,13.17,13.25,206700,13.25
"24","LMACU",2021-02-25,13.24,13.26,13,13.14,611800,13.14
"25","LMACU",2021-02-26,13.03,13.1,12.86,12.87,479000,12.87
"26","LMACU",2021-03-01,13.18,13.32,12.75,12.77,236600,12.77
"27","LMACU",2021-03-02,12.85,13.07,12.75,12.82,127700,12.82
"28","LMACU",2021-03-03,12.82,12.96,12.2,12.23,329800,12.23
"29","LMACU",2021-03-04,12.2,12.23,11.11,11.2,968400,11.2
"30","LMACU",2021-03-05,11.19,11.54,11,11.4,736200,11.4
"31","LMACU",2021-03-08,11.93,11.93,11.4,11.41,419000,11.41
"32","LMACU",2021-03-09,11.4,11.68,11.4,11.48,204300,11.48
"33","LMACU",2021-03-10,11.72,11.72,11.376,11.4,358500,11.4
"34","LMACU",2021-03-11,11.4,11.6,11.37,11.59,224400,11.59
"35","LMACU",2021-03-12,11.56,11.71,11.525,11.7,170300,11.7
"36","LMACU",2021-03-15,11.81,11.88,11.65,11.79,101800,11.79
"37","LMACU",2021-03-16,11.73,12.16,11.47,11.84,273200,11.84
"38","LMACU",2021-03-17,11.71,12.208,11.71,12.18,56400,12.18
"39","LMACU",2021-03-18,12.3,12.419,11.901,11.99,63500,11.99
"40","LMACU",2021-03-19,11.96,12.19,11.52,11.55,386300,11.55
"41","LMACU",2021-03-22,11.5,11.8,11.4,11.46,103600,11.46
"42","LMACU",2021-03-23,11.42,11.6,10.85,10.93,245100,10.93
"43","LMACU",2021-03-24,10.81,11.2,10.67,10.88,611900,10.88
"44","LMACU",2021-03-25,10.72,11.155,10.4,10.74,187200,10.74
"45","LMACU",2021-03-26,10.74,10.952,10.74,10.8,249400,10.8
"46","LMACU",2021-03-29,10.74,10.91,10.65,10.74,175600,10.74
"47","LMACU",2021-03-30,10.7,10.87,10.7,10.75,156700,10.75
"48","LMACU",2021-03-31,10.74,10.922,10.62,10.71,390700,10.71
"49","LMACU",2021-04-01,10.7,10.9,10.7,10.74,281000,10.74
"50","LMACU",2021-04-05,10.72,10.95,10.69,10.84,81400,10.84
"51","LMACU",2021-04-06,10.74,11.167,10.74,10.95,67500,10.95
"52","LMACU",2021-04-07,11.39,11.39,10.76,10.92,81000,10.92
"53","LMACU",2021-04-08,10.86,11.01,10.82,11.01,72900,11.01
"54","LMACU",2021-04-09,10.91,11.02,10.69,10.77,203400,10.77
"55","LMACU",2021-04-12,10.69,10.92,10.69,10.86,34800,10.86
"56","LMACU",2021-04-13,10.8,11.18,10.752,10.97,88000,10.97
"57","LMACU",2021-04-14,10.88,11.2,10.88,11.05,24700,11.05
"58","LMACU",2021-04-15,11,11.03,10.88,10.93,152400,10.93
"59","LMACU",2021-04-16,10.9,11.08,10.82,10.94,22900,10.94
"60","LMACU",2021-04-19,11.02,11.18,10.79,10.91,83000,10.91
"61","LMACU",2021-04-20,10.89,10.9,10.78,10.78,236700,10.78
"62","LMACU",2021-04-21,10.86,10.86,10.676,10.69,173300,10.69
"63","LMACU",2021-04-22,10.7,10.79,10.587,10.74,245500,10.74
"64","LMACU",2021-04-23,10.68,11.02,10.66,10.99,49300,10.99
"65","LMACU",2021-04-26,10.75,10.97,10.74,10.87,114000,10.87
"66","LMACU",2021-04-27,10.94,10.94,10.7,10.76,101200,10.76
"67","LMACU",2021-04-28,10.74,10.78,10.66,10.66,217900,10.66
"68","LMACU",2021-04-29,10.65,10.8,10.63,10.7,61400,10.7
"69","LMACU",2021-04-30,10.69,10.74,10.64,10.7,16300,10.7
"70","LMACU",2021-05-03,10.81,10.81,10.62,10.62,175600,10.62
"71","LMACU",2021-05-04,10.58,10.74,10.58,10.63,35000,10.63
"72","LMACU",2021-05-05,10.62,10.7,10.6,10.61,267200,10.61
"73","LMACU",2021-05-06,10.57,10.7,10.57,10.61,118200,10.61
"74","LMACU",2021-05-07,10.58,10.7,10.58,10.61,98400,10.61
"75","LMACU",2021-05-10,10.62,10.665,10.56,10.59,151800,10.59
"76","LMACU",2021-05-11,10.55,10.62,10.55,10.59,244700,10.59
"77","LMACU",2021-05-12,10.52,10.608,10.52,10.52,111900,10.52
"78","LMACU",2021-05-13,10.51,10.52,10.48,10.5,250000,10.5
"79","LMACU",2021-05-14,10.51,10.56,10.44,10.51,499100,10.51
"80","LMACU",2021-05-17,10.48,10.6,10.48,10.55,41500,10.55
"81","LMACU",2021-05-18,10.53,10.64,10.5,10.5,28800,10.5
"82","LMACU",2021-05-19,10.44,10.55,10.44,10.55,36500,10.55
"83","LMACU",2021-05-20,10.54,10.69,10.54,10.69,10800,10.69
"84","LMACU",2021-05-21,10.675,10.675,10.54,10.55,48600,10.55
"85","LMACU",2021-05-24,10.5,10.57,10.492,10.55,78800,10.55
"86","LMACU",2021-05-25,10.52,10.6,10.52,10.59,14200,10.59
"87","LMACU",2021-05-26,10.6,10.65,10.59,10.6,251700,10.6
"88","LMACU",2021-05-27,10.65,10.657,10.57,10.58,475100,10.58
"89","LMACU",2021-05-28,10.63,10.633,10.56,10.59,262200,10.59
"90","LMACU",2021-06-01,10.58,10.71,10.58,10.69,238500,10.69
"91","LMACU",2021-06-02,10.74,10.74,10.698,10.701,40000,10.701
"92","LMACU",2021-06-03,10.68,10.745,10.58,10.59,31600,10.59
"93","LMACU",2021-06-04,10.65,10.655,10.5,10.57,166100,10.57
"94","LMACU",2021-06-07,10.628,10.628,10.537,10.62,214400,10.62
"95","LMACU",2021-06-08,10.67,10.67,10.55,10.65,7900,10.65
"96","LMACU",2021-06-09,10.71,10.71,10.61,10.68,16700,10.68
"97","LMACU",2021-06-10,10.64,10.725,10.62,10.62,21200,10.62
"98","LMACU",2021-06-11,10.6,10.7,10.58,10.65,12400,10.65
"99","LMACU",2021-06-14,10.63,10.65,10.56,10.56,30600,10.56
"100","LMACU",2021-06-15,10.54,10.615,10.54,10.56,16500,10.56
