"","symbol","date","open","high","low","close","volume","adjusted"
"1","LOGI",2016-01-04,15.02,15.09,14.59,14.83,388300,13.672913
"2","LOGI",2016-01-05,14.95,14.97,14.76,14.86,327300,13.700572
"3","LOGI",2016-01-06,14.69,14.81,14.61,14.78,257000,13.626813
"4","LOGI",2016-01-07,14.49,14.51,14.09,14.09,694900,12.99065
"5","LOGI",2016-01-08,14.32,14.36,13.75,13.78,743100,12.704837
"6","LOGI",2016-01-11,14.01,14.09,13.84,13.97,533700,12.880013
"7","LOGI",2016-01-12,14.1,14.16,13.95,14.03,318000,12.935331
"8","LOGI",2016-01-13,14.03,14.08,13.58,13.59,318100,12.529661
"9","LOGI",2016-01-14,13.74,13.9,13.57,13.73,513700,12.658737
"10","LOGI",2016-01-15,13.41,13.52,13.25,13.48,507000,12.428245
"11","LOGI",2016-01-19,13.95,13.98,13.73,13.79,772700,12.714057
"12","LOGI",2016-01-20,13.74,13.9,13.38,13.72,1168800,12.649518
"13","LOGI",2016-01-21,14.83,14.97,14.51,14.73,1841700,13.580714
"14","LOGI",2016-01-22,14.84,15.21,14.84,15.18,974200,13.995605
"15","LOGI",2016-01-25,15.14,15.32,15.11,15.21,641200,14.023264
"16","LOGI",2016-01-26,15.25,15.51,15.21,15.5,568000,14.290637
"17","LOGI",2016-01-27,15.49,15.81,15.48,15.61,962200,14.392055
"18","LOGI",2016-01-28,15.7,15.8,15.44,15.51,732400,14.299856
"19","LOGI",2016-01-29,15.64,15.88,15.62,15.85,371300,14.613329
"20","LOGI",2016-02-01,15.74,15.89,15.69,15.81,549300,14.576449
"21","LOGI",2016-02-02,14.95,15.07,14.44,14.5,1187100,13.36866
"22","LOGI",2016-02-03,14.98,15.03,14.78,15.03,1091900,13.857307
"23","LOGI",2016-02-04,14.74,15.26,14.74,15.22,1234800,14.032484
"24","LOGI",2016-02-05,15.3,15.4,15.21,15.31,928900,14.115461
"25","LOGI",2016-02-08,14.9,14.96,14.61,14.76,1205700,13.608374
"26","LOGI",2016-02-09,14.13,14.43,14.13,14.32,1326100,13.202704
"27","LOGI",2016-02-10,14.26,14.4,14.2,14.31,725500,13.193484
"28","LOGI",2016-02-11,14.11,14.31,14.08,14.29,814300,13.175044
"29","LOGI",2016-02-12,14.02,14.15,13.95,14.14,773100,13.036749
"30","LOGI",2016-02-16,14.35,14.68,14.29,14.65,554100,13.506956
"31","LOGI",2016-02-17,14.7,14.99,14.7,14.88,601800,13.719011
"32","LOGI",2016-02-18,15.05,15.15,14.98,15.04,637600,13.866529
"33","LOGI",2016-02-19,14.92,14.96,14.79,14.95,312500,13.783548
"34","LOGI",2016-02-22,15.01,15.08,14.9,14.93,456900,13.765111
"35","LOGI",2016-02-23,15.04,15.36,14.91,15.26,970800,14.069363
"36","LOGI",2016-02-24,14.76,15.46,14.76,15.46,762500,14.253758
"37","LOGI",2016-02-25,15.22,15.46,15.19,15.45,687700,14.244538
"38","LOGI",2016-02-26,15.35,15.36,15.11,15.2,617100,14.014044
"39","LOGI",2016-02-29,15.46,15.57,15.33,15.33,530000,14.1339
"40","LOGI",2016-03-01,15.44,15.86,15.41,15.85,629400,14.613329
"41","LOGI",2016-03-02,15.48,15.75,15.42,15.74,546800,14.51191
"42","LOGI",2016-03-03,15.97,16.190001,15.89,16.18,698300,14.917582
"43","LOGI",2016-03-04,15.92,16.360001,15.92,16.200001,754300,14.936021
"44","LOGI",2016-03-07,16.23,16.6,16.23,16.559999,732600,15.267934
"45","LOGI",2016-03-08,16.129999,16.15,15.78,15.82,466100,14.585669
"46","LOGI",2016-03-09,15.91,16.040001,15.81,16,321200,14.751624
"47","LOGI",2016-03-10,15.9,16.08,15.69,15.83,646400,14.594889
"48","LOGI",2016-03-11,15.95,16,15.81,15.91,884800,14.668647
"49","LOGI",2016-03-14,15.95,15.98,15.87,15.91,449200,14.668647
"50","LOGI",2016-03-15,15.83,15.86,15.71,15.76,349800,14.530352
"51","LOGI",2016-03-16,15.71,16.129999,15.69,16.09,807700,14.834603
"52","LOGI",2016-03-17,16.01,16.379999,16.01,16.299999,418000,15.028217
"53","LOGI",2016-03-18,16.18,16.26,16.040001,16.07,784600,14.816164
"54","LOGI",2016-03-21,15.94,16.059999,15.81,15.99,540100,14.742405
"55","LOGI",2016-03-22,15.81,16.110001,15.79,16,454600,14.751624
"56","LOGI",2016-03-23,15.9,15.96,15.73,15.75,308000,14.521131
"57","LOGI",2016-03-24,15.65,15.74,15.57,15.69,290400,14.465813
"58","LOGI",2016-03-28,15.75,15.86,15.7,15.77,167800,14.539571
"59","LOGI",2016-03-29,15.41,15.8,15.34,15.78,465600,14.54879
"60","LOGI",2016-03-30,15.88,15.94,15.81,15.82,234000,14.585669
"61","LOGI",2016-03-31,15.98,16.040001,15.9,15.91,290700,14.668647
"62","LOGI",2016-04-01,15.7,16,15.69,15.94,619100,14.696305
"63","LOGI",2016-04-04,16.02,16.040001,15.87,15.92,325200,14.677867
"64","LOGI",2016-04-05,15.86,16.059999,15.8,15.96,1426300,14.714746
"65","LOGI",2016-04-06,16.08,16.48,16.08,16.43,496100,15.148075
"66","LOGI",2016-04-07,16.25,16.299999,16.129999,16.18,250300,14.917582
"67","LOGI",2016-04-08,16.200001,16.43,16.16,16.34,438000,15.065096
"68","LOGI",2016-04-11,16.24,16.299999,16.040001,16.07,417100,14.816164
"69","LOGI",2016-04-12,16.07,16.16,15.92,16.09,524500,14.834603
"70","LOGI",2016-04-13,16.360001,16.459999,16.32,16.389999,468000,15.111195
"71","LOGI",2016-04-14,16.51,16.549999,16.32,16.34,505800,15.065096
"72","LOGI",2016-04-15,16.24,16.32,16.09,16.120001,615800,14.862263
"73","LOGI",2016-04-18,16.200001,16.4,16.120001,16.32,628300,15.046657
"74","LOGI",2016-04-19,16.49,16.620001,16.370001,16.530001,682600,15.240273
"75","LOGI",2016-04-20,16.459999,16.49,16.25,16.26,451400,14.99134
"76","LOGI",2016-04-21,15.71,15.75,15.48,15.53,1095900,14.318295
"77","LOGI",2016-04-22,15.55,15.74,15.55,15.66,378700,14.438152
"78","LOGI",2016-04-25,15.63,15.65,15.53,15.58,285200,14.364395
"79","LOGI",2016-04-26,15.6,15.75,15.54,15.69,396400,14.465813
"80","LOGI",2016-04-27,15.81,15.94,15.77,15.9,504700,14.659427
"81","LOGI",2016-04-28,15.42,15.53,14.82,14.84,1496200,13.682133
"82","LOGI",2016-04-29,15.49,15.49,15.24,15.38,1078100,14.18
"83","LOGI",2016-05-02,15.58,15.66,15.51,15.64,843600,14.419713
"84","LOGI",2016-05-03,15.59,15.61,15.41,15.42,504000,14.21688
"85","LOGI",2016-05-04,15.33,15.34,15.22,15.26,384800,14.069363
"86","LOGI",2016-05-05,15.25,15.28,15.05,15.28,468300,14.087802
"87","LOGI",2016-05-06,15.05,15.11,14.92,15.11,387800,13.931065
"88","LOGI",2016-05-09,15.25,15.33,15.2,15.22,449400,14.032484
"89","LOGI",2016-05-10,15.13,15.22,15.09,15.17,218900,13.986384
"90","LOGI",2016-05-11,15.17,15.21,14.97,14.97,323000,13.801989
"91","LOGI",2016-05-12,15,15,14.65,14.69,559500,13.543835
"92","LOGI",2016-05-13,14.77,14.81,14.68,14.69,250200,13.543835
"93","LOGI",2016-05-16,14.62,14.88,14.62,14.8,135200,13.645253
"94","LOGI",2016-05-17,14.63,14.84,14.6,14.66,482700,13.516177
"95","LOGI",2016-05-18,14.6,14.74,14.51,14.57,248000,13.433198
"96","LOGI",2016-05-19,14.48,14.49,14.36,14.45,268400,13.322561
"97","LOGI",2016-05-20,14.52,14.58,14.48,14.52,228300,13.3871
"98","LOGI",2016-05-23,14.81,14.91,14.75,14.82,352900,13.663692
"99","LOGI",2016-05-24,15.01,15.15,14.96,15.03,691100,13.857307
"100","LOGI",2016-05-25,15.32,15.35,15.23,15.24,525800,14.050922
"101","LOGI",2016-05-26,15.42,15.46,15.29,15.33,517100,14.1339
"102","LOGI",2016-05-27,15.28,15.37,15.27,15.32,288200,14.12468
"103","LOGI",2016-05-31,15.43,15.5,15.3,15.32,371800,14.12468
"104","LOGI",2016-06-01,15.32,15.41,15.25,15.33,435200,14.1339
"105","LOGI",2016-06-02,15.42,15.49,15.3,15.38,268500,14.18
"106","LOGI",2016-06-03,15.55,15.61,15.47,15.54,430800,14.327516
"107","LOGI",2016-06-06,15.67,15.8,15.67,15.72,366200,14.493471
"108","LOGI",2016-06-07,15.97,15.98,15.79,15.8,631500,14.567231
"109","LOGI",2016-06-08,15.92,15.97,15.71,15.74,302800,14.51191
"110","LOGI",2016-06-09,15.61,15.75,15.52,15.69,296600,14.465813
"111","LOGI",2016-06-10,15.43,15.49,15.34,15.37,206500,14.170779
"112","LOGI",2016-06-13,15.18,15.22,15.05,15.08,351600,13.903407
"113","LOGI",2016-06-14,15.12,15.41,15.12,15.37,437100,14.170779
"114","LOGI",2016-06-15,16.15,16.209999,16,16.01,793000,14.760844
"115","LOGI",2016-06-16,15.81,15.87,15.64,15.84,463800,14.60411
"116","LOGI",2016-06-17,15.94,16.110001,15.88,16.049999,453900,14.797723
"117","LOGI",2016-06-20,16.309999,16.43,16.290001,16.309999,263200,15.037436
"118","LOGI",2016-06-21,16.299999,16.450001,16.24,16.360001,247300,15.083536
