"","symbol","date","open","high","low","close","volume","adjusted"
"1","LOPE",2016-01-04,39.57,39.57,38.169998,38.580002,326700,38.580002
"2","LOPE",2016-01-05,38.619999,38.700001,38.080002,38.27,252600,38.27
"3","LOPE",2016-01-06,37.779999,37.900002,37.029999,37.080002,360400,37.080002
"4","LOPE",2016-01-07,36.529999,36.830002,35.23,36.169998,344500,36.169998
"5","LOPE",2016-01-08,36.220001,37.029999,35.689999,36.009998,327900,36.009998
"6","LOPE",2016-01-11,36.41,36.41,35.639999,35.93,265400,35.93
"7","LOPE",2016-01-12,36.349998,36.77,35.82,36.580002,274400,36.580002
"8","LOPE",2016-01-13,36.720001,37.169998,35.419998,35.599998,264300,35.599998
"9","LOPE",2016-01-14,35.720001,36.509998,35.68,36.009998,255700,36.009998
"10","LOPE",2016-01-15,35.060001,36.099998,35.060001,36.049999,243900,36.049999
"11","LOPE",2016-01-19,36.470001,37.5,36.049999,36.84,459900,36.84
"12","LOPE",2016-01-20,36.43,37.59,35.919998,37.189999,243800,37.189999
"13","LOPE",2016-01-21,37.189999,38.040001,36.900002,37.5,237300,37.5
"14","LOPE",2016-01-22,37.939999,38.470001,37.650002,37.919998,231100,37.919998
"15","LOPE",2016-01-25,37.740002,38.07,37.310001,37.490002,232800,37.490002
"16","LOPE",2016-01-26,37.689999,38.439999,37.130001,37.66,316500,37.66
"17","LOPE",2016-01-27,37.59,38.029999,36.299999,36.439999,319200,36.439999
"18","LOPE",2016-01-28,36.709999,36.849998,36.169998,36.369999,144900,36.369999
"19","LOPE",2016-01-29,36.41,37.77,36.41,37.650002,289800,37.650002
"20","LOPE",2016-02-01,37.529999,37.919998,36.959999,37.59,242300,37.59
"21","LOPE",2016-02-02,37.139999,37.259998,36.290001,36.459999,184000,36.459999
"22","LOPE",2016-02-03,36.34,36.860001,35.990002,36.5,221200,36.5
"23","LOPE",2016-02-04,36.459999,36.939999,35.360001,35.419998,334200,35.419998
"24","LOPE",2016-02-05,35.32,35.470001,34.349998,34.360001,268800,34.360001
"25","LOPE",2016-02-08,34.310001,35.07,31.120001,34.919998,309900,34.919998
"26","LOPE",2016-02-09,34.470001,35.279999,32.02,34.57,477600,34.57
"27","LOPE",2016-02-10,34.709999,35.110001,34.080002,34.099998,274200,34.099998
"28","LOPE",2016-02-11,33.610001,34.360001,33.509998,33.740002,215300,33.740002
"29","LOPE",2016-02-12,34.09,35.02,33.849998,34.049999,185800,34.049999
"30","LOPE",2016-02-16,34.349998,34.68,33.200001,34.150002,395000,34.150002
"31","LOPE",2016-02-17,34.459999,34.549999,33.380001,33.630001,620300,33.630001
"32","LOPE",2016-02-18,38.98,40,35.5,38.240002,1392500,38.240002
"33","LOPE",2016-02-19,38.189999,38.549999,37.59,38.209999,680300,38.209999
"34","LOPE",2016-02-22,38.310001,39.119999,38.25,38.900002,421800,38.900002
"35","LOPE",2016-02-23,38.650002,38.759998,37.84,38,266500,38
"36","LOPE",2016-02-24,37.220001,39.110001,35.709999,38.389999,212100,38.389999
"37","LOPE",2016-02-25,38.540001,38.540001,37.48,38.200001,177500,38.200001
"38","LOPE",2016-02-26,38.240002,38.580002,37.77,38.5,189100,38.5
"39","LOPE",2016-02-29,38.490002,39.099998,38.450001,38.98,386900,38.98
"40","LOPE",2016-03-01,39.43,40.509998,38.880001,40.389999,622700,40.389999
"41","LOPE",2016-03-02,40.25,40.639999,39.869999,40.509998,310400,40.509998
"42","LOPE",2016-03-03,40.130001,41.669998,39.939999,41.389999,634100,41.389999
"43","LOPE",2016-03-04,41.5,41.709999,38.18,40.209999,1105800,40.209999
"44","LOPE",2016-03-07,41.299999,42.220001,40.889999,41.84,692300,41.84
"45","LOPE",2016-03-08,41.799999,42.27,41.09,41.299999,587400,41.299999
"46","LOPE",2016-03-09,41.310001,42.009998,41.27,41.98,366600,41.98
"47","LOPE",2016-03-10,42.130001,42.5,41.41,42.23,463800,42.23
"48","LOPE",2016-03-11,42.23,42.23,41.650002,41.919998,661500,41.919998
"49","LOPE",2016-03-14,41.799999,43.290001,41.599998,42.82,511800,42.82
"50","LOPE",2016-03-15,42.380001,43.060001,41.419998,41.490002,324000,41.490002
"51","LOPE",2016-03-16,41.490002,42.110001,41.209999,41.880001,248200,41.880001
"52","LOPE",2016-03-17,41.73,42.84,41.459999,42.689999,176000,42.689999
"53","LOPE",2016-03-18,42.919998,43.369999,41.619999,42.77,379400,42.77
"54","LOPE",2016-03-21,42.57,43.18,42.360001,43.009998,242900,43.009998
"55","LOPE",2016-03-22,42.560001,43.07,42.200001,42.240002,193700,42.240002
"56","LOPE",2016-03-23,42.139999,42.279999,41.459999,41.740002,196000,41.740002
"57","LOPE",2016-03-24,41.450001,42.25,41.23,42.240002,268100,42.240002
"58","LOPE",2016-03-28,42.150002,42.32,41.740002,41.860001,177100,41.860001
"59","LOPE",2016-03-29,41.900002,42.900002,41.700001,42.830002,166500,42.830002
"60","LOPE",2016-03-30,42.84,43.130001,42.380001,42.599998,182300,42.599998
"61","LOPE",2016-03-31,42.619999,42.900002,42.150002,42.740002,216600,42.740002
"62","LOPE",2016-04-01,42.259998,43.040001,42.259998,43,272500,43
"63","LOPE",2016-04-04,43.130001,43.580002,42.939999,42.990002,449200,42.990002
"64","LOPE",2016-04-05,42.790001,43.419998,42.57,42.700001,359600,42.700001
"65","LOPE",2016-04-06,42.75,43.5,42.470001,43.040001,312700,43.040001
"66","LOPE",2016-04-07,42.75,43.119999,42.25,42.41,239900,42.41
"67","LOPE",2016-04-08,42.619999,42.889999,42.310001,42.509998,183000,42.509998
"68","LOPE",2016-04-11,42.630001,42.779999,42.18,42.400002,149300,42.400002
"69","LOPE",2016-04-12,42.389999,42.799999,42.220001,42.57,140800,42.57
"70","LOPE",2016-04-13,42.709999,43.48,42.580002,43.450001,202100,43.450001
"71","LOPE",2016-04-14,43.580002,43.580002,42.849998,42.889999,168100,42.889999
"72","LOPE",2016-04-15,42.740002,43.529999,42.619999,43.52,217900,43.52
"73","LOPE",2016-04-18,43.790001,44.139999,43.419998,44.009998,229000,44.009998
"74","LOPE",2016-04-19,44.189999,44.59,43.610001,43.98,271000,43.98
"75","LOPE",2016-04-20,43.84,44.25,43.110001,43.52,126800,43.52
"76","LOPE",2016-04-21,43.25,43.610001,43.07,43.439999,333800,43.439999
