"","symbol","date","open","high","low","close","volume","adjusted"
"1","LPLA",2016-01-04,41.799999,43.889999,40.75,42.459999,878600,38.033134
"2","LPLA",2016-01-05,42.419998,42.950001,41.279999,41.630001,1295500,37.289669
"3","LPLA",2016-01-06,41,41.080002,40.25,40.77,1706800,36.519325
"4","LPLA",2016-01-07,40.18,40.439999,39.5,39.630001,1151000,35.49818
"5","LPLA",2016-01-08,40.299999,40.560001,39.66,39.880001,1122500,35.722115
"6","LPLA",2016-01-11,40.18,40.18,38.869999,39.25,1162900,35.157799
"7","LPLA",2016-01-12,38.580002,39.639999,37.830002,38.43,2135900,34.423298
"8","LPLA",2016-01-13,38.52,39.060001,35.709999,35.93,1940000,32.183952
"9","LPLA",2016-01-14,36.07,37.310001,35.200001,36.16,1025000,32.389969
"10","LPLA",2016-01-15,35.049999,35.139999,32.560001,34.740002,2355200,31.118025
"11","LPLA",2016-01-19,35.25,35.790001,33.75,33.880001,1119700,30.347677
"12","LPLA",2016-01-20,33.540001,33.540001,32.02,33.099998,1480500,29.649
"13","LPLA",2016-01-21,33.099998,34.509998,32.310001,32.709999,960200,29.299662
"14","LPLA",2016-01-22,33.310001,34.5,32.32,32.509998,721200,29.120514
"15","LPLA",2016-01-25,32.400002,34.380001,31.370001,31.99,1085600,28.654732
"16","LPLA",2016-01-26,32.099998,32.299999,31.780001,31.9,805200,28.574112
"17","LPLA",2016-01-27,31.639999,32.099998,30.950001,31.18,832400,27.929182
"18","LPLA",2016-01-28,31.389999,31.620001,29.799999,30.07,1512600,26.934914
"19","LPLA",2016-01-29,30.110001,30.42,29.610001,30.42,1209800,27.248415
"20","LPLA",2016-02-01,30.450001,30.450001,29.459999,30,1423800,26.872208
"21","LPLA",2016-02-02,29.5,29.9,27.41,28.15,2165500,25.215088
"22","LPLA",2016-02-03,28.459999,28.93,26.459999,28,1815800,25.08073
"23","LPLA",2016-02-04,27.809999,28.940001,27.59,28.379999,1344600,25.421106
"24","LPLA",2016-02-05,28.860001,29.450001,27.809999,27.950001,1319800,25.03594
"25","LPLA",2016-02-08,27.690001,28.049999,26.870001,27.49,828400,24.623903
