"","symbol","date","open","high","low","close","volume","adjusted"
"1","LW",2016-11-10,32.040001,32.349998,29.82,30.33,35019100,28.24773
"2","LW",2016-11-11,29.799999,30.09,28.85,29.889999,6020100,27.83794
"3","LW",2016-11-14,29.34,30.43,28.75,30.190001,4481900,28.11734
"4","LW",2016-11-15,29.639999,30.700001,29.620001,30.43,3667200,28.340864
"5","LW",2016-11-16,30.77,32.040001,30.610001,31.700001,4342300,29.523676
"6","LW",2016-11-17,31.4,33.064999,30.635,32.509998,5252000,30.278065
"7","LW",2016-11-18,32.139999,33.099998,31.790001,32.68,4253400,30.436399
"8","LW",2016-11-21,32.259998,32.5,31.290001,31.74,5036700,29.560926
"9","LW",2016-11-22,31.52,33.150002,30.43,32.700001,5601700,30.455023
"10","LW",2016-11-23,32.700001,33.470001,32.5,33.02,3619500,30.753059
"11","LW",2016-11-25,32.759998,32.779999,32.27,32.59,827800,30.352579
"12","LW",2016-11-28,32.27,33.5,32.169998,32.740002,1928500,30.492279
"13","LW",2016-11-29,33.049999,33.360001,32.720001,33.189999,2139500,30.911381
"14","LW",2016-11-30,33.259998,34.299999,33,33.48,2764900,31.181471
"15","LW",2016-12-01,33.040001,33.259998,32.185001,32.509998,2914900,30.278065
"16","LW",2016-12-02,32.16,33.209999,32.009998,32.990002,1213100,30.725119
"17","LW",2016-12-05,32.869999,33.759998,32.75,33.650002,2004700,31.339798
"18","LW",2016-12-06,33.450001,33.860001,33.209999,33.82,1622900,31.498135
"19","LW",2016-12-07,34.07,34.98,34,34.75,3809400,32.364273
"20","LW",2016-12-08,34.91,36,34.610001,35.93,2603000,33.463276
"21","LW",2016-12-09,35.82,36.509998,35.599998,36.380001,1993100,33.882374
"22","LW",2016-12-12,36.380001,37.215,36.310001,36.73,1258300,34.208355
"23","LW",2016-12-13,36.970001,37.09,35.669998,36.580002,1814000,34.068642
"24","LW",2016-12-14,36.619999,37,34.970001,35.150002,3886300,32.736813
"25","LW",2016-12-15,35.060001,35.264,34.150002,34.380001,1555100,32.01968
"26","LW",2016-12-16,34.34,35.470001,34.279999,35.259998,3784000,32.839268
"27","LW",2016-12-19,35.310001,35.84,34.27,34.48,1983200,32.112816
"28","LW",2016-12-20,34.220001,35.110001,34.200001,34.950001,944900,32.55056
