"","symbol","date","open","high","low","close","volume","adjusted"
"1","LYB",2016-01-04,86.279999,87.269997,85.550003,87.18,2657300,66.682297
"2","LYB",2016-01-05,87.82,88.339996,86.25,87.639999,2333600,67.034126
"3","LYB",2016-01-06,85.110001,85.57,82.660004,83.510002,3824000,63.87516
"4","LYB",2016-01-07,82.379997,82.57,79.620003,80.089996,5271000,61.259281
"5","LYB",2016-01-08,80.519997,81.529999,79.150002,79.589996,4011900,60.876846
"6","LYB",2016-01-11,78.830002,78.980003,75.529999,76.330002,6074900,58.383331
"7","LYB",2016-01-12,77.440002,78.269997,75.839996,78.150002,4539500,59.775421
"8","LYB",2016-01-13,79.75,79.75,74.82,74.940002,5040500,57.320148
"9","LYB",2016-01-14,74.910004,77.669998,73.940002,76.370003,4797900,58.413918
"10","LYB",2016-01-15,74.720001,75.93,74.139999,74.980003,4970400,57.350746
"11","LYB",2016-01-19,75.019997,75.970001,72.18,73.980003,5176100,56.585865
"12","LYB",2016-01-20,71.739998,73.410004,69.099998,72.339996,5215700,55.331444
"13","LYB",2016-01-21,72.43,74.790001,71.550003,74.589996,4437500,57.052441
"14","LYB",2016-01-22,77.43,80,77.129997,78.489998,6191400,60.035473
"15","LYB",2016-01-25,78.5,78.580002,75.800003,75.839996,4050100,58.008537
"16","LYB",2016-01-26,76.440002,77.669998,75.550003,77.620003,3629700,59.370026
"17","LYB",2016-01-27,77.209999,78.620003,76.019997,76.709999,2994100,58.673988
"18","LYB",2016-01-28,78.75,80.190002,77.160004,77.389999,3831900,59.194099
"19","LYB",2016-01-29,77.510002,78.510002,76.080002,77.970001,5172200,59.637741
"20","LYB",2016-02-01,77.589996,77.959999,76,77.25,5507600,59.087025
"21","LYB",2016-02-02,75.230003,76.279999,73.82,75.199997,5035900,57.519009
"22","LYB",2016-02-03,75.389999,76.449997,71.5,75.480003,6170100,57.733181
"23","LYB",2016-02-04,75.82,80.459999,75.82,79.660004,5640500,60.930386
"24","LYB",2016-02-05,78.839996,81.349998,78.629997,79.75,5351900,60.999233
"25","LYB",2016-02-08,78.309998,78.339996,73.139999,75.720001,5161600,57.916767
"26","LYB",2016-02-09,75,76.470001,74.07,75.720001,3909400,57.916767
"27","LYB",2016-02-10,75.589996,77.610001,74.550003,75.019997,2236800,57.381329
"28","LYB",2016-02-11,73.300003,74.739998,72.150002,73.43,4018800,56.165176
"29","LYB",2016-02-12,74.870003,76.529999,73.440002,76.459999,3533100,58.482784
"30","LYB",2016-02-16,77.610001,78.389999,76.900002,77.93,3706600,59.607151
"31","LYB",2016-02-17,79,81.040001,78.550003,79.099998,3789400,60.502056
"32","LYB",2016-02-18,79.5,80.25,78.720001,80.199997,3711600,61.343407
"33","LYB",2016-02-19,79.660004,80,77.93,78.139999,3250100,59.767761
"34","LYB",2016-02-22,78.139999,81.389999,78.139999,80.559998,2729500,61.618782
"35","LYB",2016-02-23,80.089996,80.309998,76.589996,77,2662100,58.895813
"36","LYB",2016-02-24,76,78.410004,75.040001,78.25,3358200,59.851917
"37","LYB",2016-02-25,77.459999,78.559998,76.330002,78.18,2567100,60.400425
"38","LYB",2016-02-26,80.639999,81.160004,79.470001,80.169998,3526800,61.937859
"39","LYB",2016-02-29,80.519997,82.010002,79.940002,80.209999,4193300,61.968765
"40","LYB",2016-03-01,81.089996,81.610001,79.75,80.889999,3816800,62.494129
"41","LYB",2016-03-02,81.360001,81.57,79.389999,80.43,3638600,62.138752
"42","LYB",2016-03-03,80.169998,80.900002,79.720001,79.900002,3608300,61.729271
"43","LYB",2016-03-04,80.389999,83.239998,79.75,82,5472400,63.351692
"44","LYB",2016-03-07,82.120003,84.260002,81.93,84.239998,3567300,65.082275
"45","LYB",2016-03-08,83.190002,84.080002,80.540001,80.580002,6366400,62.254646
"46","LYB",2016-03-09,81.949997,82.919998,80.889999,82.589996,7156100,63.807514
"47","LYB",2016-03-10,82.68,85.040001,82.360001,84.980003,4738600,65.653999
"48","LYB",2016-03-11,86.489998,87.830002,86.25,87.480003,4436600,67.585449
"49","LYB",2016-03-14,86.809998,87.449997,84.639999,84.75,4337400,65.476288
"50","LYB",2016-03-15,83.699997,84.650002,82.519997,84.220001,4304400,65.066833
"51","LYB",2016-03-16,83.300003,86.419998,83.300003,86.330002,3289100,66.696976
"52","LYB",2016-03-17,86.550003,89.18,86.540001,88.599998,4898200,68.450729
"53","LYB",2016-03-18,89.720001,89.989998,86.790001,87.620003,9606400,67.693596
"54","LYB",2016-03-21,87.620003,88.160004,85.529999,86.199997,3486000,66.596519
"55","LYB",2016-03-22,85.790001,86.699997,84.849998,86.07,2974800,66.496101
"56","LYB",2016-03-23,85.849998,85.919998,84.260002,84.709999,3714200,65.445374
"57","LYB",2016-03-24,83.610001,85.400002,83.290001,85.370003,2736400,65.955307
"58","LYB",2016-03-28,85.529999,85.580002,84.660004,85.110001,1805400,65.754425
"59","LYB",2016-03-29,84.379997,85.309998,83.650002,85.190002,2963100,65.816231
"60","LYB",2016-03-30,85.900002,86.910004,85.389999,85.900002,2704600,66.364777
"61","LYB",2016-03-31,86.07,87.230003,85.400002,85.580002,2413200,66.117523
"62","LYB",2016-04-01,84.5,86.910004,83.580002,86.830002,2740600,67.083267
"63","LYB",2016-04-04,86.739998,87.68,85.970001,86.160004,2082000,66.565651
"64","LYB",2016-04-05,84.870003,85.290001,84.239998,84.870003,2559400,65.568993
"65","LYB",2016-04-06,85.110001,86.339996,84.029999,86.230003,2850600,66.61972
"66","LYB",2016-04-07,85.389999,86.099998,84.110001,84.389999,2166500,65.198174
"67","LYB",2016-04-08,85.769997,86.769997,82.239998,83.870003,6172900,64.796425
"68","LYB",2016-04-11,84.690002,86.650002,84.470001,85.190002,2582200,65.816231
"69","LYB",2016-04-12,85.82,88.160004,85.449997,87.879997,3389800,67.89447
"70","LYB",2016-04-13,88.690002,89.669998,87.610001,88.400002,3205200,68.296204
"71","LYB",2016-04-14,89.370003,89.370003,87.900002,88.400002,1838000,68.296204
"72","LYB",2016-04-15,88.75,89.309998,88.07,88.150002,2541100,68.103058
"73","LYB",2016-04-18,88.150002,88.790001,85.330002,88.480003,2151500,68.358025
"74","LYB",2016-04-19,89.129997,91.239998,89.129997,91.099998,3483400,70.382187
"75","LYB",2016-04-20,90.809998,91.410004,90.129997,90.440002,2584300,69.872284
"76","LYB",2016-04-21,90.889999,93.75,90.489998,90.690002,4673300,70.065422
"77","LYB",2016-04-22,93.150002,93.150002,88.309998,90.199997,5242000,69.686859
"78","LYB",2016-04-25,89.169998,90,87.949997,88.25,3272300,68.180336
"79","LYB",2016-04-26,88.849998,90.07,88.580002,89.639999,2597900,69.254204
"80","LYB",2016-04-27,89.550003,90.279999,88.010002,89.160004,3680800,68.883385
"81","LYB",2016-04-28,88.360001,89,86.110001,86.360001,3555700,66.720139
"82","LYB",2016-04-29,85.660004,86.059998,81.599998,82.669998,6077700,63.869324
"83","LYB",2016-05-02,83,84.18,82,83.82,3874400,64.757813
"84","LYB",2016-05-03,82.610001,83.339996,81.150002,82.970001,3860200,64.101105
"85","LYB",2016-05-04,82.099998,82.980003,81.18,81.400002,3241800,62.888153
"86","LYB",2016-05-05,81.919998,82.93,81.300003,81.620003,2786500,63.058117
"87","LYB",2016-05-06,81.440002,82.5,81.209999,82.099998,1922000,63.42894
"88","LYB",2016-05-09,81.540001,82.5,80.050003,81.160004,2623400,62.702736
"89","LYB",2016-05-10,81.360001,82.629997,81,82.32,2940900,63.598927
"90","LYB",2016-05-11,82.330002,83,81.260002,81.870003,2386900,63.251251
"91","LYB",2016-05-12,83.230003,83.5,81.080002,81.25,2590700,62.77227
"92","LYB",2016-05-13,81.029999,82.349998,80.389999,80.720001,2549300,62.362812
"93","LYB",2016-05-16,81.050003,83.790001,80.800003,83.269997,3504300,64.33287
"94","LYB",2016-05-17,83.059998,85,83,83.889999,3539900,64.811859
"95","LYB",2016-05-18,83.150002,83.769997,81.209999,81.620003,2727100,63.058117
"96","LYB",2016-05-19,81.57,81.660004,80.010002,80.830002,3164500,62.447773
"97","LYB",2016-05-20,80.699997,81.589996,80.07,80.440002,2224200,62.806946
"98","LYB",2016-05-23,80.120003,81.019997,79.839996,80.099998,2187700,62.541462
"99","LYB",2016-05-24,80.389999,80.580002,79.800003,80.449997,3141800,62.814747
"100","LYB",2016-05-25,81.209999,82.989998,81.099998,82.709999,3050300,64.57933
"101","LYB",2016-05-26,82.989998,83.699997,81.339996,81.370003,1850500,63.533073
"102","LYB",2016-05-27,81.120003,81.970001,80.699997,81.400002,1913800,63.556503
"103","LYB",2016-05-31,81.870003,82.199997,81,81.360001,3238200,63.525261
"104","LYB",2016-06-01,80.699997,82.75,80.089996,82.5,2625100,64.415367
"105","LYB",2016-06-02,81.889999,81.989998,80.099998,80.580002,3679200,62.916237
"106","LYB",2016-06-03,80.309998,80.389999,78.650002,79.760002,3455900,62.276001
"107","LYB",2016-06-06,80.410004,81.959999,79.970001,81.510002,3380100,63.642387
"108","LYB",2016-06-07,81.870003,82.870003,81.169998,82.309998,3514900,64.267014
"109","LYB",2016-06-08,82.730003,83.510002,82.129997,82.349998,2700400,64.298241
"110","LYB",2016-06-09,81.610001,81.610001,79.769997,79.919998,4533700,62.400921
"111","LYB",2016-06-10,79.110001,81.160004,78.93,80.470001,3743000,62.830353
"112","LYB",2016-06-13,79.660004,80.540001,78.860001,79.220001,3670600,61.85437
"113","LYB",2016-06-14,79,80.620003,77.389999,78.650002,5036700,61.409313
"114","LYB",2016-06-15,79.040001,80.25,78.830002,79.110001,3209400,61.76849
"115","LYB",2016-06-16,78.32,79.230003,77.709999,79.089996,2969500,61.752857
"116","LYB",2016-06-17,79.18,80.239998,78.949997,80.050003,3674900,62.502426
"117","LYB",2016-06-20,80.879997,82.599998,79.580002,79.610001,4025700,62.15889
"118","LYB",2016-06-21,79.860001,80.269997,78.5,78.910004,3326800,61.612312
"119","LYB",2016-06-22,79.57,79.800003,78.849998,78.970001,1543900,61.659168
"120","LYB",2016-06-23,78.629997,79.620003,78.089996,79.050003,3999800,61.721626
"121","LYB",2016-06-24,77.389999,77.389999,74.739998,74.910004,7179600,58.489155
"122","LYB",2016-06-27,73.769997,73.940002,69.82,71.32,8556000,55.686111
"123","LYB",2016-06-28,72.790001,74.309998,70.629997,72.339996,4994600,56.482506
"124","LYB",2016-06-29,73.75,74.330002,72.970001,74.010002,2796300,57.786449
"125","LYB",2016-06-30,74.510002,74.629997,73.209999,74.419998,3750700,58.106571
"126","LYB",2016-07-01,74.599998,75.779999,74.089996,74.690002,2845700,58.317368
"127","LYB",2016-07-05,73.879997,73.989998,72.459999,72.849998,3557700,56.880733
"128","LYB",2016-07-06,72.709999,73.139999,71.480003,73.110001,4557800,57.083721
"129","LYB",2016-07-07,73.639999,75.199997,73.459999,74.519997,3480200,58.184647
"130","LYB",2016-07-08,75.459999,77.269997,75.290001,76.739998,2928100,59.917995
