"","symbol","date","open","high","low","close","volume","adjusted"
"1","MANH",2016-01-04,64.730003,65.040001,62.919998,64.660004,1081200,64.660004
"2","MANH",2016-01-05,64.660004,65.459999,64.550003,64.68,446500,64.68
"3","MANH",2016-01-06,63.700001,64.379997,62.029999,62.700001,769400,62.700001
"4","MANH",2016-01-07,61.400002,61.759998,59.639999,59.869999,948000,59.869999
"5","MANH",2016-01-08,60.110001,60.689999,56.25,56.369999,1512500,56.369999
"6","MANH",2016-01-11,56.57,57.060001,55.459999,56.790001,907900,56.790001
"7","MANH",2016-01-12,57.290001,57.619999,55.740002,56.490002,726100,56.490002
"8","MANH",2016-01-13,57.130001,57.450001,53.919998,54.75,965000,54.75
"9","MANH",2016-01-14,54.889999,56.759998,53.650002,56.23,833600,56.23
"10","MANH",2016-01-15,54.32,55.669998,54,55.049999,759000,55.049999
"11","MANH",2016-01-19,55.52,55.990002,54.310001,54.93,836400,54.93
"12","MANH",2016-01-20,53.959999,56.790001,52.799999,55.700001,1065200,55.700001
"13","MANH",2016-01-21,56.580002,58.43,55.68,56.169998,1096100,56.169998
"14","MANH",2016-01-22,57.290001,58.889999,57.02,58.07,635400,58.07
"15","MANH",2016-01-25,57.580002,57.740002,56.040001,56.240002,577500,56.240002
"16","MANH",2016-01-26,56.330002,56.869999,55.369999,56.27,709800,56.27
"17","MANH",2016-01-27,56.139999,56.610001,54.990002,55.400002,586400,55.400002
"18","MANH",2016-01-28,55.970001,56.310001,55.009998,55.560001,777800,55.560001
"19","MANH",2016-01-29,55.849998,57.650002,55.720001,57.650002,761700,57.650002
"20","MANH",2016-02-01,57.380001,58.009998,56.369999,56.810001,847600,56.810001
"21","MANH",2016-02-02,56.509998,56.830002,55.02,55.369999,791500,55.369999
"22","MANH",2016-02-03,57.900002,59.490002,50.900002,55.689999,1994800,55.689999
"23","MANH",2016-02-04,55.330002,55.490002,52.459999,53.290001,1046200,53.290001
"24","MANH",2016-02-05,52.560001,53.290001,47.740002,48.529999,1613300,48.529999
"25","MANH",2016-02-08,46.66,48.5,44.27,45.82,1319400,45.82
"26","MANH",2016-02-09,45.330002,47.25,44.139999,46.23,1249800,46.23
"27","MANH",2016-02-10,46.25,49.18,46.25,47.720001,1242300,47.720001
"28","MANH",2016-02-11,46.41,49.41,46.34,48.740002,1156400,48.740002
"29","MANH",2016-02-12,49.720001,49.799999,48.299999,49.529999,730800,49.529999
"30","MANH",2016-02-16,50.119999,51.439999,50.119999,51.27,835200,51.27
"31","MANH",2016-02-17,51.509998,54.23,51.509998,54.02,1221200,54.02
"32","MANH",2016-02-18,54.049999,54.459999,52.950001,53.099998,1296400,53.099998
"33","MANH",2016-02-19,52.990002,54.900002,52.950001,54.240002,646000,54.240002
"34","MANH",2016-02-22,54.639999,56.240002,54.5,55.619999,973800,55.619999
"35","MANH",2016-02-23,55.5,56.25,53.98,54.34,711100,54.34
"36","MANH",2016-02-24,53.639999,54.93,52.880001,54.650002,492100,54.650002
"37","MANH",2016-02-25,55,55.990002,54.18,55.169998,436900,55.169998
"38","MANH",2016-02-26,55.759998,55.93,54.5,55.700001,589900,55.700001
"39","MANH",2016-02-29,55.5,56.639999,55.209999,55.259998,766200,55.259998
"40","MANH",2016-03-01,55.790001,58.560001,55.389999,58.41,692100,58.41
"41","MANH",2016-03-02,58.18,58.34,56.709999,57.400002,475200,57.400002
"42","MANH",2016-03-03,57.5,59.349998,56.540001,59.23,830900,59.23
"43","MANH",2016-03-04,59.52,59.889999,58.119999,58.419998,629100,58.419998
"44","MANH",2016-03-07,58.130001,58.650002,56.869999,57.75,533500,57.75
"45","MANH",2016-03-08,57.099998,57.610001,56.130001,56.419998,545500,56.419998
"46","MANH",2016-03-09,56.849998,57.68,55.779999,56.130001,698000,56.130001
"47","MANH",2016-03-10,56.23,57.470001,55.18,56.049999,592200,56.049999
"48","MANH",2016-03-11,56.450001,58.23,56.389999,57.970001,442900,57.970001
"49","MANH",2016-03-14,57.66,57.950001,56.889999,57.439999,391100,57.439999
"50","MANH",2016-03-15,57.09,57.490002,56.34,56.549999,549400,56.549999
"51","MANH",2016-03-16,56.259998,57.299999,56.169998,57.07,368900,57.07
"52","MANH",2016-03-17,56.869999,57.830002,56.099998,57.400002,492800,57.400002
"53","MANH",2016-03-18,57.610001,58.169998,57.040001,57.380001,728600,57.380001
"54","MANH",2016-03-21,57.16,57.189999,56,56.16,479000,56.16
"55","MANH",2016-03-22,55.639999,56.389999,55.639999,55.900002,432300,55.900002
"56","MANH",2016-03-23,55.939999,56.080002,54.77,54.790001,640800,54.790001
"57","MANH",2016-03-24,54.32,54.91,53.700001,54.889999,680300,54.889999
"58","MANH",2016-03-28,54.73,54.98,52.049999,52.779999,889900,52.779999
"59","MANH",2016-03-29,52.779999,56.560001,52.720001,56.490002,1072100,56.490002
"60","MANH",2016-03-30,56.98,57.799999,56.68,57.360001,771300,57.360001
"61","MANH",2016-03-31,57.470001,57.66,56.68,56.869999,879700,56.869999
"62","MANH",2016-04-01,56.48,57.18,56.18,56.950001,412100,56.950001
"63","MANH",2016-04-04,57.189999,57.189999,55.91,56.150002,623800,56.150002
"64","MANH",2016-04-05,55.77,56.200001,54.98,55.400002,986200,55.400002
"65","MANH",2016-04-06,55.299999,57.66,55.040001,57.540001,574600,57.540001
"66","MANH",2016-04-07,57.060001,57.380001,55.57,55.799999,433300,55.799999
"67","MANH",2016-04-08,56.32,56.490002,54.900002,55.959999,335700,55.959999
"68","MANH",2016-04-11,56.310001,57.619999,55.509998,55.52,545400,55.52
"69","MANH",2016-04-12,55.48,55.98,54.16,55.59,434900,55.59
"70","MANH",2016-04-13,55.970001,57.380001,55.419998,57.25,442200,57.25
"71","MANH",2016-04-14,57.040001,57.290001,56.27,56.990002,309500,56.990002
"72","MANH",2016-04-15,56.709999,57.349998,56.560001,57.310001,471700,57.310001
"73","MANH",2016-04-18,57.25,58.619999,57,58.52,496500,58.52
"74","MANH",2016-04-19,58.57,59.759998,58,58.82,980900,58.82
"75","MANH",2016-04-20,64.800003,68.57,64.129997,67.300003,2730800,67.300003
"76","MANH",2016-04-21,67.650002,68.129997,66.919998,67.599998,1205700,67.599998
"77","MANH",2016-04-22,68.129997,68.360001,65.760002,66.120003,782000,66.120003
"78","MANH",2016-04-25,66.370003,66.940002,65.790001,65.980003,600100,65.980003
"79","MANH",2016-04-26,65.790001,66.339996,64.639999,65.230003,659000,65.230003
"80","MANH",2016-04-27,64.739998,66.019997,64.739998,65.669998,425800,65.669998
"81","MANH",2016-04-28,63.060001,64.419998,61.279999,61.52,1192400,61.52
"82","MANH",2016-04-29,61.5,61.860001,59.880001,60.540001,735700,60.540001
"83","MANH",2016-05-02,60.950001,61.779999,60.880001,61.389999,701100,61.389999
"84","MANH",2016-05-03,60.810001,61.360001,59.630001,59.82,485300,59.82
"85","MANH",2016-05-04,59.509998,59.73,58.57,58.900002,558000,58.900002
"86","MANH",2016-05-05,58.950001,59.52,58.75,58.849998,444500,58.849998
"87","MANH",2016-05-06,58.310001,59.060001,57.740002,58.59,488500,58.59
"88","MANH",2016-05-09,58.389999,59.220001,58.09,58.580002,425400,58.580002
"89","MANH",2016-05-10,58.91,60.459999,58.490002,60.389999,522800,60.389999
"90","MANH",2016-05-11,60.150002,60.82,60.029999,60.290001,582100,60.290001
"91","MANH",2016-05-12,60.5,60.560001,59,59.970001,472100,59.970001
"92","MANH",2016-05-13,59.75,61.470001,59.560001,60.98,955900,60.98
"93","MANH",2016-05-16,61.349998,61.950001,60.799999,61.27,526000,61.27
"94","MANH",2016-05-17,61.290001,61.779999,60.48,60.900002,712200,60.900002
"95","MANH",2016-05-18,60.57,62,60.27,61.110001,643800,61.110001
"96","MANH",2016-05-19,60.990002,61.91,60.080002,61.200001,460700,61.200001
"97","MANH",2016-05-20,61.599998,63.07,61.470001,63.060001,553600,63.060001
"98","MANH",2016-05-23,63.389999,63.900002,62.82,62.959999,661700,62.959999
"99","MANH",2016-05-24,63.400002,65.459999,63.400002,64.75,644900,64.75
"100","MANH",2016-05-25,65.120003,65.839996,64.849998,65.010002,642000,65.010002
"101","MANH",2016-05-26,64.970001,65.800003,64.480003,65.440002,761800,65.440002
"102","MANH",2016-05-27,65.019997,66.07,64.959999,65.760002,403200,65.760002
"103","MANH",2016-05-31,65.790001,66.269997,65.510002,65.93,386200,65.93
"104","MANH",2016-06-01,65.769997,66.709999,65.68,66.459999,484200,66.459999
"105","MANH",2016-06-02,66.269997,67.230003,66.010002,67.230003,456800,67.230003
"106","MANH",2016-06-03,67.230003,67.230003,66.160004,66.870003,450100,66.870003
"107","MANH",2016-06-06,66.860001,67.900002,66.32,67.660004,461800,67.660004
"108","MANH",2016-06-07,67,68.18,66.720001,68.07,532900,68.07
"109","MANH",2016-06-08,68.110001,68.529999,67.800003,68.160004,451200,68.160004
"110","MANH",2016-06-09,67.610001,68,66.940002,67.220001,355200,67.220001
"111","MANH",2016-06-10,66.300003,66.620003,65.790001,66.110001,523300,66.110001
"112","MANH",2016-06-13,65.779999,66.989998,65.040001,65.730003,724800,65.730003
"113","MANH",2016-06-14,65.339996,65.980003,64.800003,65.599998,457800,65.599998
"114","MANH",2016-06-15,65.959999,66.330002,65.290001,65.629997,433000,65.629997
"115","MANH",2016-06-16,65.010002,65.480003,64.029999,65.139999,471800,65.139999
"116","MANH",2016-06-17,65.230003,65.339996,63.93,64.440002,898700,64.440002
"117","MANH",2016-06-20,65.080002,65.970001,64.75,65.300003,610800,65.300003
"118","MANH",2016-06-21,65.339996,65.709999,64.470001,64.75,438600,64.75
"119","MANH",2016-06-22,64.870003,65.290001,64.080002,64.150002,552000,64.150002
"120","MANH",2016-06-23,64.849998,66.18,64.169998,66.129997,605800,66.129997
"121","MANH",2016-06-24,62.84,63.84,61.080002,62.130001,7789300,62.130001
"122","MANH",2016-06-27,61.799999,62.110001,59.790001,60.689999,1154900,60.689999
"123","MANH",2016-06-28,61.400002,62.119999,60.98,61.27,727300,61.27
"124","MANH",2016-06-29,62.049999,63.040001,61.560001,62.889999,657800,62.889999
"125","MANH",2016-06-30,63.150002,64.300003,63.150002,64.129997,1188600,64.129997
"126","MANH",2016-07-01,64.129997,64.82,64.129997,64.339996,387500,64.339996
"127","MANH",2016-07-05,63.84,64.480003,63.200001,63.610001,695400,63.610001
"128","MANH",2016-07-06,63.34,66.239998,63.119999,66.230003,908200,66.230003
"129","MANH",2016-07-07,66.410004,66.650002,65.889999,66.459999,474300,66.459999
"130","MANH",2016-07-08,67.110001,67.879997,66.650002,67.290001,561900,67.290001
"131","MANH",2016-07-11,67.550003,67.769997,66.739998,66.790001,647000,66.790001
"132","MANH",2016-07-12,65.949997,66,61.860001,63.759998,2399300,63.759998
"133","MANH",2016-07-13,63.75,64.160004,62.389999,62.400002,1342000,62.400002
"134","MANH",2016-07-14,63.009998,63.810001,62.619999,63.389999,1006600,63.389999
"135","MANH",2016-07-15,63.669998,64.129997,63.099998,63.290001,443300,63.290001
"136","MANH",2016-07-18,63.290001,63.970001,62.790001,63.869999,804500,63.869999
"137","MANH",2016-07-19,63.830002,64.18,62.599998,62.75,1117600,62.75
"138","MANH",2016-07-20,66.25,68,58.599998,61.310001,4425300,61.310001
"139","MANH",2016-07-21,61.549999,61.669998,59,59.32,1288200,59.32
"140","MANH",2016-07-22,59.25,60.310001,58.919998,59.950001,663100,59.950001
"141","MANH",2016-07-25,60.029999,60.169998,58.139999,58.310001,1203100,58.310001
"142","MANH",2016-07-26,58.060001,59.240002,58.029999,58.880001,846400,58.880001
"143","MANH",2016-07-27,59.349998,59.700001,58.669998,58.73,516700,58.73
"144","MANH",2016-07-28,58.720001,59.130001,58.009998,58.689999,432000,58.689999
"145","MANH",2016-07-29,58.830002,58.93,57.400002,58.049999,546500,58.049999
"146","MANH",2016-08-01,58.509998,59.66,58.459999,58.959999,855600,58.959999
"147","MANH",2016-08-02,58.959999,59.119999,57.279999,57.709999,566500,57.709999
"148","MANH",2016-08-03,57.84,58.68,56.880001,58.279999,800600,58.279999
"149","MANH",2016-08-04,58.150002,58.68,57.810001,58.23,487900,58.23
"150","MANH",2016-08-05,58.529999,58.990002,58.130001,58.990002,435500,58.990002
"151","MANH",2016-08-08,59.119999,59.169998,58,58.529999,733900,58.529999
"152","MANH",2016-08-09,58.470001,59.220001,58.240002,58.59,418700,58.59
"153","MANH",2016-08-10,58.560001,58.82,58.040001,58.610001,285200,58.610001
"154","MANH",2016-08-11,58.799999,59.43,57.41,58.950001,404000,58.950001
"155","MANH",2016-08-12,58.990002,59.470001,58.669998,59.279999,372300,59.279999
"156","MANH",2016-08-15,59.279999,60.630001,59,60.310001,660400,60.310001
"157","MANH",2016-08-16,60.310001,60.32,58.91,58.939999,432200,58.939999
"158","MANH",2016-08-17,58.93,59.68,58.669998,59.52,576700,59.52
"159","MANH",2016-08-18,59.43,60.299999,59.029999,60.189999,458900,60.189999
"160","MANH",2016-08-19,60.169998,61.060001,59.779999,60.939999,597000,60.939999
"161","MANH",2016-08-22,60.709999,61.049999,59.419998,59.849998,433800,59.849998
"162","MANH",2016-08-23,60.169998,60.490002,60.049999,60.360001,270500,60.360001
"163","MANH",2016-08-24,60.490002,60.490002,59.5,59.720001,325400,59.720001
"164","MANH",2016-08-25,59.490002,60.169998,59.34,59.959999,304700,59.959999
"165","MANH",2016-08-26,59.880001,60.34,59.349998,59.73,252500,59.73
"166","MANH",2016-08-29,59.93,60.360001,59.619999,59.98,255400,59.98
"167","MANH",2016-08-30,60.09,60.700001,59.529999,60.68,344600,60.68
"168","MANH",2016-08-31,60.720001,60.900002,60.220001,60.52,437100,60.52
"169","MANH",2016-09-01,60.509998,61.060001,60,61.029999,335500,61.029999
"170","MANH",2016-09-02,61.189999,62.139999,60.900002,61.73,367200,61.73
"171","MANH",2016-09-06,62.080002,62.080002,61.099998,61.849998,347200,61.849998
"172","MANH",2016-09-07,61.689999,62.130001,61.279999,61.560001,291100,61.560001
"173","MANH",2016-09-08,61.259998,61.459999,59.970001,60.040001,443000,60.040001
"174","MANH",2016-09-09,59.43,59.720001,58.779999,58.790001,432300,58.790001
"175","MANH",2016-09-12,58.419998,59.139999,58.16,59.080002,363200,59.080002
"176","MANH",2016-09-13,58.5,58.82,56.790001,58.02,783200,58.02
"177","MANH",2016-09-14,58.240002,58.57,57.799999,58.529999,267300,58.529999
"178","MANH",2016-09-15,58.599998,59.490002,57.869999,59.32,292900,59.32
"179","MANH",2016-09-16,59.18,59.200001,58.48,58.669998,616100,58.669998
"180","MANH",2016-09-19,59.040001,59.540001,58.540001,58.68,435700,58.68
"181","MANH",2016-09-20,59.110001,59.759998,58.700001,59.07,459300,59.07
"182","MANH",2016-09-21,59.34,59.560001,57.84,58.130001,548600,58.130001
"183","MANH",2016-09-22,58.040001,58.540001,57.830002,58,910200,58
"184","MANH",2016-09-23,57.849998,58.009998,57.200001,57.720001,666900,57.720001
"185","MANH",2016-09-26,57.310001,58.169998,56.900002,57.779999,746600,57.779999
"186","MANH",2016-09-27,57.880001,58.66,57.73,58.209999,448200,58.209999
"187","MANH",2016-09-28,58.290001,59.470001,57.830002,58.950001,428700,58.950001
"188","MANH",2016-09-29,58.880001,58.98,58.09,58.389999,348900,58.389999
"189","MANH",2016-09-30,58.630001,58.630001,57.57,57.619999,830100,57.619999
"190","MANH",2016-10-03,57.25,57.68,56.48,56.75,534800,56.75
"191","MANH",2016-10-04,56.849998,57.02,55.709999,55.810001,779200,55.810001
"192","MANH",2016-10-05,56.09,57.110001,55.93,56.84,882100,56.84
"193","MANH",2016-10-06,56.93,57.599998,56.349998,57.52,618600,57.52
"194","MANH",2016-10-07,57.450001,57.869999,56.860001,57.369999,442200,57.369999
"195","MANH",2016-10-10,57.82,58.450001,57.669998,58.080002,269000,58.080002
"196","MANH",2016-10-11,57.919998,58.200001,55.98,55.990002,422100,55.990002
"197","MANH",2016-10-12,55.919998,56.52,55.52,56.450001,466000,56.450001
"198","MANH",2016-10-13,56.5,57.330002,55.52,57.310001,647300,57.310001
"199","MANH",2016-10-14,57.330002,57.330002,55.849998,56.779999,894700,56.779999
"200","MANH",2016-10-17,56.740002,57.919998,56.41,57.900002,1142800,57.900002
"201","MANH",2016-10-18,58.84,59.599998,58.360001,59.009998,1214800,59.009998
"202","MANH",2016-10-19,54.299999,54.490002,52.369999,52.849998,4307700,52.849998
"203","MANH",2016-10-20,52.48,53.810001,52.150002,52.400002,1228100,52.400002
"204","MANH",2016-10-21,51.990002,52.41,51.200001,52.049999,842600,52.049999
"205","MANH",2016-10-24,52.310001,52.98,52,52.77,776800,52.77
"206","MANH",2016-10-25,52.880001,52.880001,51.380001,51.82,515700,51.82
"207","MANH",2016-10-26,51.560001,51.990002,50.93,51.02,629400,51.02
"208","MANH",2016-10-27,51.41,51.59,50.310001,50.459999,485100,50.459999
"209","MANH",2016-10-28,50.259998,51.310001,50.259998,50.849998,497300,50.849998
"210","MANH",2016-10-31,51.150002,51.150002,50.09,50.639999,469100,50.639999
"211","MANH",2016-11-01,50.91,50.91,49.880001,50.290001,448800,50.290001
"212","MANH",2016-11-02,50.349998,50.349998,49.419998,49.970001,603200,49.970001
"213","MANH",2016-11-03,49.889999,50.689999,49.810001,50.07,358500,50.07
"214","MANH",2016-11-04,50.02,50.830002,49.669998,50.220001,457500,50.220001
"215","MANH",2016-11-07,50.799999,51.490002,50.41,51.259998,525800,51.259998
"216","MANH",2016-11-08,51.27,52.32,50.709999,51.459999,553100,51.459999
"217","MANH",2016-11-09,50.689999,53.18,50.43,53.150002,745200,53.150002
"218","MANH",2016-11-10,53.610001,54.169998,52.459999,53.259998,881200,53.259998
"219","MANH",2016-11-11,53.209999,54.189999,52.799999,53.799999,458500,53.799999
"220","MANH",2016-11-14,54.080002,54.23,51.349998,51.619999,636700,51.619999
"221","MANH",2016-11-15,51.759998,52.209999,50.73,51.950001,1015600,51.950001
"222","MANH",2016-11-16,51.950001,53.529999,51.68,53.419998,857100,53.419998
"223","MANH",2016-11-17,53.880001,54.790001,53.599998,53.93,594800,53.93
"224","MANH",2016-11-18,53.950001,53.950001,53.189999,53.419998,431300,53.419998
"225","MANH",2016-11-21,53.830002,53.830002,52.98,53.330002,602100,53.330002
"226","MANH",2016-11-22,53.580002,53.610001,52.299999,53.52,634000,53.52
"227","MANH",2016-11-23,53.5,53.790001,52.84,53.73,375400,53.73
"228","MANH",2016-11-25,53.720001,54.130001,53.720001,53.869999,195200,53.869999
"229","MANH",2016-11-28,53.830002,54.049999,53.330002,53.619999,715300,53.619999
"230","MANH",2016-11-29,53.82,54.419998,53.48,54.099998,505600,54.099998
"231","MANH",2016-11-30,54.5,54.849998,52.389999,52.400002,949200,52.400002
"232","MANH",2016-12-01,52.419998,53,50.759998,51.84,867100,51.84
"233","MANH",2016-12-02,51.529999,52.77,51.529999,52.5,681100,52.5
"234","MANH",2016-12-05,52.740002,53.650002,52.200001,53.27,641000,53.27
"235","MANH",2016-12-06,53.25,53.27,52.400002,52.73,916400,52.73
"236","MANH",2016-12-07,52.700001,52.959999,51.639999,52.32,635500,52.32
"237","MANH",2016-12-08,52.59,52.599998,51.720001,52.34,842500,52.34
"238","MANH",2016-12-09,52.360001,52.610001,51.610001,51.919998,668400,51.919998
"239","MANH",2016-12-12,52.040001,52.330002,50.759998,51.509998,631600,51.509998
"240","MANH",2016-12-13,51.52,51.889999,50.830002,51.720001,863800,51.720001
"241","MANH",2016-12-14,51.849998,52.200001,50.91,51.27,705000,51.27
"242","MANH",2016-12-15,51.279999,51.73,51.060001,51.52,635400,51.52
