"","symbol","date","open","high","low","close","volume","adjusted"
"1","MAT",2016-01-04,26.709999,27.440001,26.43,27.43,5849200,25.088146
"2","MAT",2016-01-05,27.620001,27.73,26.969999,27.26,4045300,24.932659
"3","MAT",2016-01-06,26.82,27.09,26.48,26.92,6939800,24.621689
"4","MAT",2016-01-07,26.5,27.200001,26.18,27.059999,6746200,24.749735
"5","MAT",2016-01-08,27.190001,27.540001,26.93,26.93,6302100,24.630836
"6","MAT",2016-01-11,27.1,27.139999,26.379999,26.700001,4779200,24.420471
"7","MAT",2016-01-12,26.860001,27.17,26.57,27.110001,3920300,24.795465
"8","MAT",2016-01-13,27.129999,27.65,26.24,26.26,4179300,24.018038
"9","MAT",2016-01-14,26.35,26.57,25.9,26.299999,4132300,24.054619
"10","MAT",2016-01-15,25.700001,26.120001,25.16,25.690001,6686000,23.496702
"11","MAT",2016-01-19,25.84,25.879999,24.450001,24.870001,7731800,22.746708
"12","MAT",2016-01-20,24.57,25.139999,23.85,24.98,5616800,22.847317
"13","MAT",2016-01-21,25.129999,25.92,24.809999,25.82,6136600,23.615601
"14","MAT",2016-01-22,26.110001,26.450001,25.950001,26.24,3678900,23.999743
"15","MAT",2016-01-25,27.15,27.6,26.719999,26.74,7969000,24.457054
"16","MAT",2016-01-26,26.74,27.290001,26.690001,27.110001,4678300,24.795465
"17","MAT",2016-01-27,27.1,27.25,26.16,26.969999,6271700,24.667421
"18","MAT",2016-01-28,27.190001,27.389999,26.639999,27.18,5293000,24.859489
"19","MAT",2016-01-29,27.33,27.66,26.790001,27.59,8701700,25.234486
"20","MAT",2016-02-01,27.700001,27.73,26.110001,26.76,9782100,24.475348
"21","MAT",2016-02-02,28.5,30.700001,28.360001,30.459999,28649000,27.859459
"22","MAT",2016-02-03,30.6,32.200001,29.879999,31.76,17137700,29.048471
"23","MAT",2016-02-04,31.790001,34.360001,31.08,32.290001,24983700,29.533224
"24","MAT",2016-02-05,32.209999,32.799999,30.92,31.809999,9277600,29.0942
"25","MAT",2016-02-08,31.559999,32.099998,31.209999,31.959999,8491300,29.231396
"26","MAT",2016-02-09,31.66,31.860001,30.74,31.17,7139000,28.508842
"27","MAT",2016-02-10,31.42,31.5,30.219999,30.25,5425800,27.667387
"28","MAT",2016-02-11,30,30.25,29.48,29.959999,6239500,27.402143
